p,Paper,Min Time,Time opt
500,2686701.3077934636,2237428.7959953537,2042983.7272256636
1000,1323380.9294359672,1325482.1349401078,1021491.8636128318
1500,864414.7289882099,984516.0566774163,680994.5757418879
2000,644906.6036203811,837823.6347557532,510745.9318064159
2500,515948.84774282196,743043.7642980202,408596.74544513266
3000,433277.0705217479,631546.5592280207,340497.2878709439
3500,372849.0074007266,535683.4013243526,291854.8181750948
4000,339457.5642378396,434430.114732015,255372.96590320792
4500,313816.7343623633,341217.3192706976,226998.1919139626
5000,287776.8875348196,313071.901927741,215201.72169135115
500,2640244.417455738,2169342.1959088887,1997005.0680836043
1000,1284351.5197180219,1222446.9432535572,998502.5340418022
1500,858296.5252506757,968846.1846698483,665668.3560278681
2000,629457.7241106082,782695.307606703,499251.2670209011
2500,503470.350238285,675968.3235699364,399401.01361672085
3000,414727.2598679809,579085.8519120956,332834.17801393406
3500,364850.832600365,523802.80776576954,285286.43829765776
4000,312289.04537397996,391488.68021394184,249625.63351045054
4500,286462.85561955965,322559.68071038264,221889.45200928938
5000,275670.3591727554,291041.6514249785,199700.50680836043
500,2575814.707196395,2087591.76287316,1953916.1450124227
1000,1269349.4214810634,1207933.8931476304,976958.0725062113
1500,832752.3399226768,906586.5683493956,651305.3816708076
2000,620340.9770656021,737343.3652670804,488479.0362531057
2500,486867.9328021494,644003.2686462648,390783.2290024846
3000,400253.82784165686,543293.6706055898,325652.6908354038
3500,360016.8416868761,482034.300680782,279130.8778589175
4000,316874.3395531341,393916.69518022763,244239.51812655284
4500,274294.11812515056,299150.7133939357,217101.7938902692
5000,257063.7574858485,276993.8407524236,195391.6145012423
500,2737645.5819191705,2308416.098901721,2085551.3070061237
1000,1325028.589931337,1381545.3348469632,1042775.6535030619
1500,845914.0309316037,1059093.2933678713,695183.7690020413
2000,644792.3027025673,892887.9586955161,521387.8267515309
2500,522250.0113712643,762896.9160116296,417110.26140122476
3000,439534.4785473783,703344.1808345303,347591.88450102066
3500,382986.54822193587,597236.2419512043,297935.9010008748
4000,354763.7622381544,441982.1875596263,260693.91337576546
4500,328232.8970148951,360612.8591491849,245442.5501918573
5000,304631.6724182956,323655.1519371959,245442.5501918573
500,2638938.0058290903,2151774.8775430126,1985888.8685753127
1000,1259985.6507005757,1246635.3590174837,992944.4342876563
1500,823997.7098582868,924909.1649416236,661962.9561917708
2000,628515.6549712754,834237.6654258649,496472.21714382817
2500,495835.10782407504,670816.0881206158,397177.77371506253
3000,416948.14417958964,623141.4026045734,330981.4780958854
3500,368467.1218071563,508421.4065851094,283698.4097964732
4000,311249.09179334465,439466.36126509565,248236.10857191408
4500,297046.52798125346,319132.09000276536,220654.31873059028
5000,272581.6075229506,297223.99827756744,206437.73366141034
500,2594690.204624393,2101639.7919969456,1970281.3485280545
1000,1261295.2750654994,1203672.832501426,985140.6742640273
1500,819399.5635084421,926549.3734211441,656760.4495093515
2000,600911.1712828303,782642.0639682878,492570.33713201364
2500,490134.1844614259,656355.3033245173,394056.2697056109
3000,405428.29718368937,551526.8374267864,328380.22475467576
3500,353357.7880039977,492700.62694129226,281468.76407543634
4000,306366.5210137295,414623.4807418286,246285.16856600682
4500,269452.42897599353,299476.1217189501,218920.1498364505
5000,243717.92706236982,267896.30050428526,197028.13485280544
500,2722731.8776181205,2235877.3633867577,2066041.4282661593
1000,1342157.6172976454,1305778.9778146842,1033020.7141330796
1500,869092.3497264701,982064.7434439323,688680.4760887198
2000,646709.1025690001,850567.999207504,516510.3570665398
2500,511487.5027276906,729988.4420431156,413208.28565323184
3000,415514.5131446044,656865.3863376292,344340.2380443599
3500,359862.5323908152,533949.9716805075,295148.7754665942
4000,320554.0180544747,441485.7806051706,258255.1785332699
4500,294170.13398287556,326382.15569683374,229560.15869623993
5000,282630.2514918869,291978.90604440926,206604.14282661592
500,2697250.830878638,2222320.6785907624,2047164.713754969
1000,1317772.0952861542,1261788.376232587,1023582.3568774845
1500,858977.4277635984,940796.4922647222,682388.2379183229
2000,650167.104951924,784839.0925878355,511791.17843874224
2500,510267.9189983849,706179.4320423193,409432.94275099377
3000,436583.7972940988,579548.4673462587,341194.11895916145
3500,368157.5102158124,507061.2396635871,292452.10196499556
4000,323548.05351552524,395894.43303205055,255895.58921937112
4500,305062.2008642412,335423.4599946626,227462.7459727743
5000,271852.40338327654,286272.8828844926,204716.47137549688
500,2609088.1220179116,2187534.8105983315,1963394.3490815647
1000,1236427.884556327,1251757.112261025,981697.1745407823
1500,814657.4081233259,960870.716139189,654464.7830271883
2000,611518.8459742967,841153.6463978305,490848.5872703912
2500,484053.7384616716,701603.5892002761,392678.8698163129
3000,426913.3156220369,627033.3401652348,327232.39151359414
3500,369163.23870234506,554356.5883592694,280484.9070116521
4000,337878.0079507286,435981.0127418797,245424.2936351956
4500,306270.6944848081,330202.83176572295,218154.9276757294
5000,294011.61772124295,310160.2007268792,216639.9346013367
500,2625618.6004507006,2286330.303096175,2013283.8759888585
1000,1294360.5375178228,1400335.5098006176,1006641.9379944293
1500,832658.3007412961,1128588.93379668,671094.6253296195
2000,622445.2590562868,913591.3375868687,503320.96899721463
2500,482483.1308927967,807776.1205905328,402656.77519777167
3000,425411.142844007,700125.6449214916,335547.31266480975
3500,384148.07827842934,616740.661355177,287611.9822841226
4000,356036.60419503454,421054.2002922299,277146.0662574373
4500,323684.2688532378,345000.35836821137,277146.0662574373
5000,320064.4064472787,324545.2482979028,277146.0662574373
