regular,Paper,Min Time,Time opt
0.1,868924.5053738335,1627926.2088741404,680994.575741888
0.2,828159.4522436922,1590059.0685965514,680994.575741888
0.3,870907.763410096,1592803.4648038228,680994.575741888
0.4,838319.4730234237,1590489.0324116203,680994.575741888
0.5,844655.0509241589,1633442.5347989416,680994.575741888
0.6,852002.7478781297,1609288.1582377583,680994.575741888
0.7,841318.6825486872,1593687.150465695,680994.575741888
0.8,817870.22224893,1623890.8345998088,680994.575741888
0.9,818453.9176176937,1574793.7349752833,680994.575741888
1,836656.6218660951,1624521.8506902975,680994.575741888
0.1,875424.4359443767,1578183.03304259,665668.3560278681
0.2,804935.2270914664,1611822.686484736,665668.3560278681
0.3,844609.4846611619,1643088.6512763782,665668.3560278681
0.4,866185.1129707535,1642363.6465505834,665668.3560278681
0.5,803460.8955043025,1598565.3924724096,665668.3560278681
0.6,808944.0619937759,1617847.8251533832,665668.3560278681
0.7,816390.9858130123,1607234.4773229028,665668.3560278681
0.8,811148.6022406139,1604481.9372785427,665668.3560278681
0.9,820418.5171274345,1594396.6601803752,665668.3560278681
1,805564.0502869482,1577573.062104873,665668.3560278681
0.1,809213.3729744466,1536206.1566322846,651305.3816708077
0.2,795997.4888978628,1476762.6935677056,651305.3816708077
0.3,829595.3401174927,1535569.7967828359,651305.3816708077
0.4,826781.8794763344,1513040.879099191,651305.3816708077
0.5,786035.6390594332,1565520.8901452152,651305.3816708077
0.6,784742.263205991,1565404.8001102663,651305.3816708077
0.7,780707.2087304516,1543572.68754339,651305.3816708077
0.8,798992.2508972164,1551991.5486654704,651305.3816708077
0.9,804499.428440099,1550409.9310700384,651305.3816708077
1,783267.7241316147,1529704.2293166884,651305.3816708077
0.1,837203.1828192868,1583134.3620805454,695183.7690020413
0.2,933053.8322130195,1597046.612105001,695183.7690020413
0.3,856000.3132143103,1597100.7349643582,695183.7690020413
0.4,866141.469905274,1638455.932759037,695183.7690020413
0.5,887581.1899586412,1609829.9709399447,695183.7690020413
0.6,863367.2292744436,1590611.283348562,695183.7690020413
0.7,848412.1873959748,1660404.133114406,695183.7690020413
0.8,861098.7500434992,1625897.4329318407,695183.7690020413
0.9,861480.1011600152,1616335.5338957177,695183.7690020413
1,856635.9899303098,1663888.676348416,695183.7690020413
0.1,827838.1353472819,1532795.355531286,661962.9561917708
0.2,801619.1832463532,1544517.098159006,661962.9561917708
0.3,860960.1282692761,1647068.344314227,661962.9561917708
0.4,827216.4376746992,1588595.4728784866,661962.9561917708
0.5,815803.9385326892,1591620.7990183914,661962.9561917708
0.6,813723.4934643751,1581907.3854652792,661962.9561917708
0.7,807395.744119473,1592828.7362344998,661962.9561917708
0.8,805984.2668472723,1572720.7583066989,661962.9561917708
0.9,795512.0455080546,1560727.9565161124,661962.9561917708
1,808078.7214381045,1604601.1117031544,661962.9561917708
0.1,831381.3585238102,1566870.244580669,656760.4495093515
0.2,832249.4026081688,1527611.66101343,656760.4495093515
0.3,823853.1038688647,1515859.1774582563,656760.4495093515
0.4,815837.3007323587,1550662.0465861456,656760.4495093515
0.5,781830.7614694416,1550401.4655500965,656760.4495093515
0.6,796898.9979539432,1556591.818076252,656760.4495093515
0.7,812453.3387300586,1577158.1877466384,656760.4495093515
0.8,779405.7074652738,1536208.875541693,656760.4495093515
0.9,819083.0111489268,1559794.2186965381,656760.4495093515
1,785347.5789568407,1573012.418442245,656760.4495093515
0.1,834345.0327220641,1590112.3407451627,688680.4760887198
0.2,832055.5204755864,1612468.725903971,688680.4760887198
0.3,831669.0856693657,1627370.673784587,688680.4760887198
0.4,820182.2132314367,1648771.9890715904,688680.4760887198
0.5,849049.249954866,1634274.0005081096,688680.4760887198
0.6,842407.0941847749,1649565.6125613062,688680.4760887198
0.7,842311.8050198985,1613237.2758498592,688680.4760887198
0.8,816859.8593835813,1675895.4121710362,688680.4760887198
0.9,840315.5672486324,1588237.3197504645,688680.4760887198
1,815590.8556027085,1637024.579094593,688680.4760887198
0.1,822281.8231028934,1656830.5003031194,682388.2379183229
0.2,847952.2897918161,1652129.1770420442,682388.2379183229
0.3,856443.5740070884,1650213.20573068,682388.2379183229
0.4,814263.8634588724,1658422.5850904358,682388.2379183229
0.5,872422.4424649326,1680104.6231537291,682388.2379183229
0.6,831050.5383385748,1649804.0419673345,682388.2379183229
0.7,823684.6984855101,1683020.1965425145,682388.2379183229
0.8,840200.6023790402,1655507.4248200047,682388.2379183229
0.9,812811.7420424529,1713823.425630107,682388.2379183229
1,798634.680935484,1650620.583093756,682388.2379183229
0.1,824351.1967102727,1535275.521101609,654464.7830271883
0.2,810158.9483474579,1552287.212851128,654464.7830271883
0.3,803315.2366909396,1587561.8296556708,654464.7830271883
0.4,824332.0494362627,1554541.9286683567,654464.7830271883
0.5,800269.3471828488,1575535.3601061285,654464.7830271883
0.6,799413.4684786118,1584615.2023352692,654464.7830271883
0.7,789471.1547503356,1565495.98012742,654464.7830271883
0.8,819772.467137198,1556599.667823037,654464.7830271883
0.9,796526.2787650395,1574036.6235241434,654464.7830271883
1,795234.456957204,1552358.9796656435,654464.7830271883
0.1,882748.1148107135,1543724.62891759,671094.6253296196
0.2,880415.427130803,1557695.5408007517,671094.6253296196
0.3,893295.1242782966,1551391.5612322695,671094.6253296196
0.4,862338.8777228015,1585097.2251501468,671094.6253296196
0.5,850065.6285989379,1536778.9657178044,671094.6253296196
0.6,892969.1432723432,1546082.3924280978,671094.6253296196
0.7,870279.777093635,1560093.3284154618,671094.6253296196
0.8,893820.0591957804,1547645.2291088167,671094.6253296196
0.9,832815.6706283124,1618885.5555758364,671094.6253296196
1,864526.057671569,1598194.6588363582,671094.6253296196
