n,Paper,Min Time,Time opt
100,191463.41842387948,330538.96171032405,135264.95191661385
200,346837.2372156322,679268.2249907587,269115.41536577564
300,556475.2144455429,1056391.1928860818,418786.3552329836
400,655192.5265247747,1290831.4248653117,527019.572592095
500,824712.9619941526,1603104.864548171,680994.575741888
600,960266.6357175641,1899146.2168161557,810752.6431626381
700,1149418.4023454804,2253983.236517507,950160.9664814121
800,1316603.0311614044,2584823.9987230576,1089101.3585835067
900,1391587.126531218,2854138.815266759,1200420.4190975963
1000,1615506.5780342284,3162259.8828017246,1364616.3845054149
100,248935.77792540405,318310.15485748765,132074.59556803896
200,392770.7980589447,682582.4572035081,286299.98443799117
300,565336.9284974765,947661.9451262606,397626.57903151336
400,648117.5677599728,1214796.8974295927,507521.7860540623
500,822609.4032231347,1602051.0402227188,665668.3560278681
600,981167.8980665072,1929359.9426891503,815429.436989417
700,1104586.6821486207,2209715.422826269,942669.0211432279
800,1301652.994108711,2603655.279803152,1095096.4500514562
900,1515399.269108931,2873294.5223556273,1234367.3352328413
1000,1575599.3331735989,3057355.229406046,1310236.572839959
100,225187.37855813387,333319.11677638325,135657.59205852257
200,422152.31553254573,674435.7720356481,270786.0562738249
300,542480.7695307283,1067576.3786966652,421388.39164478605
400,670809.7369634584,1312684.3194821351,527186.328555443
500,818703.4018409209,1535550.0476574,651305.3816708077
600,977037.1014175462,1840451.1861207346,772065.0070346941
700,1108371.7153227213,2172225.481610363,943130.441858742
800,1327955.946426857,2609985.5364975645,1091462.301144986
900,1420835.8693530287,2864085.8144333437,1211849.0721664052
1000,1533513.8223519225,3027591.9467535806,1315742.6001533493
100,240326.51924478318,340425.8725869102,135704.79963632452
200,429730.95209161146,685620.6958615348,273913.5829820462
300,537132.216665002,963883.0160010549,396805.2720480061
400,666149.1310389992,1232769.7714610319,520492.97119765717
500,864401.4248247725,1636097.623006831,695183.7690020413
600,1101371.2212437612,1945435.907181663,835802.8700134807
700,1095068.62882056,2133032.4825498536,918673.9310559325
800,1213880.6741538544,2428349.7364855255,1036905.8603255189
900,1442183.6409489631,2835697.0751515147,1209444.9745925602
1000,1535318.6170698989,3003925.733895898,1288360.9693238875
100,201102.85983620738,340552.9629540683,139215.89287995544
200,399040.02420731116,589119.3436689969,237157.02603838284
300,537865.3040935127,982852.5055872961,403542.7487819404
400,704631.4368693546,1336273.6266023007,553652.1403919176
500,795333.9439001991,1605899.6026274401,661962.9561917708
600,991521.8508712561,1970985.5709214478,836158.0084916332
700,1111870.4095028222,2246142.4630075246,959848.6105146747
800,1247552.3168845987,2427070.3097005156,1047139.8979693472
900,1411316.984663775,2816393.4485671003,1188119.1878513996
1000,1630337.7780510501,3136731.61874753,1345047.1341998023
100,285459.5504749595,300452.71331832756,141833.9057535438
200,392905.3862631838,613701.3576757069,257738.01733123203
300,495624.23803880473,897795.5905658123,364297.22578645014
400,699457.5090753202,1322686.4684548085,546788.8911521651
500,776651.8882931791,1557966.776187568,656760.4495093515
600,986685.4700132776,1948965.6202898407,820026.635954944
700,1121991.0119698495,2250465.1044513807,955614.8494181846
800,1237040.6080509487,2534737.308900708,1071427.358158738
900,1387509.0488914843,2716726.670719261,1177485.9993456504
1000,1556103.8679688424,3140624.012890975,1343462.4150484968
100,297276.21480919915,331680.68040276784,145800.66430323533
200,382295.5043728348,667417.0526183065,263256.4548820055
300,529319.4840264593,985171.1578476068,399115.47045688564
400,649884.0637419831,1229279.3416837258,509607.5388928041
500,831434.0545492175,1636746.710978393,688680.4760887198
600,970823.5462621314,1932593.402052289,808500.1381526012
700,1156229.3104421652,2275922.7087559165,966037.9415197767
800,1291414.2632569873,2470050.471285937,1067057.608011531
900,1431140.4954346197,2860173.5237913877,1200844.1283749081
1000,1580795.255336022,3107601.5430167895,1339714.0408837418
100,233523.50268577322,335022.7682612348,132581.37664140124
200,406907.96604531043,701112.9722909721,288877.2195751548
300,502769.0306325792,988812.3355720949,404387.397599672
400,655540.2551772537,1251781.7739018751,517062.8064570028
500,818496.9755948503,1648187.025919915,682388.2379183229
600,991473.9078420345,1850857.8908490627,796310.5517534814
700,1026065.7975702593,2085193.658808972,876164.5223701039
800,1289377.2545824116,2572091.668652466,1092902.44475554
900,1360200.5911778966,2773199.4686521417,1168644.0656474705
1000,1572252.6600991949,3168676.648738625,1356490.9992859592
100,229938.30952446043,313737.09546332824,125793.85045794985
200,357431.10818037845,637945.1151639353,267404.74808868044
300,514723.01218174363,996349.6952887938,402994.3076215725
400,656374.6444933959,1289116.973916257,532846.2458092739
500,809037.5768411971,1549814.620924665,654464.7830271883
600,993192.8175328866,1911472.0051341432,808417.8742937929
700,1076907.4661922986,2156853.564630082,903611.3820643929
800,1253080.5971767656,2499645.5357780256,1063715.965358084
900,1393613.4904736348,2808254.96274527,1187154.0541903009
1000,1585503.4361635675,3189271.8889775295,1374270.2114800527
100,254728.0390602495,360896.10893286293,142189.82963128175
200,417634.4100132914,673618.8781908231,283601.9021258916
300,513360.4629900635,1048080.5667567296,412492.8426659085
400,687231.1048900054,1318597.2741219678,556610.2611466397
500,866299.3552466893,1560515.9172166619,671094.6253296196
600,918087.6049190665,1806298.6771827578,776749.1510552632
700,1140303.9789695952,2214315.944838365,917312.0237686938
800,1277589.0722494891,2599049.2144510034,1077381.0639859766
900,1413451.5577847331,2848675.8848916343,1213624.7074727179
1000,1485342.934045502,2943172.114559261,1275217.8093126304
