P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,59293.38740481596,25339.817846041748,2.3399295040346155
256,400,110277.79211354279,48679.56019676214,2.265381849544273
8192,800,136403.4412828866,62137.90128877687,2.195172969376153
128,1000,194094.31018465958,125295.95783362567,1.549086766569021
2048,600,204474.19244090412,95460.11175339336,2.1419856805650093
256,900,161010.61087855493,77030.62312975689,2.090215609541871
256,100,50126.50866158756,26193.65899088914,1.9136886785852603
4096,300,39909.26636433252,20887.76340872541,1.910652930301829
256,200,62373.037507598005,25775.82693292296,2.419826827279405
2048,400,63479.6683917069,34397.99854935305,1.8454465686609205
8192,1000,136734.19675868086,71441.52524391812,1.9139316565798148
1024,500,152294.54931724005,69330.81468246617,2.1966357962869214
256,600,174813.97044576055,65997.13135384436,2.6488116507442343
8192,900,99365.12408199988,50985.945546331204,1.9488728318612087
8192,700,140782.41989112066,54661.38833726035,2.5755368492013813
256,1000,125627.35203601606,62174.13220982782,2.020572665365778
8192,900,381016.05978088756,200725.03795784948,1.898198967389896
2048,700,88501.6743447806,45736.33575987692,1.9350407695410612
1024,600,144527.20232600035,69645.19944005155,2.0751925974510983
4096,1000,101152.36796736474,51207.743830232605,1.9753334242319278
2048,200,61178.78399223591,33208.183834406,1.8422803335860365
512,800,119493.13697162028,58281.74602729851,2.050266938050398
128,200,77878.81780000997,36920.89002320384,2.109342915381106
2048,800,161038.63568411462,69914.3129245496,2.3033714978777655
512,100,65543.53454374758,34744.80913128068,1.8864266686887299
1024,100,34497.935704173615,17424.209760559108,1.9798852388853843
512,900,136458.54029802664,65527.226447374065,2.082470870449837
256,800,190052.13371062864,88988.07431158595,2.135703409483539
1024,100,39560.687707383164,17010.884101954263,2.3256103251469633
1024,700,284471.84489469224,122698.14519501191,2.3184689910557585
256,300,125511.88446356096,58817.967607809784,2.133903797908441
1024,600,108802.60875841111,56839.82740281852,1.9141966773990575
8192,200,96208.54168513184,48832.439654252754,1.9701768407705014
1024,300,96211.05612079019,51334.02512144949,1.8742160953318505
4096,900,163686.92673207526,68798.33552250691,2.3792280073189587
512,900,133524.74387462222,70503.79592528375,1.8938660269600915
4096,100,65493.44620432343,34460.69141352587,1.9005261797683246
8192,700,46272.46787570406,24919.342184621364,1.856889621438743
1024,400,152971.9949237648,71121.47502380062,2.150855207552615
256,700,108142.58295614064,46686.09352875527,2.316376779083746
256,400,148314.63180249537,59315.77823058138,2.500424612586958
512,500,268820.4119612928,104189.08387589059,2.5801206994152097
256,900,117251.09976901533,57244.69321120439,2.0482440064167555
8192,500,182352.2884882171,87191.89492611904,2.09139035965133
8192,300,86157.71600140916,37997.38137569971,2.2674645694534417
1024,800,146944.46568335802,76586.05734526525,1.9186842981210408
4096,800,160033.51690697207,69744.6297416748,2.2945640044217854
4096,800,148585.78861138533,49156.66889863417,3.022698485078061
8192,500,177443.02952310414,93303.02350633578,1.9017929200445984
4096,700,278672.5371041922,121247.84298185878,2.298371090575916
4096,800,81304.32897198379,43369.83132383738,1.8746747794542713
4096,100,47696.84006572972,25235.008428580157,1.8901059692815554
8192,600,89148.17957646215,37566.49697046091,2.3730767243632185
8192,800,238675.87119710378,84971.24391877686,2.8089016964992486
512,300,89821.34607377365,47234.241688785194,1.9016150754697072
256,100,109009.39574381166,56270.53628076332,1.9372375482598285
128,600,129835.69458767577,74899.47399565695,1.7334660400312596
2048,900,302370.9836516598,156586.64072292217,1.9310139246597733
8192,1000,86675.8772414536,45312.78094590863,1.9128350860857886
4096,300,75460.88974788348,41796.45799396132,1.8054374310566208
256,500,179843.07847526643,95166.34282014595,1.8897760820246117
256,700,108958.10936849304,47967.297444383694,2.271508197742971
128,500,101699.42047492422,56182.17500713485,1.8101723627112853
2048,700,94464.66355366737,48971.50074361899,1.928972200550259
128,800,200968.1136709323,93497.3020055607,2.149453613741494
512,300,58693.95707749816,28600.5958497807,2.0521935062394236
4096,200,112938.87980029252,50831.013653404065,2.2218498448678723
4096,500,458900.4674158868,237564.50729901434,1.9316878292693969
8192,1000,225574.098628945,112393.23827909636,2.007007735365685
128,900,179667.44698492825,109443.21737422631,1.641649901159061
4096,300,54854.52866006722,27866.80417099782,1.968454234058051
4096,400,147723.4525987723,56915.493482307924,2.5954875124590084
128,900,170262.32016255482,109318.34627419793,1.5574908143551136
1024,400,80756.51644160645,44207.66491546582,1.8267537223698553
8192,600,63547.47644847707,32734.27780938007,1.9413129203133792
128,400,154214.40893150252,81480.70461614145,1.8926494273461698
4096,700,131653.71086428277,53915.74341202593,2.4418417058294213
8192,500,108632.42098320494,54509.002824173345,1.9929262205293774
256,900,127009.55234309068,64837.41435415292,1.9588929263795596
8192,1000,288515.2300191952,124535.58998606945,2.316729137842993
8192,600,59254.04779822614,25325.579367516788,2.339691698197706
4096,900,86953.165586374,44998.63267930536,1.9323512828949427
8192,700,356818.95976134425,185768.68163866145,1.9207702644700497
128,300,91762.02390061361,38152.527144095155,2.4051361933128343
4096,700,194540.15982574178,86344.15596057125,2.2530784818207943
