P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
1,256,1000,11,0.103925,0.694013,7.0,0.897745,282402.78577392176,93999.11369967749,3.0043132818909832,Amdahl
2,2048,100,81,0.715367,0.100106,10.0,0.419858,62902.90942336941,22337.481360465572,2.8160251555799554,Amdahl
3,4096,900,66,0.699821,0.486548,10.0,0.494553,272295.34850375325,82793.90617256892,3.2888332135966967,Amdahl
4,128,700,95,0.252105,0.328997,9.0,0.241537,257485.532585959,82473.74392928864,3.1220303616472416,Amdahl
5,2048,800,48,0.380232,0.567173,4.0,0.771939,244480.19881541532,79447.27946353033,3.0772633180931273,Amdahl
6,512,500,38,0.15137,0.33787,3.0,0.636078,332413.6169297365,119715.8839204082,2.7766876545032075,Amdahl
7,512,600,73,0.230985,0.420942,7.0,0.713594,263981.5972941655,74982.02224156287,3.520598530187938,Amdahl
8,1024,500,66,0.649432,0.723637,6.0,0.240238,126476.76633597662,34900.44871676581,3.623929519141641,Amdahl
9,128,700,5,0.119244,0.5906,4.0,0.106685,146727.08022643471,84366.35857819415,1.7391657373767309,Amdahl
10,1024,800,91,0.398424,0.585032,9.0,0.102732,125655.18830116143,37267.751414926155,3.3716868748575775,Amdahl
11,2048,700,31,0.799942,0.889956,10.0,0.787336,85377.21961148968,32457.00781780014,2.6304710554577655,Amdahl
12,128,100,58,0.314204,0.786132,9.0,0.395892,50442.03397653024,18369.188848721096,2.7460131414589997,Amdahl
13,8192,300,36,0.562432,0.233763,10.0,0.153198,81761.00674385673,27839.08594962818,2.9369141965290972,Amdahl
14,128,900,3,0.534845,0.213005,5.0,0.132059,262317.47961195174,110404.29852523889,2.3759716162861615,Amdahl
15,512,800,26,0.767861,0.447614,5.0,0.851934,408503.0974997106,136837.3720788083,2.9853182014080395,Amdahl
16,256,700,71,0.336017,0.524537,2.0,0.841195,509517.5482080812,183078.19599598722,2.7830596944447117,Amdahl
17,128,500,53,0.749981,0.820907,9.0,0.340066,113221.22217435416,63524.28070644322,1.7823298574220647,Amdahl
18,8192,800,8,0.360628,0.835771,9.0,0.354204,117513.64159084944,42507.22609833325,2.7645568148578215,Amdahl
19,8192,700,27,0.424576,0.603897,7.0,0.617383,199220.06010139457,54661.38833726035,3.6446212978018107,Amdahl
20,2048,300,34,0.577643,0.761176,7.0,0.372643,88848.82731144728,31910.461468878584,2.784316591538457,Amdahl
21,4096,300,76,0.699195,0.767005,6.0,0.690699,105860.0209031622,36848.00966995701,2.8728830091865776,Amdahl
22,256,200,73,0.211051,0.283267,10.0,0.696614,93480.16390590931,21803.41588319632,4.287409110879436,Amdahl
23,128,1000,59,0.376573,0.759818,2.0,0.76305,270796.1960249194,124089.35917466675,2.1822676644155266,Amdahl
24,256,800,29,0.613703,0.797571,8.0,0.60255,127136.79796888403,48085.27095800479,2.6439863067407647,Amdahl
25,1024,400,93,0.771915,0.559915,7.0,0.477874,121801.07047560388,36972.96761841919,3.294327675631994,Amdahl
26,4096,500,66,0.649432,0.723637,6.0,0.240238,126466.12865176257,34769.26706110624,3.637296363754262,Amdahl
27,4096,600,90,0.79804,0.581244,7.0,0.389738,181075.76638348278,48047.491745026506,3.7686830218817056,Amdahl
28,512,500,51,0.846688,0.52166,9.0,0.837665,299116.51058170514,100851.89539710058,2.965898750875678,Amdahl
29,256,800,20,0.352643,0.137693,5.0,0.148824,357552.5029077974,126274.855960436,2.831541562160439,Amdahl
30,8192,800,22,0.262714,0.843831,7.0,0.855421,108073.54395019237,35845.234180990716,3.015004544383907,Amdahl
31,8192,100,33,0.728034,0.112467,2.0,0.434197,130116.99724050799,46788.20429050843,2.780978650785789,Amdahl
32,512,600,21,0.830316,0.216257,9.0,0.535044,202510.00442676304,52756.84973603863,3.83855376960514,Amdahl
33,4096,300,59,0.145154,0.216152,5.0,0.227988,118547.99774935727,42340.53497124568,2.799870096820119,Amdahl
34,512,100,30,0.311593,0.494797,1.0,0.411192,105288.51530348118,40347.71451518567,2.6095286082153115,Amdahl
35,512,400,65,0.341813,0.131667,6.0,0.445843,170939.63340582556,60466.577944996374,2.827010213168031,Amdahl
36,512,600,87,0.701721,0.485789,10.0,0.896196,285675.4717876888,86157.87985954233,3.3157207704438316,Amdahl
37,512,200,34,0.193941,0.777444,3.0,0.390147,81417.0824949192,29532.257032924113,2.756886559809877,Amdahl
38,256,100,19,0.894956,0.277955,6.0,0.168629,48978.66305539613,17027.2207522652,2.8764919283072254,Amdahl
39,2048,200,22,0.81636,0.60347,9.0,0.214718,35506.6189811437,11693.687363205381,3.0363920188995803,Amdahl
40,512,600,12,0.428009,0.498308,10.0,0.506425,207981.4223008618,53028.096055400216,3.9220986188826523,Amdahl
41,2048,900,43,0.238553,0.709156,3.0,0.720007,255333.60456125543,82766.23374934636,3.084997262706447,Amdahl
42,8192,500,56,0.178558,0.3637,3.0,0.260735,302305.5148641371,106691.21035251523,2.833462230537066,Amdahl
43,4096,200,90,0.517281,0.702481,8.0,0.62128,110685.82999886989,36308.61704382817,3.048472759655398,Amdahl
44,512,900,13,0.562432,0.233763,7.0,0.153198,127932.19957713004,44574.09087554049,2.8701022738599775,Amdahl
45,256,200,50,0.733229,0.521202,1.0,0.840543,280491.17856565356,101918.9751009342,2.752099678081266,Amdahl
46,512,300,76,0.699195,0.767005,6.0,0.690699,106281.30932260143,37142.578131859176,2.86144136105184,Amdahl
47,512,200,19,0.278484,0.749344,3.0,0.268131,76084.65093386835,27200.313213753878,2.7971976034230384,Amdahl
48,512,800,67,0.467215,0.250236,2.0,0.546734,826864.9381001758,262920.2939257796,3.1449262655000436,Amdahl
49,128,500,88,0.614454,0.398912,3.0,0.295666,210939.95974378852,69672.06776194289,3.0276115883991412,Amdahl
50,8192,800,36,0.54861,0.334123,4.0,0.231242,243298.85505643015,85731.57829816201,2.837914102202481,Amdahl
51,1024,900,57,0.861978,0.65095,2.0,0.852374,268533.2052497156,97683.68369178884,2.749007767735198,Amdahl
52,256,900,9,0.16733,0.639422,10.0,0.553734,200596.78612859495,58495.11282531449,3.4292913790531947,Amdahl
53,4096,500,26,0.485154,0.675732,9.0,0.478628,142483.30233454503,46622.014147761576,3.056137855455264,Amdahl
54,512,100,51,0.859956,0.135467,8.0,0.542046,151231.35188291446,58292.64758467105,2.5943469399506753,Amdahl
55,128,400,66,0.277529,0.465338,10.0,0.361489,210223.5459156498,60374.568463500866,3.481988381295667,Amdahl
56,512,100,57,0.773757,0.558521,9.0,0.472199,95954.12452130683,28867.936236243444,3.323899697437923,Amdahl
57,8192,300,67,0.593592,0.272399,5.0,0.6807,274293.7128858061,70498.40280997702,3.8907791092110773,Amdahl
58,4096,800,87,0.759213,0.430835,5.0,0.751711,467221.9863995289,150308.73037763743,3.108415494067942,Amdahl
59,1024,800,34,0.613512,0.287316,6.0,0.205666,283896.88463835424,55694.56199028251,5.097389664145093,Amdahl
60,128,200,70,0.413382,0.599422,3.0,0.517703,120344.0798997136,44436.25183454351,2.7082410178925453,Amdahl
61,8192,700,43,0.506619,0.290083,7.0,0.498927,393902.4842634163,98802.02232093838,3.986785644770547,Amdahl
62,8192,200,82,0.668572,0.457403,7.0,0.2616,86465.23241686678,34667.152980136394,2.494154407961037,Amdahl
63,1024,200,52,0.366465,0.552069,5.0,0.56244,95085.96303060588,30190.486895646347,3.1495339362783796,Amdahl
64,512,200,91,0.863484,0.245115,7.0,0.256471,97755.3227472505,34266.15789303075,2.8528241494834337,Amdahl
65,1024,500,48,0.273445,0.855023,3.0,0.357455,111443.9159456841,38949.34206843056,2.8612528486331543,Amdahl
66,256,500,66,0.649432,0.723637,6.0,0.240238,132947.57357301842,35425.175339404035,3.75291222412493,Amdahl
67,2048,100,89,0.430902,0.107302,3.0,0.825334,124793.445509098,44519.75175141699,2.8031029060067936,Amdahl
68,4096,300,79,0.404985,0.191272,6.0,0.600165,205042.03214638765,64610.29618150784,3.173519458421441,Amdahl
69,8192,700,81,0.865154,0.543164,2.0,0.152786,308057.9707124491,116555.24523591898,2.643021084884771,Amdahl
70,512,600,10,0.770175,0.560932,6.0,0.477471,349188.17152607936,100882.28136503312,3.461342931595436,Amdahl
71,256,300,11,0.144749,0.21835,8.0,0.625963,139837.31826862716,42533.040330698066,3.287733893024809,Amdahl
