P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,64038.540597407584,32086.250269673834,1.995825004766397
256,400,101009.62236831922,69344.18366491112,1.45664159601941
8192,800,108325.25958974019,68639.61815064191,1.5781739833109365
128,1000,263047.237133389,125295.95783362567,2.0994072089913423
2048,600,248899.5888790969,191374.78812730435,1.300587142719795
256,900,139284.1925509852,79309.82918527524,1.7562034111258036
256,100,38942.447782200965,27744.76099020595,1.4035964409982793
4096,300,33193.69319923993,24265.13520631133,1.3679583038385996
256,200,51991.75383915809,32996.77807816611,1.5756615302256103
2048,400,71886.30317513725,49006.50439213838,1.4668726951002293
8192,1000,132814.69779565968,97895.23348711745,1.3567023956599222
1024,500,177889.55133622166,103433.70181766388,1.719841291669236
256,600,193807.61570547588,107515.86756387605,1.802595468899818
8192,900,90866.32881617066,76055.59330000391,1.1947356515614216
8192,700,137239.71216819095,80626.46962808013,1.7021669533747499
256,1000,151470.56288295702,66688.81108753479,2.271303992571391
8192,900,397564.6332033311,294265.0674249581,1.3510425708437712
2048,700,73689.0143495113,53921.858220267735,1.3665889266741487
1024,600,145878.4170105804,87981.12037524463,1.6580650074516032
4096,1000,84763.46688102919,57823.110280004155,1.4659098493762848
2048,200,58693.650636536804,43211.18708703341,1.3582975750774802
512,800,122827.41015588818,76745.1936743743,1.600457361239301
128,200,79867.16577845087,55080.46923257345,1.450008812401676
2048,800,170826.32487062635,91530.45019922058,1.866333274869886
512,100,92148.27957790226,81541.92332472774,1.1300724317102062
1024,100,36110.4875656128,26126.125239736124,1.3821600881975071
512,900,116845.87225843601,83768.9354752691,1.3948592231177646
256,800,223732.2394893611,140690.70674223357,1.5902417769445998
1024,100,45081.14545819052,26128.92828146623,1.7253346548533135
1024,700,358616.8169123428,209079.4040392636,1.7152182854175209
256,300,110165.78679322376,73378.01257741736,1.5013460152929803
1024,600,139148.45062124936,121589.27436436518,1.1444138584482773
8192,200,91701.98390150441,66804.37457564907,1.372694295605767
1024,300,83628.61615154844,60661.299768006524,1.3786156325594452
4096,900,159135.43803191866,83867.31024046338,1.8974668148489247
512,900,109851.34349365128,83934.36071927342,1.3087767935834969
4096,100,92148.27957790226,81541.92332472774,1.1300724317102062
8192,700,53598.28040318616,48366.36010081021,1.108172711187508
1024,400,144205.43832436152,93715.09953214714,1.5387641804178487
256,700,100657.60892888819,54206.33391376397,1.856934451406045
256,400,120619.12379571112,62094.6152682652,1.942505373044096
512,500,306229.21593785356,150411.49619722992,2.0359428878780963
256,900,120287.0182715836,65851.69814960258,1.8266350246323835
8192,500,203616.9214490193,145171.26830844925,1.4025979370545212
8192,300,81177.89330895805,49207.11959862682,1.6497184547909083
1024,800,146513.13680442306,113583.42103934956,1.2899165693703258
4096,800,170826.32487062635,91530.45019922058,1.866333274869886
4096,800,151761.8817331754,80495.74766274964,1.8853403582137918
8192,500,173943.3379706891,126547.99516819877,1.3745246437092564
4096,700,358616.8169123428,209079.4040392636,1.7152182854175209
4096,800,103071.74068328463,76289.52886222344,1.351060128702971
4096,100,36834.876308424624,27021.11397775278,1.36318866567647
8192,600,90975.9252580772,71516.09563181561,1.2721041949276162
8192,800,242294.03567483943,111382.24810651336,2.1753379896151572
512,300,79683.36391086873,64288.232254330745,1.2394704460939803
256,100,90704.32884525206,66621.99147149005,1.3614772966381186
128,600,173566.1587967693,74899.47399565695,2.317321464858799
2048,900,332800.6783627815,246837.67939689083,1.348257199532615
8192,1000,74201.27888151049,55350.7803146872,1.3405642785820193
4096,300,61533.541243934975,44478.45983108848,1.383445862955123
256,500,174480.66756900225,126547.99516819877,1.3787706975293816
256,700,136380.7071112339,88059.66488743904,1.548730707589684
128,500,133083.18720949066,56182.17500713485,2.3687795496096364
2048,700,127124.47583624897,82723.15596316708,1.5367459613466852
128,800,209424.363429367,133043.65281458962,1.5741026272123027
512,300,49963.64156880312,36792.68253707005,1.357977677177053
4096,200,121790.57087386602,87248.16939999937,1.3959097561749747
4096,500,495806.06773304497,374127.1854931126,1.3252340031894645
8192,1000,228940.20008024678,150682.91879743664,1.5193507127905557
128,900,237625.2264972947,109443.21737422631,2.1712193062158187
4096,300,48325.10684545506,36076.63280186646,1.339512673226946
4096,400,154990.52047419563,80803.01007103526,1.9181280541150745
128,900,252210.1246625461,109318.34627419793,2.307116172704805
1024,400,74215.39415691647,55614.3310578869,1.3344652852098216
8192,600,57001.93897798179,36813.11504024967,1.5484138985700786
128,400,139562.8602845083,101350.91774796846,1.3770261126945325
