P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
1,256,1000,11,0.103925,0.694013,7.0,0.897745,317527.1816872226,114052.16297138289,2.7840522565704795,General
2,2048,100,81,0.715367,0.100106,10.0,0.419858,92670.5487925034,34797.99253486696,2.663100427406816,General
3,4096,900,66,0.699821,0.486548,10.0,0.494553,340769.2932183414,124719.89755923967,2.732276885141621,General
4,128,700,95,0.252105,0.328997,9.0,0.241537,326217.61975185585,118106.42169880556,2.7620650516681855,General
5,2048,800,48,0.380232,0.567173,4.0,0.771939,331857.02319845883,132293.56255090234,2.5084895802905818,General
6,512,500,38,0.15137,0.33787,3.0,0.636078,519688.0487691527,200600.6387207743,2.59065999033299,General
7,512,600,73,0.230985,0.420942,7.0,0.713594,351378.5108598497,105022.81261133405,3.3457351038599867,General
8,1024,500,66,0.649432,0.723637,6.0,0.240238,167981.09005337275,46061.858103017745,3.6468587454218975,General
9,128,700,5,0.119244,0.5906,4.0,0.106685,146953.94987432653,84366.35857819415,1.7418548382424692,General
10,1024,800,91,0.398424,0.585032,9.0,0.102732,189637.37168454562,63384.96579246821,2.9918351980412283,General
11,2048,700,31,0.799942,0.889956,10.0,0.787336,109060.53752114507,39830.52628133257,2.7381143987609984,General
12,128,100,58,0.314204,0.786132,9.0,0.395892,59560.375686731466,26126.125239736124,2.2797248019061027,General
13,8192,300,36,0.562432,0.233763,10.0,0.153198,92458.1134501743,36076.63280186646,2.5628254709344964,General
14,128,900,3,0.534845,0.213005,5.0,0.132059,368987.24179924093,139591.2364882103,2.6433410225605756,General
15,512,800,26,0.767861,0.447614,5.0,0.851934,517973.3107362271,197393.3795668679,2.624066277566119,General
16,256,700,71,0.336017,0.524537,2.0,0.841195,590109.5297506546,234983.82020263324,2.511277283864848,General
17,128,500,53,0.749981,0.820907,9.0,0.340066,119912.00243150603,63524.28070644322,1.8876562016599654,General
18,8192,800,8,0.360628,0.835771,9.0,0.354204,127768.01241478295,54320.9057684255,2.352096501473457,General
19,8192,700,27,0.424576,0.603897,7.0,0.617383,263021.6888123803,80626.46962808013,3.262225048742263,General
20,2048,300,34,0.577643,0.761176,7.0,0.372643,119080.55710648884,37939.74255370349,3.138675939562083,General
21,4096,300,76,0.699195,0.767005,6.0,0.690699,112527.76589897118,38752.99367855184,2.903718015500067,General
22,256,200,73,0.211051,0.283267,10.0,0.696614,112525.6363069023,38158.66027827733,2.9488885481380493,General
23,128,1000,59,0.376573,0.759818,2.0,0.76305,290713.14045197295,124089.35917466675,2.3427725180107384,General
24,256,800,29,0.613703,0.797571,8.0,0.60255,139699.5634957624,52179.14170893851,2.6773066578025237,General
25,1024,400,93,0.771915,0.559915,7.0,0.477874,166754.13221849367,49051.77331750574,3.3995535928765697,General
26,4096,500,66,0.649432,0.723637,6.0,0.240238,167981.09005337275,46061.858103017745,3.6468587454218975,General
27,4096,600,90,0.79804,0.581244,7.0,0.389738,194038.22714191533,51613.479508776116,3.759448674816081,General
28,512,500,51,0.846688,0.52166,9.0,0.837665,313811.43069939123,124988.94385887164,2.510713516018858,General
29,256,800,20,0.352643,0.137693,5.0,0.148824,556731.0654133176,210977.95440512575,2.638811562009304,General
30,8192,800,22,0.262714,0.843831,7.0,0.855421,124309.30067275124,49795.0272020813,2.4964199772051825,General
31,8192,100,33,0.728034,0.112467,2.0,0.434197,280907.6422215371,102623.46676272963,2.7372651800100365,General
32,512,600,21,0.830316,0.216257,9.0,0.535044,313315.4882930429,92921.13792117263,3.3718429982942784,General
33,4096,300,59,0.145154,0.216152,5.0,0.227988,172380.3149086279,65210.744929774046,2.6434342238271555,General
34,512,100,30,0.311593,0.494797,1.0,0.411192,128811.44935183554,59800.389484683525,2.1540235851612235,General
35,512,400,65,0.341813,0.131667,6.0,0.445843,332710.35806904535,130538.90726759212,2.548744776812183,General
36,512,600,87,0.701721,0.485789,10.0,0.896196,358819.5638602345,131761.98633212727,2.7232403961774843,General
37,512,200,34,0.193941,0.777444,3.0,0.390147,92934.34177915314,31705.394626816502,2.931183884415337,General
38,256,100,19,0.894956,0.277955,6.0,0.168629,72858.71521694279,26415.822114851857,2.7581467992994693,General
39,2048,200,22,0.81636,0.60347,9.0,0.214718,69506.0393938024,26109.246436838283,2.6621235339727902,General
40,512,600,12,0.428009,0.498308,10.0,0.506425,270924.5267592037,64352.41237737711,4.210013529414265,General
41,2048,900,43,0.238553,0.709156,3.0,0.720007,336685.0654468393,137540.97978364697,2.4478891016804414,General
42,8192,500,56,0.178558,0.3637,3.0,0.260735,524206.2180460376,200791.6018005936,2.610697924341614,General
43,4096,200,90,0.517281,0.702481,8.0,0.62128,140114.26045855155,47639.49018411157,2.9411368576165327,General
44,512,900,13,0.562432,0.233763,7.0,0.153198,345637.48462361033,126647.55311099823,2.7291287998330445,General
45,256,200,50,0.733229,0.521202,1.0,0.840543,391558.7735020355,148849.52287300915,2.6305678778432737,General
46,512,300,76,0.699195,0.767005,6.0,0.690699,112529.83715644566,38752.99367855184,2.9037714631766947,General
47,512,200,19,0.278484,0.749344,3.0,0.268131,107440.66264204208,41095.10804137316,2.6144392304279735,General
48,512,800,67,0.467215,0.250236,2.0,0.546734,1186009.0510495333,416287.66404343257,2.8490132028649144,General
49,128,500,88,0.614454,0.398912,3.0,0.295666,245924.4208303087,93179.15627720975,2.639264301757347,General
50,8192,800,36,0.54861,0.334123,4.0,0.231242,393603.22889698227,140683.89126429337,2.797784631628836,General
51,1024,900,57,0.861978,0.65095,2.0,0.852374,334844.84136904747,138660.26103350002,2.414858005266193,General
52,256,900,9,0.16733,0.639422,10.0,0.553734,256177.68628837765,79895.7452462611,3.2063996086245417,General
53,4096,500,26,0.485154,0.675732,9.0,0.478628,198811.80226419243,58413.949163164856,3.403498738098687,General
54,512,100,51,0.859956,0.135467,8.0,0.542046,207023.2443701235,81290.41796145657,2.546711525930184,General
55,128,400,66,0.277529,0.465338,10.0,0.361489,226527.81561538667,62599.27814625294,3.6186969294780305,General
56,512,100,57,0.773757,0.558521,9.0,0.472199,98891.04251486143,31840.379276406566,3.105837454271118,General
57,8192,300,67,0.593592,0.272399,5.0,0.6807,395932.29859537684,114697.14098863088,3.45198053920649,General
58,4096,800,87,0.759213,0.430835,5.0,0.751711,607221.6187900761,196678.2160998577,3.087386243536889,General
59,1024,800,34,0.613512,0.287316,6.0,0.205666,383697.5224306173,76146.64778133373,5.038928614854603,General
60,128,200,70,0.413382,0.599422,3.0,0.517703,152118.99485525116,56802.49785081318,2.6780335480101325,General
61,8192,700,43,0.506619,0.290083,7.0,0.498927,514734.0531593339,163408.4341097494,3.1499846134846687,General
62,8192,200,82,0.668572,0.457403,7.0,0.2616,152563.39204301563,55080.40807549345,2.7698304601140857,General
63,1024,200,52,0.366465,0.552069,5.0,0.56244,156541.6206438417,52013.803178654016,3.009616891619357,General
64,512,200,91,0.863484,0.245115,7.0,0.256471,134658.4649107579,49088.639705453395,2.743169615592308,General
65,1024,500,48,0.273445,0.855023,3.0,0.357455,112428.34150601721,47164.08235285175,2.383770358657668,General
66,256,500,66,0.649432,0.723637,6.0,0.240238,168125.65437577493,46062.66618164537,3.649933195633563,General
67,2048,100,89,0.430902,0.107302,3.0,0.825334,171511.85224656307,64257.8823510501,2.6691177171007445,General
68,4096,300,79,0.404985,0.191272,6.0,0.600165,342401.44188261323,119772.56060949582,2.8587636445293376,General
69,8192,700,81,0.865154,0.543164,2.0,0.152786,370994.79428223893,143967.24459588702,2.57693890942772,General
70,512,600,10,0.770175,0.560932,6.0,0.477471,397935.1333736441,138267.09176342702,2.878017670715931,General
71,256,300,11,0.144749,0.21835,8.0,0.625963,178787.913708234,62574.02179586301,2.857222671278807,General
72,1024,900,72,0.816699,0.891594,7.0,0.412868,140383.3116344994,49356.56698249737,2.8442681535018752,General
73,512,500,8,0.753593,0.823164,5.0,0.346657,98502.53562023421,38492.97728304208,2.558974196668053,General
74,2048,300,56,0.443562,0.629253,1.0,0.240215,182711.96581178083,73704.1031609804,2.478993135737796,General
75,512,700,74,0.324086,0.508721,3.0,0.80494,457793.1799389621,160085.56591998626,2.8596780559702406,General
76,256,600,49,0.247127,0.32032,7.0,0.237052,220526.1094143202,41648.44252403256,5.29494252485118,General
77,1024,1000,56,0.66855,0.855126,8.0,0.465335,135209.47476571758,46583.35108963575,2.9025278689278347,General
78,128,200,21,0.898587,0.167287,1.0,0.177836,497899.92863135866,191083.23310921152,2.605670421887772,General
79,8192,900,28,0.384945,0.566966,10.0,0.577573,310403.78920004034,109810.59666555177,2.826719812345905,General
80,512,1000,76,0.100781,0.684158,2.0,0.294628,250729.20482727993,95329.4200934544,2.6301345857499423,General
81,8192,900,9,0.16733,0.639422,10.0,0.553734,253814.74209099443,79895.7452462611,3.1768242640289066,General
82,2048,200,77,0.406022,0.478461,3.0,0.397584,177097.8078119582,71920.41708618369,2.462413525768883,General
83,8192,1000,84,0.637089,0.821346,9.0,0.316851,144184.76125670382,56310.26740548294,2.5605412280934137,General
84,1024,600,11,0.845114,0.635967,2.0,0.127899,174420.05569735417,65218.27036418735,2.674404805944251,General
85,1024,500,68,0.561295,0.346421,1.0,0.244844,539181.3172584628,225638.66198292206,2.3895785966824774,General
86,256,700,41,0.724393,0.109709,6.0,0.825871,781010.2035022096,204801.33537490678,3.813501518788938,General
87,512,500,23,0.751468,0.820332,7.0,0.432396,116131.55862112703,46076.78175941884,2.5203921408288865,General
88,4096,500,43,0.741385,0.816935,1.0,0.424356,164256.63259691707,59493.939479229935,2.760896891930666,General
89,1024,400,75,0.345105,0.130823,1.0,0.425734,944844.4425517514,357146.4835977379,2.645537576161469,General
90,2048,400,60,0.626911,0.411008,5.0,0.21605,139818.90454712638,53413.753801267776,2.6176573372345118,General
91,4096,200,14,0.519277,0.703969,4.0,0.221614,76416.95972504612,31659.70487078124,2.4136977914652444,General
92,128,800,5,0.195699,0.78373,4.0,0.299127,182705.4236751326,84426.00544789649,2.164089402380754,General
93,4096,400,29,0.767607,0.842156,5.0,0.359853,133980.24200175176,68990.92324952882,1.941998101941139,General
94,256,400,94,0.788038,0.172852,3.0,0.585806,626157.1963795517,247363.16207008445,2.5313275879055306,General
95,1024,100,82,0.706248,0.373687,6.0,0.690721,119670.1522144692,41615.799165425524,2.875594236188341,General
96,8192,400,26,0.439094,0.227314,4.0,0.2362,316388.8003390961,120580.49917854788,2.6238803330098,General
97,128,100,78,0.440845,0.226428,9.0,0.831527,139384.0749620187,55501.21199264603,2.5113699315338778,General
98,2048,600,47,0.881356,0.15646,7.0,0.475287,368057.10738704423,142665.71307534835,2.579856781654722,General
99,2048,1000,38,0.631054,0.415076,3.0,0.831808,921036.2425209621,360336.3101181494,2.556046162039476,General
100,4096,800,30,0.71568,0.506146,8.0,0.308233,269898.6170359213,94133.54454054113,2.867188507064899,General
101,128,300,99,0.605718,0.676056,6.0,0.285135,107401.65693543878,35017.52520551622,3.067083019291154,General
102,256,300,1,0.798583,0.47718,7.0,0.485837,132469.91581017565,44842.51107758433,2.9541145807152205,General
