mu,beta,average,max
0.1,1.0,1.1291580764777236,1.744481230348343
0.1,1.5,1.5123322799264867,1.9257021399711771
0.1,2.0,1.9758529394466626,2.3721739233089
0.1,2.5,2.3974313090464094,2.7297737906509387
0.1,3.0,2.825215590102796,3.200204149708187
0.1,3.5,3.2349182299276915,3.691620556471316
0.1,4.0,3.545834718475443,3.872036631809305
0.1,4.5,4.010022662959436,4.41341458669804
0.1,5.0,4.327419659991715,4.649802073070534
0.2,1.0,1.163552096101832,1.755270352163281
0.2,1.5,1.502298580468589,1.77323277669432
0.2,2.0,1.964219019386295,2.2175776812855275
0.2,2.5,2.3849519955166825,2.5993530878440265
0.2,3.0,2.8131138162844262,2.9924648286688225
0.2,3.5,3.2232761963277103,3.4978073975452078
0.2,4.0,3.5347863315049377,3.816944783578495
0.2,4.5,3.9987918262950917,4.227707772130663
0.2,5.0,4.3178241242408895,4.644685015233155
0.3,1.0,1.4376348348999195,2.3090137667191573
0.3,1.5,1.5048297832864006,1.7949116835127092
0.3,2.0,1.9651596869407455,2.3012834906917043
0.3,2.5,2.3851075039633813,2.6348448874124486
0.3,3.0,2.8126944966210634,3.0758022728326786
0.3,3.5,3.221850092331348,3.503102207704068
0.3,4.0,3.5347888246464474,3.8017545516140663
0.3,4.5,3.9975568221215396,4.258808109123839
0.3,5.0,4.3177365565997645,4.646336912593963
0.4,1.0,1.9308469857415065,2.9906476319018966
0.4,1.5,1.5090804777873599,1.9165149403922117
0.4,2.0,1.965893163166823,2.151973887294169
0.4,2.5,2.3865548164605586,2.5876875646404724
0.4,3.0,2.8136174912233405,3.016612666122413
0.4,3.5,3.2227243181009144,3.4638534834064925
0.4,4.0,3.534951253884602,3.802530596948525
0.4,4.5,3.9973946149784867,4.209531554468628
0.4,5.0,4.318135356317409,4.644685015233155
0.5,1.0,1.878509737004595,2.800876885864405
0.5,1.5,1.5182446004075743,1.9918883419245716
0.5,2.0,1.9718748505203314,2.356886670320556
0.5,2.5,2.38573686692796,2.6257303340138174
0.5,3.0,2.8128886995178073,2.9998618874928304
0.5,3.5,3.2227752349134517,3.4416292500276624
0.5,4.0,3.5341588983984593,3.799442129342916
0.5,4.5,3.997476868750484,4.209366276049078
0.5,5.0,4.317974881066522,4.644685015233155
0.6,1.0,3.5709612131220623,5.263150972325132
0.6,1.5,1.5192971542212614,2.0699951905866274
0.6,2.0,1.9695453368193927,2.204481427254034
0.6,2.5,2.386014134728068,2.606133628243063
0.6,3.0,2.811939678397956,3.052113953753511
0.6,3.5,3.2218112801321683,3.416778880350141
0.6,4.0,3.5340578759904213,3.807420778203012
0.6,4.5,3.9986041687404175,4.232233156825343
0.6,5.0,4.3183617107305325,4.644685015233155
0.7,1.0,3.523028760246325,5.077409292962135
0.7,1.5,1.5209876574527461,2.010194482914772
0.7,2.0,1.9698624673698888,2.179840840076105
0.7,2.5,2.385081267703793,2.563376771844484
0.7,3.0,2.8126207123310962,2.988051909285238
0.7,3.5,3.222960645272636,3.416778880350141
0.7,4.0,3.534688710840825,3.8098023051432106
0.7,4.5,3.9977427849574805,4.21895633189722
0.7,5.0,4.317810641124285,4.644685015233155
0.8,1.0,3.4877568224405944,4.943566024009384
0.8,1.5,1.5215806158644802,2.066336825122417
0.8,2.0,1.9708418083679016,2.3021720242731285
0.8,2.5,2.3857122730036537,2.6128489854548875
0.8,3.0,2.812935893598224,3.027071379651194
0.8,3.5,3.222207516989493,3.4299050577762533
0.8,4.0,3.5344316596998118,3.820162171430665
0.8,4.5,3.997765647398487,4.20948125015142
0.8,5.0,4.317889120223844,4.644879050967595
0.9,1.0,3.4600220255467717,4.837037707904141
0.9,1.5,1.5227311277147486,2.0459038497355007
0.9,2.0,1.970323987434586,2.3138957118729344
0.9,2.5,2.385434033517298,2.5923450245295454
0.9,3.0,2.813186526442912,2.9703299826820326
0.9,3.5,3.2220809629123233,3.416778880350141
0.9,4.0,3.5344227086781403,3.818132803342048
0.9,4.5,3.998101050414216,4.279964791159461
0.9,5.0,4.317762375344099,4.644685015233155
