mu,beta,average,max
0.1,1.0,1.219782303110794,2.9770773017895653
0.1,1.5,1.5578011581228892,3.552728945736807
0.1,2.0,1.9724781566370102,4.469733297240701
0.1,2.5,2.302744603978737,5.337045233865452
0.1,3.0,2.735674785772883,6.615760594459379
0.1,3.5,3.095329262727294,7.223578037070979
0.1,4.0,3.389142958668213,7.948608418849337
0.1,4.5,3.60368400166609,9.169201807820755
0.1,5.0,3.8244995189544806,9.591898752720953
0.2,1.0,1.2170878612781622,2.4637977798705224
0.2,1.5,1.5365953017172718,3.552728945736807
0.2,2.0,1.9513403200881907,4.469733297240701
0.2,2.5,2.2847104954571944,5.337045233865452
0.2,3.0,2.719303779803111,6.615760594459379
0.2,3.5,3.0804395206436603,7.223578037070979
0.2,4.0,3.376357653028557,7.948608418849337
0.2,4.5,3.5916309818389665,9.169201807820755
0.2,5.0,3.8135160031762076,9.591898752720953
0.3,1.0,1.239916843980453,2.4637977798705224
0.3,1.5,1.539049477310301,3.552728945736807
0.3,2.0,1.9532755748249337,4.469733297240701
0.3,2.5,2.2842929516521804,5.337045233865452
0.3,3.0,2.7179005240111307,6.615760594459379
0.3,3.5,3.079345319561994,7.223578037070979
0.3,4.0,3.376000266886138,7.948608418849337
0.3,4.5,3.5913659272069576,9.169201807820755
0.3,5.0,3.8135642638777716,9.591898752720953
0.4,1.0,1.265873659487966,2.4637977798705224
0.4,1.5,1.5455694046819146,3.552728945736807
0.4,2.0,1.9575759117092812,4.469733297240701
0.4,2.5,2.2850511465187235,5.337045233865452
0.4,3.0,2.7180232790468137,6.615760594459379
0.4,3.5,3.078811201776093,7.223578037070979
0.4,4.0,3.3755257791020665,7.948608418849337
0.4,4.5,3.592181372825161,9.169201807820755
0.4,5.0,3.8137930218312994,9.591898752720953
0.5,1.0,1.2926676802748214,2.584660807764184
0.5,1.5,1.5530526160860647,3.552728945736807
0.5,2.0,1.9603583684163013,4.469733297240701
0.5,2.5,2.285635650009064,5.337045233865452
0.5,3.0,2.7179925742237696,6.615760594459379
0.5,3.5,3.0791685688213835,7.223578037070979
0.5,4.0,3.375436259741546,7.948608418849337
0.5,4.5,3.591965583233319,9.169201807820755
0.5,5.0,3.8143387916584306,9.591898752720953
0.6,1.0,1.3294632036725356,2.5165187248832
0.6,1.5,1.55930232028292,3.552728945736807
0.6,2.0,1.9595211810110646,4.469733297240701
0.6,2.5,2.285104665477863,5.337045233865452
0.6,3.0,2.7184435422089295,6.615760594459379
0.6,3.5,3.0779140675176713,7.223578037070979
0.6,4.0,3.3752252926045268,7.948608418849337
0.6,4.5,3.591302055731618,9.169201807820755
0.6,5.0,3.813728118625326,9.591898752720953
0.7,1.0,1.3688674277572186,2.9989178402604133
0.7,1.5,1.5634352402798724,3.552728945736807
0.7,2.0,1.9586436308168256,4.469733297240701
0.7,2.5,2.285295776672017,5.337045233865452
0.7,3.0,2.718009797269742,6.615760594459379
0.7,3.5,3.079600164031601,7.223578037070979
0.7,4.0,3.376270842992965,7.948608418849337
0.7,4.5,3.591749470088412,9.169201807820755
0.7,5.0,3.8134956671467757,9.591898752720953
0.8,1.0,1.434700333649184,3.212288133224195
0.8,1.5,1.5617433881551535,3.552728945736807
0.8,2.0,1.9590575963220624,4.469733297240701
0.8,2.5,2.284610792097671,5.337045233865452
0.8,3.0,2.719083075980989,6.615760594459379
0.8,3.5,3.0798609944755233,7.223578037070979
0.8,4.0,3.3751411340637536,7.948608418849337
0.8,4.5,3.5905666406562697,9.169201807820755
0.8,5.0,3.813394892010904,9.591898752720953
0.9,1.0,1.6113863623907698,4.384962833095764
0.9,1.5,1.5637202198009104,3.552728945736807
0.9,2.0,1.9588885820369597,4.469733297240701
0.9,2.5,2.285416224809614,5.337045233865452
0.9,3.0,2.7195747880463537,6.615760594459379
0.9,3.5,3.078651758326838,7.223578037070979
0.9,4.0,3.375473926791858,7.948608418849337
0.9,4.5,3.5919240744388645,9.169201807820755
0.9,5.0,3.812823279963575,9.591898752720953
