mu,beta,average,max
0.1,1.0,1.282525462264646,2.80802417546654
0.1,1.2,1.3828493921551868,2.4450117782680447
0.1,1.4,1.5329421782858295,2.5874464912921824
0.1,1.5,1.6154325687223987,2.7591567287608054
0.12,1.0,1.2970524355375006,3.0994375832183008
0.12,1.2,1.3841009850958048,2.918062849773423
0.12,1.4,1.532130300377063,2.6087363936869146
0.12,1.5,1.6146955005599097,2.7591567287608054
0.14,1.0,1.321637181474848,3.3165225848859743
0.14,1.2,1.388060727318065,2.445696385971856
0.14,1.4,1.5332606324185643,2.594949304257235
0.14,1.5,1.6145550244836617,2.7591567287608054
0.16,1.0,1.3482541635645338,3.654104044865425
0.16,1.2,1.3923882304552682,2.6476261875842897
0.16,1.4,1.5322923691296597,2.6062148330820065
0.16,1.5,1.6125579849943275,2.7591567287608054
0.18,1.0,1.3813385905564983,3.861376077771752
0.18,1.2,1.3962574945674948,2.4855816980486294
0.18,1.4,1.5348673910240465,2.5874464912921824
0.18,1.5,1.6141534486780842,2.7591567287608054
0.2,1.0,1.4138697534854268,4.197734264567131
0.2,1.2,1.4006942111014742,2.5807453136677503
0.2,1.4,1.5357447187861395,2.603105589120418
0.2,1.5,1.615007305786457,2.7591567287608054
0.22,1.0,1.4397661543488571,4.2130806759253625
0.22,1.2,1.4043465807353857,2.6943871061380857
0.22,1.4,1.538505153087396,2.6304446043124354
0.22,1.5,1.6153898942241776,2.817920829909495
0.24,1.0,1.4635723452026064,4.346815971304483
0.24,1.2,1.4084912401657965,2.92019229848496
0.24,1.4,1.5392043022207362,2.664863507776282
0.24,1.5,1.6161604490063435,2.7591567287608054
0.26,1.0,1.5063346873020218,4.637999450141725
0.26,1.2,1.4125571553331002,2.6019360957246085
0.26,1.4,1.5415169015549188,2.5874464912921824
0.26,1.5,1.617886545175009,2.7591567287608054
0.28,1.0,1.5275812814913536,4.827228484353926
0.28,1.2,1.4169234479428428,2.932217984465828
0.28,1.4,1.54125884788483,2.697272129533299
0.28,1.5,1.6202393298534408,2.7591567287608054
0.3,1.0,1.5605105408089197,5.127923080119142
0.3,1.2,1.4187488563541024,2.714609143398487
0.3,1.4,1.5435035669524373,2.660523250608548
0.3,1.5,1.6218802063918245,2.7591567287608054
0.32,1.0,1.5808914912645864,5.24489276142286
0.32,1.2,1.4232177179028003,2.8215864091711245
0.32,1.4,1.5449686707872268,2.5874464912921824
0.32,1.5,1.6219899062334582,2.7591567287608054
0.34,1.0,1.6489889814045835,5.513970698889219
0.34,1.2,1.4265036626514334,2.71619694224948
0.34,1.4,1.547820287606714,2.5874464912921824
0.34,1.5,1.6220470359430854,2.7591567287608054
0.36,1.0,1.6721362740386057,5.806020088422362
0.36,1.2,1.430906986717599,2.7546122459672464
0.36,1.4,1.5473312165097788,2.680543429512855
0.36,1.5,1.62287830142873,2.7591567287608054
0.38,1.0,1.6881153367894075,5.876149582316674
0.38,1.2,1.4334450692510772,3.0602473612475536
0.38,1.4,1.5486212635973657,2.5874464912921824
0.38,1.5,1.6235134095319799,2.7591567287608054
0.4,1.0,1.7181674794348991,6.2274162834817135
0.4,1.2,1.4361633521155241,2.790591877175217
0.4,1.4,1.5521670125016598,2.5874464912921824
0.4,1.5,1.6262063240619264,2.7591567287608054
0.42,1.0,1.7382196887142847,6.222243739778038
0.42,1.2,1.44009928702904,2.847092464227324
0.42,1.4,1.5520029276201404,2.9269985815218744
0.42,1.5,1.627007790474182,2.7591567287608054
0.44,1.0,1.7677978463412287,6.310413273828265
0.44,1.2,1.443197655432245,3.329555836113568
0.44,1.4,1.5534625160224695,2.5874464912921824
0.44,1.5,1.6274182768999865,2.7591567287608054
0.46,1.0,1.8053690910643945,6.510466409870019
0.46,1.2,1.4472169375833537,2.9044243669600824
0.46,1.4,1.555833468757937,2.5874464912921824
0.46,1.5,1.6288713297443127,2.7591567287608054
0.48,1.0,1.8370825773760144,6.92732626384256
0.48,1.2,1.4499563329258511,3.0500554659448813
0.48,1.4,1.5577412307750433,2.7079790936213364
0.48,1.5,1.628947971822872,2.7591567287608054
0.5,1.0,2.027707508832888,8.589849132487027
0.5,1.2,1.454030303161782,3.0487351644528893
0.5,1.4,1.5590645882626182,2.6664664893769343
0.5,1.5,1.6302729755349188,2.7591567287608054
