P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
1,256,1000,11,0.103925,0.694013,7.0,0.897745,145868.325785504,57777.80426717701,2.524642942659736,Roofline
2,2048,100,81,0.715367,0.100106,10.0,0.419858,8689.041712438902,3640.539966099324,2.386745316175947,Roofline
3,4096,900,66,0.699821,0.486548,10.0,0.494553,86090.06398771422,48637.05132204572,1.7700510546512545,Roofline
4,128,700,95,0.252105,0.328997,9.0,0.241537,156528.27312849148,88319.11812272701,1.772303397674125,Roofline
5,2048,800,48,0.380232,0.567173,4.0,0.771939,28833.69166465874,13987.081628593165,2.061451590138383,Roofline
6,512,500,38,0.15137,0.33787,3.0,0.636078,62121.737325746304,19527.506587119267,3.1812426767646333,Roofline
7,512,600,73,0.230985,0.420942,7.0,0.713594,49947.75659371082,17597.435126032324,2.838354353119442,Roofline
8,1024,500,66,0.649432,0.723637,6.0,0.240238,20390.222999424932,7779.4258994893435,2.6210446969825094,Roofline
9,128,700,5,0.119244,0.5906,4.0,0.106685,95818.02735343903,80381.02878996896,1.1920477853525122,Roofline
10,1024,800,91,0.398424,0.585032,9.0,0.102732,90523.58752921586,40477.23944572463,2.23640714556628,Roofline
11,2048,700,31,0.799942,0.889956,10.0,0.787336,10352.266640099464,4808.2961358245575,2.1530010522790297,Roofline
12,128,100,58,0.314204,0.786132,9.0,0.395892,14326.479741397068,10645.916249895912,1.3457253847490245,Roofline
13,8192,300,36,0.562432,0.233763,10.0,0.153198,12040.911554466005,11243.031887069747,1.0709665929449044,Roofline
14,128,900,3,0.534845,0.213005,5.0,0.132059,127297.56599535178,104665.32399588726,1.2162343853285529,Roofline
15,512,800,26,0.767861,0.447614,5.0,0.851934,38539.91761616454,23019.496724261815,1.6742293751168198,Roofline
16,256,700,71,0.336017,0.524537,2.0,0.841195,102413.43070535576,41954.4486844889,2.4410624836364327,Roofline
17,128,500,53,0.749981,0.820907,9.0,0.340066,73020.041373607,60721.73929836985,1.2025354052328228,Roofline
18,8192,800,8,0.360628,0.835771,9.0,0.354204,60613.90754396518,23357.491359349504,2.5950521231683013,Roofline
19,8192,700,27,0.424576,0.603897,7.0,0.617383,85854.99076023028,28301.923922736623,3.0335390270503075,Roofline
20,2048,300,34,0.577643,0.761176,7.0,0.372643,4836.231079893758,2247.2203009590917,2.152094780306898,Roofline
21,4096,300,76,0.699195,0.767005,6.0,0.690699,58297.8506069721,18791.97786543751,3.1022732691801633,Roofline
22,256,200,73,0.211051,0.283267,10.0,0.696614,15080.005422635246,11071.647141560003,1.3620381168063909,Roofline
23,128,1000,59,0.376573,0.759818,2.0,0.76305,142210.0544284726,117138.12384079055,1.2140373241913862,Roofline
24,256,800,29,0.613703,0.797571,8.0,0.60255,57751.1044344457,45756.00423896359,1.2621535773280583,Roofline
25,1024,400,93,0.771915,0.559915,7.0,0.477874,19985.68426234061,7166.656446433914,2.788704106541254,Roofline
26,4096,500,66,0.649432,0.723637,6.0,0.240238,17972.631944542132,4805.386972770705,3.7401008589698272,Roofline
27,4096,600,90,0.79804,0.581244,7.0,0.389738,55103.06202428551,23880.618799658405,2.3074386173390833,Roofline
28,512,500,51,0.846688,0.52166,9.0,0.837665,33620.67561328967,15370.262172807743,2.1873846545551836,Roofline
29,256,800,20,0.352643,0.137693,5.0,0.148824,73539.15386735895,44281.972117340025,1.660701869205196,Roofline
30,8192,800,22,0.262714,0.843831,7.0,0.855421,33207.01282301366,14182.381886524709,2.3414270669558737,Roofline
31,8192,100,33,0.728034,0.112467,2.0,0.434197,30783.03919639868,12790.251471577614,2.4067579331653084,Roofline
32,512,600,21,0.830316,0.216257,9.0,0.535044,28415.29773308962,17765.650851210507,1.5994515467556583,Roofline
33,4096,300,59,0.145154,0.216152,5.0,0.227988,15451.77833050161,5615.547580179814,2.7516066972772104,Roofline
34,512,100,30,0.311593,0.494797,1.0,0.411192,5776.670922232775,2870.5848025105342,2.0123672769327903,Roofline
35,512,400,65,0.341813,0.131667,6.0,0.445843,22878.602449385315,11564.413894818357,1.9783624710662149,Roofline
36,512,600,87,0.701721,0.485789,10.0,0.896196,27640.300273101242,17773.162246597,1.5551706494095325,Roofline
37,512,200,34,0.193941,0.777444,3.0,0.390147,9100.192290359013,5972.423269327913,1.5237018342444228,Roofline
38,256,100,19,0.894956,0.277955,6.0,0.168629,9377.461890133727,6494.558298474479,1.443895251865923,Roofline
39,2048,200,22,0.81636,0.60347,9.0,0.214718,2914.892857781383,1443.118402629961,2.0198570349246725,Roofline
40,512,600,12,0.428009,0.498308,10.0,0.506425,26974.952036758317,16466.931178128707,1.6381286679928746,Roofline
41,2048,900,43,0.238553,0.709156,3.0,0.720007,117335.28750863216,57414.53305517278,2.0436513416538324,Roofline
42,8192,500,56,0.178558,0.3637,3.0,0.260735,49797.165836636166,16909.55641454567,2.9449126053833345,Roofline
43,4096,200,90,0.517281,0.702481,8.0,0.62128,6669.97490469104,2099.0704445124884,3.1775850696807604,Roofline
44,512,900,13,0.562432,0.233763,7.0,0.153198,114225.12141791888,36229.89010099189,3.152786859124137,Roofline
45,256,200,50,0.733229,0.521202,1.0,0.840543,40296.61179503543,14079.70693242848,2.862034841238349,Roofline
46,512,300,76,0.699195,0.767005,6.0,0.690699,61578.494545781476,18792.747664677147,3.2767158717042975,Roofline
47,512,200,19,0.278484,0.749344,3.0,0.268131,7569.8566615330565,5961.120315784115,1.269871477260618,Roofline
48,512,800,67,0.467215,0.250236,2.0,0.546734,167893.13556362008,56763.63041900519,2.957758943962952,Roofline
49,128,500,88,0.614454,0.398912,3.0,0.295666,80816.90613629864,54786.42545726555,1.4751264653930993,Roofline
50,8192,800,36,0.54861,0.334123,4.0,0.231242,89598.29815102971,42807.93117912615,2.0930303259952754,Roofline
51,1024,900,57,0.861978,0.65095,2.0,0.852374,42783.586965456125,17795.006342265573,2.4042467950033406,Roofline
52,256,900,9,0.16733,0.639422,10.0,0.553734,60959.77007981624,51014.16896254326,1.1949576229414902,Roofline
53,4096,500,26,0.485154,0.675732,9.0,0.478628,46006.420512969904,17249.52878958448,2.6671117265968016,Roofline
54,512,100,51,0.859956,0.135467,8.0,0.542046,5538.1043184388445,3896.8886889867795,1.421160510458099,Roofline
