P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,9804.386836784255,4118.24998149955,2.3807167803869573
256,400,34342.338060621056,23531.7252532983,1.459405874025641
8192,800,39289.33455616228,14795.02099803586,2.655578154392495
128,1000,141542.87574320563,119404.61005167401,1.185405451949895
2048,600,114576.45865713312,91443.0979502153,1.2529809381514216
256,900,65187.283568258616,51518.201495127876,1.2653252962338648
256,100,5850.835443749005,4679.130547151785,1.2504108155970224
4096,300,2053.7840188729224,942.5154884959478,2.179045377970733
256,200,22627.324590408574,11080.525409985707,2.0420804748136723
2048,400,56026.87430430784,16659.391108001237,3.363080555651223
8192,1000,67250.92653956867,31785.267802615333,2.1157892064082335
1024,500,47579.77219768349,10972.920970408175,4.336108163541581
256,600,66618.3345842626,34696.429261633115,1.9200343090615477
8192,900,64749.32835189943,42072.74163946224,1.5389852391071093
8192,700,86064.8210907775,28301.923922736623,3.040953022336284
256,1000,69842.89620465403,58863.7101663512,1.1865187567565008
8192,900,74203.53826872093,26446.50237773516,2.8057978030089745
2048,700,69327.54130312614,31784.101151865783,2.1812018836674416
1024,600,39499.289093487896,16874.141147700775,2.340817748752206
4096,1000,54006.88299717979,25339.795717781904,2.131306960745587
2048,200,16939.18400181351,5118.145442873633,3.3096331846917657
512,800,49709.829187480726,21229.958775728857,2.3414943812472906
128,200,83907.41305163855,28092.671302858154,2.986807916807178
2048,800,66833.60824238576,26497.37844693629,2.5222724722080296
512,100,60253.99917090367,52844.49103612885,1.1402134449494286
1024,100,11707.030571133475,6901.431727873591,1.6963191164886802
512,900,56763.46894640483,24134.145646769488,2.3519982756879974
256,800,115552.0509288879,46337.580997070676,2.4937005437593465
1024,100,51903.26392570155,16558.912626923186,3.1344608849080995
1024,700,76563.61292375691,15601.0663687365,4.907588437492024
256,300,22701.291688613634,17275.812740351696,1.3140505763638815
1024,600,77676.96978890797,70364.7320429823,1.1039190732860176
8192,200,8436.775788508208,2650.3651611722858,3.1832503355034025
1024,300,9639.136801611254,3799.3333703103463,2.53706002135419
4096,900,28278.272294874278,12984.521812166118,2.177844721888669
512,900,90118.90069743602,39234.60108057627,2.29692409800111
