n,Paper,Min Time,Time opt
100,3234862,2606403,1079723.6792415574
100,1874823,1743815,592396.3306295157
100,1767377,1273210,553503.4531720568
100,3071865,2185662,972671.2378176406
100,3229284,2463931,1029539.914417069
100,2662532,2347410,880961.1683245673
100,2336235,1942282,772360.5321718067
100,2828588,1987722,922100.5029065368
100,2077279,1309500,663607.9376548245
100,3209164,2399907,1052746.6962905277
200,4601137,3860320,1458821.3186898292
200,6126434,5219372,1957434.7416384663
200,4351010,3792299,1390912.6822931762
200,6884649,4924679,2315524.9230190013
200,3450642,3926746,1112234.3469200148
200,3474732,2839204,1093498.0015917444
200,4701728,3397214,1486982.8490535303
200,4127513,3358879,1343716.9944222036
200,5681386,5009408,1883379.458949216
200,4582162,4247493,1546552.0436082871
300,6442945,6148196,2127247.4609801252
300,7285494,6712197,2367140.849521286
300,5979104,5697377,1936403.216873784
300,5622768,4695838,1832485.36535629
300,6933741,7463762,2220235.8751083305
300,6633251,5734550,2162696.935477796
300,6190393,6826890,1974461.3674553274
300,5497235,5790814,1791016.2523410537
300,6373550,6835838,2042947.916644419
300,7413474,7076683,2368757.1557257185
400,7131326,6611044,2318688.3586312896
400,8848407,8045008,2870929.862229905
400,7732879,8774801,2522231.2886915826
400,6540002,6248931,2089336.5265773719
400,6610660,6796247,2125698.3362860107
400,7366506,9840693,2403937.651387354
400,7944813,7459522,2613230.537413013
400,7882789,9038882,2532514.502647448
400,7047051,7520470,2247459.169733621
400,7818928,8432498,2521387.6859401213
500,8433048,8732862,2731507.445667894
500,8210590,9308307,2718915.698283106
500,8356669,8887051,2723001.5669795102
500,9570046,10542539,3142669.1079426724
500,8160447,9383096,2679601.8410390792
500,8807445,8332544,2895423.382710828
500,8682428,9560579,2807507.3294283
500,9676482,10477204,3097935.8836667743
500,8823559,9458910,2789715.535468213
500,9704227,10706024,3212905.019722738
600,8575739,11053133,2831535.6675103214
600,9973486,12766320,3278189.309794822
600,12618813,12087567,4110375.017428364
600,10954496,11373088,3606263.367868138
600,10889808,13099904,3586587.886616233
600,11003895,12571491,3562888.9414081895
600,10564788,10945472,3385676.415104532
600,11104080,11334794,3634056.5363090113
600,10340966,11736395,3400969.428013816
600,9590247,11365958,3124196.4644510453
700,10122541,13539402,3236667.6044345642
700,10115565,12696230,3264512.8012480508
700,11945356,12803999,3949027.8075443623
700,13566625,16602724,4383308.531263337
700,11372440,15047669,3690111.2630933668
700,11536260,14025425,3766720.6220191075
700,14344913,16806591,4726408.046160072
700,11682301,13519075,3825664.9794409233
700,11479639,15003829,3776110.2701605237
700,14470621,14854650,4613103.047090153
800,12560875,17878353,4104226.6575616333
800,11916388,15434429,3944747.8435629765
800,12746343,15294163,4143146.2030461463
800,12384245,14182292,4068527.4347248618
800,16519536,17909621,5315696.489306995
800,12468193,16090388,4071040.9442210984
800,12587481,15243059,4078950.863728473
800,11021226,13239726,3604753.6651605023
800,10954703,16580370,3591744.4337665956
800,12911068,15902324,4184173.1831389796
900,13818187,19397119,4525034.604559596
900,16653232,22921071,5470715.611376583
900,14715301,17516542,4737655.376702885
900,14063048,18478211,4635824.510357467
900,14225625,19621800,4654814.691656491
900,14011246,18198481,4518121.76291103
900,10896442,15031381,3484971.2658623625
900,14450000,17239647,4738202.892276368
900,12930446,16818004,4190266.950907785
900,13909200,17286583,4552563.408030332
1000,15584728,20943923,5148458.703339609
1000,14990002,19136162,4930256.764404072
1000,17520683,22019973,5642269.088843122
1000,14969246,18438347,4934568.309130408
1000,15614335,22061950,5040873.36662108
1000,14197649,18453272,4708842.561350857
1000,16129913,20513876,5193135.168889121
1000,15459118,21848481,5136179.374925437
1000,17255627,23520293,5707263.777720811
1000,13497811,17157181,4490150.680989324
