P,n,Paper,Min Time,Time opt,mast
100,300,9184720.363577908,6281795.328494753,6281795.328494752,1.4621170992176782
100,300,8768592.085705537,5964398.6854727,5964398.6854727,1.4701552575723893
100,300,9157249.639061868,6320825.874671792,6320825.874671788,1.4487425884892555
500,400,2493653.2032425995,1671430.2580224029,1581058.717776285,1.577204676338557
100,300,8830371.918896452,5952079.080720092,5952079.080720092,1.4835777211864831
100,300,8932416.451906914,6053141.231729096,6053141.231729104,1.4756662879572915
1500,100,181619.36599662015,192710.36340225188,135264.95191661385,1.34269345771536
500,400,2389048.828316237,1640014.7687079185,1522565.3581621868,1.569094433620859
100,300,7955971.269772668,5464458.386796749,5464458.386796751,1.4559487339122066
100,300,8797122.935805697,5986732.056853284,5986732.056853285,1.469436556081582
400,800,5843996.652952877,4289918.367925511,4084130.094688149,1.4309036483812363
500,400,2501723.559212783,1672094.7338245146,1581558.9856663288,1.581808571090871
600,400,2123287.6107366025,1442376.1249629878,1317548.9314802375,1.6115436474538636
2900,500,495923.3995475167,599967.4115697535,352238.57365959714,1.4079190543928797
100,300,8879372.467254858,6065810.963995082,6065810.96399508,1.4638392986461786
1500,100,176855.1927641073,221264.2649719521,132074.59556803893,1.3390553421986398
200,400,5769040.409478027,3975616.4162671324,3952646.7944407123,1.459538559729653
100,300,8747510.73973981,6044914.614323587,6044914.614323587,1.4470859057317944
1500,100,192115.2890205207,230515.1232894796,135657.59205852254,1.4161779381845607
500,400,2447329.105769845,1674211.44921024,1561478.9135929714,1.5673148605884966
100,300,9268387.598873708,6187392.639988628,6187392.639988627,1.4979472191521928
3800,600,443218.66122358316,505283.1201691066,320033.938090515,1.3849114374183276
1200,100,260048.0082054745,225534.79380641587,169081.18989576728,1.5380067313566053
1200,100,258723.90258847756,233018.53679054664,165093.24446004868,1.5671380342342645
500,400,2573045.223704717,1818323.2049207385,1660956.4211757525,1.5491346978768523
200,400,5491601.702353113,3831634.55859818,3806413.395405467,1.442723407021884
1500,100,197807.20810030942,244942.1031422054,135704.79963632452,1.4576286810076964
1200,100,245956.8570062701,262197.9645347002,169571.99007315317,1.4504568643687237
1200,100,260669.36592040778,268405.4871088129,169630.99954540562,1.5366847251915985
400,800,5866857.643468787,4355308.9000990745,4106611.687692959,1.4286370588802155
