P,n,Paper,Min Time,Time opt,mast
800,300,17764.89376150828,923304.2425580287,785224.416061844,0.022623970164612307
3000,100,17815.05515769557,112141.16644724009,67632.47595830692,0.26340977326747483
1300,300,11298.145503517339,653526.9687855967,483215.02526882704,0.023381196595101406
3800,100,13288.663076482895,87285.0121865179,53394.05996708441,0.24887905292601642
900,400,0,1036178.3488809014,878365.9543201583,0.0
800,300,9532.774810903027,875901.024105965,745549.8356840875,0.012786234205465452
3000,100,57633.76684494002,134596.9568971559,82865.58990685953,0.6955090395147137
1300,600,11498.071697797071,1202307.615409845,935483.819033813,0.012291042842058474
3200,300,11298.145503517339,377156.7885179348,196306.104015461,0.05755371469563423
3800,100,58434.7382063072,95939.48815339454,82739.16147748545,0.7062524826554853
3500,500,9027.451361883466,494937.07890095434,291854.8181750948,0.03093130830708971
3000,100,38969.05719944939,177562.64236978785,67828.79602926127,0.5745208448435113
3600,300,11298.145503517339,279672.6228317347,174494.31468040976,0.06474792903258851
1300,300,9532.774810903027,633217.8020712627,458799.8988825153,0.02077763058388136
800,300,0,917862.1907567299,790103.2343339735,0.0
3800,100,38969.05719944939,132893.8869979255,54290.25884700422,0.7177909633709498
900,400,19365.794836719844,1016937.4115049604,845869.6434234371,0.02289453816824757
3000,100,4151.651947921072,136329.6403711191,70274.43572592597,0.05907769881088387
3300,400,31192.274877263713,400692.98003283073,239554.35117822498,0.13020959428976145
3800,100,22176.554937765166,110333.5815258668,70156.3045836674,0.316102096160406
2300,600,20589.14531988919,862154.292070293,528751.7238017203,0.03893915498157323
1300,300,509.65343954380444,649727.5274375638,486217.37497475295,0.0010482007961362312
800,300,14524.999041890635,866026.120535396,744009.8850900114,0.019522588789439778
3200,300,9532.774810903027,369166.64967210504,186387.45892102187,0.05114493682186181
3000,100,9388.900373650635,127608.32892500241,69607.94643997772,0.13488259392548801
3800,100,15462.790475959784,94099.74647470521,54953.641926298194,0.2813788119211082
2400,600,24552.709305788885,799355.7681423144,506720.40197664866,0.04845415580271101
900,400,18846.383058687614,1071818.6661143429,878643.8809257383,0.021449398860925412
3000,100,8967.640728595836,126312.79413414268,67935.02440692892,0.13200320168989585
1800,900,14870.223093333909,1405517.7890353687,1000350.3492479969,0.014865015146455884
