P,n,Paper,Min Time,Time opt,mast
3500,200,240847.65068240362,181878.46227256535,115335.1780139038,2.08824102784468
300,600,4563741.184316412,4153571.0770513476,4053763.2158131893,1.1258035907262334
4600,300,590753.1612183128,224426.25939415413,142348.1066563424,4.150059843398637
2700,300,606379.5085749263,398724.1751113114,232659.08624054634,2.6063005678101487
3000,300,608989.5921361551,364598.16765467916,209393.1776164917,2.9083545083380566
3500,200,426833.73948053987,242929.0584896711,122699.99333056761,3.478677772464108
700,600,2022241.3163298955,1973258.4781623299,1737327.092491367,1.163995729456999
2200,400,588831.1517611372,574521.3698933762,359331.52676733746,1.638684913228885
300,600,4567536.439388919,4233676.354549436,4077147.1849470837,1.1202775451061378
3900,400,545608.1014039137,347775.561533875,202699.83561234424,2.6917047059049843
400,900,5057898.588549714,4665646.08855404,4501576.5716159865,1.123583817376679
3500,200,484438.94523002644,250795.26160285872,137320.72161632078,3.5277920151305855
1700,700,1218759.4064038661,1242734.033658281,838377.3233659515,1.4537122754116738
4600,300,593664.2535995194,213778.4250901382,148288.0517849619,4.003453052714013
2700,300,611657.4922152684,381890.88725080877,220903.65501750738,2.7688880574058063
600,900,3338552.971956729,3237646.7225222457,3001051.047743991,1.1124612406931402
300,600,4329112.922093208,3981651.8688772856,3860325.03517347,1.1214374133391263
3000,300,604682.1782444295,402944.3397587409,198813.28951575665,3.0414575389665104
1600,800,1436154.49363945,1435422.5306465821,1021032.5236720373,1.4065707608161881
3500,200,629181.6158087847,280653.9994025298,154001.93236168398,4.085543643251885
2200,400,673579.4481089169,543367.4555455766,346037.581400497,1.9465499827584607
700,600,1983210.6770864443,2036059.958382254,1747348.7935487502,1.134982714617998
4000,700,966036.3325028595,566270.72837599,356310.36243052944,2.711221548296142
2700,300,567669.4953304891,402426.8526650325,234104.66202488105,2.424853441278996
300,600,4708481.122764805,4383031.0249325,4179014.350067403,1.12669656726325
3500,200,503308.21948614455,232575.14716057878,112828.85828240226,4.4608110650769985
1700,900,1371094.894724767,1460068.065001825,1059194.4874390557,1.2944694397341805
4600,300,564459.5212077632,213393.2191607853,143441.4983667211,3.9351200847377634
3000,300,564840.8698932426,371007.58123698726,210694.19582239294,2.6808563363054465
3900,400,627331.7674708335,331627.31183930166,195200.6869438701,3.213778482507198
1900,900,1235475.6887096427,1391640.469455165,947700.3308665234,1.3036564918997062
3500,200,279794.7521115759,193058.8218517334,110459.15028481373,2.5330156115644407
700,600,1976745.660973957,1991466.7048630863,1654425.0150743444,1.1948233633817056
300,600,4642842.480544537,4280155.035267764,4180790.0424581664,1.110517972295662
400,900,5241528.455266242,4900501.962960994,4628877.507123154,1.1323541068434646
2700,300,539084.8964510376,411976.4944603618,220447.37336000337,2.4454131080558654
2200,400,745358.4228159753,580726.1675937832,359445.2240150747,2.0736356279551393
3000,300,529417.5113365089,386169.35585127916,198402.63602400303,2.668399583523977
1700,700,1142189.5511411156,1208817.847273757,831766.7833616717,1.3732089018087956
600,900,3515000.705470288,3407812.219925276,3085918.3380821026,1.1390452761153946
300,600,4633774.388415766,4192962.8919666866,4100133.1797747198,1.1301521646353856
4800,800,1202761.410696208,496049.6700897963,340344.17455734574,3.5339562143542746
3500,200,318494.00222465803,192241.71046696985,112824.19494943091,2.8229228878381156
4600,300,525557.1357722332,217894.28278109012,130823.99861272547,4.017283841996185
