P,n,Paper,Min Time,Time opt,mast
400,200,1415271.1418216573,1032554.546675251,1009182.8076216583,1.4023932345389707
400,200,1442807.1832162281,1127302.055566992,1073624.9416424667,1.343865187231003
400,200,1319439.5074845233,1097504.3243526244,1015447.7110268429,1.2993672575718125
400,200,1348144.5479116119,1167214.0313923152,1027175.9361826731,1.3124767631548737
400,200,1213206.5982471143,970417.7988940804,889338.8476439357,1.3641668768447248
1500,500,917779.8277782636,1016118.2857523131,680994.5757418879,1.3477050485731366
400,200,1314682.617073895,1007766.8334978623,966517.5649921201,1.3602263059591817
3600,300,413276.29073530104,297348.2637337171,174494.31468040976,2.368422670344451
400,200,1394709.8052900685,1008897.7753026065,987211.7058075204,1.4127768107745666
400,200,1432471.6483131286,1166916.7595278139,1083289.5734068304,1.3223349356240528
900,200,514459.65619654855,490167.5498045271,448525.6922762926,1.1470015320318385
400,200,1316255.1883615747,1034565.7834132437,1002767.805332551,1.3126221058972478
1500,600,1001351.0000495537,1111339.7286621057,810752.6431626378,1.2350881720760318
3000,400,427686.44496383244,450335.8462803378,263509.7862960475,1.6230381838014019
400,200,1366451.9465490556,1146261.2832376885,1063507.1329720933,1.284854519715677
1500,500,880440.1355690816,909117.0985481078,665668.3560278681,1.3226408129459322
3600,300,415217.0941913771,305588.0684304191,165677.74126313053,2.506173074462226
1300,800,1601366.9782025828,1733967.922613361,1256655.4137501998,1.274308741028434
1100,400,859938.985868543,887995.9807229292,718663.0535346749,1.196581599177829
900,200,620290.168707999,587205.8150460112,477166.6407299852,1.2999445387864055
3000,400,448582.33116308454,439474.65139072004,253760.89302703115,1.7677362568049466
1500,600,1040004.5166141415,1194971.6626554928,815429.4369894167,1.2754071283639954
1500,500,896247.6396866026,920924.1177087458,651305.3816708076,1.376078971414975
3600,300,433461.8245623041,321183.46608822123,175578.49651866077,2.468763733355212
3800,900,802996.995802755,769419.4871025699,473850.1654332617,1.6946221704249909
2500,600,694959.3454795567,798652.6777724185,486451.5858975827,1.428630033546387
300,700,5541837.031050081,4886609.084650114,4750804.832407059,1.1665048821300947
3900,300,398367.65910437016,272579.470343809,161071.67508960902,2.4732322357903476
1300,800,1491305.6037203541,1651121.0144944612,1263572.8269824488,1.1802292451015715
1500,500,988154.198010312,1046711.204937234,695183.7690020413,1.4214287531897345
3000,400,529760.0074374034,465699.2911789831,263593.1642777215,2.009763830139574
900,200,598181.5924847862,592434.88018967,451310.0937897079,1.3254336668204774
1500,600,1045546.2578107408,1173780.3846765924,772065.0070346941,1.3542204973470031
3700,300,409656.17456272943,302393.019069087,169778.25212147977,2.412889574747254
3600,300,390389.4863701282,300447.97492067254,165335.53002000254,2.3611953602646585
4400,1000,929109.3184147846,632176.388188703,465210.1310813914,1.9971820395550053
1500,500,867767.652605679,930626.5383808393,661962.9561917708,1.3109006244063701
1100,400,833715.1013919231,841945.966857611,692075.162800994,1.2046597627021873
900,200,592983.266849529,634219.7509527786,456522.63830341026,1.2989131690232312
