mu,beta,average,max
0.1,1.0,1.2197221051892289,1.6659364801385288
0.1,1.5,1.275135674857936,1.9466119438761047
0.1,2.0,1.397998069098943,2.3218910335367777
0.1,2.5,1.4942779912454462,2.7199933602910287
0.1,3.0,1.6370163868433123,3.150925016318457
0.1,3.5,1.747611374549701,3.356572866389839
0.1,4.0,1.8797930185453382,3.6748484618329096
0.1,4.5,2.08344151905923,4.393922379881534
0.1,5.0,2.163716472029317,4.949005252614946
0.2,1.0,1.1186590559520424,1.4291056988950297
0.2,1.5,1.2029628125268355,1.654306126237003
0.2,2.0,1.2735277390950008,1.919838154970028
0.2,2.5,1.4033542442162896,2.3911437858503635
0.2,3.0,1.5669992001179316,2.966475065733043
0.2,3.5,1.7415086565567048,3.317761948676464
0.2,4.0,1.7203961228305165,3.7785578581419967
0.2,4.5,1.9857078457127004,4.305118568249775
0.2,5.0,2.314437251167061,4.86099193683395
0.3,1.0,1.1785431801048292,1.4247142942540525
0.3,1.5,1.2551750557271213,1.7064883742885704
0.3,2.0,1.306898130844497,2.051674299555718
0.3,2.5,1.3801220916522103,2.4716388321353597
0.3,3.0,1.531606474856097,2.7099707519129645
0.3,3.5,1.7182690573733321,3.1866803062210103
0.3,4.0,1.810825801071949,3.3359936444582985
0.3,4.5,1.965905587190716,4.298387438743827
0.3,5.0,2.063921975976211,4.820010822884387
0.4,1.0,1.2573096382149853,1.4964979769799325
0.4,1.5,1.2912075001065846,1.6678800510166267
0.4,2.0,1.3825826715699119,2.018229974585362
0.4,2.5,1.4812939969888799,2.40853487008262
0.4,3.0,1.6905810181443979,2.918807386568912
0.4,3.5,1.7083408116724406,3.288086398232432
0.4,4.0,1.9109282251824267,3.765364026131061
0.4,4.5,1.9561693519870118,3.7264909072642
0.4,5.0,2.319333619496866,4.820010822884387
0.5,1.0,1.2076598293482537,1.5915837569703208
0.5,1.5,1.271485576333966,1.7455258052075038
0.5,2.0,1.36107570721215,2.0597161628101195
0.5,2.5,1.4742692165373197,2.44836015680343
0.5,3.0,1.6181324454400945,2.910497842437593
0.5,3.5,1.6822885665240161,3.27855854215079
0.5,4.0,1.7412102693442406,3.5806835975176807
0.5,4.5,2.0224350162971167,4.298387438743827
0.5,5.0,2.201754236071758,4.820010822884387
0.6,1.0,1.4727645682202808,1.6671942555706347
0.6,1.5,1.4653874218997225,1.7811787813988686
0.6,2.0,1.5399212683708638,2.015118252526035
0.6,2.5,1.4647502342153012,2.4137822603305232
0.6,3.0,1.5843211311044407,2.776065573789816
0.6,3.5,1.7272837042862397,3.139381808495485
0.6,4.0,1.7443960506564538,3.792383714640264
0.6,4.5,1.9920526692103373,3.8786982730660537
0.6,5.0,2.115849755615612,4.820010822884387
0.7,1.0,1.397084910706454,1.6165361976802832
0.7,1.5,1.4321718055336827,1.8194940282732788
0.7,2.0,1.4900356069626857,2.056203590767858
0.7,2.5,1.4872785568561626,2.503290425123303
0.7,3.0,1.6451448060931526,2.8130787844707386
0.7,3.5,1.6575267235094835,3.1730322613212314
0.7,4.0,1.737090748547073,3.7720907738468714
0.7,4.5,1.952473640568003,4.059102843906335
0.7,5.0,2.092511199975945,4.212304734967104
0.8,1.0,1.366665922173032,1.6917835827020842
0.8,1.5,1.4222745940036445,1.7883079543820417
0.8,2.0,1.5141054063422106,2.0446751986255336
0.8,2.5,1.483888754912041,2.4922073308578665
0.8,3.0,1.6387667577738756,2.8001311704853578
0.8,3.5,1.7623315045660934,3.228595722930066
0.8,4.0,1.830642173318891,3.6290894017506417
0.8,4.5,1.9687822209450712,4.298387438743827
0.8,5.0,2.2538999445112853,4.85131476942678
0.85,1.0,1.3664204341213722,1.689803584942812
0.85,1.5,1.4376681146266235,1.762886101390814
0.85,2.0,1.4994626700028393,1.9139271432644969
0.85,2.5,1.5055030644264646,2.471022081398657
0.85,3.0,1.594929427602633,2.751909902899389
0.85,3.5,1.7432102716282054,3.316758847691124
0.85,4.0,1.912779328772856,3.798570149639411
0.85,4.5,1.9503992459808688,4.298387438743827
0.9,1.0,1.394369444241524,1.6174816771576994
0.9,1.5,1.4158578175423484,1.720270801861861
0.9,2.0,1.5044298829303095,2.014682154661249
0.9,2.5,1.4987796851391753,2.5087670313173054
0.9,3.0,1.6022252124964929,2.929897819841345
0.9,3.5,1.685919184162468,3.2989083965803494
0.9,4.0,1.8991132448032166,3.7079826496147854
0.9,4.5,1.8704910963437786,4.257085838120082
0.9,5.0,2.0816834654909377,4.212304734967104
