P,n,Paper,Min Time,Time opt,mast
2900,100,169791.85011496363,117571.5643949208,69964.63030169682,2.4268240878683778
2300,200,257216.79423393979,238197.4100870027,175510.05349941883,1.46553880592824
2100,200,276740.94102312793,259783.39248214164,192225.29668983968,1.439669730200268
900,300,904296.6892212947,836646.9513442708,697977.258721639,1.2955962073571485
3000,200,218066.46367721623,204933.544591634,134557.70768288776,1.6206166665021793
800,500,1454691.084115271,1517469.506531648,1276864.8295160397,1.139267877451548
400,500,2846719.9334941776,2692883.217569746,2553729.6590320794,1.1147303409449958
2500,200,249394.57774713013,221648.92494012474,161469.24921946533,1.5445329618654429
4500,100,151342.22245894407,72771.78610154348,45088.317305537945,3.356572866389839
800,700,1985277.0279128018,2105499.6887793816,1781551.8121526472,1.1143526752185746
2600,400,500579.76691376127,518185.9835022685,304049.7534185163,1.646374520240859
1800,400,612587.8469097088,650323.4523060177,439182.9771600792,1.3948351342552714
3300,200,203404.18557161328,181229.38534064472,122325.18880262524,1.6628152187021026
2800,300,499112.51033248316,365037.7255583701,224349.83316052685,2.2247064029477484
1700,600,866648.1892986676,1048973.3793157837,715369.979261151,1.2114684910230085
2100,500,784878.2297883994,785911.316853147,486424.69695849135,1.6135657475783478
3200,200,206531.0604310953,205356.2520768041,126147.85095270729,1.6372142598649866
2400,600,730000.0193328543,841676.7300274485,506720.40197664866,1.4406367229052188
500,300,1545245.8239257412,1358584.6887407177,1256359.0656989503,1.2299396455312515
200,400,4658863.891144381,3975616.4162671324,3952646.7944407123,1.1786694165785172
3800,800,920716.2010324901,675414.131785633,429908.43101980514,2.1416565356683464
2300,600,739085.3015176365,872223.4891347091,528751.7238017203,1.39779270354642
3300,700,793954.6678919015,749799.0422316781,431891.3484006417,1.8383203804198311
100,200,5272631.881110607,4036731.2304866337,4036731.2304866333,1.3061637201134602
5000,200,175112.1565602443,103739.0882487982,80734.62460973267,2.1689845887898547
4300,300,464081.65446918504,229149.5260222034,146088.26345336632,3.1767210007074063
4100,300,466912.61864311935,244589.38620813683,153214.52020718905,3.0474436627267596
3400,100,159826.53819624722,109658.98380235946,59675.71408085905,2.6782509544785067
3500,500,668485.319870553,496396.0799593561,291854.8181750948,2.290472105447659
4700,600,636971.2288975604,354205.54025025194,258750.843562544,2.4617165305727586
5000,800,902040.8278315066,472905.8814715505,326730.40757505194,2.760810769117969
1300,900,1545698.579292613,1806949.5168177956,1385100.4835741497,1.1159468916681423
200,100,1439597.1024895043,1025215.9451056282,1014487.1393746038,1.4190392826240914
4100,800,921980.0970323097,596939.5809298673,398451.7165549414,2.313906701177884
4900,1000,954342.6568224615,552459.5158727756,417739.7095424739,2.284538996466718
600,300,1324782.6415690514,1164276.5866145699,1046965.8880824585,1.2653541597190148
3100,300,489325.7299262262,370428.31093161675,202638.55898370166,2.4147710701277885
2400,300,518629.4626761532,424764.3463911733,261741.47202061463,1.9814569646620854
2900,1000,1042492.3238786698,1120910.9900733272,705836.0609510767,1.4769609850677885
2200,300,533742.4534611667,463072.787976405,285536.151295216,1.8692640180238687
100,300,7797722.720441369,6281795.328494755,6281795.328494752,1.2413207232445544
2000,900,1126608.8436765012,1309162.5196201184,900315.3143231972,1.251349194835609
2700,100,172068.88225896028,121241.09113050789,75147.1955092299,2.289757869112042
3400,700,780203.4631146558,733276.8051447127,419188.66168297577,1.861222724828155
1600,200,346381.09375178965,314928.70853897487,252295.70190541458,1.3729171410206884
100,400,9242536.621327616,7905293.588881422,7905293.588881425,1.169157921513122
500,900,3762111.4412998,3854294.2696435116,3601261.257292789,1.04466495833405
3600,600,664160.1014937616,553050.373043181,337813.6013177658,1.9660549453987695
2800,700,826311.6777332812,875496.9247094496,509014.80347218487,1.6233549046053137
1400,1000,1631626.9796183011,1970403.7650528231,1462088.9833986587,1.1159560041452112
4900,200,176024.3386784338,107282.82841664666,82382.2700099313,2.136677450830304
700,700,2221526.4628238915,2280803.9219464,2036059.2138887395,1.091091284413542
3100,400,464748.47528528364,461067.0811289868,255009.4706090782,1.8224753542496035
3500,1000,993076.2124558685,956820.7483669778,584835.5933594635,1.6980433881449548
2000,400,572332.1104653259,595447.1575269764,395264.67944407125,1.4479718027684514
800,200,673134.4592678533,538282.4137088082,504591.40381082916,1.3340188797988537
4500,400,441066.31955946435,242265.56968934432,175673.19086403167,2.510720716064427
1300,1000,1741379.9199606131,2058767.2239408114,1574557.3667370172,1.105948856959912
3800,300,472203.64005324553,299352.2052979585,165310.40338144082,2.856466564682397
4200,600,658426.890286715,426826.1341423602,289554.5154152278,2.2739306598017155
1000,1000,2249168.8347585197,2523666.1171160536,2046924.5767581223,1.0988039619518897
1900,400,585693.7226984641,615586.8193511225,416068.08362533816,1.4076872169456545
300,200,1733289.843070313,1358888.6619952228,1345577.0768288777,1.2881386528634675
4900,900,798041.2809984358,484753.13394505833,367475.6384992642,2.1716848612266135
600,700,2586042.056377672,2646113.177015132,2375402.4162035296,1.0886753498006438
1400,700,1249125.1048639785,1385448.051568158,1018029.6069443697,1.2270027279592046
300,300,2589955.557807097,2150504.408508182,2093931.776164917,1.2368863146776725
200,800,8614844.873307673,8251726.431243706,8168260.189376298,1.0546731707337391
3900,700,743301.8983745498,616311.4051032985,365446.52556977374,2.033955302258396
3100,100,164816.88888212855,106456.02105733415,65450.783185458306,2.5181805451450603
1200,300,717175.6490828142,670297.6198045029,523482.94404122926,1.3700076712075835
2900,300,497649.7607704854,379383.87804089236,216613.6320170604,2.2974073983085734
800,300,979957.71540263,916601.3263475724,785224.416061844,1.247996999784389
2700,1000,1049210.6250746646,1221238.0612208787,758120.2136141193,1.3839633955581474
4100,500,656339.5040402284,387490.4766324513,249144.35697873944,2.6343743522805805
2000,100,199845.54104304535,162729.2077469446,101448.71393746037,1.9699169490334123
2200,900,1030148.9802586108,1232519.864966277,818468.4675665429,1.2586300157920964
4000,100,154620.25353926572,78307.48664792663,50724.356968730186,3.04824472461196
100,500,11369902.755054256,10214918.636128325,10214918.63612832,1.1130683620759314
3200,300,485937.57575769635,373003.516898172,196306.104015461,2.4754073654246844
3000,500,704136.9393346976,553780.7524688428,340497.2878709439,2.0679663668909494
1800,100,213992.8399267555,166233.00043516423,112720.79326384487,1.8984327002194152
3900,400,445656.4672198767,345775.96930896735,202699.83561234424,2.1986030026791825
2000,300,549018.8173204503,515506.33177919476,314089.7664247376,1.7479678614489549
1500,200,369604.1199364252,325299.7702038739,269115.4153657755,1.3734037473626983
4600,700,735377.6181917053,432071.424339836,309835.0977656777,2.3734484036661887
200,300,3784567.862340574,3186201.3555993913,3140897.664247376,1.2049319229403912
2800,100,173418.39673486288,126389.68442437657,72463.36709818599,2.3931871189463974
2800,1000,1043817.5974947414,1125701.8470580557,731044.4916993293,1.4278441453930717
1100,300,798418.7056888837,708557.7998503211,571072.302590432,1.3981044117657069
2300,700,892239.431500237,1014094.5549601262,619670.1955313554,1.439861781209533
2500,300,513747.8387217488,402199.1162456443,251271.81313979006,2.044590009130612
4200,800,914560.9153977117,566636.9954086995,388964.77092268085,2.3512692762078182
4400,1000,954664.1813788909,624898.0720108666,465210.1310813914,2.052113910674629
1200,600,1127389.295605021,1340761.322675989,1013440.8039532973,1.1124372446888124
3900,1000,969508.8710757311,809634.0983471889,524852.4555790056,1.847202696243824
600,600,2199929.435025135,2260701.5283239316,2026881.6079065946,1.0853763862889199
4500,700,740320.5589746521,450883.19315020443,316720.3221604706,2.3374583415571255
200,1000,10695105.405892314,10313243.519546814,10234622.88379061,1.0449926223301307
