P,n,Paper,Min Time,Time opt,mast
500,100,485049.14914435765,434240.0694961377,405794.8557498415,1.1953063038417957
1100,100,252836.94064750237,229061.28804610157,184452.20715901887,1.370744999703517
1800,100,177261.06999679844,158884.88956152048,112720.79326384487,1.5725676236316448
3800,100,107051.4513592124,90695.01437140549,53394.05996708441,2.004931848696389
4700,100,106390.52345266244,67786.37586317786,43169.66550530229,2.464474121060657
1300,300,635768.9649492169,635896.8191945277,483215.02526882704,1.3157061177795941
600,300,1241355.679190502,1150389.7118086433,1046965.8880824585,1.1856696510562277
4600,100,106685.62012905716,68937.61257708096,44108.13649454799,2.418728801708594
2100,300,445539.74419596896,466968.6996866437,299133.11088070244,1.4894364013539614
1000,400,985990.4136230381,958414.082473393,790529.3588881425,1.247253378432151
300,700,5646051.803091346,4912796.400547228,4750804.832407059,1.1884411172981606
500,700,3408864.6863073613,3081478.49786295,2850482.8994442355,1.1958902426574791
2800,300,352424.59264505317,391574.03883887874,224349.83316052685,1.570870758762215
1700,300,509793.43279820733,527790.5741233459,369517.37226439716,1.3796196635470763
4200,300,325571.73894009367,235854.12887963184,149566.55544035122,2.176768315493735
4900,400,301505.5201526247,216410.30985710144,161332.52222206988,1.8688452644260434
2700,100,123106.95823085369,131615.0719416045,75147.1955092299,1.6382109458194374
3100,500,566564.7010980059,603626.7494806699,329513.50439123606,1.719397516483317
2800,200,179747.39965737992,215911.25431368098,144168.97251737976,1.2467828307211604
4700,400,300727.20552555216,230975.68397678176,168197.73593364735,1.7879384871398425
1500,600,1039415.2635444883,1120191.3257258493,810752.6431626378,1.2820374652000741
4100,300,326381.18849703425,236122.38655507876,153214.52020718905,2.1302236110237804
1200,300,644519.1107787184,680413.8017394808,523482.94404122926,1.2312132001915927
4400,100,105501.23689548604,69281.03586924943,46113.05178975472,2.287882341348877
4800,300,313493.48721873167,204579.13589504987,142348.1066563424,2.202301769812572
3900,300,330290.4930525697,280141.9672999798,161071.67508960902,2.0505808539510073
4100,100,105892.93367445217,92086.05895574456,49487.17753046848,2.139805480101498
4600,500,486454.6396455938,318736.8169442094,222063.44861148516,2.1906110289076826
4600,700,579127.6299828459,429124.19195677334,309835.0977656777,1.8691479246835645
1200,500,1102115.2092800797,1140088.2031091538,851243.2196773599,1.294712467369556
4500,500,495154.55256447976,326112.15968493716,226998.1919139626,2.181314962861706
1800,900,1249132.140647776,1412030.8184762667,1000350.3492479969,1.2486946614121723
300,1000,8022120.201275512,6987734.016715868,6823081.922527074,1.1757326516613695
200,100,1385187.1501289944,1025215.9451056283,1014487.1393746038,1.3654063184900642
500,500,2483437.0173477028,2246376.384009825,2042983.7272256636,1.2155931465593057
4200,700,602029.6591098733,506113.2454280434,339343.20231478993,1.7741026046881108
900,400,1163331.6226764214,1037211.3894150222,878365.9543201583,1.3244270420030364
2900,700,736169.3977371831,850122.2487618165,491462.56886969577,1.4979154962508812
1600,200,332609.21942484484,301089.2272663359,252295.70190541458,1.3183308986751574
900,300,901686.6277750385,845379.6765643973,697977.258721639,1.2918567424768217
2600,800,914316.3694463151,1019465.5383549539,628327.7068750999,1.455158445890505
2400,1000,1100493.6325328432,1368356.555096316,852885.2403158842,1.2903185335054594
3200,400,353373.48151412397,451686.4981444136,247040.42465254452,1.4304277610076728
1300,600,1105830.4235581642,1243607.589537498,935483.819033813,1.182094656324776
