mu,beta,average,max
0.1,1.0,1.2201784991429263,1.6465536186927676
0.1,1.5,1.2959731389342473,1.8179544998937387
0.1,2.0,1.3588669152371482,2.1567564241847434
0.1,2.5,1.5389502034750049,2.7852386548291914
0.1,3.0,1.644093776896546,3.1599810220304176
0.1,3.5,1.6618221161335385,3.2691430403204405
0.1,4.0,1.8542956990880808,3.9367559446252502
0.1,4.5,1.951433066847668,3.665254564699892
0.1,5.0,2.1688911009834033,4.931255481419502
0.2,1.0,1.125894476180016,1.4769547751782717
0.2,1.5,1.1949179613833643,1.727340617589537
0.2,2.0,1.2989113331990687,2.0744348087979736
0.2,2.5,1.4158159501655603,2.2733904543676524
0.2,3.0,1.5172219078503424,2.93810888208736
0.2,3.5,1.752207398282813,3.36378125443118
0.2,4.0,1.8445546960708368,3.4821444219591737
0.2,4.5,1.9501722141623663,4.009862952399264
0.2,5.0,2.067661164861016,4.654372372796492
0.3,1.0,1.17581425088625,1.3927770497814858
0.3,1.5,1.2531353778244214,1.8841205914387336
0.3,2.0,1.3352403556809234,1.969003509808984
0.3,2.5,1.3843835284232124,2.582153966284962
0.3,3.0,1.6019336101567236,2.936805920942606
0.3,3.5,1.692346879763108,3.335685457923752
0.3,4.0,1.9261826642467323,3.765364026131061
0.3,4.5,1.8633022173872382,4.298387438743827
0.3,5.0,2.182647445124962,4.820010822884387
0.4,1.0,1.2579530613422936,1.510202163312892
0.4,1.5,1.2884022826955464,1.627903246838539
0.4,2.0,1.3611509354301115,1.9991441154297116
0.4,2.5,1.461388344145429,2.5529605309407386
0.4,3.0,1.5570480365874049,2.920995972627213
0.4,3.5,1.6378063768753313,3.154323726470631
0.4,4.0,1.7610785148219485,3.655131203958039
0.4,4.5,1.9060692242266515,4.232883177715228
0.4,5.0,2.288410899313667,4.544576239200471
0.5,1.0,1.2131175653398223,1.626415834015395
0.5,1.5,1.273100707370719,1.703812182704114
0.5,2.0,1.3071838650948684,1.9393936199894928
0.5,2.5,1.4348851796656574,2.465442231405919
0.5,3.0,1.520589844755594,2.7873435026924454
0.5,3.5,1.7128816898345418,3.27855854215079
0.5,4.0,1.8191543648570914,3.7079826496147854
0.5,4.5,1.979772713861334,3.8726378008884
0.5,5.0,2.2597573110518945,4.645566822293816
0.6,1.0,1.4846105041455782,1.6666666666666663
0.6,1.5,1.46603105644693,1.8084410761920269
0.6,2.0,1.5219164167925359,2.048901291075803
0.6,2.5,1.5123701545659245,2.5408978887099645
0.6,3.0,1.5737825833544967,2.905320621014761
0.6,3.5,1.6869770810844156,3.27855854215079
0.6,4.0,1.7545292270174033,3.765364026131061
0.6,4.5,1.9951691263883156,3.8726378008884
0.6,5.0,2.185347158258566,4.746557405387159
0.7,1.0,1.3985088297899484,1.5801981366516322
0.7,1.5,1.412700438955277,1.698232958135013
0.7,2.0,1.5106615205522076,2.0015893582147237
0.7,2.5,1.5307907133841765,2.531773555390365
0.7,3.0,1.68337667313924,2.905320621014761
0.7,3.5,1.6951459787998848,3.177766722815054
0.7,4.0,1.8164337595268747,3.765364026131061
0.7,4.5,1.8966392553150915,3.567466794992116
0.7,5.0,2.025833860273996,4.342595073013784
0.8,1.0,1.3688808975624465,1.6159375863611602
0.8,1.5,1.4039021318734235,1.6933600088395229
0.8,2.0,1.5149645530304603,1.971490653757159
0.8,2.5,1.4943234762764064,2.4877384887495944
0.8,3.0,1.6050410859539201,2.910497842437593
0.8,3.5,1.7346634526168223,3.27855854215079
0.8,4.0,1.8702521415669815,3.765364026131061
0.8,4.5,1.8838017549576263,4.142821833508521
0.8,5.0,2.0771251103112602,4.820010822884387
0.85,1.0,1.3717743403687699,1.636210695817589
0.85,1.5,1.4292731271372927,1.7766015222766227
0.85,2.0,1.4904746914263727,1.8923061600551896
0.85,2.5,1.4696749816907237,2.438004048377522
0.85,3.0,1.649769366864528,2.8959593364143776
0.85,3.5,1.6975409947695284,3.2818315702141465
0.85,4.0,1.7873466077063005,3.6290894017506417
0.85,4.5,2.0301407521349533,4.3307226446089695
0.9,1.0,1.373030775661943,1.7147788095687135
0.9,1.5,1.4091059944293685,1.6958052927631562
0.9,2.0,1.4920909662814115,2.019585976000525
0.9,2.5,1.4696493812994158,2.326306395810187
0.9,3.0,1.6797821882218722,2.905320621014761
0.9,3.5,1.7676028131628008,3.324516854729682
0.9,4.0,1.9296522691151698,3.765364026131061
0.9,4.5,1.9468295791561105,4.3307226446089695
0.9,5.0,2.1536671343459393,4.820010822884387
