P,n,Paper,Min Time,Time opt,mast
4700,100,107494.72771041958,63588.68041032226,43169.66550530229,2.490052365525431
2900,200,179128.6241392269,189164.81014619573,139197.6286374701,1.2868654868090756
2500,300,405342.0721997535,429693.7481699371,251271.81313979006,1.6131617276715773
300,900,7183148.505435902,6123847.617403037,6002102.095487982,1.1967721293571063
200,900,11958263.540731747,9047423.906899318,9003153.143231973,1.328230604376784
1200,300,644680.1687153596,679734.2839965968,523482.94404122926,1.2315208662549757
5000,600,455556.05884356407,324870.2039366065,243225.79294879135,1.8729759427260932
4800,400,302815.76541642414,227054.72068882172,164693.6164350297,1.8386612181528148
2600,600,607536.225794403,760261.637005744,467741.9095169065,1.2988706238059338
1200,800,1668935.2553356101,1745997.0834342896,1361376.698229383,1.225917306727991
4700,700,579499.8388768038,432069.59254431736,303242.86164300377,1.9110090035986627
1000,100,252634.68139093308,242587.61040528922,202897.42787492074,1.245134963202558
800,100,338441.8737935479,292323.89241441165,253621.78484365094,1.334435344354136
2100,400,471614.8338168911,585480.5134167963,376442.5518514964,1.2528202019067691
1900,100,157034.71402138978,159441.1973458616,106788.11993416882,1.4705260671149212
1800,800,1193554.0079611796,1338209.4767635774,907584.4654862554,1.3150886262929926
1900,800,1111025.4281460566,1282532.3996088346,859816.8620396103,1.2921652007504751
2900,800,846059.6731757915,912448.0487129486,563328.2889225034,1.5018945254712448
4100,900,646937.0890455648,621207.1685121268,439178.2021088767,1.4730628385904785
4300,100,105177.1504904256,77628.6931738206,47185.44834300483,2.229016660514956
200,400,5170836.055125972,3975616.416267132,3952646.7944407123,1.3081958302974628
1200,500,1055630.448506708,1115814.004208121,851243.2196773599,1.2401043839230994
700,800,2888215.812181419,2641651.527673764,2333788.625536085,1.237565296436381
4200,400,318756.3324284247,274687.06604512566,188221.2759257482,1.693519135180932
4500,800,729722.0982162519,510018.2871590373,363033.78619450214,2.010066627311899
1600,300,521925.0583417606,553342.8025480442,392612.208030922,1.3293653321667827
2400,800,947395.6209370017,1114221.0934181982,680688.3491146915,1.3918199454554963
3900,400,321701.6495521604,362024.7721860595,202699.83561234424,1.5870839193348072
1000,200,481344.28120822704,452905.11169869505,403673.1230486633,1.1924110219996003
2300,300,416287.4777055676,421006.89679662127,273121.53602151095,1.5241840089562946
5000,300,317895.62542093394,188375.79134493656,142348.1066563424,2.233226931415388
3200,1000,868057.862958563,1041634.2109672168,639663.9302369131,1.3570530116291837
2500,900,883261.659493188,1101984.4488184452,720252.2514585578,1.2263226636286462
3300,100,117436.73323292761,111026.94165065883,61484.06905300629,1.9100351528732382
4300,800,729421.4674316552,564203.4016846886,379919.0785756418,1.9199390306123505
3400,100,112500.53916949668,106221.60102388833,59675.71408085905,1.885198039139697
