P,n,Paper,Min Time,Time opt,mast
200,100,1434123.365008821,1025215.9451056281,1014487.1393746038,1.4136437115337988
1300,100,219043.56574345124,199295.598609056,156074.9445191698,1.4034511844183124
800,200,691426.6865031254,540703.3729126989,504591.40381082916,1.3702704431372765
3100,200,173537.6287807663,185208.79486722194,130217.13646731075,1.3326788891900612
2900,200,187564.7295134948,208875.76653379315,139197.6286374701,1.3474707245336286
3900,200,141514.51904811678,167136.20804833894,103505.92898683675,1.3672117185298025
700,100,410009.0125639144,326695.9163369802,289853.46839274396,1.4145389214675974
2700,200,196858.2592985736,215426.58312970112,149508.5640920975,1.3167022270196416
2700,300,298489.47968507005,396949.6206405619,232659.08624054634,1.2829478723924053
2800,100,113140.58259120969,124960.76781162292,72463.36709818599,1.5613486803326035
400,700,3772557.80026504,3790508.27360409,3563103.6243052944,1.0587841943554428
2900,500,416446.0467051984,621954.8018366968,352238.57365959714,1.182284047935225
2300,500,502414.7364378814,744076.244577536,444126.8972229703,1.131241407758396
200,1000,10892903.530714264,10313243.519546818,10234622.88379061,1.064318993909021
1100,600,1201969.1814548601,1398553.964962554,1105571.7861308698,1.0871923438471136
4400,300,213785.20164317946,227132.5493114775,142768.075647608,1.497430014892558
4900,700,370783.3532126371,405023.84787990124,290865.60198410565,1.274758344346605
1800,500,630401.0079415026,846834.2056446958,567495.4797849066,1.1108476285669069
500,300,1510206.9602969412,1352671.7685093908,1256359.0656989503,1.2020504340904865
2600,500,449431.9801415599,667846.5791163435,392881.4860049353,1.1439377933321966
1200,800,1462138.9393279732,1758011.2393562994,1361376.698229383,1.0740149594374888
2500,100,118590.69980168683,134731.2262980931,81158.9711499683,1.4612149232714016
3300,100,95065.5514026361,118053.79382841733,61484.06905300629,1.5461818462385555
3700,700,456332.9452171904,642013.8366003527,385200.3918167886,1.1846637618017646
500,500,2303633.0332941213,2221452.255929281,2042983.7272256636,1.1275826638239625
4500,500,313384.7360950214,331673.73660532694,226998.1919139626,1.3805604945690548
900,700,1704035.1129042292,1879203.0177734925,1583601.610802353,1.076050378630808
1400,200,381029.25846621656,340959.3182135505,288337.9450347595,1.3214676216835872
3800,800,527926.059757965,726648.9799660185,429908.43101980514,1.227996525924481
2800,700,564066.6756228042,911629.0834275981,509014.80347218487,1.1081537742617493
2400,500,484431.1263043011,729768.6051563284,425621.6098386799,1.1381732391076462
1400,100,205004.5062819572,193550.6635038323,144926.73419637198,1.4145389214675974
200,600,6533998.933171907,6124762.532992427,6080644.823719784,1.0745569133858386
1300,400,711235.8680400329,819933.0162056048,608099.5068370326,1.1696044151383276
5000,300,198346.35210231482,200755.35521199138,142348.1066563424,1.393389464470811
3100,1000,716346.069290614,1085335.7256589506,660298.2505671362,1.0848825794636556
3800,600,362979.2301948115,515000.28270885337,320033.938090515,1.1341898061203444
1500,400,618276.5533612802,699008.9007152535,527019.572592095,1.1731567203858229
4100,400,242683.44435667185,281713.44808852725,192812.03875320547,1.2586529654784706
1800,100,166542.56146419994,163304.68542100734,112720.79326384487,1.4774786145655912
1100,1000,1960643.6179749924,2346854.988661895,1860840.5243255657,1.0536333406032194
900,600,1494761.2382685815,1620608.5257215425,1351254.405271063,1.1062026754086554
400,900,4742767.924997537,4672585.885441905,4501576.5716159865,1.0535793070592971
4200,600,334349.9421811567,413438.29068578535,289554.5154152278,1.154704638957853
1600,300,483908.9435991112,571005.6903924384,392612.208030922,1.2325366702835658
4500,400,225750.7121970714,247065.79984680476,175673.19086403167,1.2850606918832537
4900,500,298073.74296475673,307887.9859777357,218726.61253679788,1.3627685241758578
4000,800,494844.31157574104,659949.8263337356,408413.0094688149,1.2116272011494917
