P,n,Paper,Min Time,Time opt,mast
900,200,666040.2002603643,489216.9989883041,448525.6922762926,1.4849544000036512
2300,100,133129.39016541519,135682.44004146446,88216.27298909597,1.5091250815126902
4600,100,73447.10182389757,72868.71819265798,44108.13649454799,1.665159937849019
4800,100,73131.79378151438,69472.56978788807,42511.79157511906,1.7202708018618613
300,200,1787742.7537156027,1358888.6619952228,1345577.0768288777,1.3286067253232174
400,200,1415575.6429003524,1032554.5466752511,1009182.8076216583,1.4026949648859361
1100,300,789675.535872647,706892.2317849812,571072.302590432,1.3827943191967327
2300,400,474956.0846202483,563550.2761624882,343708.416907888,1.381857589910386
1700,300,528856.4483937296,549322.2617014035,369517.37226439716,1.4312086199165817
3000,500,490473.9970574083,606100.113291578,340497.2878709439,1.4404637409132872
100,900,24040204.83074374,18006306.28646395,18006306.286463946,1.335099184046187
4000,300,253772.32054553044,272863.23117852217,157044.8832123688,1.6159222469054213
700,100,388669.6777962562,330988.6775258802,289853.46839274396,1.3409178090966254
4900,500,351432.87086565286,306942.7808793998,218726.61253679788,1.6067220480842443
900,800,2591187.929594122,2191439.0732342806,1815168.9309725107,1.4275188856421448
4800,600,368883.2090421822,348288.9777093673,253360.20098832433,1.4559635159871915
2900,800,789563.9582565199,940382.4732917141,563328.2889225034,1.4016053760885059
3400,600,495832.4743112883,626534.2124357661,357684.9896305755,1.386226676225341
1500,800,1476396.8575070014,1535522.2681321902,1089101.3585835064,1.3556101513152223
4000,600,422479.0833290761,475570.4782688068,304032.2411859892,1.3895864520191727
2200,700,914114.7329975157,989403.9988098873,647837.0226009625,1.4110257689927792
3300,700,624996.6169099178,757454.8524483904,431891.3484006417,1.4471153896098494
1200,800,1785755.2977821755,1799662.5896285388,1361376.698229383,1.3117275329486267
2300,800,995882.753089012,1148085.606047302,710283.4947283737,1.4020919259426927
700,400,1524162.0599235457,1261042.2620053426,1129327.6555544892,1.3496189989035525
2300,500,646941.948610906,726976.4521023718,444126.8972229703,1.4566601407302608
4400,300,234267.17831003657,229063.05879681528,142768.075647608,1.640893296679814
4200,200,121376.96465768301,130944.96296168804,96112.64834491984,1.2628615145646285
4900,700,424440.35736982926,398982.3267393439,290865.60198410565,1.4592318736714105
1800,1000,1570695.9648378168,1623763.6218223157,1137180.320421179,1.3812197912957866
2000,900,1196196.8047886244,1297548.050789705,900315.3143231972,1.328642072125423
2900,200,182236.9034756383,189374.04800072243,139197.6286374701,1.309195460148684
100,400,10595312.916089376,7905293.588881424,7905293.588881425,1.3402807621201305
400,400,2777776.2824755507,2066682.1598177757,1976323.3972203562,1.405527195793166
2200,100,133970.6494157177,135153.25572877526,92226.10357950944,1.4526326518849373
900,500,1594747.5234624892,1407846.9787100763,1134990.9595698132,1.4050750889389763
3600,300,292220.7838414182,304141.17581619543,174494.31468040976,1.6746722343167864
2300,300,385945.72542850394,446417.88650483347,273121.53602151095,1.413091516145058
2600,1000,1089409.8213015953,1272827.6484664886,787278.6833685086,1.3837664404177263
3300,400,327865.19340454886,433995.8228772235,239554.35117822498,1.3686463710301044
2900,1000,948979.3539415577,1153061.5978907244,705836.0609510767,1.3444755892223164
1000,800,2317685.3364573466,2036570.9653917814,1633652.0378752595,1.4187141953874989
800,1000,3603193.7524338835,2974901.751274004,2558655.7209476526,1.4082370374937994
1800,200,311086.907999074,306222.9268118633,224262.8461381463,1.3871531257007412
1700,400,639983.8638490555,662503.8978846956,465017.26993420144,1.3762582708801574
100,500,13694940.79658881,10214918.636128329,10214918.63612832,1.3406803602088695
3000,800,747726.8118911032,922965.370595399,544550.6792917532,1.373107848958342
1900,1000,1466796.9101409465,1627613.9528311437,1077328.724609538,1.3615128573431154
3700,400,290018.57135122234,391652.1767502122,213656.58348328175,1.357405265136217
4600,500,377483.72926741495,327419.3700770289,222063.44861148516,1.6998913221772394
4600,900,520226.8324233525,515985.77568578074,391441.44101008575,1.3290029565621504
4800,500,370166.1818461407,315437.15327983047,218726.61253679788,1.6923691980273552
400,1000,7268136.206961329,5366718.756423215,5117311.441895305,1.4203036671673477
1000,200,595601.9866299756,454367.12790776277,403673.1230486633,1.4754561367172692
3200,800,748631.2596852492,843048.4611074899,510516.26183601865,1.4664200058836023
3300,100,90346.27680081641,110828.00369657068,61484.06905300629,1.4694257909789217
2700,1000,1055354.1711555726,1264799.8185357763,758120.2136141193,1.3920670524328538
3500,800,676279.6551853404,803842.452882994,466757.72510721703,1.448887975083851
1900,900,1287852.4091172742,1338814.896017835,947700.3308665234,1.3589236672944232
300,800,7263747.809353103,5624670.178717408,5445506.792917532,1.3338974838485904
600,900,3976024.2369454294,3270740.2642868,3001051.047743991,1.3248772425695206
4700,800,513700.17868063884,479731.83868232486,347585.5399734595,1.4779100957993343
4100,1000,674134.22474749,696991.7397989606,499249.8967702737,1.3502941695302706
2100,700,931449.317524758,1059098.1910072002,678686.4046295799,1.3724296098625013
3500,400,306597.9680914776,378933.1064958802,225865.53111089783,1.3574358450512791
2300,1000,1227374.0443735078,1396223.0027586923,889967.2072861401,1.3791227747775718
2600,700,775189.0393350436,947597.9472296842,548169.7883546606,1.4141403919062825
1700,100,190096.0359100084,161843.77561125776,119351.4281617181,1.592742029466402
500,300,1828008.8971864455,1362112.6980465755,1256359.0656989503,1.4550051391315182
4500,800,540314.4972621037,516225.5128746841,363033.78619450214,1.4883311631293186
4000,500,410514.31492043484,414666.0952939314,255372.96590320792,1.6075088976960425
1300,700,1514045.0513433332,1453188.849726783,1096339.5767093212,1.3810000874799766
2500,500,565619.6698655763,701635.5961373566,408596.74544513266,1.3842980301993841
5000,200,108955.3783734995,107157.34467618197,80734.62460973267,1.349549575540663
3700,700,546034.2108512607,651503.0339086408,385200.3918167886,1.4175328542006491
2000,500,700422.5281466005,813576.7349981405,510745.9318064159,1.3713717222755604
1200,200,457867.85505985824,399161.2722704562,336394.2692072194,1.3611048016332612
2700,800,843192.4575448475,1004894.0259868583,605056.3103241703,1.393576834349668
1600,700,1274157.2867930161,1243246.1177389717,890775.9060763236,1.4303903800063533
4400,1000,634962.0391131063,628119.242473725,465210.1310813914,1.364892973498068
3700,1000,738681.7353406078,870102.9701054422,553222.8585832763,1.3352335751857125
1500,300,595941.2489975969,584368.5019970003,418786.3552329834,1.4230197367964792
3800,400,296686.8886641848,344032.22466009425,208034.04181266908,1.4261458657393487
2900,700,678149.9697538984,892357.3442018377,491462.56886969577,1.379860873867894
3100,400,337966.5558166187,482309.4452524385,255009.4706090782,1.3253098208839122
2300,900,1061135.8397745125,1199740.450736557,782882.8820201715,1.3554209245657918
4000,700,499269.99747132696,590968.924901321,356310.36243052944,1.4012222211714953
1700,500,816514.2610892174,928082.6221834221,600877.5668310776,1.35886960366214
1300,1000,2106439.264192439,2041455.5795881867,1574557.3667370172,1.3377977256920466
4200,700,497446.98801416234,496529.6371614192,339343.20231478993,1.4659111619766831
2700,700,714109.5428291266,927091.5842783117,527867.2036007843,1.3528204403643795
4600,700,462143.54595529643,427558.88875524874,309835.0977656777,1.4915790666969777
4900,900,483127.5987574298,478892.19552976586,367475.6384992642,1.3147200743169731
4300,700,468501.9035506187,474309.304200959,331451.4999353762,1.4134855435620701
1600,900,1567718.4162007582,1540964.4337205382,1125394.1429039966,1.393039430750347
2500,700,791064.7388806317,947445.7274362745,570096.5798888471,1.38759776288233
1700,1000,1678836.7209877672,1698740.8439353702,1204073.2804459543,1.3942977958666884
200,1000,14031989.679704966,10313243.519546812,10234622.88379061,1.3710314331101099
2400,800,957126.1278842683,1082725.5896505495,680688.3491146915,1.4061150438803807
2400,900,1006863.8003179075,1107297.211571388,750262.7619359978,1.3420148931819162
3100,900,773781.8634492153,968908.0305403933,580848.5898859337,1.3321575999713964
