P,n,Paper,Min Time,Time opt,mast
900,100,326499.89555175486,263417.78591434925,225441.58652768974,1.4482682657649444
500,100,601052.6306450972,427737.6414490867,405794.8557498415,1.4811736081140108
500,200,1189202.0373540276,830266.9134041627,807346.2460973266,1.4729764869813586
700,100,382575.09720722487,324286.6107027435,289853.46839274396,1.3198913897033155
900,500,1585644.3996336653,1405695.565865077,1134990.9595698132,1.3970546516376305
3800,500,424665.996629947,475214.38286815654,268813.6483191662,1.579778405171359
1800,400,600079.0516851982,646864.6314808347,439182.9771600792,1.3663531668862328
800,200,732741.3015096604,541146.5966130061,504591.40381082916,1.4521478090505966
3700,300,258101.727384879,277796.3537669468,169778.25212147977,1.5202284400960966
3200,300,309117.4550265983,357534.7188292854,196306.104015461,1.5746706225816205
4500,300,235693.9803432459,226284.93828905895,142348.1066563424,1.6557577468329778
1300,600,1244122.2618762928,1221541.1888741977,935483.819033813,1.3299238710096002
2300,500,606306.0181381397,713682.6920028554,444126.8972229703,1.3651639248359884
1400,600,1147840.3016081438,1187179.4415033357,868663.5462456835,1.3213865213626692
3600,100,99035.07832913901,94719.9732976375,56360.396631922435,1.757174971211003
2100,200,268640.8526164166,265859.07863599365,192225.29668983968,1.3975312159349937
1000,200,599405.7757654667,460172.0153888932,403673.1230486633,1.4848790804762289
2400,700,857941.2981560709,990168.4507104062,593850.6040508824,1.4447089761359586
4300,500,383774.36362570396,344335.4587561414,237556.24735182134,1.6155094547243511
3900,500,412467.49168789055,442539.59616159543,261920.99066995684,1.5747782971989266
300,1000,9169977.922561765,7012095.28298818,6823081.922527074,1.3439642124603814
4200,300,244749.2605229397,229411.96742940135,149566.55544035122,1.636390299972833
4700,700,442232.7026958854,421495.84214035975,303242.86164300377,1.4583449724086466
200,600,8395710.84307844,6124762.532992429,6080644.823719784,1.3807270588026936
500,300,1847248.0049904902,1357954.2079089321,1256359.0656989503,1.470318522326904
1200,300,716635.3769240896,674094.7626315503,523482.94404122926,1.3689755990744328
1400,900,1709149.9022600236,1676486.358811188,1286164.7347474247,1.328873243127494
4100,400,287873.0027874668,299252.67902964226,192812.03875320547,1.4930240074684182
3000,700,691012.305011243,837592.8659119292,475080.4832407059,1.45451629647588
4000,100,88850.99956569895,82931.34944373793,50724.356968730186,1.751643685113101
4200,100,81984.71627977268,75151.54763676508,48308.91139879065,1.6970930187804865
4700,600,369687.2079377126,358678.51993100485,258750.843562544,1.4287381747157613
1500,100,187401.56072976792,190803.47994469645,135264.95191661385,1.3854406339145005
1700,700,1185403.8058372969,1244331.1887856496,838377.3233659515,1.4139263703818816
2200,900,1116096.5159505813,1194720.2141602668,818468.4675665429,1.3636402136162207
1700,200,342533.99174025055,298723.349986681,237454.7782639196,1.4425230532086426
1500,700,1297244.4111565175,1309120.034479618,950160.9664814118,1.365289100393597
2400,400,460735.9658353143,555993.2303329115,329387.2328700594,1.3987669219015266
2700,600,622855.9207339227,753490.4206597212,450418.13509035436,1.3828393490616828
2600,1000,1065477.9219189757,1257306.9798821076,787278.6833685086,1.3533681838813967
3600,1000,760970.287592468,934741.9002145248,568590.1602105895,1.338345861121878
4300,1000,633962.4879533201,645227.1449962765,476028.9713390982,1.3317729090520383
4600,300,230084.4953250365,222248.30206335938,142348.1066563424,1.6163509352499348
2400,900,1023066.8645440908,1102432.4574003445,750262.7619359978,1.3636114124925276
4700,500,363154.3325497819,314583.10035632964,218726.61253679788,1.6603116024058844
2100,800,1078297.255183558,1206429.481049421,777929.5418453617,1.3861117198682036
2900,200,203169.85173534817,212698.4916721648,139197.6286374701,1.459578397448774
3500,600,475903.01163498516,575557.1294812928,347465.41849827336,1.3696413694686858
4600,600,374499.7116669529,355268.2496869418,264375.86190086015,1.4165427546006024
3300,900,716054.9176358473,883162.7182028664,545645.6450443619,1.3123075830242004
2200,800,1030626.1579049295,1175765.6379985905,742569.1081251181,1.3879195170226173
4600,400,231750.24494377137,230713.51767173718,171854.208453944,1.348528191591416
5000,100,70800.14773941961,65933.6084986571,42511.79157511906,1.6654237592954544
200,500,7093432.167389687,5163874.915286067,5107459.31806416,1.3888377225642308
1400,300,645845.4180859221,609082.1096260139,448699.6663210537,1.4393712912275862
1600,500,892271.1729076321,951574.897617889,638432.4147580198,1.3975969143825864
4800,1000,582777.6402065243,584290.474465682,426442.6201579421,1.36660270962288
3800,1000,718931.8939398847,887287.6601466537,538664.362304769,1.3346565027317008
400,200,1415575.6429003521,1032554.5466752507,1009182.8076216583,1.402694964885936
1400,700,1336816.0023373894,1381941.872153496,1018029.6069443697,1.3131405935725795
2900,100,118998.36439233502,124979.64027563711,69964.63030169682,1.7008360349965146
100,800,21831484.922644,16336520.3787526,16336520.378752597,1.3363607681742433
2000,600,821162.6503422104,937342.3255950188,608064.4823719783,1.3504532399902138
3800,200,143176.46268559803,164161.5975037904,106229.76922333245,1.3477998091532195
900,400,1275053.7917756545,1037969.0077364059,878365.9543201583,1.4516202335762507
2700,700,759608.8648470286,873799.5516020043,527867.2036007843,1.4390150774009935
3000,400,359403.35891244817,489736.8150480306,263509.7862960475,1.3639089612735154
4300,700,498670.8050573286,493313.7485912763,331451.4999353762,1.504506104677624
2300,900,1101792.0691466548,1151626.0109813006,782882.8820201715,1.407352356847504
2800,200,207333.8870353818,201512.59759889494,144168.97251737976,1.4381311277666726
2900,700,690416.9702487894,858482.5748954464,491462.56886969577,1.4048210667124958
400,300,2199244.8596171606,1661683.4358471648,1570448.832123688,1.4003925595227218
600,900,3985609.357749746,3264146.5071905963,3001051.047743991,1.3280711638497076
3400,800,684918.1738773127,830501.7860554304,480485.8934927234,1.4254698902782361
1900,700,1012801.7633073386,1147536.0086543288,750127.0788011146,1.3501735798233574
600,100,459056.869836592,367428.21057996614,338162.37979153456,1.3575042561493231
200,700,9841856.338889608,7202037.298273295,7126207.248610589,1.3810791625248473
2600,600,634132.2229230488,803699.3440675271,467741.9095169065,1.3557310346169187
300,900,7952035.296912652,6106726.0015453305,6002102.095487982,1.3248750471756408
4800,600,371567.22712357354,339512.0339146698,253360.20098832433,1.466557200673742
3200,800,721836.9451827633,901849.3147927086,510516.26183601865,1.4139352634659506
3900,1000,699484.5694313947,844105.5783543194,524852.4555790056,1.332726106158232
1100,600,1465598.940452853,1366094.829797427,1105571.7861308698,1.325647921589929
3400,600,486604.50834131433,562163.8309469407,357684.9896305755,1.3604275338584646
900,800,2562440.293384741,2208076.224478555,1815168.9309725107,1.4116814416892127
2800,400,384527.29442266596,485285.41042870097,282331.9138886223,1.3619689291461359
1000,500,1460617.434718342,1269802.0962981922,1021491.8636128318,1.4298865088875037
