P,n,Paper,Min Time,Time opt,mast
3800,100,204907.29549227917,92840.02010406832,53394.05996708441,3.8376421575470645
100,200,4903168.050478282,4036731.2304866337,4036731.2304866333,1.2146382234834097
2200,200,261109.04957408123,248261.1101119234,183487.78320393787,1.4230323404358265
2700,100,205764.98457989257,133431.25856075325,75147.1955092299,2.7381591978987374
4000,300,603096.1322956686,260788.59107310654,157044.8832123688,3.8402787786477144
200,400,4649054.31594661,3975616.416267134,3952646.7944407123,1.1761876427930205
4600,400,554925.9017896884,233226.59706398443,171854.208453944,3.2290504072142374
2000,400,594587.8765631478,589704.3985570646,395264.67944407125,1.5042777852031177
1300,600,1157339.777837065,1231113.091717058,935483.819033813,1.2371563829210745
2500,100,208737.14586378657,138641.3385871058,81158.9711499683,2.57195406627414
1100,400,846717.7555246934,922426.5187580609,718663.0535346749,1.178184618452547
3300,500,805449.109117775,587909.3891036288,309542.98897358536,2.602058963727676
900,700,1882975.7436148878,1909698.1718953613,1583601.610802353,1.1890463679566814
4200,400,556265.53475054,282454.19259373785,188221.2759257482,2.9553807454263694
2800,400,585593.7053974285,488523.58018680447,282331.9138886223,2.0741321706494737
1000,300,844742.807493902,804211.6673536524,628179.5328494752,1.3447474222251043
1900,600,959428.5689543013,936005.2335880713,640067.87618103,1.4989481657457009
2000,600,943955.0007711755,898758.9123635172,608064.4823719783,1.5523929256465254
900,800,2146488.8820534367,2173882.490499836,1815168.9309725107,1.1825284387736932
3600,200,245340.2675679895,162413.11954319902,112131.42306907315,2.187970694145739
800,900,2543362.632816049,2593453.8076308514,2250788.2858079933,1.1299875020910848
4600,600,857173.1623447243,353474.91393941763,264375.86190086015,3.242251982392253
500,1000,4626693.43780582,4381944.075962592,4093849.1535162446,1.1301572833556681
700,1000,3392113.8484864114,3316473.802509262,2924177.9667973174,1.1600230516070802
1400,500,1044287.1830249719,992294.374822736,729637.045437737,1.4312419984082143
1900,800,1337978.3414584345,1300176.6547740486,859816.8620396103,1.5561201466607155
2700,500,834776.4446964287,644861.0322136473,378330.3198566043,2.2064751379504233
400,1000,5788180.612863021,5387762.244417265,5117311.441895305,1.1310979756821768
4300,200,244511.34331267336,129461.48419922544,93877.47047643333,2.60457958732553
2100,200,279628.718885273,254935.0375630455,192225.29668983968,1.4546926117453776
1900,900,1273477.1059835735,1381050.9694838852,947700.3308665234,1.3437550505223295
4900,900,1067287.4196312665,484161.53935176984,367475.6384992642,2.9043759852761055
2300,700,1073459.2422338405,1000834.1267937414,619670.1955313554,1.732307362811551
4400,300,599613.6036821133,219170.636525212,142768.075647608,4.199913747959518
4700,800,1229753.948769555,498340.77940176136,347585.5399734595,3.53798937914234
1800,200,296825.9891275992,293901.1240526198,224262.8461381463,1.323562927337299
600,300,1191679.2792631206,1147016.9242310647,1046965.8880824585,1.1382216869030068
500,800,3673550.816078524,3526327.3968797345,3267304.075750519,1.124336985756273
2600,500,827637.1712293428,675304.981767342,392881.4860049353,2.106582266436821
3900,500,801382.7944884503,459325.8672021614,261920.99066995684,3.0596356269065206
2200,100,215366.10909835075,152070.31708063892,92226.10357950944,2.335196877451085
2000,200,281594.19872934406,270721.18818629306,201836.56152433166,1.3951595122442546
3900,200,244511.34331267336,162720.6810586392,103505.92898683675,2.3622931140859458
1500,100,229520.6921799577,194486.9606636902,135264.95191661385,1.696823078911448
600,900,3321658.5099379574,3291434.3474257463,3001051.047743991,1.1068317256499118
