P,n,Paper,Min Time,Time opt,mast
200,100,1203874.2392870071,1025215.9451056281,1014487.1393746038,1.1866826030235869
800,300,948916.4617243847,915725.1027709668,785224.416061844,1.208465302802872
1800,200,295331.94841693976,292371.7676957783,224262.8461381463,1.3169009200704371
600,300,1203257.1716607723,1167780.6217343076,1046965.8880824585,1.1492802061245422
600,200,758859.7647413504,703532.7826409476,672788.5384144388,1.1279320639583958
800,400,1153329.0281888728,1130819.2220532182,988161.6986101781,1.1671460549533523
100,100,2579639.8293948285,2028974.2787492091,2028974.2787492075,1.271400951906146
500,500,2337931.295867159,2245524.878026934,2042983.7272256636,1.1443709828477338
700,100,417739.9149023056,330988.67752588034,289853.46839274396,1.4412106821377717
400,600,3477401.2930077133,3196415.557469853,3040322.411859892,1.1437607009844861
800,600,1799417.7581547187,1748700.4440455067,1520161.205929946,1.1837019331472414
4200,100,206604.91339075667,75433.77621292719,48308.91139879065,4.276745374890164
400,500,2906504.182373762,2683136.672477514,2553729.6590320794,1.1381409038713175
3000,400,589313.2569713598,446243.53683526424,263509.7862960475,2.2363998895634154
1500,600,1103233.576218515,1157734.6782691493,810752.6431626378,1.3607523645127422
100,800,19124571.98312653,16336520.378752597,16336520.378752597,1.1706637362017491
1300,700,1416803.9326527705,1451030.300529224,1096339.5767093212,1.2923039200184012
2800,100,205352.3989152449,124483.57964813393,72463.36709818599,2.8338787878432106
5000,300,599613.6036821133,197509.44699905312,142348.1066563424,4.212304734967104
2100,700,1111221.6700642789,1093018.1182406642,678686.4046295799,1.6373124059716098
3200,600,885094.7815405055,623686.0467790974,380040.3014824865,2.3289497931873773
400,700,4145401.8411019063,3768321.767628164,3563103.6243052944,1.1634244406546397
500,200,967169.6670152615,836574.0397552346,807346.2460973266,1.1979614343790086
4000,900,1066321.1158081894,691203.2912613538,450157.6571615986,2.3687725818810166
300,500,3926194.1998538286,3529964.082916173,3404972.8787094397,1.1530764971443601
4900,700,965589.2258186414,424979.4740053994,290865.60198410565,3.3197092376409842
700,500,1702311.2424889512,1709401.7533137419,1459274.090875474,1.1665466091210253
4400,600,856974.2354459551,370198.1387608786,276392.94653271744,3.1005647799500284
1800,600,996611.2587754899,978591.4696708866,675627.2026355315,1.4750904861258434
4400,200,244511.34331267336,133572.88534266845,91743.89160196893,2.6651512056354263
5000,700,963397.3719483026,394617.70829016645,285048.28994442354,3.379768993303339
1800,900,1288162.7815062103,1379292.6062708318,1000350.3492479969,1.2877116327040556
3000,800,1248738.2920270923,939654.2056546685,544550.6792917532,2.2931534924374914
5000,500,797072.0948815002,305530.12376468506,218726.61253679788,3.644147758871378
3200,700,990685.4408768675,796467.5729332588,445387.9530381618,2.224320245123432
3000,900,1104253.4035003127,933889.4473113089,600210.2095487982,1.8397777744074428
200,1000,11755947.62636388,10313243.51954681,10234622.88379061,1.148644924180129
1900,500,910546.4886708172,858897.2915336374,537627.2966383325,1.6936388728107146
700,400,1314003.7277663178,1278499.1028925218,1129327.6555544892,1.163527450429038
1900,200,286753.88278950425,270824.8112215589,212459.5384466649,1.3496870269323773
4000,700,978658.379931344,580479.6538160717,356310.36243052944,2.7466458546294876
2900,100,207682.12300003722,115965.26211596951,69964.63030169682,2.9683873423540468
600,100,427699.3211684594,367428.2105799661,338162.37979153456,1.2647749919199212
800,200,627158.5720696346,543977.3657902727,504591.40381082916,1.2429037976730093
3400,200,244727.99104330354,181375.53822993397,118727.3891319598,2.0612597719242367
500,600,2751951.713727403,2631856.4945802754,2432257.9294879134,1.1314390963078482
4900,100,204907.29549227917,66409.46997915604,42511.79157511906,4.820010822884387
4800,700,967723.4869225546,423525.48506931384,296925.3020254412,3.2591479416585316
4200,300,603771.7451083376,235325.55324405458,149566.55544035122,4.036809855857972
1000,300,814475.1081867132,777281.7569120711,628179.5328494752,1.296564223434956
