n,Paper,Min Time,Time opt
100,3623020,2568577,1118634.343452282
100,1986665,1404108,636367.4180376084
100,1999050,1016899,625351.1869290422
100,3185590,1632566,1010009.4083361919
100,3329747,2126331,1078143.6177993615
100,3068757,1891589,947452.4448458365
100,2725155,1300131,858892.3394168812
100,3165067,1743686,995604.7802976957
100,2250080,1170870,728281.233694173
100,3456216,2042023,1099757.950605992
200,4901692,3470037,1542560.1639375694
200,6568092,4558514,2047161.0970896047
200,4805297,3398437,1487022.4148273377
200,7684229,3837526,2397545.073289071
200,3873274,2694104,1213168.0167401046
200,3835985,2606633,1182480.3756849384
200,5057148,2817607,1575975.1617621318
200,4477300,2969664,1424403.3396421394
200,6353478,3916264,1971251.7804979011
200,5242828,3088293,1630151.3905085246
300,6962145,5016673,2234677.4496811987
300,7884327,4613699,2468786.0719665866
300,6645916,4704639,2063029.9715300747
300,6246783,3663355,1938101.1901864647
300,7341113,5730978,2339461.074780707
300,7098965,4249902,2264911.7814625073
300,6557778,5321145,2075081.680610729
300,5986939,4361181,1919808.117299604
300,6843212,5232904,2154228.3100774456
300,7709282,5321790,2465641.015052815
400,7773359,5666003,2427894.661141056
400,9314746,6251662,2984098.3940771786
400,8260028,6929288,2638249.9956363584
400,7136061,5013684,2193502.872550586
400,7045750,5065704,2254836.1599265886
400,8219307,7818958,2525166.710370604
400,8694891,5491347,2744465.216208369
400,8354291,6541178,2660990.796231597
400,7629313,5720294,2381505.2362372526
400,8296249,6617944,2639558.7098424174
500,9227540,6173840,2879092.715088128
500,9069663,6957550,2864633.2215555953
500,9190801,6834665,2870927.8797837486
500,10384212,8063728,3295134.6541828066
500,9047166,7547290,2827487.824944062
500,9459868,6565582,3021501.8277351647
500,9484342,7650065,2963535.322954082
500,10049291,8222612,3255548.851049696
500,9335424,6991206,2958713.9282889394
500,10643248,7933071,3327404.291406895
600,9526623,7192666,2991455.1886981903
600,10682590,9393418,3418230.554286315
600,13623271,8787602,4277752.5340535585
600,12016944,9313796,3768481.326612148
600,11825790,10000747,3702340.4872888536
600,11621551,9864399,3707615.565408803
600,11290808,8380357,3535945.209247728
600,12168011,8439165,3792057.6706556254
600,11310305,8964750,3537442.516527078
600,10360933,8428966,3282619.9921035767
700,10827409,10221177,3404155.547878198
700,10774963,9498726,3419244.4474540795
700,13233684,9336764,4124224.998564992
700,14362693,12223070,4547306.032054893
700,12249728,10723651,3877820.6918535996
700,12324054,10960166,3920171.467109946
700,15472119,12641862,4859472.9699593615
700,12653326,10443152,3968008.308949625
700,12385810,11145838,3912282.2285528695
700,15223640,11590993,4791824.156434177
800,13396573,13384223,4272185.574222265
800,13005956,11946784,4101879.8557687104
800,13810536,11570154,4308580.851171774
800,13337999,11135342,4201833.290060219
800,17200094,13049480,5504025.485483283
800,13324000,12511472,4250175.4808496
800,13412436,11206560,4281620.35324328
800,11900881,10313517,3783275.8596060523
800,12006389,12628809,3771315.121552144
800,13857820,12415508,4364685.789545239
900,14901515,13958356,4694330.76100381
900,18131486,16952611,5712829.853043944
900,15473645,13446556,4914802.800403607
900,15159805,14022216,4790156.430520415
900,15253646,14872412,4844561.744222841
900,15061574,11930762,4721712.617622577
900,11527577,11317489,3676000.5553591745
900,15377510,12509305,4913801.713733147
900,13852542,11561065,4378532.533291017
900,15020340,13299346,4756218.964564075
1000,16730142,16216643,5336041.550357559
1000,16296667,14195605,5145917.3553681085
1000,18273775,15835714,5845078.979042562
1000,16252293,14268029,5116231.177517758
1000,16686545,16084562,5236329.489324176
1000,15804850,13279508,4922034.097429081
1000,16752112,14929240,5379865.46167003
1000,17008627,15839676,5325012.182218059
1000,18546601,16295696,5913129.653437381
1000,14533908,12250527,4666555.180235328
