P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,50855.13898569842,25339.817846041748,2.006925988761294
256,400,86813.98408571213,48679.56019676214,1.7833765082266797
8192,800,113716.93073718998,62137.90128877687,1.8300735682833422
128,1000,234675.65401560644,125295.95783362567,1.872970669390793
2048,600,170552.19888824795,95460.11175339336,1.7866331366638617
256,900,141314.98082087678,77030.62312975689,1.8345298931677327
256,100,40929.220825613,26193.65899088914,1.562562177351751
4096,300,33229.06659177055,20887.76340872541,1.5908389013009325
256,200,50984.7402694257,25775.82693292296,1.9780059977165618
2048,400,53455.263984480356,34397.99854935305,1.5540225082510137
8192,1000,113219.58826821444,71441.52524391812,1.5847868292517022
1024,500,129544.81345437402,69330.81468246617,1.8685026859656393
256,600,145113.88545015393,65997.13135384436,2.1987908030748216
8192,900,80854.09479429678,50985.945546331204,1.58581142171472
8192,700,117579.76427927919,54661.38833726035,2.1510570414679724
256,1000,148050.68154738218,62174.13220982782,2.381226344225194
8192,900,319224.9793758196,200725.03795784948,1.5903595417072687
2048,700,72989.51358233295,45736.33575987692,1.595875847281242
1024,600,123303.31035072598,69645.19944005155,1.7704495261997444
4096,1000,84212.60857207085,51207.743830232605,1.6445287816479128
2048,200,51633.23590598607,33208.183834406,1.5548346806153976
512,800,99853.21154261951,58281.74602729851,1.713284490410589
128,200,71480.14416255843,36920.89002320384,1.9360352396064928
2048,800,134933.97774559614,69914.3129245496,1.9299907572747619
512,100,54832.43280254514,34744.80913128068,1.578147475076489
1024,100,28190.559363021497,17424.209760559108,1.6178960050649045
512,900,113939.51075345803,65527.226447374065,1.738811741787433
256,800,157973.70798854338,88988.07431158595,1.7752233567321474
1024,100,32506.88223670376,17010.884101954263,1.910946076751488
1024,700,232492.79755048646,122698.14519501191,1.8948354694439022
256,300,102669.89047990035,58817.967607809784,1.745553181376297
1024,600,90661.01928822676,56839.82740281852,1.5950262946036171
8192,200,81295.83997203843,48832.439654252754,1.6647916947757593
1024,300,82618.35388001922,51334.02512144949,1.609426762942418
4096,900,139103.79453597032,68798.33552250691,2.021906394675253
512,900,112167.8517844331,70503.79592528375,1.5909476973878507
4096,100,53675.243783848106,34460.69141352587,1.557578840765235
8192,700,39827.002582004636,24919.342184621364,1.5982365139069896
1024,400,128073.41779852464,71121.47502380062,1.8007699890316557
256,700,102768.45669191219,46686.09352875527,2.201264850498023
256,400,125108.40443107924,59315.77823058138,2.1091926661526497
512,500,218624.17085769537,104189.08387589059,2.0983404664361878
256,900,131559.99334158096,57244.69321120439,2.298204182109775
8192,500,152662.46824662818,87191.89492611904,1.7508791198537985
8192,300,72010.1864746542,37997.38137569971,1.8951355032246127
1024,800,122211.16311673805,76586.05734526525,1.5957364480297729
4096,800,134550.9484488152,69744.6297416748,1.9291943902659565
4096,800,125712.97087996521,49156.66889863417,2.557394015839389
8192,500,146698.70265468722,93303.02350633578,1.5722824099556172
4096,700,230927.70112756905,121247.84298185878,1.9045922422069042
4096,800,68578.46539903438,43369.83132383738,1.5812481465968156
4096,100,40161.66232792856,25235.008428580157,1.5915058020128527
8192,600,75517.2165385733,37566.49697046091,2.0102277994659334
8192,800,200353.13594376968,84971.24391877686,2.3578934084486884
512,300,75604.67317066333,47234.241688785194,1.600632728875038
256,100,88530.88177035266,56270.53628076332,1.5733079444742715
128,600,135315.95032073846,74899.47399565695,1.8066341871584406
2048,900,248993.9791998989,156586.64072292217,1.5901355189073263
8192,1000,72106.52245248808,45312.78094590863,1.591306491176607
4096,300,65830.36136022086,41796.45799396132,1.5750224904160999
256,500,151186.03465245018,95166.34282014595,1.5886502535689049
256,700,98273.28292008054,47967.297444383694,2.048755884861447
128,500,106863.98636836665,56182.17500713485,1.9020977090117188
2048,700,79216.84528450375,48971.50074361899,1.6176111428405784
128,800,192556.35511776851,93497.3020055607,2.05948568554755
512,300,49425.04734788117,28600.5958497807,1.728112505329505
4096,200,91993.68010541161,50831.013653404065,1.809794326209565
4096,500,378660.10158034443,237564.50729901434,1.5939253968764697
8192,1000,189625.85254063382,112393.23827909636,1.687164240874993
128,900,212483.27851782832,109443.21737422631,1.9414933480187304
4096,300,43313.14185821299,27866.80417099782,1.5542916795349944
4096,400,122450.3638215312,56915.493482307924,2.1514416607772127
128,900,214076.52839625953,109318.34627419793,1.958285463441806
1024,400,68832.06834449091,44207.66491546582,1.5570166050641223
8192,600,51362.961010067156,32734.27780938007,1.5690879545034289
128,400,129822.91013084367,81480.70461614145,1.5932963606837238
4096,700,109725.44272144928,53915.74341202593,2.0351280679359967
8192,500,93234.99087328675,54509.002824173345,1.710451229020455
256,900,130411.49213313154,64837.41435415292,2.0113617026860746
8192,1000,239490.34756807517,124535.58998606945,1.9230675150361802
8192,600,50855.50538907128,25325.579367516788,2.008068784965283
4096,900,73783.76562971872,44998.63267930536,1.6396890580111225
8192,700,297145.5263699202,185768.68163866145,1.5995458639680598
128,300,79086.55477296759,38152.527144095155,2.072904750824816
4096,700,165717.78307461695,86344.15596057125,1.9192704037814832
256,100,22887.6797522828,14891.07425106187,1.5370066233234112
2048,500,62026.290266906886,38078.8838745444,1.6288893989450999
512,600,80545.65447088586,50523.437090590436,1.5942235744267448
512,500,52639.00325228194,33156.78306802833,1.5875787208994796
512,400,88850.83559477901,57470.31142497088,1.546030174393196
8192,1000,242689.9915288339,150569.03775101455,1.611818705583769
