P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,21198.136271760744,18779.00655706,1.1288209633108237
256,400,86104.2457785876,43244.960742362484,1.9910816035090175
8192,800,50950.4107592361,46379.37991347244,1.0985573945639548
128,1000,273679.28355331696,119404.61005167404,2.292032807065643
2048,600,124887.07662515546,111680.57587899217,1.11825244132402
256,900,136553.01072604768,51518.201495127876,2.650577985315765
256,100,18307.609455511953,12924.548421892341,1.416498964443622
4096,300,21933.20320408969,17279.41691731119,1.2693254239450726
256,200,43175.4285939617,22891.533499154106,1.8860872119186392
2048,400,34554.615121562965,21733.26502109654,1.5899412761046583
8192,1000,63055.237610933225,60202.342442558154,1.047388441257035
1024,500,86729.55369170076,53664.96732667876,1.6161298145165257
256,600,130386.96475104084,58028.72573355824,2.2469382724294005
8192,900,54288.27906154802,52575.017380802,1.0325869921894049
8192,700,57491.03215308059,35360.41439156067,1.6258585523477844
256,1000,161058.83060916423,58863.710166351215,2.7361311435178908
8192,900,159578.0625227262,149649.57060028278,1.0663449409351307
2048,700,42486.758490320564,41611.35817859911,1.021037532780453
1024,600,61852.89518686309,43965.34404781527,1.4068557070676828
4096,1000,35107.08602694024,33915.21825046568,1.0351425654310271
2048,200,14836.932912592398,12441.910416424595,1.1924963623758398
512,800,81775.75716234595,54149.74440156318,1.510178082391563
128,200,64032.8522622911,38939.521911435,1.6444180390280339
2048,800,95421.84447902764,71810.48771496736,1.328800952554163
512,100,62027.72875203921,60573.79424177784,1.0240026983361494
1024,100,10300.70297527952,9640.921141579869,1.0684355596327937
512,900,74991.07160663248,46304.128599874144,1.6195331577157963
256,800,182910.95882764962,86969.02217444926,2.103173684771947
1024,100,31186.874981566787,20829.72320776272,1.4972294480583503
1024,700,145485.51609301797,101971.47650017287,1.426727562317599
256,300,67184.03267628397,35896.699653227304,1.8715935817303964
1024,600,88388.28154950403,86765.25402755744,1.0187059617370693
8192,200,22550.9474158636,18018.92824454402,1.2515143581134933
1024,300,20469.756598970467,18573.116360380285,1.1021175015430393
4096,900,65745.74119523991,52757.84825268096,1.2461793528870646
512,900,65025.511454470194,53309.00486140186,1.219784755381011
4096,100,61435.28705361364,60573.79424177784,1.0142222032253285
8192,700,42466.12480731364,41694.171098573366,1.0185146673599823
1024,400,75534.01220463612,63377.543120814065,1.1918103556120607
256,700,91336.70363861526,38261.990551516115,2.387139360029874
256,400,75834.94370319055,22632.151942540644,3.3507615137845996
512,500,119849.21019929207,62904.27191045394,1.905263451262911
256,900,120942.00556819497,47728.093563071816,2.533979393255511
8192,500,90318.96022523034,84889.56492633495,1.063958335793179
8192,300,35619.850833577235,23136.448596413335,1.5395556792194591
1024,800,69735.7744063754,66116.18200423285,1.0547459380202993
4096,800,95421.84447902764,71810.48771496736,1.328800952554163
4096,800,72092.48448149096,64362.85987349461,1.1200944865282392
8192,500,71189.64819456064,66624.56129320196,1.0685195791574311
4096,700,145481.63354198076,101971.47650017287,1.4266894874444045
4096,800,46808.67635202763,43948.578664085064,1.065078274995042
4096,100,8999.46291747415,8321.239576006265,1.0815050853028552
8192,600,62669.63072635939,60947.46333963169,1.0282565884183048
8192,800,90965.57930380532,62102.16000225037,1.4647731946925686
512,300,52848.95475286431,51521.92639179481,1.0257565749964046
256,100,21751.32166996905,17954.53769414384,1.2114665406875718
128,600,148225.98771526164,70900.57950763027,2.090617435634777
2048,900,136858.4667927183,129752.604791726,1.0547646963419222
8192,1000,32256.97353657945,28498.849543516073,1.1318693229116124
4096,300,19867.473357018367,18481.458954016285,1.0749948587095113
256,500,102585.09522488552,66627.75825410518,1.5396750230383875
256,700,134741.05112203452,61827.216222082076,2.1793161548475264
128,500,124804.43998556808,53535.80791606614,2.3312329605866315
2048,700,90042.24242629232,69714.60276884174,1.2915836689890143
128,800,235622.9169816217,89245.39881899078,2.640168794130402
512,300,26788.69146458018,25000.830378077444,1.071512068177962
4096,200,57465.84466572602,53640.79281597229,1.0713086374930456
4096,500,184430.06215886434,173165.7012270452,1.065049607699448
8192,1000,86795.37936924951,71753.33995595953,1.209635390108982
128,900,226948.14381800863,103084.41806074536,2.201575641473507
4096,300,20257.433130479687,19028.50780282153,1.0645833788120755
4096,400,52376.51852057547,45126.38541333707,1.1606628370703855
128,900,266154.2655523922,103160.92321660006,2.5799911173106307
1024,400,29180.955848164922,26611.894241008282,1.0965380962320892
8192,600,28598.039208392605,18661.250273283804,1.5324824858779535
128,400,123460.92760148752,46532.57276323225,2.653215162412861
4096,700,44936.71938499452,36793.786558940206,1.2213127157491686
8192,500,31757.101378304855,27177.07231873392,1.1685254763962853
256,900,124487.41482957936,51088.94408718974,2.436680128231381
8192,1000,143123.074370418,94799.79607328854,1.5097403190590342
8192,600,21199.706945179234,18779.00655706,1.1289046031675816
4096,900,47188.45429025467,40761.55353335776,1.1576706528527518
8192,700,111070.38457997875,103650.17673083996,1.0715889551101074
128,300,80084.68438221882,32755.432020731212,2.4449283505567108
4096,700,96717.88011100044,80356.03512507299,1.203616877817086
256,100,15225.063348727792,14135.174116163842,1.0771047617529974
2048,500,36886.83497826676,36276.16196639806,1.016834002793194
512,600,50454.896417990356,30580.976963775065,1.649878500538328
512,500,44303.80707793699,35496.811911768345,1.2481066521708908
512,400,46202.32785897242,34415.68964887445,1.3424786290889696
8192,1000,156803.4284173629,146820.54879419197,1.067993749547719
128,600,158983.9893106185,69365.62215019029,2.291970927131407
2048,800,47201.37221437494,42695.059714644456,1.1055464620461652
8192,200,17837.00252819776,16319.454371522042,1.092990128354039
512,400,80080.65811213724,68462.06472805722,1.1697084864476557
1024,300,26631.8231512005,16760.521743464207,1.5889614630633813
1024,800,81807.84493281091,75591.86163784155,1.0822308534316825
1024,100,18056.43124411427,17347.873752067557,1.040844053984556
2048,200,29153.967585817598,27814.232772578187,1.0481672395637762
256,100,25673.010274944427,18702.315368100946,1.3727182848564752
1024,700,61419.79600673886,42452.09110493904,1.4468026051982406
4096,800,56682.577416656466,44366.085532812314,1.2776105156885005
4096,800,83613.78656927316,78733.61137126268,1.0619833780391243
8192,1000,62321.25375448576,45809.33523320091,1.3604487696061922
8192,700,69287.0272090103,57793.63501321383,1.198869515530017
8192,1000,35107.08602694024,33915.21825046568,1.0351425654310271
4096,900,35166.94204135847,32655.352187910106,1.0769120430548662
512,700,95121.21879764144,85438.48061711625,1.113329943493698
1024,200,42698.34810206855,39819.40708715139,1.0722999468228174
4096,700,146934.5892708095,132452.11299022113,1.1093412249426144
2048,700,106981.1295689579,91119.24221630921,1.1740783501578507
8192,300,20803.1302640798,19674.24141386905,1.057379028063311
8192,500,78902.80877573855,53378.57096652857,1.4781738691583772
8192,700,59107.70467092384,49777.7756414471,1.1874316180112363
256,1000,143470.97989080587,90498.72860811553,1.5853369665785562
2048,100,36652.898911421915,34300.968848800694,1.0685674528025308
4096,700,95058.25275337548,82072.46511123,1.1582234385740244
1024,800,104451.42396323556,101845.3758611526,1.025588281058885
1024,400,205484.99206175085,193515.84305327947,1.0618510030994
256,100,19121.854657920263,17587.547381984677,1.0872382739111885
128,900,208910.4019950348,96720.06020199122,2.159949048405719
512,900,93583.18401155817,72227.30001714897,1.29567606693506
4096,1000,93723.51015490544,90498.72860811553,1.0356334458658982
8192,300,35373.83355458744,25922.78608210399,1.3645845567119832
512,500,101123.73035258011,86843.01321389293,1.1644429023151697
128,800,191199.3079867673,79920.49096406845,2.392369036780928
128,100,35292.32536020763,22982.09428187623,1.5356444424666422
2048,200,26163.12349341158,21228.428234486382,1.2324569301324249
4096,500,98594.93856739,97935.06095418494,1.006737909863698
128,400,133709.29505003282,48772.78954290394,2.741473192391688
1024,700,120409.19488825864,107260.20847207752,1.1225896033905634
128,300,105077.38512473648,36726.85726982461,2.861050275899043
4096,500,102829.93840921948,71401.30747796739,1.4401688434199913
256,500,69534.08246439196,49937.16420129462,1.3924315402473193
512,500,157899.14506659185,147481.94731846493,1.070633714414094
128,800,255313.07555382326,97370.5352483193,2.6220773553592043
128,400,184679.12973038945,125078.80246001596,1.4765022217847503
2048,600,74718.95152306595,51282.51062023954,1.4570065041545919
4096,100,24692.14220653109,22656.454190491233,1.0898502474802179
256,900,257814.1435747769,184098.91857787647,1.4004109614892597
2048,500,38252.71516403487,37441.44378906292,1.0216677374820928
1024,500,45680.211238118776,44576.14394763512,1.0247681201806202
128,200,50144.424195891974,27723.977542298137,1.8087023811567886
8192,200,71341.3528657739,67151.768032449,1.0623897919009428
2048,800,104250.47932356376,101845.3758611526,1.0236152446006983
512,800,79650.04932377535,52828.81053104514,1.5077009783699098
512,800,94220.3967977508,76577.73322810722,1.230388950232964
1024,600,71163.22705699466,48408.82573041455,1.4700465459190812
128,200,65873.81066454174,24735.736732623263,2.6631028368628553
2048,600,32961.31106767425,30580.976963775065,1.0778370850191878
8192,500,29816.54177479584,19560.487282935454,1.5243251021055984
512,300,49284.60668157949,33160.64237859692,1.4862379962032812
512,600,85168.12625531096,44462.8864987731,1.9154880162281203
4096,300,82661.62120480459,77306.4040908596,1.0692726194798932
2048,200,10779.488476024582,10040.691196847953,1.0735803207859393
512,800,84365.94475198777,50772.066671360866,1.6616606390690078
128,500,230541.5837477343,173629.6110728368,1.327778034652299
4096,600,85628.57445908285,72740.10717064606,1.1771851567141747
8192,400,52376.51852057547,45126.38541333707,1.1606628370703855
256,100,28974.33272373645,22363.056566867846,1.2956338341809495
2048,1000,47206.96138873181,28109.406843986402,1.6794008372621017
2048,500,113911.08800254732,62891.775190494496,1.811223926459686
2048,1000,107228.78378264501,75796.72432283711,1.4146888897986005
1024,600,21236.571604407185,18779.00655706,1.1308676814122127
1024,800,119855.5543828335,112592.55358879731,1.0645069372932212
128,200,70642.66839293759,22186.36413155776,3.184057918370494
512,100,13433.741810715004,12506.156799285585,1.074170268797718
4096,900,92526.10298027775,85663.51049156082,1.0801110350175644
8192,900,122840.35579743401,114082.80036744605,1.076764905855931
8192,300,36525.09636355706,24597.69281353905,1.4848992806127301
4096,1000,114449.11284754387,97058.77161015228,1.1791733085932912
128,200,82893.79153174926,34129.72158000343,2.4287860461280952
4096,200,40279.32286897588,38939.460754354994,1.0344088512954315
8192,600,111256.40560004362,85848.15788843864,1.295967302462372
4096,800,63788.14316321406,60650.662845165505,1.05173035496839
2048,500,52377.97287220616,35523.310698868714,1.474467661987209
128,300,110631.20867664037,42868.394179046576,2.580717351216184
128,100,47255.11533613569,17899.559780833548,2.6400155039977813
128,400,134353.61587342218,47063.4505065966,2.8547336505764838
4096,1000,41872.84652252437,30918.141407431434,1.354313183665687
2048,800,54335.44904682408,50763.481713515124,1.070364900372032
2048,100,23485.25810241746,21949.84902967429,1.0699507805574167
128,900,266457.34175740066,102028.33792508653,2.611601317597125
8192,700,34576.325424679526,31684.037608755014,1.0912853295921259
1024,700,80684.17485701553,66320.27242801076,1.2165838875978152
512,700,74098.11189266872,61346.24441089266,1.207867125432569
8192,1000,579169.5907703134,544585.7100480688,1.0635049361085733
8192,1000,55771.2073876028,52314.885183268474,1.0660676630031052
1024,100,32855.092350102015,31319.451246236975,1.0490315456612462
8192,1000,129275.40871436299,120557.43492411824,1.0723138626475592
4096,900,34083.20641686348,31640.39833817212,1.077205351607229
8192,600,130821.51851495061,122634.8967329771,1.0667560539460388
8192,1000,52720.66900198786,49557.77241888677,1.0638224122821083
2048,100,24243.306744885263,23097.256435111492,1.0496184606597514
512,800,49713.35263095128,38336.594525084816,1.2967597473589445
2048,200,38008.18389744602,37946.30536557415,1.0016306866050786
2048,600,51037.68197874709,33916.34753113008,1.5048106796258711
1024,100,31004.421754214804,29554.958545859663,1.0490429789000058
256,700,144881.59197077996,47523.960799855195,3.048600948497151
128,1000,251790.99403677834,111804.66682439692,2.252061574784238
1024,800,50639.81902701952,40421.19798120487,1.2528035178612502
1024,800,37511.799416325855,34904.751507598776,1.074690344326317
1024,1000,65470.8870675385,55735.236402641,1.1746767627316672
8192,600,64412.37259802789,60144.36411673883,1.070962733482475
4096,200,17519.34073044296,15726.677746397436,1.1139886639093992
1024,700,147040.22868463345,132452.11299022113,1.1101387917872578
8192,800,127205.07224452065,107232.14310089932,1.186258789259
128,1000,269894.99876247585,109237.63657662571,2.4707143730005146
2048,1000,85575.17732201442,56446.32882143322,1.5160450486112163
1024,1000,104143.09212160429,70250.77350904822,1.4824476218498972
2048,900,98193.2542950168,82690.26725018611,1.187482609022476
512,600,68421.14851793811,28950.864730709705,2.3633542263544274
1024,700,29872.312465425624,29025.881672657724,1.0291612431385757
1024,100,18734.342363874868,17402.954696611207,1.076503541523493
4096,100,19152.17763398919,17809.6328420409,1.0753830695924915
128,700,210324.2904700964,83214.36890509089,2.527499676287627
128,300,86934.64053546819,34512.68583773153,2.518918433187415
2048,1000,72346.6414511977,71261.14520805598,1.0152326522394846
256,500,96962.13887912418,35523.310698868714,2.729535535160918
128,500,116278.81168751323,56026.380959696515,2.075429640389592
2048,400,35243.950932177475,30788.555312709123,1.1447094731862661
128,900,252258.70251992333,103152.02937065497,2.4455040202213096
128,300,77651.22908222531,30815.59640870832,2.5198677985113247
4096,200,30301.87237330219,28939.495392742734,1.0470767358611617
128,500,168474.00925196853,62386.64500506909,2.700481957929931
256,200,57905.1893312198,34123.56738045935,1.6969266045841047
1024,300,22016.133239047158,20366.163083435094,1.0810152677680398
2048,200,65591.82215409206,61372.60518345501,1.0687475618482378
4096,500,123534.916406409,114521.14245494771,1.078708383083126
8192,100,16014.03443592385,12056.98525864028,1.3281955723092445
4096,700,61260.36987157243,42452.09110493904,1.443047168633942
1024,500,39805.4328769675,38397.17028659358,1.0366762076440204
2048,1000,91340.13673313931,90612.693267471,1.0080280525767074
8192,1000,173310.92788447742,162392.86932151654,1.067232376695953
2048,1000,64798.10468558254,60543.78817954,1.0702684228054338
8192,400,33361.77844367205,30165.425795839306,1.1059607999391678
128,700,154387.06542273884,75809.96321061933,2.036500993857659
128,1000,441235.6316728796,288023.0601366038,1.531945502778875
2048,900,56255.669407431036,42076.23356110103,1.3369939428095277
4096,200,28028.15990557404,18050.62303154285,1.5527530466176034
2048,300,51439.99074577394,45111.95494347674,1.1402740317999063
128,100,48579.12058299728,14446.766271911083,3.362629371075927
128,1000,344297.9488807745,110076.46947736123,3.1278069737836587
4096,300,22159.978227571824,20570.96909448887,1.0772452248498425
256,200,33709.426638462406,27723.977542298137,1.2158943133982973
4096,400,71226.18428883256,66926.42590403692,1.0642460482046492
2048,200,34785.52523517615,32540.902931029297,1.0689784886702238
256,1000,249964.88088380193,194547.19755313522,1.2848546986421168
4096,600,60916.92044550838,57412.70684815128,1.061035505722196
256,500,137844.03499106763,73196.94614990943,1.8831937975767339
256,400,93925.4623464322,45126.42140747785,2.0813851268708827
512,500,129728.00920404558,114523.64185050332,1.1327618219947084
2048,900,65745.74119523991,52757.84825268096,1.2461793528870646
8192,300,90596.24065609294,84396.74424018276,1.0734565826173006
512,900,166989.10948626287,149649.57060028278,1.1158676153658627
2048,600,39992.02649791397,32874.997452313044,1.2164875923085487
256,700,156273.47206851817,51196.085489777375,3.0524496272224213
128,300,89970.41357560626,27253.416999670506,3.301252594369873
128,300,107356.92391828237,33300.695014947356,3.223864362893751
1024,700,53175.62806883564,49201.53957608187,1.0807716288350797
256,800,163288.82831035458,57826.93902776309,2.8237501596264427
1024,1000,38431.67479212372,30928.88515915138,1.2425819616311768
4096,900,51909.83758131376,42308.40617125458,1.2269390950629249
512,600,32651.98940494514,21988.935751463338,1.4849281372233847
2048,700,117879.5640786844,110859.18311471,1.0633270133039872
256,400,102306.5992676836,53259.20525974124,1.9209186237147515
2048,500,71193.57332199003,66624.56129320196,1.0685784932778877
128,800,183779.93771878182,92351.37447544445,1.9900076069538906
512,200,31583.96938010072,23117.237029627373,1.366251915815989
128,900,234230.7962580896,94518.05570423097,2.4781592735154474
512,300,34717.853413453326,32331.936268961428,1.0737944404147044
8192,400,35743.888597889665,33618.972390895855,1.063205864304444
8192,500,34160.36818327162,30238.042864909574,1.1297149202375725
128,400,132394.64572572877,48720.51320368562,2.717431262930813
512,400,194003.74892383636,186703.3320474569,1.039101695702591
8192,700,23554.568589751943,21733.392272247234,1.0837962290788026
8192,400,37863.89852956197,26546.468859735378,1.4263252385703327
1024,600,40638.04395220271,29865.350306368007,1.3607087656874965
512,700,48190.27092504434,29025.881672657724,1.6602517528499194
4096,400,40594.31150393575,36227.84755042349,1.1205278328345296
8192,300,33020.7159463508,27248.226586824265,1.2118482588631214
512,200,21778.678700653207,20330.555626091365,1.071228898078092
2048,500,159021.3197065917,150425.0517802286,1.057146517981076
128,400,115819.44518229333,42797.12681057494,2.7062434750567173
2048,400,20613.80419500942,17742.443550288524,1.1618356928448113
4096,400,29113.18630813072,27155.933418576842,1.0720745945051906
8192,800,51664.34189510558,48235.14390825591,1.0710933503872626
1024,900,92548.44997035414,85663.51049156082,1.080371904434988
512,700,109924.24150334028,80357.08323268619,1.3679471314935348
256,1000,224188.41385639325,95719.83817352499,2.342131141613246
256,700,130378.52071350579,66354.8129063725,1.9648690879058246
256,500,141704.98826743267,63127.950965255164,2.244726560908421
8192,700,99165.49666203692,73742.01759573007,1.344762455587857
128,500,107702.34117352705,55659.95529531376,1.9350058871246516
2048,900,50628.628654995184,47139.992713958745,1.0740058650879556
128,200,66826.0015718312,42776.4318576044,1.5622154226019553
4096,400,70997.73769430691,66503.6244481076,1.0675769671727597
2048,400,27688.18707979866,23700.07824770922,1.1682740786931756
2048,100,10126.908520429011,9516.14337669928,1.0641820031027716
256,300,45740.20614993341,16760.521743464207,2.729044289314554
1024,800,38177.8816904893,35597.83621265971,1.0724775928069483
128,900,349596.57224894466,110304.68081578685,3.1693720489775465
1024,900,81391.28681698175,75449.13454700036,1.0787570633600811
2048,400,25052.346873951727,19252.6280861351,1.3012429659924367
8192,900,35863.78334206979,33158.57017036733,1.0815841321807058
256,500,120986.3048227588,84910.77897470127,1.424863913435608
512,100,12423.299341614758,9011.915100790524,1.3785415422438887
2048,400,35383.497943322116,32352.598258555856,1.0936833468688938
128,700,332586.936961698,237800.98990500558,1.3985935764798816
2048,400,80562.81261367642,50876.400696790595,1.5835006311434785
4096,1000,300814.61940319685,281398.91676139703,1.06899707669544
4096,800,127205.07224452065,107232.14310089932,1.186258789259
128,1000,340781.2230495947,163336.4654407616,2.0863756426343647
128,1000,340798.2560609867,115948.15552755489,2.93922964544267
128,600,122578.14114573033,64016.28039679616,1.9147963672045063
1024,400,22552.87634104886,18307.43976342798,1.2318967934610832
512,600,122008.99046271671,90097.16084726775,1.3541935097105418
128,700,289068.36995411676,142838.5537233773,2.023741926944526
256,1000,376109.8336667036,320464.419199229,1.1736399148664318
4096,700,120262.9552148106,107260.20847207752,1.1212261930864886
8192,700,43388.09499996494,40106.49652901174,1.0818221174861133
512,400,62960.70647629761,52638.32287426997,1.1961001612206246
256,400,88923.84990723107,60987.569802147,1.458065146647319
8192,600,162142.88266479364,127907.92965534359,1.2676530931404988
8192,900,196505.60260423296,183126.6918346876,1.0730582234381365
4096,800,49592.8455424294,36672.2149998591,1.3523275194209008
512,500,98021.97801831346,62600.06932840837,1.565844560076715
8192,800,157769.71516904447,148024.03103293112,1.0658385268128876
2048,200,14429.77553774494,13337.35876144625,1.081906530058747
1024,200,31797.505782379063,26688.32812098575,1.1914386558135812
8192,500,51446.27661992835,41189.47869015632,1.2490149974202818
256,500,130818.16103957599,64106.45222511053,2.0406395378144864
1024,100,7860.537436914504,7152.901243328333,1.0989299543658873
1024,300,25680.981100783763,24078.953359370287,1.0665322830898731
512,900,284384.1512535805,229800.42209317343,1.2375266705919101
256,100,35399.45075240313,25440.224664257337,1.3914755557225158
128,700,221095.49073059665,92417.89181801837,2.392345100946032
128,1000,367949.0130756488,155765.44053451647,2.3621992902470175
2048,700,28172.532256931285,26067.12107591305,1.0807688419019048
2048,800,112607.02597138364,82940.54724397566,1.3576836627342461
8192,1000,184628.12736700827,111577.13934558528,1.6547128600883365
2048,700,29686.51979493342,25871.051952994367,1.147480197128105
256,1000,140622.71667658957,58569.061920395274,2.4009726648468153
4096,700,71685.2762895626,60285.399819468286,1.1890984633797332
128,200,55615.7298818497,21601.854967306153,2.574581209161096
8192,800,83808.19426709869,48425.21287150835,1.7306727074071038
2048,1000,63203.72986764399,60202.342442558154,1.0498549940635549
1024,700,58891.30629517901,58796.06304945136,1.00161989155035
512,900,109811.89462505399,63466.880684134354,1.730223597588988
128,300,101587.57985517397,34119.012930735975,2.9774477960837844
4096,900,71359.00569144473,68817.41819972453,1.0369323284454512
4096,200,30827.35732511159,23681.10697554874,1.3017701139115458
256,900,300484.45676670736,253651.7844619295,1.1846337190338472
1024,500,72526.36974322074,62373.284305942194,1.1627793942592066
256,900,214672.80053568978,132038.8394742635,1.625830713072368
1024,700,122445.01551266776,116488.33981442524,1.0511353815131363
128,700,219791.3293142011,78479.10754470208,2.8006349229826153
1024,900,54291.77807810764,52575.017380802,1.0326535450263594
256,300,74445.67806481656,21515.230474413613,3.4601385355062315
1024,700,136615.3158642478,85672.54241504308,1.5946219408595463
1024,800,98562.1560403864,83711.93042021694,1.1773967646621495
256,300,38522.02472710664,22793.463249481996,1.6900470238098675
1024,800,58809.90836533994,53281.95779009162,1.103749013822392
2048,700,21703.217964763728,20241.050244316226,1.0722377397812193
1024,200,26163.12349341158,21228.428234486382,1.2324569301324249
8192,900,54857.51365599975,51151.844025608865,1.072444497377957
256,300,93834.04037711915,80517.55870716526,1.1653860584420435
512,100,16080.883856401357,12228.569679313945,1.3150257371149507
2048,700,41252.22343300373,37075.37110490693,1.1126584091708254
1024,800,91007.5740662636,62102.16000225037,1.465449415333795
128,700,248742.36752255907,91940.15576527944,2.7054812497554512
128,100,39862.07899013508,31016.524467410036,1.2851884495317754
1024,900,280119.7308860378,255315.3157889041,1.097152084356906
2048,300,25584.891265835588,24009.73900443229,1.0656047223633927
2048,900,122840.35579743401,114082.80036744605,1.076764905855931
512,800,80963.36985811693,48658.058952929256,1.6639251873248608
512,400,44602.154365317816,28824.379087289086,1.5473760676769055
1024,500,29650.288542372367,27319.151569382047,1.085329771939292
2048,400,73841.804758016,61717.64616532399,1.1964455766866877
512,800,93278.60370582149,64362.85987349461,1.4492613269385612
2048,300,20469.756598970467,18573.116360380285,1.1021175015430393
512,400,54191.49258175702,46346.74140253926,1.1692621949638937
1024,1000,340034.6792366385,318823.5863822797,1.0665292461421785
1024,700,95073.13137268601,82072.46511123,1.1584047249444336
2048,200,17837.00252819776,16319.454371522042,1.092990128354039
128,600,205296.89302062665,102083.55250788486,2.0110672873063433
256,200,63363.68600925607,44503.178337827754,1.4238013637645484
256,300,65125.56942673062,25925.04840988032,2.5120712755124712
8192,400,67318.83785206593,43214.48493372207,1.5577841076970518
2048,900,55079.908756918965,53309.00486140186,1.0332196014561008
2048,800,56823.91247644971,50851.16746299596,1.1174554157050587
8192,1000,40967.58227197,38513.66294334092,1.063715552899737
4096,100,15280.737162878353,12228.569679313945,1.2495931710417045
128,800,287823.63884959824,89210.20923574897,3.226353141813498
256,400,69359.81689498619,26808.94972573375,2.587188890447585
256,500,68948.94927406873,29868.4267369777,2.3084225319677976
8192,300,62772.492115019755,60345.735579996704,1.0402142174869349
8192,300,85965.53193012896,80360.55407407164,1.069747874695973
