P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,76748.54614755452,32086.250269673834,2.391945007674924
256,400,123179.98515727554,69344.18366491112,1.776356410113829
8192,800,154548.84605613898,68639.61815064191,2.2515982783726143
128,1000,237520.3261964086,125295.95783362567,1.8956742923167573
2048,600,299768.1895879385,191374.78812730435,1.566393319210521
256,900,187301.35608616107,79309.82918527524,2.3616411485215463
256,100,56142.397543787825,27744.76099020595,2.0235314899128665
4096,300,44540.147486360074,24265.13520631133,1.8355614797800608
256,200,70328.71492666648,32996.77807816611,2.1313812748646153
2048,400,87347.06665170772,49006.50439213838,1.7823566021517734
8192,1000,166942.50507920404,97895.23348711745,1.7053180132735766
1024,500,203240.3192447839,103433.70181766388,1.9649332439349623
256,600,229485.53618208712,107515.86756387605,2.1344341201148556
8192,900,117467.56891959041,76055.59330000391,1.5444961221489069
8192,700,181238.31865637223,80626.46962808013,2.24787615645832
256,1000,144915.4614847825,66688.81108753479,2.173010121511516
8192,900,492980.19664199126,294265.0674249581,1.6752929627561328
2048,700,100765.77834314814,53921.858220267735,1.868737125703748
1024,600,173844.67531292007,87981.12037524463,1.9759315927265115
4096,1000,116275.70735023821,57823.110280004155,2.010886422179327
2048,200,72939.13087072552,43211.18708703341,1.687968690233292
512,800,140478.47961802673,76745.1936743743,1.8304531253653396
128,200,93564.82451195671,55080.46923257345,1.6986933084554119
2048,800,206093.47135863864,91530.45019922058,2.251638344507931
512,100,105439.04685676914,81541.92332472774,1.2930654877598962
1024,100,44762.85604456713,26126.125239736124,1.713336961903779
512,900,148723.21937053167,83768.9354752691,1.7753982252100944
256,800,260906.87703134544,140690.70674223357,1.8544712943219903
1024,100,55530.484706351664,26128.92828146623,2.125249229825494
1024,700,431262.2322042258,209079.4040392636,2.062671998640468
256,300,143600.058603432,73378.01257741736,1.9569902966767732
1024,600,154862.02899769635,121589.27436436518,1.273648763900203
8192,200,116884.57498253664,66804.37457564907,1.749654505786547
1024,300,118007.76820478486,60661.299768006524,1.945355088929755
4096,900,211301.1153413396,83867.31024046338,2.5194693228565397
512,900,157417.29671702476,83934.36071927342,1.87548097546751
4096,100,105439.04685676914,81541.92332472774,1.2930654877598962
8192,700,53593.8199028957,48366.36010081021,1.1080804879918578
1024,400,182766.48297638746,93715.09953214714,1.9502351690262354
256,700,114389.5414660667,54206.33391376397,2.110261536005133
256,400,173563.22395627818,62094.6152682652,2.795141305030058
512,500,375044.6310138856,150411.49619722992,2.493457219002072
256,900,142087.26570960734,65851.69814960258,2.157685674055238
8192,500,249694.27692147944,145171.26830844925,1.7199979020018437
8192,300,101079.56301930168,49207.11959862682,2.054165410285922
1024,800,191187.4980439828,113583.42103934956,1.6832341929351493
4096,800,206093.47135863864,91530.45019922058,2.251638344507931
4096,800,186559.2594839578,80495.74766274964,2.317628755565809
8192,500,220744.25144953883,126547.99516819877,1.7443520235633996
4096,700,431262.2322042258,209079.4040392636,2.062671998640468
4096,800,123930.05587024316,76289.52886222344,1.624470064483647
4096,100,55731.09278696412,27021.11397775278,2.0625016730564494
8192,600,116596.39405274478,71516.09563181561,1.6303517833665706
8192,800,309173.63724161364,111382.24810651336,2.7757891629728557
512,300,107814.36368258568,64288.232254330745,1.6770466367166725
256,100,124993.4373588604,66621.99147149005,1.8761588268094567
128,600,139588.60709124847,74899.47399565695,1.8636794044687486
2048,900,418457.58929973684,246837.67939689083,1.6952743613623833
8192,1000,102366.23675962319,55350.7803146872,1.8494090991606227
4096,300,83932.22204659143,44478.45983108848,1.8870307642245856
256,500,220971.82491037945,126547.99516819877,1.7461503409570345
256,700,151652.4204521379,88059.66488743904,1.7221553210086067
128,500,115235.47298402253,56182.17500713485,2.0511038059560387
2048,700,138820.32514588078,82723.15596316708,1.678131395370013
128,800,226234.19261299667,133043.65281458962,1.7004508507315108
512,300,66783.09280917482,36792.68253707005,1.8151188824540931
4096,200,151013.56294690183,87248.16939999937,1.7308507901703083
4096,500,626288.2271902112,374127.1854931126,1.673998178894008
8192,1000,290227.5489561866,150682.91879743664,1.9260812789692516
128,900,225202.84377444533,109443.21737422631,2.057714029042061
4096,300,58592.84020274123,36076.63280186646,1.62412164473703
4096,400,191149.04752282365,80803.01007103526,2.3656179064960745
128,900,231764.406254924,109318.34627419793,2.120087013332607
1024,400,102231.38717831172,55614.3310578869,1.838220207519944
8192,600,68268.86278827753,36813.11504024967,1.8544712316150285
128,400,183150.2825204352,101350.91774796846,1.80709051866584
4096,700,162559.59680926675,83298.65199605712,1.9515273406460574
8192,500,124921.67186863827,62291.80850112228,2.0054269553979576
256,900,168317.32352902013,72343.07089417889,2.3266543906496486
8192,1000,420704.8887008179,193587.99783544827,2.173197168237781
8192,600,76748.54614755452,32086.250269673834,2.391945007674924
4096,900,123060.48625867645,74506.27131782444,1.6516795711562628
8192,700,457578.3446201647,257665.43434439163,1.7758623533825364
128,300,93094.54311412311,39128.1871492468,2.379219429692263
4096,700,241113.11664911325,120542.04638444567,2.0002407780612033
256,100,33309.25803822736,16062.953290333515,2.0736696070872878
2048,500,94156.76962366684,64798.784885890724,1.4530638157717757
512,600,108009.36554116348,54759.00301290296,1.972449453028081
512,500,78808.90808102975,40793.162330552455,1.931914653794933
512,400,125630.0170585477,74066.52558882261,1.6961780785557268
8192,1000,474848.3919198891,296829.78369162104,1.5997329715848632
128,600,138002.09053702667,72849.63176490327,1.894341634867561
2048,800,189724.14508600213,80691.6874824957,2.3512229202934765
8192,200,60401.35490154968,41095.10804137316,1.4697942840481073
512,400,285923.84340324416,161388.29849094016,1.7716516381718657
1024,300,107071.93224711235,42146.23556164081,2.540486257438454
1024,800,290875.64523775945,164504.5334558055,1.7681922748706729
1024,100,25565.303338958656,18958.590370662885,1.3484812340541523
2048,200,96205.03035520797,57462.271367614376,1.6742295086063885
256,100,101153.49275983122,54998.76131684471,1.8391958352860303
1024,700,243446.5690001777,99618.79371512462,2.4437815388163693
4096,800,125581.9495425917,63505.82912459984,1.977486968892212
4096,800,340023.93618424627,202353.75339573988,1.6803441027321449
8192,1000,212507.88255118433,97107.11998289233,2.1883862129638127
8192,700,279317.11313357524,143967.24459588702,1.940143495262498
8192,1000,116275.70735023821,57823.110280004155,2.010886422179327
4096,900,142474.3508014261,71933.22533163877,1.9806473315295772
512,700,304452.00562891475,177200.19832819805,1.7181245196183677
1024,200,87993.7737955856,54881.936751014604,1.603328508518039
4096,700,208260.50150333362,168001.64809777957,1.2396336813441424
2048,700,340525.54696741846,177106.47023915342,1.9227165812044822
8192,300,71785.94993390667,42831.51684479748,1.6760076509554234
8192,500,246056.46572324794,105591.85204537216,2.3302599675732463
8192,700,148439.7815468644,61680.706160931106,2.406583691820425
256,1000,249212.12176041192,147856.9083645297,1.6854952840350133
2048,100,129201.91000965079,80097.32978272869,1.61306138868952
4096,700,236871.6585592649,124421.16221479316,1.903789149231254
1024,800,159670.88022245598,124249.35109939276,1.2850842182244309
1024,400,724321.2304913868,447124.8921868822,1.6199528211206065
256,100,29664.577741571433,18030.171622542253,1.6452742859354286
128,900,228164.43389841603,106569.95671190214,2.1409827022378227
512,900,299675.4340683405,155561.6151421717,1.9264098909905218
4096,1000,248295.16632418733,147856.9083645297,1.679293643229946
8192,300,127053.48033248627,59646.42706960382,2.1301104957086943
512,500,353219.4726835903,191297.86620507852,1.8464370758057789
128,800,186166.7633685923,84426.00544789649,2.205087903673059
128,100,52234.93495077285,33864.52550884084,1.5424676461843867
2048,200,76240.32961681455,38158.64128795635,1.9979833412170669
4096,500,107863.7796326039,100808.81710997372,1.0699835860084919
128,400,143342.00557367792,56697.870143421365,2.5281726669993767
1024,700,429154.8226576552,203696.4792654518,2.106834758289524
128,300,116384.27939332952,56263.074324413734,2.0685730524118893
4096,500,306225.62638102757,144967.29718427974,2.1123772901122604
256,500,109166.19209941452,64740.90042417872,1.686201325347096
512,500,314265.33941221976,225641.9561793339,1.3927611014081551
128,800,229313.60702631812,103240.3095790912,2.221163496711947
128,400,395939.0823710395,248839.23122737743,1.5911441311649497
2048,600,192827.9533861691,92901.70772451619,2.0756125813958852
4096,100,81977.79720850072,53822.603263146375,1.523110965251896
256,900,795524.0813039541,471069.48858223285,1.6887616383269162
2048,500,79633.31279494263,46117.50017027101,1.7267482517683626
1024,500,175993.67147666082,94363.66759019131,1.8650575583918336
128,200,58828.42112152708,34021.21650844406,1.7291686529470773
8192,200,256797.23333161147,148803.6312079928,1.7257457445555802
2048,800,159670.88022245598,124249.35109939276,1.2850842182244309
512,800,116698.21750555848,82757.78660001053,1.4101176735138012
512,800,361210.1308057702,151102.0773920206,2.3905040687736103
1024,600,227617.30500592856,105019.85128070624,2.1673740938513912
128,200,126547.99858539175,70374.68498825342,1.7982034108787057
2048,600,106800.81547496235,54759.00301290296,1.9503791084325748
8192,500,92200.91695519096,44043.12302968092,2.093423685987395
512,300,101456.6943829545,53292.82538852232,1.903758970242273
512,600,285845.0136049498,123966.35877611427,2.305827294009592
4096,300,270375.0508403377,151327.6818856169,1.7866860013404842
2048,200,34758.55685397473,20700.962951012414,1.6790792262286913
512,800,175735.70417077024,108006.22245017193,1.6270887008555912
128,500,627987.9999270467,375731.15576153254,1.6713759034814124
4096,600,202436.91840572248,110655.08892051583,1.8294406554689413
8192,400,191149.04752282365,80803.01007103526,2.3656179064960745
256,100,116321.3241862511,64601.3564317874,1.8006018853346346
2048,1000,159163.6958124791,60509.32359768595,2.630399521084152
2048,500,375044.6310138856,150399.0297809245,2.4936638990303748
2048,1000,518813.949569446,254936.71337053613,2.035069577504826
1024,600,76748.54614755452,32086.250269673834,2.391945007674924
1024,800,389119.93974656274,220831.60557494673,1.7620663434179562
128,200,158278.84126334963,63311.651754383245,2.4999954491377103
512,100,36994.890596126694,19361.98507836203,1.9106971958918768
4096,900,236628.24733086696,138660.26103350002,1.706532539079081
8192,900,437978.76918614894,227394.75968666168,1.926072394058954
8192,300,105848.50235276435,49550.41489560321,2.1361779225416067
4096,1000,318864.8887846968,182480.7972512204,1.7473887312412226
128,200,96436.54327617427,52625.615790818134,1.832501944670832
4096,200,81984.86139857092,55080.40807549345,1.4884577704326758
8192,600,332692.47519431973,147890.2175992439,2.249590815369932
4096,800,178506.9330316715,96700.03304942673,1.8459862670411957
2048,500,111846.05752804394,63587.77275587825,1.7589239673079216
128,300,104775.48829989268,45007.6355113429,2.327949182611181
128,100,59535.055412323134,29276.558469929165,2.0335400922712066
128,400,134805.99726735993,70067.20077666298,1.9239529447886727
4096,1000,129889.78029321428,75618.70934949408,1.7176936952585438
2048,800,175735.70417077024,108005.60745631279,1.6270979656482523
2048,100,47587.13105153959,30198.110141443554,1.5758314288095643
128,900,242835.76354428072,107296.26736457921,2.2632265735690074
8192,700,130797.24249727384,68714.9288586522,1.9034763576096547
1024,700,211749.22337014036,114978.99996643869,1.8416338934235645
512,700,90472.06858779417,72744.33423628379,1.24369917654244
8192,1000,1824755.9245995278,1137530.3818757026,1.6041381871406737
8192,1000,205227.70053799852,114821.68959577374,1.7873600472218827
1024,100,53637.19333002626,43929.616859217924,1.220980221655891
8192,1000,495910.3797660127,270407.67287867976,1.833936051025099
4096,900,174988.20205394068,89987.30710479997,1.944587605562504
8192,600,368247.6789582988,212721.5108913956,1.731125721207888
8192,1000,135110.6444665588,88788.38772271542,1.52171525952816
2048,100,94200.82313085342,49628.83987756196,1.8981064913718286
512,800,90596.56808282335,49694.143521465914,1.8230833990264708
2048,200,54850.7624390415,38263.86021787016,1.4334874246018923
2048,600,194736.96074571065,64352.41237737711,3.0261019525379877
1024,100,68300.95462141633,38902.58936820653,1.7556917349372085
256,700,183895.99733451832,99443.58346047232,1.8492495034394538
128,1000,233542.65230795005,118514.74706755942,1.9705788358542324
1024,800,172937.57036058497,81513.14058911963,2.1215913055332414
1024,800,151198.34502471692,79873.37446696083,1.8929755507858161
1024,1000,184897.30015765602,107712.89842023634,1.7165752929262819
8192,600,254900.42650691932,131761.85730909472,1.9345539878734321
4096,200,71523.86468541744,37222.327856175216,1.9215312100248338
1024,700,208260.50150333362,168001.64809777957,1.2396336813441424
8192,800,322916.04689757095,178752.13959328766,1.806501715908394
128,1000,266780.7906576098,114759.30901984677,2.32469847488775
2048,1000,219837.8046789683,93395.93902427712,2.3538261617758796
1024,1000,280601.1257534135,129220.21608915825,2.1714955619622764
2048,900,211061.81063266087,109810.59666555177,1.922053217463959
512,600,134496.25261812002,55246.19014466643,2.4344891885925737
1024,700,85752.42345571927,52978.919429421854,1.6186140521412116
1024,100,80301.81226597808,50440.03416874034,1.592025334426602
4096,100,124735.42982126106,66433.41435496167,1.8776007681132383
128,700,225401.64178760172,95764.45131334884,2.35370890446675
128,300,88031.21647219369,36061.13127075538,2.4411662465948387
2048,1000,111891.59855511319,87656.17777952272,1.276482746447702
256,500,114689.53106019353,63587.77275587825,1.8036412676459292
128,500,113177.43832839088,59540.26409032341,1.9008554976628778
2048,400,111233.069780657,64845.882043045916,1.715345158028977
128,900,260436.2836857744,142091.52385562783,1.8328769839247472
128,300,84717.78202828973,49018.24004301976,1.7282909780918096
4096,200,75278.34475845323,52396.80681940171,1.4366971830538888
128,500,273534.68706190767,133237.7915469743,2.0529812441800366
256,200,91927.98058908504,52126.77261513772,1.7635463693063738
1024,300,111431.62653917015,66019.7704373757,1.6878523781731523
2048,200,147574.99785691558,99057.8538518329,1.489785939413273
4096,500,350218.2577476483,218673.40978607017,1.6015584980829147
8192,100,49216.92234438945,29457.384252428696,1.6707838660295042
4096,700,243446.5690001777,99618.79371512462,2.4437815388163693
1024,500,116049.2305943131,54675.27307489169,2.122517622094986
2048,1000,128820.55475770493,117209.69503034814,1.0990605745058075
8192,1000,479550.24647582317,310306.1045740466,1.5454102881220977
2048,1000,149335.27327735574,92929.47364766299,1.606974272162051
8192,400,159557.03918509852,86617.18216219664,1.8420945498586756
128,700,167169.47660111595,80058.73659126465,2.0880853698028017
128,1000,1099997.365422935,667487.6807548334,1.6479665425120578
2048,900,155067.75893431422,81400.98392035367,1.9049862970457383
4096,200,77280.92609587533,38046.299123850666,2.031233730363778
2048,300,237289.38870681264,122166.32017680924,1.9423470262785008
128,100,123201.77435701646,67205.4375358315,1.8332114018501813
128,1000,423204.34153583756,177126.7800345265,2.389273612117514
4096,300,97982.21113087397,55675.452984295036,1.7598817051118174
256,200,51631.101378002866,34021.21650844406,1.5176147909110786
4096,400,181606.70144620235,120207.70846299056,1.5107741738718468
2048,200,92021.1452676274,56905.95090164368,1.6170742041843194
256,1000,689098.3301497182,402202.4082987434,1.7133122923467863
4096,600,147965.47617890296,97714.56773042677,1.5142621987246314
256,500,305631.41258151154,128716.5115702618,2.374453819894568
256,400,191158.52922813842,80937.93876137368,2.3617914188761837
512,500,350218.2577476483,218689.015215715,1.6014442124685264
2048,900,211301.1153413396,83867.31024046338,2.5194693228565397
8192,300,373686.24957455863,211310.8280420486,1.7684197872727991
512,900,492991.0687077069,294269.38675830397,1.6753053184992754
2048,600,111818.85154183401,63428.93636475278,1.76289967876509
256,700,230630.22553983357,110052.4859247753,2.0956384910512367
128,300,122052.6552480176,62282.88541372249,1.9596499814879533
128,300,86214.21522681526,35017.52520551622,2.4620305038927808
1024,700,185700.81060516636,97718.7908840865,1.9003592750696605
256,800,172389.06800236783,81159.63436473215,2.1240739851987227
1024,1000,83557.20352212271,46583.35108963575,1.793713882055025
4096,900,142974.6962605738,67196.61567748235,2.127706802181777
512,600,115003.85690557084,54819.80235635847,2.097852454081891
2048,700,392273.1463021407,230854.7665827208,1.6992204757512765
256,400,175503.60603584527,106249.04084579187,1.6518135565154735
2048,500,220744.25144953883,126547.99516819877,1.7443520235633996
128,800,187703.3089497984,97648.19890207484,1.9222403593745143
512,200,68635.98110606613,39935.77304748188,1.7186591336158927
128,900,261189.0676909044,137983.51207886107,1.8929005629428264
512,300,104782.38340245582,65210.744929774046,1.6068269656372853
8192,400,115329.88275999538,64334.95787606042,1.7926472102799123
8192,500,120491.15678333005,56893.54245548506,2.117835374332779
128,400,174727.89522404224,73219.6768009263,2.3863516319404425
512,400,455361.14228577225,302551.7330790469,1.5050686956957582
8192,700,104541.30004878694,58909.34219503371,1.774613264271014
8192,400,164501.7166311072,79751.87253871835,2.0626690182257987
1024,600,147308.36520821828,73266.38484935311,2.0105859666900012
512,700,86409.6318856447,52978.919429421854,1.6310191452802092
4096,400,132827.627003422,56955.556614236266,2.33212762545843
8192,300,114750.84935543644,62242.53045311874,1.843608357823227
512,200,71052.96546275704,42449.62169222391,1.6738185790657543
2048,500,555758.9658932379,323100.1950984921,1.7200824212558068
128,400,141510.18923319833,74233.43833028698,1.9062863369412684
2048,400,69481.73937478024,40001.769895931386,1.7369666281153047
4096,400,105937.95309003962,54667.38391077755,1.937863960399872
8192,800,171456.12103631962,94133.54454054113,1.8214136296809418
1024,900,236628.24733086696,138660.26103350002,1.706532539079081
512,700,241113.11664911325,120542.04638444567,2.0002407780612033
256,1000,368660.3555039709,187194.71304615473,1.9693951260956497
256,700,212167.53024099354,115009.78625805757,1.8447780588421805
256,500,375421.89151100046,150710.25139423233,2.491017618496042
8192,700,206959.22268516285,113219.76468805708,1.827942526248633
128,500,120643.72510814384,58507.64553511288,2.0620164083639376
2048,900,250105.2035471613,130420.49556876707,1.91768327866296
128,200,109573.31796794545,71342.50643143423,1.5358770451000912
4096,400,193719.96229701216,119856.35989077212,1.6162676930415179
2048,400,76411.89771743325,38119.45514470553,2.0045380351677515
2048,100,61996.64206175606,29478.52247325327,2.103112261410233
256,300,107469.64662392819,42168.09157632779,2.548601148558006
1024,800,127602.13594602469,69579.78689333206,1.8338966191667512
128,900,427085.3887119165,226453.48252444254,1.8859740373646872
1024,900,228692.48033970062,142091.52385562783,1.6094730645021706
2048,400,173558.664126823,61995.608328814014,2.7995315927266615
8192,900,162667.8342045144,72331.37337176806,2.24892500476157
256,500,249713.91760704585,145256.71842409528,1.7191212930886586
512,100,17712.10102883813,11064.831273205229,1.600756540384853
2048,400,61179.64247214959,36292.5152200074,1.6857371857881698
128,700,867562.2130293006,519862.9761509299,1.668828619904304
2048,400,250283.56069489793,133260.18829018957,1.878157039294259
4096,1000,1085733.6611991539,660862.412342602,1.6429042428823921
4096,800,322916.04689757095,178752.13959328766,1.806501715908394
128,1000,591696.9142448059,338229.9954371404,1.7493921953316882
128,1000,537011.3275480244,212850.57283176226,2.5229498817110527
128,600,127263.78658918872,68384.79052619991,1.8609954875920955
1024,400,123584.95792758589,74020.68632221934,1.6696002707892816
512,600,407621.6984067981,176029.73971094415,2.315641090398405
128,700,624287.7079281029,277111.37119997636,2.2528404562568025
256,1000,1030925.6832002135,608131.9476116404,1.6952335545748596
4096,700,429154.8226576552,203696.4792654518,2.106834758289524
8192,700,127609.30450612356,65894.30315831472,1.9365756733102575
512,400,222716.3806598368,109127.46472101046,2.040882936566169
256,400,269109.4550950304,147480.59637564968,1.824710922714052
8192,600,474662.6137401238,254750.17179748067,1.8632474725766524
8192,900,794042.5926313051,470097.26183904405,1.6891027816774995
4096,800,180689.2316311908,84716.1705510098,2.1328777074784457
512,500,257001.15260661626,128236.81139468354,2.0041137159565325
8192,800,447315.02350113774,270374.624086737,1.6544267976777205
2048,200,55299.04297465726,33716.70783680652,1.6401080212905779
1024,200,71795.16608472772,35895.9151129629,2.0000929314322096
8192,500,136988.5059239152,77074.5486776688,1.777350737359628
256,500,168061.6662373724,77418.90887707144,2.17080902682608
1024,100,82414.97231919515,41980.83955504662,1.9631568399467094
1024,300,88058.33537583082,54707.14018925136,1.6096314863326044
512,900,1023239.349965562,482109.4928685304,2.1224210788245066
256,100,105569.95105165955,62929.765866919784,1.6775837252424035
128,700,191583.53582301713,97654.43951026569,1.9618517784117473
