mu,gamma,average,max
0.1,0.0,1.2190503772155061,2.9770773017895653
0.1,0.1,1.2214071612077837,2.9794460814305257
0.1,0.2,1.2371901309955493,2.986014726322578
0.1,0.3,1.2603769346293325,2.9894844731800734
0.1,0.4,1.290137055920571,3.00229302669502
0.1,0.5,1.3313211765127462,3.055664137554964
0.1,0.6,1.387566997351966,3.094602751990726
0.1,0.7,1.4618535052615993,3.229893944259603
0.1,0.8,1.603053028892828,3.662288951627152
0.1,0.9,1.886187302160056,4.438460060302649
0.1,1.0,14.740912169781543,38.99262825088499
0.2,0.0,1.2156077653811148,2.4637977798705224
0.2,0.1,1.2114875652468686,2.49030073797174
0.2,0.2,1.220761132560972,2.552105932257039
0.2,0.3,1.2427612325405413,2.63901952088621
0.2,0.4,1.269569417867141,2.761369275713999
0.2,0.5,1.3105024768465263,2.8880697966020024
0.2,0.6,1.365697251198972,3.050620759410824
0.2,0.7,1.4398014686446585,3.229893944259603
0.2,0.8,1.5813123414221424,3.662288951627152
0.2,0.9,1.864994638214847,4.438460060302649
0.2,1.0,14.740751321314951,38.99262825088499
0.3,0.0,1.2374107445187947,2.4637977798705224
0.3,0.1,1.2271819265586141,2.49030073797174
0.3,0.2,1.2335510019782951,2.552105932257039
0.3,0.3,1.2518693285474243,2.63901952088621
0.3,0.4,1.2773221164676654,2.761369275713999
0.3,0.5,1.3168014372068138,2.8880697966020024
0.3,0.6,1.3704346706465254,3.050620759410824
0.3,0.7,1.4454805244037199,3.229893944259603
0.3,0.8,1.5808981014592978,3.662288951627152
0.3,0.9,1.8671877028563604,4.438460060302649
0.3,1.0,14.740751770933453,38.99262825088499
0.4,0.0,1.265947351909218,2.4637977798705224
0.4,0.1,1.2475483379244052,2.49030073797174
0.4,0.2,1.2541261259478347,2.552105932257039
0.4,0.3,1.2688126916596667,2.63901952088621
0.4,0.4,1.2918616274204269,2.761369275713999
0.4,0.5,1.327603212522041,2.8880697966020024
0.4,0.6,1.3821551466790893,3.050620759410824
0.4,0.7,1.454958284172508,3.229893944259603
0.4,0.8,1.5898545847336583,3.662288951627152
0.4,0.9,1.871765425708166,4.438460060302649
0.4,1.0,14.740816649865126,38.99262825088499
0.5,0.0,1.2909668342684437,2.4637977798705224
0.5,0.1,1.2694063960261257,2.49030073797174
0.5,0.2,1.27390729239541,2.552105932257039
0.5,0.3,1.286041857898507,2.63901952088621
0.5,0.4,1.3090467825076368,2.761369275713999
0.5,0.5,1.344462614283669,2.8880697966020024
0.5,0.6,1.3949484526009925,3.050620759410824
0.5,0.7,1.466434354948849,3.229893944259603
0.5,0.8,1.5971391343362915,3.662288951627152
0.5,0.9,1.8786537189660906,4.438460060302649
0.5,1.0,14.740580864696613,38.99262825088499
0.6,0.0,1.3304476067070419,2.509194932346656
0.6,0.1,1.299459977657958,2.49030073797174
0.6,0.2,1.2948772332064409,2.552105932257039
0.6,0.3,1.3042733855698483,2.63901952088621
0.6,0.4,1.3250105776938954,2.761369275713999
0.6,0.5,1.3562306746293524,2.8880697966020024
0.6,0.6,1.4071417549393255,3.050620759410824
0.6,0.7,1.4735203799603314,3.229893944259603
0.6,0.8,1.6045155011979817,3.662288951627152
0.6,0.9,1.8823887893460873,4.438460060302649
0.6,1.0,14.74083938934156,38.99262825088499
0.7,0.0,1.3638494560967898,2.862725293233743
0.7,0.1,1.3286345216800883,2.817703586867638
0.7,0.2,1.3215593534846062,2.552105932257039
0.7,0.3,1.3298501657990816,2.63901952088621
0.7,0.4,1.3446574682551704,2.761369275713999
0.7,0.5,1.3774777339824935,2.8880697966020024
0.7,0.6,1.4266306432216092,3.050620759410824
0.7,0.7,1.492870729758532,3.229893944259603
0.7,0.8,1.619466032158241,3.662288951627152
0.7,0.9,1.893350098887001,4.438460060302649
0.7,1.0,14.740755395163186,38.99262825088499
0.8,0.0,1.4309426129771232,3.254784558958233
0.8,0.1,1.3892408229780175,2.801592615435343
0.8,0.2,1.3753285504208097,2.9515972057034863
0.8,0.3,1.3801708171149438,2.63901952088621
0.8,0.4,1.396777492360326,2.761369275713999
0.8,0.5,1.423669236683798,2.8880697966020024
0.8,0.6,1.4684008927252106,3.050620759410824
0.8,0.7,1.5264174045125036,3.229893944259603
0.8,0.8,1.6543692818581928,3.662288951627152
0.8,0.9,1.916658521702138,4.438460060302649
0.8,1.0,14.740674173126534,38.99262825088499
0.9,0.0,1.6104786535106597,4.2022844888118
0.9,0.1,1.5362766389689455,3.8759702802454408
0.9,0.2,1.5152729313696796,3.6983969048514567
0.9,0.3,1.5098511672167787,3.5749929776076863
0.9,0.4,1.5199266271145326,4.044499608746477
0.9,0.5,1.5415713592805336,3.462667561506793
0.9,0.6,1.5799420044090804,3.385121112888492
0.9,0.7,1.6264208489527354,3.337823011769879
0.9,0.8,1.7446534578211663,3.662288951627152
0.9,0.9,1.9781985199896968,4.438460060302649
0.9,1.0,14.74084163028947,38.99262825088499
