P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,4964.061729308387,4118.24998149955,1.2053813516927054
256,400,27754.453439434645,23531.7252532983,1.179448303967618
8192,800,15266.510405459903,14795.02099803586,1.0318681134340153
128,1000,127685.533584357,119404.61005167401,1.069351790765024
2048,600,93243.13732380467,91443.0979502153,1.0196848030517225
256,900,58479.614184996746,51518.201495127876,1.13512530499589
256,100,5616.337285700845,4679.130547151785,1.2002950610385392
4096,300,1263.8067360421162,942.5154884959478,1.3408869684029068
256,200,13379.072241610686,11080.525409985707,1.2074402383079725
2048,400,17264.63389865032,16659.391108001237,1.0363304268880749
8192,1000,31789.286368152607,31785.267802615333,1.0001264285568467
1024,500,16516.786710981964,10972.920970408175,1.5052315382134358
256,600,40967.95500981813,34696.429261633115,1.1807542125125823
8192,900,42073.70344708368,42072.74163946224,1.0000228605882089
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,66708.99831416633,58863.7101663512,1.1332788593454952
8192,900,26446.83657081726,26446.50237773516,1.0000126365701343
2048,700,31796.265085152776,31784.101151865783,1.0003827049639966
1024,600,22523.771990466535,16874.141147700775,1.3348099789680592
4096,1000,25744.55582908359,25339.795717781904,1.0159732981200653
2048,200,5738.848938292169,5118.145442873633,1.1212750794885649
512,800,26380.82958604309,21229.958775728857,1.2426227419811557
128,200,31266.880115767715,28092.671302858154,1.1129906365503452
2048,800,29988.49835300969,26497.37844693629,1.1317534077216251
512,100,54148.1123187231,52844.49103612885,1.0246690100904365
1024,100,7005.688470343526,6901.431727873591,1.0151065382634827
512,900,30915.07603250737,24134.145646769488,1.280968321190419
256,800,73634.64587201872,46337.580997070676,1.5890912794233623
1024,100,17981.485605523314,16558.912626923186,1.0859098064378432
1024,700,30156.210223935785,15601.0663687365,1.932958267799362
256,300,20597.253782517168,17275.812740351696,1.1922596112892259
1024,600,76323.4996454127,70364.7320429823,1.084684009011652
8192,200,2688.4361358938577,2650.3651611722858,1.0143644261852327
1024,300,4723.751738889933,3799.3333703103463,1.2433106754472762
4096,900,16090.764606737423,12984.521812166118,1.2392265837360945
512,900,47212.31263416746,39234.60108057627,1.2033335712323754
4096,100,52844.49103612885,52844.49103612885,1.0
8192,700,31667.847939283703,31347.334171878083,1.010224594080257
1024,400,18369.84646529477,16121.07512688779,1.1394926405780672
256,700,47427.08167885356,38261.990551516115,1.2395351364429805
256,400,24951.627749275343,22632.15194254064,1.1024858711015848
512,500,22808.894776022305,16731.4559896685,1.363234304898902
256,900,63254.378113559695,47728.093563071816,1.3253070338954598
8192,500,17616.901779150518,14826.065726985928,1.188238478336488
8192,300,4632.0234913533895,4160.156593477788,1.1134252731292338
1024,800,41793.20773817106,40846.09768688062,1.0231872836066453
4096,800,29708.37094240109,26497.37844693629,1.1211815161977303
4096,800,35003.50943491529,29394.111289795015,1.1908340786294749
8192,500,9178.95828922612,9178.81822404002,1.0000152596099718
4096,700,25398.237557175755,15601.0663687365,1.6279808672612364
4096,800,12826.448460126998,12582.997544262242,1.019347608946786
4096,100,2685.399498342895,2685.399498342895,1.0
