P,n,Paper,Min Time,Time opt,mtpa
600,100,369301.7500393321,367428.2105799661,338162.37979153456,1.0920840759016242
900,100,236849.83275918046,267961.94162313227,225441.58652768974,1.050604000828789
600,100,379077.58136351156,401600.5783978418,330186.4889200974,1.1480711479240613
900,100,248990.03527444796,310990.5863208703,220124.3259467316,1.131133663685592
600,100,383868.6031482264,417559.3026551699,339143.98014630633,1.1318750313145052
300,700,4860696.987104741,4880470.74945462,4750804.832407059,1.0231312711370641
4500,300,187220.3375815982,207956.8278642313,142348.1066563424,1.3152288567742358
700,700,2102378.9128705473,2317080.815299906,2036059.2138887395,1.0325725786997824
600,100,375240.5192951454,417444.31186475535,339261.99909081124,1.1060493668632299
400,700,3628442.7094220677,3782405.311526477,3563103.6243052944,1.0183376887135895
900,100,263914.4951860912,300671.5567111633,226095.98676420422,1.1672674909587315
1200,600,1050429.6323442266,1302364.1821153485,1013440.8039532973,1.0364982624013566
3200,400,279077.8761827571,455805.55143175175,247040.42465254452,1.1296850569103107
600,100,378276.94453150895,369742.41650614614,348039.73219988856,1.086878621990935
900,100,253968.04472840155,321682.3771467515,226174.66606054085,1.1228845792146374
4800,500,292501.13083034125,312898.693180039,218726.61253679788,1.3372910019402955
600,100,354406.8994779354,356111.39480174065,307461.94601746293,1.1526854105639666
900,100,260229.33395731894,261436.45657499312,232026.48813325906,1.1215501128813459
300,700,4846014.7542400025,4872800.99747435,4713345.105716139,1.0281476627635366
4500,300,195203.41814616494,205674.02847902334,148288.0517849619,1.3163799496754924
600,100,381397.04443873453,404847.7801841003,339451.91499596345,1.1235672199500477
400,700,3621306.473953532,3726274.3517127614,3535008.829287105,1.0244122854662943
900,100,248685.7975402795,253939.42214893192,204974.63067830863,1.213251594684281
700,700,2104747.3446182716,2294695.4347023168,2020005.0453069168,1.0419515285410978
900,100,261893.8357962753,298638.4488777191,226301.27666397564,1.1572795330940593
1400,500,781147.2873699124,1045173.9462263864,729637.045437737,1.0705970759766898
600,100,384620.9770104858,351004.37690326304,331453.44160350296,1.1604072510147105
900,100,241730.73492072904,247588.18230729798,220968.961069002,1.0939578742248952
600,100,324679.5986664609,364130.1515731424,314484.62614487455,1.0324180315157594
3000,400,290690.8626733104,493885.3582341824,263509.7862960475,1.1031501590864088
600,100,408842.25511405274,443027.38430453785,355474.57407820434,1.1501307967644052
1200,600,1066256.2801215947,1322170.53077081,1019286.7962367709,1.0460807341547405
900,100,224845.60666581438,257458.84893149158,209656.41742991636,1.0724480052749896
900,100,267428.9314982413,350715.07155591255,236983.04938546955,1.128472826186186
3200,400,269254.8332783197,424933.5929084846,237900.8372128417,1.1317943914481756
300,700,4882389.303779267,4847273.49147164,4715652.209293709,1.0353582255614502
4500,300,178343.49873192995,212620.08320448518,143441.4983667211,1.2433187101544265
2600,800,697378.5148765484,1028196.3076429402,628327.7068750999,1.1098961692217315
400,700,3610927.878255229,3746249.1091807685,3536739.1569702816,1.0209765883182915
4800,500,279266.255863827,313942.34596611996,208021.36125870878,1.342488358762894
700,700,2075549.5289250293,2279707.4619415253,2020993.803983018,1.0269945038102006
4500,300,190269.6593459045,231685.1309337971,132268.424016002,1.438511577962745
3200,400,283779.9186736637,477775.0553868263,247118.59151036388,1.1483551963420862
1200,600,1003295.0282960954,1350471.380555203,965081.2587933675,1.0395964268858626
300,700,4748799.196639317,4707550.347186985,4593369.6552796615,1.0338378038399334
400,700,3529065.9431719985,3612792.8108663224,3445027.2414597464,1.0243942052767754
900,900,2037168.361685379,2293594.187714575,2000700.6984959939,1.0182274456228257
1400,500,747566.4431492095,945925.892391663,713216.0957441444,1.0481626082333786
4500,300,169000.64397567743,206387.71016723642,134514.2495939801,1.256377257322489
3200,400,276208.9538751397,436905.6383302456,243981.08024890177,1.1320916916728136
3000,400,292771.2548886747,435706.5226825406,253760.89302703115,1.1537288169043765
700,700,2022934.5750068692,2192741.8107004897,1968586.995119855,1.027607405728953
1200,600,1119491.2403853722,1454705.9029828408,1044753.5875168508,1.0715361533681413
300,700,4943331.484251184,4946469.2780246185,4799243.052573373,1.0300231578395578
4800,500,264460.6649624486,303303.45659315336,203532.93177212737,1.2993507372975646
2600,800,682771.1798693761,1007204.7359316566,631786.4134912244,1.0806993713214124
4500,300,185555.10172990823,215063.72257477356,144863.04739585196,1.280900167886579
400,700,3687567.1762120635,3806021.323116303,3599432.289430029,1.0244857743374833
3700,400,242683.30511705988,402892.5291989094,213656.58348328175,1.135856902514073
3200,400,302279.80066206533,511215.1386659616,259524.44080871134,1.1647450225501799
300,700,4918842.2419068115,4891948.490648289,4778074.247090922,1.0294612405618424
1200,600,1090868.047191516,1350786.1678853193,1045197.5106145416,1.043695604049154
200,900,9174760.619389467,9047423.906899326,9003153.143231973,1.0190608194070871
700,700,2100100.267057708,2330297.0367105836,2056818.451102874,1.021043090084896
4900,800,424502.9073429245,482560.18608095206,333398.3750765836,1.2732602768247256
3200,900,617980.7263101096,899065.7898072661,562697.0714519983,1.098247632097064
4500,300,177072.09727160452,201512.7768406554,133038.4901522952,1.3309839661356802
1400,500,752439.8828618572,950680.6432516781,697827.1946472939,1.0782610489150777
400,700,3683299.6712037455,3737716.7288762205,3583555.6853181915,1.027833803809497
4800,500,301487.0427877937,336172.51544947486,237834.46181356232,1.2676339689751455
3200,400,287746.658527678,459769.5444478288,256307.29272757738,1.1226627828866216
300,700,4965205.196783748,4979554.175387886,4830189.707598883,1.027952419544197
3000,400,291083.817831158,488026.27472278936,263593.1642777215,1.104291982035135
4500,300,171874.89870489133,197662.21474007965,134795.79919989067,1.2750760759985964
1200,600,1079672.207323392,1304330.552313739,1025033.2949436799,1.0533045244961667
700,700,2093260.1832951955,2333034.051356914,2047746.1058961095,1.0222264260535212
400,700,3743996.12023544,3829023.1676416267,3622642.280699162,1.0334987089900738
300,700,4496578.378120589,4507624.089689856,4380822.611850519,1.0264232945558993
3200,400,286950.7846403587,418956.31530992605,238878.53385600194,1.2012414008423844
4600,900,450994.4307365108,513825.50054855703,391441.44101008575,1.1521376724261818
2600,800,696274.8332062301,1067368.4104766294,629689.7891221072,1.10574261363989
3700,400,249559.5574868256,364128.57441765396,205752.07542732256,1.2129139255024286
4500,300,175095.6972479937,208906.37650194665,134331.4358738575,1.3034603263856679
4800,500,257500.07915054442,283427.3003965244,206863.42380992838,1.244783028376937
1200,600,1055716.0047526995,1342023.978783566,1010625.1726907515,1.0446167711634329
700,700,2121993.527701181,2380325.0501270774,2070081.303256664,1.0250773843340588
300,700,4605703.874622093,4654067.111473848,4518056.910321964,1.0193992607972446
400,700,3357372.307439348,3465537.2870607255,3285616.9588878895,1.0218392312461604
3200,400,273355.5995754265,469794.7543165659,242373.19052672005,1.1278293567922102
4500,300,175606.14887742858,196380.0123060065,137497.6142219695,1.2771577883085192
1400,500,798189.7672746017,1035505.8937571965,744839.752502187,1.0716261646793053
1200,600,1039297.0442987091,1316637.9528988341,995388.1896918517,1.0441122921304204
900,900,2130427.402565646,2443000.5827627922,2057278.892054735,1.035555952473635
400,700,3463811.9784846827,3566896.177118547,3388542.6827414725,1.0222128811086169
200,900,9470489.087326845,9337281.17650087,9257755.014246307,1.0229790130277991
300,700,4696827.580565979,4691813.045053739,4586560.118843468,1.024041429495165
4800,500,253771.302441811,296509.39775330713,205237.64047167235,1.2364754430941602
3000,400,302656.8579730925,484639.3932521903,260246.48559882856,1.1629623250307395
700,700,1946364.9291891842,2184509.0735696577,1877495.4050787939,1.0366815939597467
3200,400,295368.3628357527,426884.1732986575,249771.67772309712,1.1825534645413447
200,500,5326284.054983266,5163874.915286066,5107459.31806416,1.0428441468236787
2600,800,663345.19956736,994957.9845970023,598214.9194185684,1.1088743828256484
3700,400,254116.42045548084,374721.958921441,213724.1872522066,1.1889923350397824
400,700,3564971.9900854416,3604756.505904766,3439920.089132601,1.0363531412685734
200,500,5124637.506961043,5048181.901705073,4992512.670209011,1.0264645971837865
1200,600,1073445.147513461,1324470.5162830274,1010522.3428672411,1.0622676035719147
1400,500,752573.2524589115,1025324.9699775928,709246.0244911831,1.061089137579321
4700,600,305424.44235127466,351746.37920241855,258750.843562544,1.180380470054193
3200,400,303368.97858113813,474783.4205551035,260911.05991248734,1.16272947065905
200,500,5020795.827897427,4925259.018864901,4884790.362531057,1.0278426411928758
700,700,1984715.5260478535,2200918.856608006,1936310.1044236987,1.0249987961709066
4800,500,261408.988446422,286540.68517106405,215212.6487777249,1.2146543891869916
200,500,5392998.321265292,5285778.545828539,5213878.267515309,1.034354475605228
1200,600,1008608.0070849286,1264307.908686681,970936.4388190788,1.0387992115237414
200,500,5027551.120944728,4999904.754920536,4964722.171438281,1.0126550786402304
600,300,1110982.8321786756,1160760.2468582012,1046965.8880824585,1.0611452052305788
3000,400,316611.6558866305,531638.2111092245,276826.0701959588,1.143720516143976
700,700,2056010.801533827,2187019.444122082,1965668.6223614863,1.0459600250747285
4600,500,292426.1841822601,326497.20399993344,222063.44861148516,1.316858699667766
600,300,1073274.679804949,1109324.0292361313,994066.4475787833,1.0796810237576078
200,500,5078996.469003896,4962861.119628383,4925703.371320136,1.0311210574669007
4700,600,340716.1554012567,365375.65695719706,260243.43733704792,1.3092209313235688
200,900,9299588.952965762,9183455.365186227,9088868.041248038,1.0231845055689452
600,300,1080270.4989631844,1143203.9731391838,1053470.9791119648,1.0254392578273115
4900,800,408696.00277922663,457103.01666207024,335233.60715860885,1.2191379206973738
2600,800,655375.7034490745,1019858.3187496368,604119.1719053925,1.0848450668797993
4800,500,264590.6937762106,290483.79667892156,213246.32434947594,1.240774932854597
200,500,5310108.073702787,5210324.772492689,5165103.570665399,1.028073881008103
600,300,1049063.8620933047,1116958.0089063237,992013.1801200152,1.0575100040166678
3100,700,517264.86370965396,830504.9188917767,459755.30636197346,1.1250873161263792
