P,n,Paper,Min Time,Time opt,mast
500,100,4286692.749041903,2873587.9808530966,1106694.4701290948,3.873420230013316
500,200,5786171.950436132,4393662.766853682,1509473.6471981127,3.83323813646991
500,100,2451239.560173042,2005760.0885927253,615154.7634399323,3.9847526278846694
500,300,8461133.993928948,6977971.933838036,2188047.432377275,3.8669792385332684
500,200,7721442.933862493,5785293.024651699,2009757.1166541807,3.841978152423243
500,400,9325700.756159596,7656752.983527113,2386640.0624029622,3.907460074549372
1000,100,4279938.862689208,2673163.291580482,1086466.3769634417,3.9393201238782773
500,500,10775554.817979572,10083853.769583106,2819430.41047668,3.82189068328796
1000,200,5647321.132316776,3993583.1473328313,1471484.4008169002,3.837839619082366
1000,100,2318640.3407441312,1809260.9570662056,597895.9916167998,3.8779994735776406
500,300,9538538.32306999,7498872.45150132,2434693.172465335,3.9177578640890522
1000,500,10623667.779407663,9070418.88998065,2753488.18687009,3.858257983479371
500,500,11104517.46249105,10627863.592973398,2802980.000314475,3.9616827309667566
1000,400,9058178.937320195,6872311.494644739,2335534.791797359,3.8784174695806124
1500,100,4276559.987962619,2606355.061822945,1079723.6792415574,3.960791145162855
1000,300,8360701.2557118125,6355525.480014753,2142447.453829413,3.902406680158193
1500,200,5627913.990814723,3860223.274159215,1458821.3186898292,3.857850114138149
1000,200,7645318.393254347,5360779.313597255,1970515.335392395,3.879857342867068
500,600,11115914.074285667,12660677.091287954,2914774.4431601795,3.813644688826716
500,400,11363066.984300414,9049795.256734163,2942531.346202846,3.8616638694312453
1000,600,10899771.546222603,11454797.04353978,2852345.3614227856,3.8213365371666144
1000,500,10688033.968461785,9638009.213766156,2739931.7737909486,3.900839455456186
1500,100,2285398.2908237414,1743761.246557367,592396.3306295157,3.8578873174233554
1500,200,7647407.865630971,5219274.743245771,1957434.7416384663,3.9068520155260584
1500,500,10583780.317842184,8732607.263446497,2731507.445667894,3.8747030818560675
1500,300,8335944.672244173,6148043.328740321,2127247.4609801252,3.918653012942557
1000,300,9249654.13856622,6908751.21292841,2384028.9302572976,3.879841398387706
500,700,13147743.80113162,15422572.65955588,3331549.466630945,3.9464351145977057
1500,400,9028808.305583168,6610830.998350611,2318688.3586312896,3.893929200090015
1000,400,11193793.468638081,8296054.8921807,2888830.23322314,3.874853336794695
500,600,13082439.737621762,14380934.656454694,3362562.3976504817,3.8906161999440774
500,900,18542156.444739908,21773220.31090265,4627675.2084536,4.00679728146609
500,800,15738612.682494191,20033749.19299589,4216020.396633853,3.7330494641487464
2000,100,4271010.671854809,2572950.946944177,1076352.3303806153,3.968041459383947
1000,700,12686488.260287024,14009928.494162532,3260354.282163421,3.8911379446373706
1000,600,12958150.648243777,13169749.064443005,3298339.371122473,3.9286893161130143
