P,n,Paper,Min Time,Time opt,mast
500,100,679468.606883416,644785.2952187147,405794.85574984155,1.6744140475311613
500,200,1356439.1196872166,1312908.621636858,807346.246097327,1.6801206746723332
500,100,681885.8444844739,673205.1559226967,396223.7867041169,1.7209614045551418
1000,100,403205.4502476208,451860.17987660656,202897.42787492077,1.9872378593985085
1000,200,854881.1301911263,952336.2690849276,403673.1230486635,2.117755880636296
1000,100,441458.00969090656,462387.16558217915,198111.89335205845,2.2283266401699837
500,200,1380565.1813658117,1342702.0055521121,858899.9533139734,1.6073643688523314
1000,300,1367173.6706600252,1538897.488573341,628179.5328494754,2.1764059463357714
500,300,2101463.499444921,2045408.387333186,1256359.0656989508,1.6726615478161992
1500,100,288601.5548507332,328901.00453231897,135264.95191661385,2.1336018736667723
500,400,2710872.0805154354,2624656.0533416234,1581058.7177762853,1.7145929180468396
1000,400,1668628.0702931576,1878651.6770374496,790529.3588881426,2.1107730554625275
1500,200,583975.4747573332,679469.9261139578,269115.41536577564,2.169981507613032
1500,100,299667.59374436305,336674.47005478584,132074.59556803896,2.2689268322611493
500,500,3450346.7494345056,3398870.299822304,2042983.7272256638,1.6888762761316831
1000,500,2112963.393931799,2348914.1682277676,1021491.8636128319,2.068507316797052
500,700,4707522.601832938,4620301.986591159,2850482.8994442364,1.6514824918791031
500,600,4038939.377366159,3956276.029300138,2432257.9294879143,1.6605719847386886
1000,300,1244216.3083123707,1411965.427393544,596439.8685472701,2.0860716627526417
500,300,2051599.2038495126,2036271.3924820537,1192879.7370945401,1.7198709476334375
1000,200,914368.7421105445,1010709.4959757054,429449.9766569867,2.1291623979779035
1500,200,602406.7923659389,689905.3020512618,286299.98443799117,2.1041104614394848
1500,300,870025.9520840426,1051268.1076950112,418786.3552329836,2.0774935506196726
1000,400,1593958.434725407,1729818.1157520984,761282.6790810934,2.0937799828171517
1000,600,2532999.6771110576,2791915.277800355,1216128.9647439572,2.0828380464109357
500,400,2628287.3350189063,2568141.7043110128,1522565.3581621868,1.7262229965558797
500,800,5518613.556589193,5403986.544080472,3267304.0757505195,1.6890419222219266
1500,400,1115978.328010768,1308175.7309590336,527019.572592095,2.1175272912957217
500,500,3401064.2014955324,3322801.352784091,1997005.0680836043,1.7030824086787681
1000,500,2118491.501962628,2298579.669715103,998502.5340418022,2.1216686285083957
1000,700,2940972.308944377,3250204.38136442,1425241.4497221182,2.0634905822573315
2000,200,421091.0465531346,465759.5545356089,201836.56152433174,2.0862971672373214
1500,300,829821.1808117152,925583.7269388882,397626.57903151336,2.0869358955653436
1500,500,1389087.0702876567,1595642.1119706093,680994.575741888,2.039791680828529
2000,100,212433.5869435507,246926.99297076178,101448.71393746039,2.0939998024470636
500,600,4113205.596512149,4038701.532972766,2446288.310968251,1.6814067164814785
1500,400,1049839.5588750895,1209784.8322854042,507521.7860540623,2.0685605775419034
500,700,4731097.178764726,4675312.349136645,2828007.063429684,1.6729439045414043
2000,100,210077.81944938045,228764.51341927418,126357.46311728247,1.6625675624271627
1500,600,1635866.9210165243,1930164.7632478997,810752.6431626381,2.017713953586664
2000,200,440031.56030365167,523100.6081174824,214724.98832849335,2.049279702977452
1500,700,1948229.379155652,2199913.513281666,950160.9664814121,2.050420347586195
500,1000,6618536.479160623,6528907.7913442785,4093849.1535162446,1.6167025776892392
2000,300,631563.2446603705,739178.7463968999,314089.7664247377,2.0107730724544504
1000,800,3349339.9110661773,3687736.2024892624,1633652.0378752598,2.0502162231697483
1000,600,2510491.807706876,2752244.606498506,1223144.1554841255,2.0524905396070943
1000,900,3713787.3568887482,4192136.976763661,1800630.6286463945,2.062492605538177
1500,800,2203147.7501745936,2563509.7186967162,1089101.3585835067,2.0229042345884354
2000,500,1023647.9070305846,1166134.161013047,510745.93180641596,2.004221361901263
1500,500,1410176.6293312756,1654603.3566613898,665668.3560278681,2.118437231635867
2000,600,1179638.539368151,1383885.2847276255,608064.4823719786,1.939989217535841
2000,400,794393.9657187654,924900.6614262015,395264.6794440713,2.0097772632658657
2000,300,606583.8126591562,692198.5046037704,298219.93427363504,2.0340149766868985
500,900,6027952.615403096,5880539.067132133,3601261.257292789,1.673844851771334
500,800,5470157.602360841,5386431.990634945,3285289.350154368,1.6650459120454064
2500,100,171882.73633136626,192616.72637121883,81895.80016362498,2.0987979357665534
1500,900,2489171.30325787,2827206.486973042,1200420.4190975963,2.0735829411574644
2000,400,754767.8636199941,876600.0478318274,380641.3395405467,1.982884634997967
2500,100,172830.18174455885,192268.61901440422,126357.46311728247,1.367787683297672
1000,1000,4241085.952145557,4614792.340264428,2046924.5767581223,2.0719307395597855
2000,500,999129.6952047402,1170286.2673003855,499251.2670209011,2.0012562034477757
2500,200,316328.4852342307,374245.2702871684,161469.2492194654,1.9590633310264798
2000,700,1408658.009534446,1638340.8024056898,712620.7248610591,1.9767289392391647
1500,600,1647542.6186897405,1907658.5993449718,815429.436989417,2.020460071655622
1000,700,2862379.2352276146,3151193.2784766704,1414003.531714842,2.024308405903517
1500,700,1942639.6770886583,2198635.864456744,942669.0211432279,2.060786589478362
2000,800,1616635.3834646607,1892295.9722238071,816826.0189376299,1.9791673452900889
2000,600,1188966.8609919832,1384512.3113078333,611572.0777420627,1.9441156721570325
2500,200,345755.77198851586,392982.7780530902,176828.7827329652,1.9553138728023296
2500,300,491749.8417199714,567407.2125476478,258894.10109480406,1.899424666844372
1500,1000,2833114.1798454244,3214759.937651582,1364616.3845054149,2.076124991619711
2500,400,612488.9833639094,707006.0032184867,316211.74355525704,1.936958369975525
2500,300,471709.0617377951,526265.7560481237,260121.07926644332,1.8134211309135049
