P,n,Paper,Min Time,Time opt,mtpa
3000,200,179257.7598971305,202316.78674071867,134557.70768288776,1.3321998641622774
4300,200,127858.32427281167,147001.8074179163,93877.47047643333,1.3619702749117935
4400,100,76421.09007619956,67429.35977854025,46113.05178975472,1.6572550961196328
2400,300,334980.3758618887,400268.6056386255,261741.47202061463,1.2798139067373542
3000,200,208983.61030708827,252427.63800891157,143149.99221899555,1.459892571893251
4300,200,167626.76419974855,168882.95658673294,115155.9162563489,1.455650475018532
3100,400,307876.05538037687,470262.3177169783,255009.4706090782,1.2073122407768986
3000,200,212951.03089185397,288335.2690634152,137411.27820326833,1.5497347355785598
2800,500,425974.9774145991,602032.9359648639,364818.52271886845,1.1676352786035982
2400,300,329921.46334984386,415855.66464384354,248516.61189469582,1.327563018160097
4400,100,105195.05326547512,88105.22422810821,82739.16147748545,1.2714058420098957
1300,400,690613.986993416,807086.6529638924,608099.5068370326,1.1356923977550548
4400,100,84730.12771254845,84154.23730222692,54290.25884700422,1.5606874881795472
4300,200,176748.18599502428,196748.96196423442,137320.72161632078,1.28711955424226
4400,100,101485.05532682042,91017.9007420087,70156.3045836674,1.4465564560315576
3000,200,211994.8246176313,340945.4550914699,154226.969212619,1.3745639021497782
500,700,3044346.7007091125,3066015.108878999,2850482.8994442355,1.0680108627568596
4500,400,228977.172385701,244090.87148244708,175673.19086403167,1.3034269558120897
4400,100,82861.29346278518,70837.34347650752,47459.96348180299,1.7459198740124549
1300,400,690285.0252508465,771832.9607952294,585602.0608316103,1.1787612636994078
2400,300,327394.5677207779,446518.74059416563,263367.7447779912,1.2431080654799198
4300,200,184619.3445613739,185743.75988599545,153927.2635835206,1.1993934035032061
4400,100,109203.87679217695,91164.6680510644,67742.26274582943,1.6120494410101487
3100,400,291918.6396166372,421969.02606387023,245575.05776809464,1.1887145309859053
3000,200,211137.88926289632,262907.929114181,118578.51301919142,1.7805746073803823
900,900,2097120.2891673502,2359661.3635790995,2000700.6984959939,1.0481929109855557
4300,200,170713.71773091934,149750.20587306394,112828.85828240226,1.513032395520972
2000,1000,1073263.9505911472,1499763.8055516356,1023462.2883790612,1.0486599875516283
2800,500,416331.37695157743,632323.0317610799,356608.0478720722,1.167476111197945
2400,300,315730.5244614667,454784.88440648693,248003.2950300038,1.273090038675773
3000,200,204126.28836561827,225559.8710539539,128869.00866561601,1.583982762646035
4500,900,440578.87599191215,516800.7090155601,400140.1396991988,1.1010614339344031
3100,400,304882.3610044069,420849.527589015,255090.15897844016,1.1951945234789518
4400,100,123330.58467488212,114124.56297450454,96621.71431835281,1.276427204225832
4300,200,150044.76570120922,153306.7829382635,89908.61069694141,1.6688586837024006
3000,200,194411.2339305842,202482.75800901724,131628.22744100273,1.4769722096099904
2400,300,326213.3503766132,422994.0448222724,252214.21798871268,1.293397941551464
3000,200,223721.19717643096,276610.3704720832,144438.60978757738,1.54890162336409
4400,100,89241.37882733087,71031.70718112252,50459.111537190256,1.768587993499581
4300,200,144089.0933993886,139900.95045802122,91833.64705186237,1.5690228802305473
1300,400,702500.6934198638,781201.8875282771,608291.9175639726,1.1548742850853078
500,700,3009467.8218330513,3067598.538652675,2828007.063429684,1.0641655958890357
4500,400,230691.91095845186,246289.28514838076,169173.92868468742,1.3636374868873793
4400,100,85161.66379470692,68976.11256850441,54138.05797390288,1.573046152408328
3000,800,620510.1157426217,905587.1573060239,544550.6792917532,1.139490114216113
4400,100,117333.54313875671,113186.60632005488,100419.32952364009,1.168435834966761
1300,400,694419.4428375396,795086.214076971,600568.8129203736,1.1562695696115162
2200,900,866923.3075530055,1241541.908739906,818468.4675665429,1.0592018408852424
4300,900,462864.4962624103,559431.0435937941,418751.3089875336,1.1053445955346015
3100,400,308249.511663101,472838.47640360426,251851.43767628568,1.22393389732921
900,900,2162659.570942432,2456722.3676544493,2057278.892054735,1.0512233316030608
2800,500,411643.10279918235,599972.6564046314,348913.59732364694,1.179785213178002
2400,300,298039.4492493147,402483.02119438915,227685.7661165313,1.3089946478989638
3000,200,181812.04845299313,221982.4895677695,133702.37404434013,1.359826628005111
4300,200,175884.06893149245,175784.13425460525,115640.3076979828,1.5209581540620591
4500,400,241973.19833558684,248818.48623707835,175728.77618514767,1.3769696892479586
3000,200,210237.06076354606,278203.2304642018,141800.9510629458,1.4826209499132437
4300,200,134777.55883582289,158489.88274543197,93280.7260774466,1.4448596671934502
