P,n,Paper,Min Time,Time opt,mast
500,100,1486899.5778748887,3113805.9661247483,1127589.673092291,1.318653064458483
500,200,2322920.4818723868,4845222.736383082,1552716.122631539,1.496036814466451
500,100,1162145.072518565,2269089.6809646203,642122.6295472876,1.809849114549827
1000,100,1459322.0921973877,2875394.603101088,1119374.320508008,1.3036944527502656
500,300,3554587.5394829777,7749816.733577139,2244162.8420100557,1.5839258510755836
500,200,3163409.0468932996,6244177.201027137,2061937.2194733662,1.5341927082053728
1000,200,2057260.1509298054,4364422.747758331,1542872.7100042568,1.3333959033627145
1000,100,957252.812468946,1899012.5332783435,636509.6246235877,1.5039094075522204
1000,200,2733190.597160452,5745579.197990437,2047933.098815115,1.3346093184107481
1500,100,1458062.266909019,2674494.2089156276,1118634.343452282,1.3034306298957432
1000,400,3332716.4490788886,7505179.429030316,2428542.0475420137,1.3723116107674609
1000,300,3082499.4043807685,6979241.224008568,2234992.366469138,1.3791990749617327
500,400,4293032.611055273,8726034.899533264,2442992.872573496,1.7572841326110415
500,300,3766087.8208177662,8273132.416238193,2487683.6428432525,1.5138933889975597
1500,100,843721.5976818393,1429678.900355961,636367.4180376084,1.3258403459492902
1500,200,2001541.8742880581,3580002.6948045935,1542560.1639375694,1.297545419025267
1500,300,2940921.805025071,5525387.284622442,2234677.4496811987,1.316038610155853
1000,500,3939637.5564354192,8988429.65079524,2880157.6649890523,1.3678548241734516
500,500,5055524.60057521,11391303.32124526,2902236.5057441294,1.7419409447056693
1500,400,3194730.34772597,5830927.876979913,2427894.661141056,1.3158438868284832
1500,200,2639775.5536491713,4695743.956751249,2047161.0970896047,1.2894811050298245
500,600,5951848.139856758,14034908.910901655,3006615.776716834,1.9795838849605387
1500,300,3290502.9305024846,5276896.914857715,2468786.0719665866,1.332842471798836
1000,400,3951365.7321634395,8559149.196209718,2984589.9365520966,1.3239224872305897
1000,300,3335043.301667312,7020320.768624599,2469880.3825660944,1.350285351957957
1000,600,4492642.773286982,11575539.294033153,2991959.131778902,1.5015722392624504
1500,400,3879427.916912858,6436257.350867643,2984098.3940771786,1.3000335125050582
500,400,4349319.034130376,10101706.332962817,2999790.8618089613,1.4498740860579893
1000,700,5174843.403330429,14620422.636718802,3404847.968494969,1.5198456586647082
2000,100,1436438.4306888767,2175431.6302509615,1118577.1488438414,1.2841657208656336
500,700,7055275.993417891,17147846.884694427,3420027.0730182915,2.062929866573064
1500,500,3753933.678245603,7039225.783985089,2879092.715088128,1.3038599481610291
2000,100,806801.638057226,1292341.1162064997,636367.4180376084,1.267823611311202
500,500,5118691.291426559,11895400.233634654,2882036.5123111256,1.7760674681119304
500,900,8896594.605706446,23909812.040507656,4712246.645878133,1.8879730358529554
500,800,8082676.17358419,22086259.70214082,4304819.047354947,1.8775879043163288
1000,500,3964181.317249777,10270798.51729044,2865445.5240484737,1.38344326701732
2000,200,2020585.5003012707,2675260.040734431,1542560.1639375694,1.3098908862935268
500,1000,10360840.242235534,25882837.084678464,5367069.06968709,1.930446600874393
1000,800,5878827.698150238,18782668.00516293,4274232.519842748,1.375411298018603
1500,600,3927558.8232505457,8537857.247673608,2991455.1886981903,1.3129258422753527
2000,300,2867775.523381937,4159949.365220287,2234677.4496811987,1.2833062434988354
2000,200,2631071.433079078,3922380.501185765,2047148.099343786,1.2852374647063731
1000,600,4818369.20575828,13528549.460444506,3419267.0843365737,1.4091818763824846
1500,500,3748065.5549034965,7659567.495606782,2864633.2215555953,1.3083928255458013
