P,n,Paper,Min Time,Time opt,mtpa
4400,200,104255.31239306119,125752.71120245993,91743.89160196893,1.1363733385692105
1200,200,348472.5770354763,386208.76703174954,336394.2692072194,1.0359052128228041
4400,200,146248.26092389616,174391.46537158586,115155.9162563489,1.2700021473350316
2300,200,189952.8020898098,263476.63250017463,175510.05349941883,1.0822901497801594
4700,400,207491.2108506837,226270.56155387033,168197.73593364735,1.233614767160346
1200,200,380826.4697936331,450777.2908725789,357874.9805474889,1.0641327013445652
4400,200,160947.49098165586,182766.05737674286,137320.72161632078,1.1720553831005138
900,400,915652.4249581753,1021136.5155263572,878365.9543201583,1.0424498131497777
5000,600,302821.6729467815,328514.6240547601,243225.79294879135,1.245022862400689
4200,600,338656.8666865019,411049.1716597355,289554.5154152278,1.1695789520010083
800,1000,2607513.557564179,2963340.1278258525,2558655.7209476526,1.0190951194475006
4400,200,161766.96615934404,169618.14009605107,153927.2635835206,1.0509312151292134
1200,200,374699.94625060074,494159.8705171072,338482.57034228096,1.1069992344707615
4700,400,209081.61434636725,227126.35770824295,161975.0381023603,1.2908261470155538
2300,200,222676.04777752652,300223.4610961558,186717.3811552116,1.1925833920754476
1200,200,388256.6085020028,534764.0939235173,342391.9787275577,1.1339535755039978
900,400,878315.376155391,1014120.2199027047,845869.6434234371,1.038357840341259
2100,900,923209.788013991,1326913.6563852988,857443.1564982831,1.0767008646780651
2300,200,221003.49265546483,349965.66752499714,176599.6019177118,1.251438226675298
4400,200,132258.34796037024,141808.57544667352,112828.85828240226,1.1722031931701145
1200,200,336880.51742007677,420743.30826551805,296446.28254797857,1.1363964982949453
4000,500,314774.21794112376,443418.40351593465,255372.96590320792,1.2326058744230204
4400,200,126921.41019393709,143391.27798318025,89579.42667687622,1.4168589251163428
4200,600,365026.3104536839,417099.55229769554,291224.7989247917,1.2534176752851027
3500,900,571683.5986260289,815649.2055519007,514465.89389896987,1.1112176830487723
4700,400,217121.43646797692,233043.26674202384,168250.95592194988,1.2904618299387114
3200,600,433947.6049316699,632053.9459587389,380040.3014824865,1.1418462811414953
5000,600,335067.6785542253,361849.4154868857,244628.83109682502,1.3696982365157289
1200,200,359336.1241157438,413737.3468645077,322172.52166404005,1.1153531103762404
2300,200,240198.425878912,397325.45382475934,178639.29324916055,1.344600180117656
4400,200,111507.68384117278,136461.90348836296,89746.51870977458,1.242473640696529
800,1000,2546297.155996703,2920134.0234897304,2456693.5740749235,1.0364732430887398
4400,200,147140.46444688103,168582.12858166045,115640.3076979828,1.2723977251181917
900,400,913621.235591791,1055042.0919055613,878643.8809257383,1.039808340358782
4700,400,215458.7075184042,239802.44752628615,166114.77804180546,1.2970471986795813
2300,200,191770.48022943566,317918.74392932333,154667.6256772062,1.2398876583885998
1200,200,348259.27952126006,389400.0005834206,329070.5686025068,1.0583118417433794
4400,200,123140.20965409129,157140.24901223,91160.70957568646,1.3508035449400901
2100,900,990425.3315252556,1399309.8498422,881690.9537377435,1.1233248195714785
4200,600,362955.198039314,417759.2532514481,277514.5116622374,1.3078782650511134
3700,700,453865.66284609947,663356.2199930485,385200.3918167886,1.1782585700535058
4100,700,416012.27059361973,538764.6885549845,347619.86578588234,1.1967448110398384
1200,200,384935.98501841654,484000.27063512325,361096.5244689435,1.0660196344579422
1200,1000,1780445.4256801878,2196338.744762159,1705770.4806317685,1.0437778387516483
4400,200,143771.55567640718,157896.63176702734,124828.15119872103,1.1517558683339713
900,400,896288.9656394841,1023454.0375727192,867488.2853294285,1.0332000798133183
2300,200,203174.6811454891,269278.3294213156,168090.01130297742,1.208725489221799
1200,200,355231.74801112845,418568.5035315529,334255.9351108503,1.062753748540985
5000,600,334311.97067644796,361683.14925755764,277514.5116622374,1.2046648251798042
2100,200,209315.14334990925,264567.6249961983,192225.29668983968,1.0889052947471554
4700,400,231210.44853722755,259753.64425378796,176977.28425804104,1.3064413860035962
2300,200,195924.22963082575,259345.83059900493,171688.99231435137,1.1411577818110856
1200,200,383425.3507286696,500830.97810148227,354502.3776573645,1.081587529151243
2600,900,749507.0861338318,1065592.2527019444,692550.2417870748,1.082242183902476
4000,500,314483.50342130364,421333.88756100234,249625.63351045054,1.2598205520753853
2100,200,233386.2367224628,350543.6814172142,204499.98888427936,1.1412530533413836
900,400,965151.8908288204,1167866.5086282194,922753.5673198625,1.045947612678544
3500,900,629678.8091146231,913786.3472384104,529014.5722426461,1.190286321311022
2100,200,239343.22402304076,349409.86357686046,193418.61162416055,1.237436366713862
800,1000,2526552.161114125,2939869.208856089,2467017.3752875295,1.0241322928743688
2100,200,236922.87732492632,400816.2787917127,195652.55927289012,1.2109367656902132
4200,600,416453.1353736281,462516.34163335984,314954.4837664354,1.3222645075358326
4700,400,230766.51059928525,254109.25410953537,174507.09292090376,1.322390435464313
2300,200,233693.67424175364,327546.4711774175,188398.18667944876,1.2404242225503643
2600,200,166963.40311827394,231770.68237154986,155258.89348025512,1.0753870478891911
3200,600,442413.3392879723,697001.1650978964,382232.5485887891,1.157445489457588
2100,200,205519.28033840048,329964.8957019138,169397.87574170204,1.2132341060272585
5000,600,382698.676921098,404263.52531224117,314954.4837664354,1.2150920105804892
2100,900,943158.3734093263,1410791.9980646737,865606.4801188608,1.0895925516636802
2100,200,214125.5918785634,288311.34721293795,184098.58380802287,1.1631028737399336
900,400,943261.6980915352,1097671.0530954876,911314.8185869418,1.0350558104104237
2100,200,204416.67859143694,271277.8059604169,188040.32491571817,1.08708958401906
2300,200,190966.77432591995,278918.0562709645,174394.4009274002,1.0950281276829454
4700,400,222509.56917197688,246572.60971687088,171534.09013886217,1.2971740427331295
2600,200,197800.68437404608,302010.20638350444,165173.06794499487,1.1975359350951615
2100,200,252806.12925031947,333016.69408444833,206340.87112511057,1.2251868855251447
800,1000,2496742.786784498,2875610.8073711465,2415676.817482289,1.0335582842520712
4200,600,341232.67731652735,423339.92376452306,298627.8601755833,1.1426685946712871
2300,200,219967.60392884424,344372.9133741606,184957.76225601623,1.189285603619965
2100,200,207155.3219452731,288673.10303544643,191003.3914919145,1.0845635793542565
900,400,898144.0581012748,991066.6316198654,849345.8981546736,1.0574538124604147
