P,n,Paper,Min Time,Time opt,mast
500,100,666292.4970277303,434240.06949613756,405794.8557498415,1.6419441685541638
500,300,2052591.5322152916,1352658.9685979849,1256359.0656989503,1.6337618665356415
500,200,1344248.0360318166,839423.4962179606,807346.2460973266,1.6650204822650105
1000,100,338713.4823243238,244736.41756862198,202897.42787492074,1.6693828298953546
1000,200,666346.3823392439,446830.4080140853,403673.1230486633,1.6507078234656583
500,400,2565690.251366027,1662285.7390947968,1581058.717776285,1.6227672144742347
1000,300,1000087.5605207419,774838.8766074331,628179.5328494752,1.5920409822718367
1500,100,210241.89300831695,188790.27240744195,135264.95191661385,1.5542968820032834
500,500,3329981.6744255954,2233087.5299925697,2042983.7272256636,1.6299599600568786
500,600,3993106.268757064,2616272.337377985,2432257.9294879134,1.6417281326729074
1500,200,431285.7987111892,332205.29725742544,269115.4153657755,1.6026053287396984
1500,300,656654.3084140607,570117.0572352028,418786.3552329834,1.5679935609381166
500,700,4621885.105423534,3087476.626645395,2850482.8994442355,1.6214393379888976
1000,500,1568848.8089384749,1310095.4183785617,1021491.8636128318,1.535840729450101
1000,400,1267431.0115457252,987758.0608150136,790529.3588881425,1.603268743020919
2000,100,159545.16888381686,140299.73443399154,101448.71393746037,1.5726682250715465
1500,400,799554.9039728934,751579.9463272844,527019.572592095,1.517125635468071
1500,500,1036252.5249327638,979338.1990452568,680994.5757418879,1.521675152557348
2000,200,304841.8004623603,277822.8210556126,201836.56152433166,1.5103398420984855
2000,300,468194.8731875268,494230.26913795824,314089.7664247376,1.4906403303646507
1000,600,1920179.2017052425,1493204.9930086522,1216128.9647439567,1.578927282691204
2000,400,590762.9581062054,616714.1390604287,395264.67944407125,1.4946009315507196
500,900,5910902.0813034745,3820713.0899053975,3601261.257292789,1.6413422018004142
500,800,5348293.139330619,3523253.0787238274,3267304.075750519,1.6369131906102385
1500,700,1423437.4521809411,1325750.2698416726,950160.9664814118,1.498101376919474
2500,100,120560.6943429317,125383.30401074629,81158.9711499683,1.4854882046268867
1000,700,2248984.53496428,1715323.3574928208,1425241.4497221177,1.5779673931057572
1500,600,1209985.5624592572,1095965.2452340403,810752.6431626378,1.492422593578314
2500,200,234837.5561882684,230957.438985986,161469.24921946533,1.4543794395741727
500,1000,6685660.768750227,4409527.2032885505,4093849.1535162446,1.6330989535869567
1500,800,1663270.4547949762,1519389.8864833252,1089101.3585835064,1.5271952804817344
2500,300,374190.4164314818,431263.51004260767,251271.81313979006,1.4891858014464536
1000,800,2579249.1795699177,2029799.4079403416,1633652.0378752595,1.5788240823452888
2000,500,741076.6511818514,830869.4022722812,510745.9318064159,1.4509692687336686
2000,600,901656.4484552036,925997.0659171074,608064.4823719783,1.4828303158539407
3000,100,95706.58249856465,120180.43768578347,67632.47595830692,1.4150980153020634
1000,900,2824693.801700822,2129930.1740218317,1800630.6286463945,1.5687247327478022
2500,400,456795.8457343225,544147.4919548605,316211.743555257,1.4445884918707925
1500,900,1797519.5442421192,1599124.418926395,1200420.4190975963,1.4974083376500593
1500,1000,2054873.141398863,1917412.144700932,1364616.3845054149,1.5058247612523146
3000,200,196474.90103524472,196010.0116266535,134557.70768288776,1.460153449539117
1000,1000,3197857.4223407772,2464600.6477660784,2046924.5767581223,1.5622741837442193
2500,500,584754.0249149512,706410.4331821073,408596.74544513266,1.4311274659760433
2000,700,1044963.0639547893,1104715.814018555,712620.7248610589,1.4663663678298549
3500,100,92674.21372690683,100774.19315926646,57970.693678548785,1.5986390337295477
3000,300,295059.8467734528,393580.06731450924,209393.1776164917,1.409118721689498
3000,400,376123.6577581746,473876.0909853313,263509.7862960475,1.4273612492539758
2500,600,688347.6233192603,796544.2777415115,486451.5858975827,1.4150382962554156
3500,200,165494.16023101736,163532.2444369501,115335.1780139038,1.434897514191783
3000,500,473492.72165842477,596454.6289497354,340497.2878709439,1.3905917566012718
2000,800,1213579.4154877425,1262103.1105930302,816826.0189376298,1.4857257082311521
3500,300,255590.87235654233,307306.81691139436,179479.86652842147,1.4240643103892008
4000,100,74031.87310740424,77737.6093717758,50724.356968730186,1.459493575306284
2500,700,830506.2594622475,964246.8841906873,570096.5798888471,1.4567816906113926
3500,400,311932.1889549295,400019.5620475451,225865.53111089783,1.3810526441140492
2500,800,937547.1289852692,1053156.3448148917,653460.8151501039,1.4347411615949903
2000,900,1293524.0713773048,1282769.0258944898,900315.3143231972,1.4367456054545715
4000,200,135699.07592228215,163989.96223015632,100918.28076216583,1.3446431597669033
2000,1000,1493327.204034536,1578532.1232191087,1023462.2883790612,1.4590935308419006
3000,600,556805.2946398907,688514.8967466956,405376.3215813189,1.3735515988399805
3500,500,397501.33946829924,519401.8262978342,291854.8181750948,1.3619831324142235
4500,100,74640.59476426078,82733.23937806586,45088.317305537945,1.6554309236794937
4000,300,228298.16348300115,251150.34813926107,157044.8832123688,1.4537128419158867
3500,600,482711.32486941334,608508.6200547528,347465.41849827336,1.3892355876900366
3000,700,664109.3370826646,833430.8226031566,475080.4832407059,1.397888064254967
2500,900,1030265.7165677488,1086910.3839774323,720252.2514585578,1.4304234585610716
3000,800,791678.7390418472,942265.5190007659,544550.6792917532,1.453820129416624
2500,1000,1156086.5148656913,1321874.8942829159,818769.8307032489,1.4119798648085484
4000,400,275244.7541509535,324530.65402209834,197632.33972203563,1.3927111045594944
4500,200,125816.36427127934,126471.60447474537,89705.13845525852,1.402554707989573
4500,300,204571.16632869473,212104.26473829048,142348.1066563424,1.4371189834127658
3500,700,571400.1375166777,734369.2252215515,407211.8427777479,1.4032011780869107
5000,100,62688.34928611946,63455.42930435021,42511.79157511906,1.4746108541520317
4000,500,360097.84651005175,428621.8186381904,255372.96590320792,1.4100860098344823
3000,900,816281.4284949683,996154.43007242,600210.2095487982,1.3599925751156408
3500,800,671064.9452093206,798491.8800009593,466757.72510721703,1.437715776541616
5000,200,110922.7407352953,106811.0222002711,80734.62460973267,1.3739178360150994
3000,1000,946119.9388972842,1116333.6413840398,682308.1922527074,1.3866460195554393
4500,400,238328.87569757877,243164.27977076816,175673.19086403167,1.3566604814620897
4000,600,420337.2601195101,474855.89473214553,304032.2411859892,1.3825417280740706
4500,500,319623.8285860575,327964.23225119937,226998.1919139626,1.4080457024397892
5000,300,196578.79548360556,194428.3131563262,142348.1066563424,1.3809723227172048
3500,900,701750.4972462119,816209.1707317998,514465.89389896987,1.3640369664310938
4000,800,562091.4758081955,647373.7582950832,408413.0094688149,1.3762820056571068
4000,700,491171.7381439545,575196.4801155031,356310.36243052944,1.3784941161786144
5000,400,219702.47379946942,215397.5989254863,158105.8717776285,1.389590856615843
4500,600,355195.9581020976,364952.39980441215,270250.88105421263,1.3143193343774702
4500,700,436477.1270422958,450396.4185697497,316720.3221604706,1.3781153165825237
5000,500,307709.4071997298,306558.53444778133,218726.61253679788,1.4068219849011823
3500,1000,802602.6296401398,927012.4667976086,584835.5933594635,1.3723559898770181
4000,900,589508.4060290203,656713.0094030317,450157.6571615986,1.3095598767464645
5000,600,329064.2109295635,331648.80720571015,243225.79294879135,1.3529165921923607
4500,800,508306.9818293968,510301.04280460434,363033.78619450214,1.4001643955999783
5000,700,403128.33953011443,411845.4048550987,285048.28994442354,1.414245774316742
4500,900,515888.32184952,534903.4015025657,400140.1396991988,1.2892691101605895
4000,1000,686735.4899265111,763004.109814811,511731.1441895306,1.3419849421401717
5000,800,472297.3547421578,473544.8496359106,326730.40757505194,1.4455261701764572
4500,1000,601480.8053562023,609190.7110001054,454872.1281684716,1.3223074532573493
5000,900,483259.2142886529,465761.50779936643,360126.1257292789,1.3419165668972821
5000,1000,535591.3993823343,567476.1344103183,409384.9153516244,1.3082831811775721
