P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
1,256,1000,11,0.103925,0.694013,7.0,0.897745,196820.29306361152,93999.11369967749,2.093852647296682,Amdahl
2,2048,100,81,0.715367,0.100106,10.0,0.419858,31491.571800941685,22337.481360465572,1.4098085318015154,Amdahl
3,4096,900,66,0.699821,0.486548,10.0,0.494553,135963.3423227846,82793.90617256892,1.6421902119147946,Amdahl
4,128,700,95,0.252105,0.328997,9.0,0.241537,244147.49531651768,82473.74392928864,2.960305712880513,Amdahl
5,2048,800,48,0.380232,0.567173,4.0,0.771939,125463.24243997158,79447.27946353033,1.579201242473816,Amdahl
6,512,500,38,0.15137,0.33787,3.0,0.636078,176485.82397702025,119715.8839204082,1.4742055790554487,Amdahl
7,512,600,73,0.230985,0.420942,7.0,0.713594,137614.27393591666,74982.02224156287,1.83529691280634,Amdahl
8,1024,500,66,0.649432,0.723637,6.0,0.240238,71505.98178430148,34900.44871676581,2.0488556569747125,Amdahl
9,128,700,5,0.119244,0.5906,4.0,0.106685,261805.9493199728,84366.35857819415,3.1032031455680342,Amdahl
10,1024,800,91,0.398424,0.585032,9.0,0.102732,63778.68618704507,37267.751414926155,1.7113639477991416,Amdahl
11,2048,700,31,0.799942,0.889956,10.0,0.787336,45299.96542454291,32457.00781780014,1.3956913612874509,Amdahl
12,128,100,58,0.314204,0.786132,9.0,0.395892,36196.45743338958,18369.188848721096,1.9704984107618697,Amdahl
13,8192,300,36,0.562432,0.233763,10.0,0.153198,38677.35866154077,27839.08594962818,1.389318554909571,Amdahl
14,128,900,3,0.534845,0.213005,5.0,0.132059,330401.5164653269,110404.29852523889,2.9926508376826986,Amdahl
15,512,800,26,0.767861,0.447614,5.0,0.851934,214661.36639964834,136837.3720788083,1.568733476378216,Amdahl
16,256,700,71,0.336017,0.524537,2.0,0.841195,262806.38985105103,183078.19599598722,1.4354871065957593,Amdahl
17,128,500,53,0.749981,0.820907,9.0,0.340066,186309.91078334692,63524.28070644322,2.932892883027161,Amdahl
18,8192,800,8,0.360628,0.835771,9.0,0.354204,59025.657442824835,42507.22609833325,1.3886029002758025,Amdahl
19,8192,700,27,0.424576,0.603897,7.0,0.617383,102891.31611992445,54661.38833726035,1.882339970677031,Amdahl
20,2048,300,34,0.577643,0.761176,7.0,0.372643,45275.68235878121,31910.461468878584,1.4188350865103398,Amdahl
21,4096,300,76,0.699195,0.767005,6.0,0.690699,51919.79459420583,36848.00966995701,1.4090257536090796,Amdahl
22,256,200,73,0.211051,0.283267,10.0,0.696614,51699.95880741424,21803.41588319632,2.3711861978131092,Amdahl
23,128,1000,59,0.376573,0.759818,2.0,0.76305,375117.55281872995,124089.35917466675,3.0229630913857717,Amdahl
24,256,800,29,0.613703,0.797571,8.0,0.60255,158143.8538406484,48085.27095800479,3.2888211023862826,Amdahl
25,1024,400,93,0.771915,0.559915,7.0,0.477874,59176.57942578441,36972.96761841919,1.6005363712352867,Amdahl
26,4096,500,66,0.649432,0.723637,6.0,0.240238,65857.67174283724,34769.26706110624,1.894134599590316,Amdahl
27,4096,600,90,0.79804,0.581244,7.0,0.389738,94708.88359089615,48047.491745026506,1.971151461838789,Amdahl
28,512,500,51,0.846688,0.52166,9.0,0.837665,150007.225114626,100851.89539710058,1.4874011492196366,Amdahl
29,256,800,20,0.352643,0.137693,5.0,0.148824,222312.18292331454,126274.855960436,1.7605419640547333,Amdahl
30,8192,800,22,0.262714,0.843831,7.0,0.855421,56009.11809589943,35845.234180990716,1.562526215147506,Amdahl
