P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,48420.46474380215,25339.817846041748,1.9108450201967713
256,400,123531.9996130633,48679.56019676214,2.537656443767129
8192,800,109512.3836824577,62137.90128877687,1.7624087941675854
128,1000,383178.98909590265,125295.95783362567,3.058191147752006
2048,600,162725.2937202886,95460.11175339336,1.704641768497659
256,900,227458.44708067525,77030.62312975689,2.9528314563615177
256,100,39295.13267330252,26193.65899088914,1.5001773019558065
4096,300,31951.288342486383,20887.76340872541,1.5296653699715608
256,200,57329.491695331286,25775.82693292296,2.2241572246943297
2048,400,51250.40639388589,34397.99854935305,1.4899240814942647
8192,1000,108336.33802856796,71441.52524391812,1.5164337219660735
1024,500,123037.23669280657,69330.81468246617,1.7746399960293964
256,600,190456.70121582202,65997.13135384436,2.8858330249944695
8192,900,77872.44757159427,50985.945546331204,1.5273316349665644
8192,700,112133.53140167451,54661.38833726035,2.0514212099738756
256,1000,244031.10854606,62174.13220982782,3.92496203601996
8192,900,307321.57669502223,200725.03795784948,1.5310575094251924
2048,700,70263.61631494222,45736.33575987692,1.536275592426937
1024,600,120371.8170005642,69645.19944005155,1.7283577040249065
4096,1000,79783.11550306098,51207.743830232605,1.5580283280506049
2048,200,49449.74177307033,33208.183834406,1.4890829929048073
512,800,119083.46123828065,58281.74602729851,2.043237709153451
128,200,110970.12244732206,36920.89002320384,3.0056188346916923
2048,800,130447.87206438469,69914.3129245496,1.865824987869965
512,100,51515.23232504919,34744.80913128068,1.4826742069701035
1024,100,26581.87829415209,17424.209760559108,1.5255715271703163
512,900,139848.03569262713,65527.226447374065,2.134197390529588
256,800,228979.22518403176,88988.07431158595,2.5731450753982594
1024,100,31570.472973414904,17010.884101954263,1.8558984226920923
1024,700,225352.10247639503,122698.14519501191,1.8366382158281913
256,300,110203.04855965584,58817.967607809784,1.873628978384204
1024,600,91439.99915100024,56839.82740281852,1.608731119167086
8192,200,77967.36137826472,48832.439654252754,1.596630476181311
1024,300,78985.92960696305,51334.02512144949,1.538666204726647
4096,900,133234.98623633955,68798.33552250691,1.9366018846888036
512,900,114213.1893771096,70503.79592528375,1.6199580161350005
4096,100,51499.80619538022,34460.69141352587,1.4944507519418624
8192,700,38197.90148621437,24919.342184621364,1.5328615500046259
1024,400,122796.70495226445,71121.47502380062,1.7265770277004358
256,700,144004.66432645242,46686.09352875527,3.084530176802133
256,400,124581.83175651808,59315.77823058138,2.100315219202292
512,500,211612.08523254338,104189.08387589059,2.0310389280763275
256,900,181142.28816592623,57244.69321120439,3.164350754708414
8192,500,147091.47765946388,87191.89492611904,1.6869856743462222
8192,300,68817.92136491269,37997.38137569971,1.8111227372348215
1024,800,116862.3075994784,76586.05734526525,1.5258953346121444
4096,800,129186.50920013529,69744.6297416748,1.8522789450402937
4096,800,119931.46166308741,49156.66889863417,2.4397800817300648
8192,500,140731.68943331952,93303.02350633578,1.508329356805496
4096,700,223161.87083211454,121247.84298185878,1.8405430178704643
