P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,19861.9611526079,18779.00655706,1.0576683645248932
256,400,66030.31340806761,43244.960742362484,1.5268903538021885
8192,800,47464.83444430773,46379.37991347244,1.0234038172321485
128,1000,208777.04376610406,119404.61005167404,1.7484839461035284
2048,600,121752.6593684584,111680.57587899217,1.0901865289482344
256,900,105442.23540593914,51518.201495127876,2.0466986879561566
256,100,15149.644211959834,12924.548421892341,1.1721604281584415
4096,300,20427.414199512354,17279.41691731119,1.182181916048763
256,200,31303.22035037672,22891.533499154106,1.3674584252528754
2048,400,33308.596290948444,21733.26502109654,1.5326089411147243
8192,1000,60225.38863941643,60202.342442558154,1.0003828122947254
1024,500,81333.8587435488,53664.96732667876,1.515585731161246
256,600,92391.01829675607,58028.72573355824,1.5921600402010203
8192,900,52575.017380802,52575.017380802,1.0
8192,700,54693.65156701185,35360.41439156067,1.546748037547472
256,1000,119728.7611230342,58863.710166351215,2.0339995692537203
8192,900,149649.57060028278,149649.57060028278,1.0
2048,700,41611.35817859911,41611.35817859911,1.0
1024,600,59605.4570714472,43965.34404781527,1.3557373054245239
4096,1000,34422.52940335117,33915.21825046568,1.0149582157820412
2048,200,13865.401288822479,12441.910416424595,1.114410956577756
512,800,63597.94057458456,54149.74440156318,1.1744827473783723
128,200,54506.86946880076,38939.521911435,1.3997827090114903
2048,800,88746.2064745657,71810.48771496736,1.2358390716801726
512,100,60629.67208068136,60573.79424177784,1.0009224754632422
1024,100,9753.769980577394,9640.921141579869,1.0117051926201144
512,900,65485.73426258812,46304.128599874144,1.4142525999888078
256,800,124987.05814406072,86969.02217444926,1.4371445719298983
1024,100,30381.79870024664,20829.72320776272,1.4585790889878028
1024,700,137032.6853276801,101971.47650017287,1.3438334917848112
256,300,44105.93304715042,35896.699653227304,1.2286904777661103
1024,600,88387.32385422182,86765.25402755744,1.018694923962871
8192,200,21053.7369850466,18018.92824454402,1.1684233767577987
1024,300,18908.50631716676,18573.116360380285,1.018057818100032
4096,900,61672.66649060858,52757.84825268096,1.1689761529930214
512,900,64238.15823647926,53309.00486140186,1.2050151452553302
4096,100,60573.79424177784,60573.79424177784,1.0
8192,700,41694.171098573366,41694.171098573366,1.0
1024,400,71168.86131315284,63377.543120814065,1.1229349988762818
256,700,74752.24712434539,38261.990551516115,1.9536946731430147
256,400,51379.91754759681,22632.151942540644,2.2702179482552993
512,500,108651.68836068788,62904.27191045394,1.727254525978088
256,900,94912.98808822667,47728.093563071816,1.9886188825623397
8192,500,84889.56492633495,84889.56492633495,1.0
8192,300,33351.02811527207,23136.448596413335,1.4414929748743817
1024,800,66821.45819181303,66116.18200423285,1.0106672249697515
4096,800,88746.2064745657,71810.48771496736,1.2358390716801726
4096,800,68753.9375513519,64362.85987349461,1.0682237813311586
8192,500,66624.56129320196,66624.56129320196,1.0
4096,700,137018.5543906216,101971.47650017287,1.3436949144341293
4096,800,43948.578664085064,43948.578664085064,1.0
4096,100,8324.029291234334,8321.239576006265,1.0003352523626543
8192,600,60960.24148794696,60947.46333963169,1.0002096584109508
8192,800,87137.91878214308,62102.16000225037,1.4031382930800715
512,300,51839.293113881344,51521.92639179481,1.006159838040083
256,100,18802.32185227777,17954.53769414384,1.047218378583507
128,600,122802.92489425678,70900.57950763027,1.732044022024401
2048,900,129752.604791726,129752.604791726,1.0
8192,1000,30119.071476583485,28498.849543516073,1.05685218733456
4096,300,18482.584794619543,18481.458954016285,1.0000609173012833
256,500,76965.82789025175,66627.75825410518,1.1551616009159307
256,700,104681.00859762362,61827.216222082076,1.6931218158296437
128,500,100380.84665589797,53535.80791606614,1.8750225421698288
2048,700,88656.04345035662,69714.60276884174,1.2716997577153315
128,800,174958.50614638187,89245.39881899078,1.9604204638183762
512,300,25500.659621046165,25000.830378077444,1.0199925056652122
4096,200,53640.79281597229,53640.79281597229,1.0
4096,500,173165.7012270452,173165.7012270452,1.0
8192,1000,80580.04440710397,71753.33995595953,1.1230145447802438
128,900,193353.8014775692,103084.41806074536,1.875684076361862
4096,300,19028.50780282153,19028.50780282153,1.0
4096,400,48786.97977664097,45126.38541333707,1.0811187142461007
128,900,191495.45255847962,103160.92321660006,1.8562789725757833
1024,400,27669.810923196063,26611.894241008282,1.0397535279753802
8192,600,26858.42234431525,18661.250273283804,1.4392616759857109
128,400,89753.56152453323,46532.57276323225,1.9288329914878912
4096,700,41663.71125395748,36793.786558940206,1.1323572578542878
8192,500,29587.00133662399,27177.07231873392,1.0886750783758572
256,900,108360.00013988916,51088.94408718974,2.1210068455311806
8192,1000,132590.20560675484,94799.79607328854,1.3986338694679366
8192,600,19864.92925653206,18779.00655706,1.0578264188881603
4096,900,43626.89132745511,40761.55353335776,1.07029510766199
8192,700,103650.17673083996,103650.17673083996,1.0
128,300,70598.73920092992,32755.432020731212,2.1553292032981686
4096,700,92388.85545586015,80356.03512507299,1.1497438283516384
256,100,14497.91760439614,14135.174116163842,1.0256624704620718
2048,500,36286.799014447286,36276.16196639806,1.0002932241855982
512,600,42003.99157862495,30580.976963775065,1.3735333448758391
