P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
1,256,1000,11,0.103925,0.694013,7.0,0.897745,184290.03038013488,114052.16297138289,1.6158398541409122,General
2,2048,100,81,0.715367,0.100106,10.0,0.419858,42410.69427816281,34797.99253486696,1.218768417047853,General
3,4096,900,66,0.699821,0.486548,10.0,0.494553,193698.5792099906,124719.89755923967,1.5530687805286827,General
4,128,700,95,0.252105,0.328997,9.0,0.241537,257968.90183355575,118106.42169880556,2.1842072439670286,General
5,2048,800,48,0.380232,0.567173,4.0,0.771939,160310.05194496884,132293.56255090234,1.2117751525762008,General
6,512,500,38,0.15137,0.33787,3.0,0.636078,244500.08457640657,200600.6387207743,1.2188400103587806,General
7,512,600,73,0.230985,0.420942,7.0,0.713594,160312.80400250328,105022.81261133405,1.5264569669809276,General
8,1024,500,66,0.649432,0.723637,6.0,0.240238,83346.7700337232,46061.858103017745,1.8094530586959263,General
9,128,700,5,0.119244,0.5906,4.0,0.106685,226296.3198722366,84366.35857819415,2.6823051709941472,General
10,1024,800,91,0.398424,0.585032,9.0,0.102732,92197.53415041222,63384.96579246821,1.4545647062787828,General
11,2048,700,31,0.799942,0.889956,10.0,0.787336,49253.762279667135,39830.52628133257,1.2365832661053984,General
12,128,100,58,0.314204,0.786132,9.0,0.395892,33700.04961132532,26126.125239736124,1.2898984944032095,General
13,8192,300,36,0.562432,0.233763,10.0,0.153198,43081.638092908885,36076.63280186646,1.1941701524505917,General
14,128,900,3,0.534845,0.213005,5.0,0.132059,321561.6504068606,139591.2364882103,2.3035948279892144,General
15,512,800,26,0.767861,0.447614,5.0,0.851934,251594.24615185568,197393.3795668679,1.2745830012329618,General
16,256,700,71,0.336017,0.524537,2.0,0.841195,302127.02139460936,234983.82020263324,1.2857354226945354,General
17,128,500,53,0.749981,0.820907,9.0,0.340066,163012.0906741197,63524.28070644322,2.566138315322719,General
18,8192,800,8,0.360628,0.835771,9.0,0.354204,66268.18976633214,54320.9057684255,1.219938968780066,General
19,8192,700,27,0.424576,0.603897,7.0,0.617383,128412.34432313133,80626.46962808013,1.5926822160945593,General
20,2048,300,34,0.577643,0.761176,7.0,0.372643,49918.35311238414,37939.74255370349,1.3157272493803824,General
21,4096,300,76,0.699195,0.767005,6.0,0.690699,59216.5672080058,38752.99367855184,1.5280514248575252,General
22,256,200,73,0.211051,0.283267,10.0,0.696614,60492.6931459028,38158.66027827733,1.5852939465052343,General
23,128,1000,59,0.376573,0.759818,2.0,0.76305,325574.92367189925,124089.35917466675,2.62371347420389,General
24,256,800,29,0.613703,0.797571,8.0,0.60255,130404.18580002442,52179.14170893851,2.499163104817526,General
25,1024,400,93,0.771915,0.559915,7.0,0.477874,75941.33104617656,49051.77331750574,1.54818727051147,General
26,4096,500,66,0.649432,0.723637,6.0,0.240238,83346.7700337232,46061.858103017745,1.8094530586959263,General
27,4096,600,90,0.79804,0.581244,7.0,0.389738,103354.93071851769,51613.479508776116,2.00247942402224,General
28,512,500,51,0.846688,0.52166,9.0,0.837665,170402.13790478738,124988.94385887164,1.3633376892694844,General
29,256,800,20,0.352643,0.137693,5.0,0.148824,278460.91280018387,210977.95440512575,1.319857866597168,General
30,8192,800,22,0.262714,0.843831,7.0,0.855421,64121.103113100966,49795.0272020813,1.2877009355348012,General
31,8192,100,33,0.728034,0.112467,2.0,0.434197,116243.99456203233,102623.46676272963,1.132723325658,General
32,512,600,21,0.830316,0.216257,9.0,0.535044,142518.6274355581,92921.13792117263,1.5337589554322966,General
33,4096,300,59,0.145154,0.216152,5.0,0.227988,75896.96786454458,65210.744929774046,1.1638721187172238,General
34,512,100,30,0.311593,0.494797,1.0,0.411192,69848.30086181768,59800.389484683525,1.1680241795031736,General
35,512,400,65,0.341813,0.131667,6.0,0.445843,146278.3024208769,130538.90726759212,1.1205724445128113,General
36,512,600,87,0.701721,0.485789,10.0,0.896196,174263.1413923093,131761.98633212727,1.3225600663992043,General
37,512,200,34,0.193941,0.777444,3.0,0.390147,49181.1108590223,31705.394626816502,1.5511906234854052,General
38,256,100,19,0.894956,0.277955,6.0,0.168629,29385.19454914992,26415.822114851857,1.1124088594096257,General
39,2048,200,22,0.81636,0.60347,9.0,0.214718,30910.29911351935,26109.246436838283,1.1838832341751206,General
40,512,600,12,0.428009,0.498308,10.0,0.506425,136148.7864806451,64352.41237737711,2.1156749444331284,General
41,2048,900,43,0.238553,0.709156,3.0,0.720007,180405.5404222749,137540.97978364697,1.3116493768333934,General
42,8192,500,56,0.178558,0.3637,3.0,0.260735,240016.2055203073,200791.6018005936,1.195349822243401,General
43,4096,200,90,0.517281,0.702481,8.0,0.62128,65350.8479754229,47639.49018411157,1.3717789112113192,General
44,512,900,13,0.562432,0.233763,7.0,0.153198,149430.04175993308,126647.55311099823,1.1798888970951338,General
45,256,200,50,0.733229,0.521202,1.0,0.840543,186757.2990431537,148849.52287300915,1.2546718016858243,General
46,512,300,76,0.699195,0.767005,6.0,0.690699,59279.098635663824,38752.99367855184,1.5296650144598334,General
47,512,200,19,0.278484,0.749344,3.0,0.268131,44245.083484198934,41095.10804137316,1.0766508616951314,General
48,512,800,67,0.467215,0.250236,2.0,0.546734,536481.9359420991,416287.66404343257,1.2887288821657858,General
49,128,500,88,0.614454,0.398912,3.0,0.295666,186975.48478600092,93179.15627720975,2.0066235009656594,General
50,8192,800,36,0.54861,0.334123,4.0,0.231242,185707.2919317948,140683.89126429337,1.3200323808425158,General
51,1024,900,57,0.861978,0.65095,2.0,0.852374,169632.03938482743,138660.26103350002,1.2233644890070177,General
52,256,900,9,0.16733,0.639422,10.0,0.553734,171670.79800108034,79895.7452462611,2.148685107973432,General
53,4096,500,26,0.485154,0.675732,9.0,0.478628,85422.50339879819,58413.949163164856,1.4623648053685199,General
54,512,100,51,0.859956,0.135467,8.0,0.542046,95348.23132490688,81290.41796145657,1.1729332154512448,General
55,128,400,66,0.277529,0.465338,10.0,0.361489,146439.56885391247,62599.27814625294,2.3393172124410198,General
56,512,100,57,0.773757,0.558521,9.0,0.472199,50140.10400255152,31840.379276406566,1.5747332519906534,General
57,8192,300,67,0.593592,0.272399,5.0,0.6807,186093.53362521037,114697.14098863088,1.6224775266513096,General
58,4096,800,87,0.759213,0.430835,5.0,0.751711,294246.1705103656,196678.2160998577,1.4960791100574686,General
59,1024,800,34,0.613512,0.287316,6.0,0.205666,179273.44859694925,76146.64778133373,2.3543183294392587,General
60,128,200,70,0.413382,0.599422,3.0,0.517703,93929.47509530558,56802.49785081318,1.6536152220277913,General
61,8192,700,43,0.506619,0.290083,7.0,0.498927,265329.7724372584,163408.4341097494,1.6237214063201655,General
62,8192,200,82,0.668572,0.457403,7.0,0.2616,64664.19369263848,55080.40807549345,1.1739962711243797,General
63,1024,200,52,0.366465,0.552069,5.0,0.56244,66374.0359182993,52013.803178654016,1.276085036318563,General
64,512,200,91,0.863484,0.245115,7.0,0.256471,64857.07090407674,49088.639705453395,1.3212236332731702,General
65,1024,500,48,0.273445,0.855023,3.0,0.357455,59899.21551529151,47164.08235285175,1.2700176177957534,General
66,256,500,66,0.649432,0.723637,6.0,0.240238,128070.137752906,46062.66618164537,2.780345741340049,General
67,2048,100,89,0.430902,0.107302,3.0,0.825334,81465.63989540208,64257.8823510501,1.2677921667312892,General
68,4096,300,79,0.404985,0.191272,6.0,0.600165,151191.91797725225,119772.56060949582,1.2623251703718308,General
69,8192,700,81,0.865154,0.543164,2.0,0.152786,194668.63918275313,143967.24459588702,1.3521731261106222,General
70,512,600,10,0.770175,0.560932,6.0,0.477471,200624.04865870796,138267.09176342702,1.4509891406551951,General
71,256,300,11,0.144749,0.21835,8.0,0.625963,87097.05887058584,62574.02179586301,1.391904441666304,General
72,1024,900,72,0.816699,0.891594,7.0,0.412868,61093.22960712727,49356.56698249737,1.2377933341431935,General
73,512,500,8,0.753593,0.823164,5.0,0.346657,55678.41748068173,38492.97728304208,1.446456507411045,General
74,2048,300,56,0.443562,0.629253,1.0,0.240215,82984.67912280567,73704.1031609804,1.1259166798564137,General
