P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,82935.3234804354,32086.250269673834,2.5847620953957753
256,400,136484.33001452443,69344.18366491112,1.9682159743065362
8192,800,171341.4924479515,68639.61815064191,2.4962477511444185
128,1000,235835.21679089282,125295.95783362567,1.8822252598447493
2048,600,315771.39912401774,191374.78812730435,1.650015669326116
256,900,187695.6353140733,79309.82918527524,2.3666125276300694
256,100,61113.319015626184,27744.76099020595,2.2026976205417492
4096,300,50808.4358473723,24265.13520631133,2.093886368873687
256,200,76262.23672494169,32996.77807816611,2.311202522388215
2048,400,83389.43955816058,49006.50439213838,1.701599422209308
8192,1000,179424.77366875444,97895.23348711745,1.8328244111330088
1024,500,202504.0363853061,103433.70181766388,1.957814840101986
256,600,241914.25213435633,107515.86756387605,2.2500330194576454
8192,900,121147.90759740867,76055.59330000391,1.592886234146338
8192,700,200407.20394922595,80626.46962808013,2.48562543881283
256,1000,152456.92064637845,66688.81108753479,2.286094446132285
8192,900,517509.40224150085,294265.0674249581,1.758650480568759
2048,700,108559.75685666766,53921.858220267735,2.0132792236722854
1024,600,170436.30906172626,87981.12037524463,1.9371918467826441
4096,1000,120992.37648230512,57823.110280004155,2.092457079814774
2048,200,75854.91413460806,43211.18708703341,1.7554461991943333
512,800,150075.1004975359,76745.1936743743,1.955498361686289
128,200,104808.01521655504,55080.46923257345,1.9028163099702453
2048,800,216064.213506414,91530.45019922058,2.360571952133301
512,100,115777.62337351454,81541.92332472774,1.4198539677859763
1024,100,47082.02562034662,26126.125239736124,1.8021051797125256
512,900,159514.06133491744,83768.9354752691,1.9042149745595178
256,800,261555.44978744732,140690.70674223357,1.859081213279112
1024,100,60877.22123647356,26128.92828146623,2.3298782323060294
1024,700,439371.4343444539,209079.4040392636,2.101457273438292
256,300,156489.11855634282,73378.01257741736,2.1326431864209896
1024,600,163283.31463867615,121589.27436436518,1.3429088666930187
8192,200,128180.806520823,66804.37457564907,1.9187486947530876
1024,300,123897.5565655717,60661.299768006524,2.0424481018277936
4096,900,219520.20996655722,83867.31024046338,2.617470494011927
512,900,164082.20059844828,83934.36071927342,1.954887118843224
4096,100,115777.62337351454,81541.92332472774,1.4198539677859763
8192,700,61156.90999081294,48366.36010081021,1.2644513637855594
1024,400,190380.510159327,93715.09953214714,2.0314817047600817
256,700,118035.8043052894,54206.33391376397,2.1775278972577405
256,400,182673.83109876324,62094.6152682652,2.9418626769739027
512,500,386118.2090187289,150411.49619722992,2.5670791048606025
256,900,145393.26063421948,65851.69814960258,2.2078893137108406
8192,500,257196.03166071052,145171.26830844925,1.7716731048614887
8192,300,107261.27514613343,49207.11959862682,2.179791786656959
1024,800,194720.67239957335,113583.42103934956,1.7143406195884414
4096,800,216064.213506414,91530.45019922058,2.360571952133301
4096,800,196621.02255060896,80495.74766274964,2.4426262039876385
8192,500,225018.88225036635,126547.99516819877,1.7781307554599102
4096,700,439371.4343444539,209079.4040392636,2.101457273438292
4096,800,120155.68494571379,76289.52886222344,1.5749957659682403
4096,100,55826.29335695762,27021.11397775278,2.06602486496008
8192,600,120861.8043482317,71516.09563181561,1.6899944450332032
8192,800,313370.27233556303,111382.24810651336,2.8134669362741827
512,300,112890.89464256591,64288.232254330745,1.7560118031548624
256,100,138660.56961910147,66621.99147149005,2.081303283742866
128,600,170320.13602740844,74899.47399565695,2.2739830727954704
2048,900,442890.30062696774,246837.67939689083,1.7942572694294516
8192,1000,110619.20378133067,55350.7803146872,1.9985120923756536
4096,300,97962.90610932873,44478.45983108848,2.2024797279706383
256,500,225208.162390939,126547.99516819877,1.7796264736680183
256,700,157115.75787596861,88059.66488743904,1.7841966361875157
128,500,122166.33716861665,56182.17500713485,2.174467918928061
2048,700,146734.416241032,82723.15596316708,1.7738009935980474
128,800,261363.10246826248,133043.65281458962,1.9644913300185736
512,300,71989.98848688076,36792.68253707005,1.9566387532180631
4096,200,152312.77318195792,87248.16939999937,1.7457417643190003
4096,500,630597.3971950829,374127.1854931126,1.685516106946181
8192,1000,297535.7916895023,150682.91879743664,1.9745820831190581
128,900,248294.4970054278,109443.21737422631,2.2687061195982414
4096,300,65866.78422008085,36076.63280186646,1.825746448728252
4096,400,199736.20559413434,80803.01007103526,2.4718906562830143
128,900,229579.30205631527,109318.34627419793,2.1000985642471446
1024,400,93961.18118616354,55614.3310578869,1.6895138249233426
8192,600,80115.24031136728,36813.11504024967,2.1762689797854153
128,400,189450.78416677302,101350.91774796846,1.8692557341995109
4096,700,179436.67033243543,83298.65199605712,2.154136544021492
8192,500,142869.16184718595,62291.80850112228,2.2935465398249266
256,900,152399.68414279455,72343.07089417889,2.1066244805355288
8192,1000,434400.9177804084,193587.99783544827,2.243945506113729
8192,600,82933.15102660682,32086.250269673834,2.584694388704893
4096,900,124732.79419214776,74506.27131782444,1.674124768102674
8192,700,472820.4054156541,257665.43434439163,1.8350168179084887
128,300,95895.15102106237,39128.1871492468,2.450794631892582
4096,700,245912.3906771917,120542.04638444567,2.0400548858520406
256,100,35781.79225296396,16062.953290333515,2.227597354372997
2048,500,92460.03718070227,64798.784885890724,1.426879182125443
512,600,109804.78608560166,54759.00301290296,2.00523713077333
512,500,80801.10339571921,40793.162330552455,1.980751154837594
512,400,126046.40993205504,74066.52558882261,1.7017999552428948
8192,1000,473694.78772621544,296829.78369162104,1.5958465550018421
128,600,168294.2243087619,72849.63176490327,2.3101588879937336
2048,800,195560.80484973505,80691.6874824957,2.4235557707497155
8192,200,62036.87042234782,41095.10804137316,1.5095925860540675
512,400,299292.27613055496,161388.29849094016,1.8544856035356014
1024,300,109888.2029767473,42146.23556164081,2.607307663718406
1024,800,311039.95226029435,164504.5334558055,1.8907682707957463
1024,100,25514.267149554285,18958.590370662885,1.345789251770314
2048,200,98348.79176863047,57462.271367614376,1.7115367949770892
256,100,108533.38772223839,54998.76131684471,1.9733787656958992
1024,700,257616.43603517528,99618.79371512462,2.586022440422933
4096,800,132978.26343250953,63505.82912459984,2.093953661664715
4096,800,362560.2309502125,202353.75339573988,1.791714879837981
8192,1000,217645.47930977304,97107.11998289233,2.2412927017927866
8192,700,297277.9656844977,143967.24459588702,2.0649000161040147
8192,1000,120992.37648230512,57823.110280004155,2.092457079814774
4096,900,148255.3980182386,71933.22533163877,2.061014188293746
512,700,321062.9323079477,177200.19832819805,1.8118655359137747
1024,200,90877.8337301605,54881.936751014604,1.6558787664956165
4096,700,211886.31498919672,168001.64809777957,1.2612156927524638
2048,700,349980.0754326654,177106.47023915342,1.976099884775945
8192,300,71646.77219788643,42831.51684479748,1.6727582274870798
8192,500,259121.48265288008,105591.85204537216,2.4539912657421445
8192,700,152870.3301358738,61680.706160931106,2.478414072254943
256,1000,268492.49149709014,147856.9083645297,1.8158941267400426
2048,100,136050.7923510628,80097.32978272869,1.6985683882360745
4096,700,247511.5615706539,124421.16221479316,1.9893043688449472
1024,800,169408.95358441083,124249.35109939276,1.3634594634533972
1024,400,760151.9785524616,447124.8921868822,1.7000887041528103
256,100,32394.3623074139,18030.171622542253,1.7966752056265949
128,900,231902.69631739365,106569.95671190214,2.176060716101369
512,900,316376.70561687095,155561.6151421717,2.0337710258904567
4096,1000,267478.70965975797,147856.9083645297,1.8090376203478435
8192,300,134184.47500235483,59646.42706960382,2.249664927050359
512,500,368256.7989722503,191297.86620507852,1.925043944700696
128,800,200777.2415056976,84426.00544789649,2.378144511759558
128,100,61134.32363716815,33864.52550884084,1.8052614858344354
2048,200,82589.63513421908,38158.64128795635,2.1643756786562016
4096,500,107855.24089643106,100808.81710997372,1.0698988837332581
128,400,166233.84317532668,56697.870143421365,2.931923946258054
1024,700,461239.23576706374,203696.4792654518,2.2643456451988504
128,300,124348.0916545607,56263.074324413734,2.210119037178234
4096,500,327858.08960912895,144967.29718427974,2.2616003469552295
256,500,111686.30677551006,64740.90042417872,1.7251274857740269
512,500,332787.65537507454,225641.9561793339,1.4748482995360324
128,800,262747.6440585412,103240.3095790912,2.54501023030402
128,400,415383.0717354136,248839.23122737743,1.66928289276001
2048,600,210354.80900692014,92901.70772451619,2.2642727906648457
4096,100,80967.99612970703,53822.603263146375,1.5043493108990467
256,900,842722.6807913452,471069.48858223285,1.7889561969459506
2048,500,84317.54178941704,46117.50017027101,1.8283198672544516
1024,500,184239.39841576928,94363.66759019131,1.9524399922213298
128,200,69573.52191966254,34021.21650844406,2.045003943418496
8192,200,264994.724562572,148803.6312079928,1.7808350670701791
2048,800,169408.95358441083,124249.35109939276,1.3634594634533972
512,800,116007.67994372947,82757.78660001053,1.4017735938785332
