mu,alpha,average,max
0.1,2.5,1.7567511717284114,3.415502104004159
0.1,2.7,1.7049055299420424,3.39351404123822
0.1,2.9,1.6661314524878137,3.383869636237649
0.1,3.1,1.6330208905941521,3.37636572394634
0.1,3.3,1.6090023191197973,3.3757576805152176
0.1,3.5,1.5896272343366669,3.3693554704955573
0.1,3.7,1.5773963434064344,3.3639721784128507
0.1,3.9,1.5640024267183426,3.362104238200601
0.12,2.5,1.7515645689651655,3.0658754233240475
0.12,2.7,1.6988839325095244,2.946973681171132
0.12,2.9,1.6617350379225044,2.908607337231436
0.12,3.1,1.631320856790653,2.894781935798305
0.12,3.3,1.6066603396421304,2.8941450458477127
0.12,3.5,1.5875933633428927,2.887742835828052
0.12,3.7,1.5695481733144083,2.882359543745345
0.12,3.9,1.555258849878867,2.877952734633868
0.14,2.5,1.7522157542137475,3.064473258732124
0.14,2.7,1.6995630387957676,2.9455715165792085
0.14,2.9,1.6633103965361606,2.880241405831167
0.14,3.1,1.6302115618124635,2.7988443413031194
0.14,3.3,1.6097975932677273,2.732369988047651
0.14,3.5,1.5917191233142138,2.676511275061177
0.14,3.7,1.575881454555687,2.653859731260912
0.14,3.9,1.563883041771753,3.006546041680175
0.16,2.5,1.7539882073901132,3.0634517280247087
0.16,2.7,1.7033958303352192,2.9445198931352654
0.16,2.9,1.6675927539977433,2.879189782387225
0.16,3.1,1.6400939900616764,2.8156174289099227
0.16,3.3,1.6166654106259157,2.833355486918725
0.16,3.5,1.598979023234543,2.7446106463697726
0.16,3.7,1.585440565994651,2.785053247982243
0.16,3.9,1.5720715486729748,2.960399557392969
0.18,2.5,1.7575395481586134,3.062730156229716
0.18,2.7,1.7112716139894237,2.9437234362245825
0.18,2.9,1.6735536337956756,2.8783718530419358
0.18,3.1,1.6490350904489073,3.02928553189015
0.18,3.3,1.6223479381139514,2.730386538313446
0.18,3.5,1.6069449230957686,2.7852722555710185
0.18,3.7,1.5957271885744175,2.8099677375638805
0.18,3.9,1.5862594753632047,2.870447979296584
0.2,2.5,1.7615127703937163,3.062157551648936
0.2,2.7,1.7145021506120002,2.9431461787885884
0.2,2.9,1.676157016155199,2.877733080561363
0.2,3.1,1.6539558672153702,2.9127965343500373
0.2,3.3,1.6315482794954412,2.877541631552372
0.2,3.5,1.6165057531337224,2.942211376779789
0.2,3.7,1.6045328195183188,2.9744109730700594
0.2,3.9,1.5942554823675144,3.049013318247149
0.22,2.5,1.7635350252579962,3.061700138938655
0.22,2.7,1.7161798915590778,2.942674410189238
0.22,2.9,1.6833176707486246,2.877260779022822
0.22,3.1,1.6583529521934557,2.7957950166335466
