mu,alpha,average,max
0.3,1.0,1.2073921859234205,2.9044952964812656
0.3,1.2,1.1975879278421409,2.8974049980327696
0.3,1.4,1.203065412464622,2.8974049980327696
0.3,1.6,1.2001238773027927,2.8974049980327696
0.3,1.8,1.2001759806492256,2.8974049980327696
0.3,2.0,1.1990415657421334,2.8974049980327696
0.3,2.2,1.1979506038019336,2.8974049980327696
0.3,2.4,1.197486100908487,2.8974049980327696
0.3,2.6,1.1987019468072397,2.8974049980327696
0.3,2.8,1.1985097580311126,2.8974049980327696
0.3,3.0,1.2000188992559402,2.8974049980327696
0.3,3.2,1.2001875447072916,2.8974049980327696
0.3,3.4,1.2012230491525895,2.8974049980327696
0.3,3.6,1.2014918620585757,2.8974049980327696
0.3,3.8,1.1984769875584798,2.8974049980327696
0.3,4.0,1.200333982310872,2.8974049980327696
0.3,4.2,1.198399803031626,2.8974049980327696
0.3,4.4,1.2024265507994432,2.8974049980327696
0.3,4.6,1.199470344347902,2.8974049980327696
0.3,4.8,1.1995325014215115,2.8974049980327696
0.3,5.0,1.1970209728017949,2.8974049980327696
0.32,1.0,1.2000947812929166,2.7686283666642804
0.32,1.2,1.1883566398031276,2.7615380682157844
0.32,1.4,1.1909273397037252,2.7615380682157844
0.32,1.6,1.1911114233215072,2.7615380682157844
0.32,1.8,1.1910960477075578,2.7615380682157844
0.32,2.0,1.1907570740746805,2.7615380682157844
0.32,2.2,1.1898453721777584,2.7615380682157844
0.32,2.4,1.1908726105303664,2.7615380682157844
0.32,2.6,1.1921540520930471,2.7615380682157844
0.32,2.8,1.1892738411411146,2.7615380682157844
0.32,3.0,1.191154967520559,2.7615380682157844
0.32,3.2,1.1917302619951906,2.7615380682157844
0.32,3.4,1.1914784695118632,2.7615380682157844
0.32,3.6,1.1906990681885499,2.7615380682157844
0.32,3.8,1.1910622142381362,2.7615380682157844
0.32,4.0,1.1891104555136713,2.7615380682157844
0.32,4.2,1.192717760094924,2.7615380682157844
0.32,4.4,1.1920475326444204,2.7615380682157844
0.32,4.6,1.189252835130346,2.7615380682157844
0.32,4.8,1.1900820884751349,2.7615380682157844
0.32,5.0,1.19217836638282,2.7615380682157844
0.34,1.0,1.2864740908942,2.588204745077457
0.34,1.2,1.2822554564795547,2.593410145926481
0.34,1.4,1.2811250172527142,2.581114446628961
0.34,1.6,1.2792248721886208,2.5877270606938865
0.34,1.8,1.2804732689092615,2.581114446628961
0.34,2.0,1.2785795751593316,2.581114446628961
0.34,2.2,1.280386433551431,2.581114446628961
0.34,2.4,1.280132103019456,2.581114446628961
0.34,2.6,1.2793560862490123,2.581114446628961
0.34,2.8,1.2805628057092477,2.581114446628961
0.34,3.0,1.277515091159577,2.581114446628961
0.34,3.2,1.2800009877998142,2.581114446628961
0.34,3.4,1.2779251737687851,2.581114446628961
0.34,3.6,1.2780812141033162,2.581114446628961
0.34,3.8,1.2803443695133379,2.581114446628961
0.34,4.0,1.2792981855014682,2.581114446628961
0.34,4.2,1.279823280962853,2.581114446628961
0.34,4.4,1.2787094378631996,2.581114446628961
0.34,4.6,1.280289583829923,2.581114446628961
0.34,4.8,1.2773356090271946,2.581114446628961
0.34,5.0,1.2802374931981966,2.581114446628961
0.36,1.0,1.2650298217244118,2.5178346157304863
0.36,1.2,1.2568767921275477,2.4237236277979086
0.36,1.4,1.2573413234513542,2.5180917599716843
0.36,1.6,1.2567535895115916,2.4599236357635514
0.36,1.8,1.258068511927363,2.4237236277979086
0.36,2.0,1.2588574677575608,2.4237236277979086
0.36,2.2,1.2548291843499004,2.4237236277979086
0.36,2.4,1.255675932794177,2.4237236277979086
0.36,2.6,1.2568480561073634,2.4237236277979086
0.36,2.8,1.2567005516296985,2.4237236277979086
0.36,3.0,1.2535125178886528,2.4237236277979086
0.36,3.2,1.2556353851842155,2.4943364121392757
0.36,3.4,1.256436950328477,2.4320368842699094
0.36,3.6,1.2552226243911622,2.4237236277979086
0.36,3.8,1.2560420881549648,2.4237236277979086
