P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,5267.7702970054115,4118.24998149955,1.2791283483688125
256,400,35510.26689878711,23531.7252532983,1.509037969657998
8192,800,15192.782966047915,14795.02099803586,1.0268848532262889
128,1000,186322.46977448667,119404.61005167401,1.560429448191766
2048,600,93413.02260767776,91443.0979502153,1.021542628165714
256,900,78379.77719284724,51518.201495127876,1.5213997173457168
256,100,7036.282632431005,4679.130547151785,1.5037585640165634
4096,300,1151.1672295611004,942.5154884959478,1.2213775196396146
256,200,16509.869716511905,11080.525409985707,1.489989788898756
2048,400,16711.8993981138,16659.391108001237,1.0031518733051021
8192,1000,31788.435659127183,31785.267802615333,1.0000996643014468
1024,500,17458.20367984685,10972.920970408175,1.5910261020678282
256,600,54670.04825284016,34696.429261633115,1.575667854481315
8192,900,42073.87995949009,42072.74163946224,1.0000270559983375
8192,700,30445.3577634223,28301.923922736623,1.0757345630119417
256,1000,89716.88950023813,58863.7101663512,1.5241460187727653
8192,900,26450.778381756234,26446.50237773516,1.0001616850485557
2048,700,31784.235347232676,31784.101151865783,1.0000042220909835
1024,600,23031.672286339122,16874.141147700775,1.364909306182813
4096,1000,26111.81779870688,25339.795717781904,1.03046678392846
2048,200,5796.884198725744,5118.145442873633,1.1326141985271574
512,800,31228.671235546717,21229.958775728857,1.4709718264384424
128,200,38816.23592519618,28092.671302858154,1.3817210726146576
2048,800,30030.863779242554,26497.37844693629,1.133352261220197
512,100,54305.87852039042,52844.49103612885,1.0276544906689034
1024,100,6975.176395365788,6901.431727873591,1.0106854157803744
512,900,38930.16609976862,24134.145646769488,1.6130741344465067
256,800,84184.34362559301,46337.580997070676,1.816761725885408
1024,100,18874.273538643396,16558.912626923186,1.1398256614963749
1024,700,31130.479619608308,15601.0663687365,1.9954071653711902
256,300,25162.205642601162,17275.812740351696,1.456499096209173
1024,600,72006.5837167112,70364.7320429823,1.0233334459758332
8192,200,2689.4372680956835,2650.3651611722858,1.0147421598713273
1024,300,5722.808168450863,3799.3333703103463,1.5062663921969552
4096,900,16055.693775679734,12984.521812166118,1.2365256116429346
512,900,52988.18859983189,39234.60108057627,1.3505474030692912
4096,100,52845.76790741077,52844.49103612885,1.0000241628078328
8192,700,31494.984835241998,31347.334171878083,1.0047101505523355
1024,400,19446.03762174134,16121.07512688779,1.206249426212769
256,700,58089.73483637556,38261.990551516115,1.5182099519407721
256,400,35055.15498967803,22632.15194254064,1.5489094929495602
512,500,30218.03379117668,16731.4559896685,1.8060612184519986
256,900,72918.14174382038,47728.093563071816,1.5277824086449288
8192,500,17616.634811177104,14826.065726985928,1.1882204716732014
8192,300,4631.559922907227,4160.156593477788,1.1133138426011404
1024,800,44946.07366372623,40846.09768688062,1.1003761977037647
4096,800,29699.162247374275,26497.37844693629,1.1208339838920247
4096,800,35058.14808055997,29394.111289795015,1.1926929082809652
8192,500,9178.81822404002,9178.81822404002,1.0
4096,700,25398.22398678538,15601.0663687365,1.627979997423877
4096,800,13017.699588307678,12582.997544262242,1.0345467796934966
4096,100,2685.399498342895,2685.399498342895,1.0
8192,600,43107.5602274768,43098.54140707002,1.0002092604555128
8192,800,39028.7422348742,34870.55437275946,1.1192463938962516
512,300,41280.08971277102,37353.09082643066,1.1051318324523134
256,100,7738.713628194191,4829.618848163767,1.602344588980654
128,600,125158.65276528682,70900.57950763027,1.7652698135114302
2048,900,36327.70238291271,35054.15888407378,1.03633073904442
8192,1000,8610.815535358655,7701.877971338275,1.1180150565099702
4096,300,7818.800607964718,7534.510577709549,1.0377317182480608
256,500,42949.172531832635,27381.290499521965,1.568559105444006
256,700,96742.81143135492,52807.571677195476,1.8319875040406852
128,500,86528.7346181612,53535.80791606614,1.6162777398226926
2048,700,73830.14951222285,69459.09380371566,1.0629299270857082
128,800,142870.45188038782,89245.39881899078,1.6008719079194256
512,300,13102.319695108068,8874.280036111113,1.4764374847077473
4096,200,6388.103806816811,5846.530584549667,1.092631555490077
4096,500,31291.454843598745,31281.94741052828,1.0003039271483227
8192,1000,18419.61272884568,11706.78763223605,1.5734130751740176
128,900,166188.67449280006,103084.41806074536,1.612160961076278
4096,300,11466.495280456496,11243.031887069747,1.0198757235264757
4096,400,18633.703347982453,16058.873985478984,1.1603368557989635
128,900,162654.37825838884,103160.92321660006,1.5767053375130655
1024,400,19519.744031025522,19518.106129237913,1.000083917044859
8192,600,6540.334679603937,6143.604662733954,1.064576098015629
128,400,74856.74919328887,46532.572763232245,1.6086956888065513
4096,700,8839.819744861017,7645.6808588148915,1.1561847673342753
8192,500,12401.43105381187,12395.199388157413,1.0005027483188702
256,900,78534.53611277472,51088.94408718973,1.537211964661975
8192,1000,21191.016325819735,16650.77136654941,1.272674752377626
8192,600,4490.318437592826,4118.24998149955,1.0903462533271953
4096,900,23140.490317711112,21576.530603346437,1.0724842998680293
8192,700,12378.625714957921,12303.529098815054,1.006103664691629
128,300,53717.94318158463,32755.432020731212,1.6399705290892228
4096,700,37465.56911244479,37261.21500737222,1.0054843650437093
256,100,8701.784631833722,5731.651529726247,1.5181984785193898
2048,500,31075.354639677764,28634.316507153108,1.0852486956311622
512,600,29878.417766049555,17725.14487690757,1.685651540426919
512,500,25013.11121314706,24995.547779787677,1.0007026624706976
512,400,15612.64467459911,10699.281702643733,1.4592236290723435
8192,1000,37946.05174834697,37945.93275199021,1.000003135944965
128,600,108150.73837438975,69365.62215019029,1.5591403208382102
2048,800,14184.1878902471,9344.456009563955,1.517925481775475
8192,200,2246.1903057130307,2246.1903057130307,1.0
512,400,16922.786945516094,9893.49469570031,1.7104963883864717
1024,300,5734.44700377226,3874.652043565825,1.4799901873239887
1024,800,57960.543461146044,54042.00044115176,1.072509214833032
1024,100,9298.58875525839,8256.468069310878,1.1262187023796595
2048,200,8027.827609763032,7479.733511501313,1.0732772227003724
256,100,8667.210673114061,5741.098881538105,1.5096779992738982
1024,700,13990.348553889333,9298.972325300192,1.5045048059585113
4096,800,10876.82802853103,8113.94962465907,1.3405096816814475
4096,800,17448.31118107198,17329.60230789093,1.0068500633235533
8192,1000,25387.70098921717,24653.74296094643,1.0297706530579713
8192,700,17755.411489757797,16443.27112892882,1.07979801284919
8192,1000,25365.008066069855,25339.795717781904,1.0009949704634067
4096,900,15350.820658439117,15123.145179145105,1.0150547704592545
512,700,34919.569228174856,23042.05276203695,1.515471281521704
1024,200,8969.350851172743,7925.6844354705545,1.1316815505587594
4096,700,121013.32756647127,119281.29786603454,1.0145205470716958
2048,700,8883.346081350574,8384.147776288468,1.0595407331051472
8192,300,1207.6280158785187,1134.6245423979938,1.0643415251059476
8192,500,29540.59515664878,28805.068012604806,1.0255346435468269
8192,700,40733.84870679781,38693.833645176644,1.052721968061582
256,1000,96670.66503997378,55694.48421872097,1.7357313995463703
2048,100,6548.850211521556,6527.528362389177,1.0032664506301088
4096,700,53127.454137791814,51410.44753159222,1.033398009327666
1024,800,88562.57159417827,83688.43623733887,1.0582414438120988
1024,400,42385.98560555855,40694.6858930326,1.0415607019789166
256,100,8026.364276677891,5063.0781886625155,1.5852736176681819
128,900,172985.10377647413,96720.06020199122,1.7885131938008534
512,900,44446.37176264322,27287.43887670948,1.6288216700534444
4096,1000,64664.381577175736,55420.91730641427,1.166786562186542
8192,300,3306.6504114343606,3203.678826598781,1.0321416691275824
512,500,20952.487155093862,13699.604154479855,1.5294228153477172
128,800,128358.77967112849,79920.49096406845,1.6060809702587722
128,100,17085.86092789393,9931.189861419074,1.7204243566291582
2048,200,4050.5960313175624,3631.3880687245173,1.1154401442807755
4096,500,88777.95118992367,88189.90415189893,1.0066679632286695
128,400,77940.0267591294,48772.789542903934,1.5980227395147848
1024,700,17875.99484808092,10218.636013742087,1.7493523425280213
128,300,57420.295797877305,36726.85726982461,1.5634415810757312
4096,500,27627.834136340945,25343.09726656832,1.0901522353696904
256,500,58069.87280129343,40962.13789004808,1.4176475104196586
512,500,91100.84952549991,81134.30977008452,1.122840014090934
128,800,156374.26355142883,97370.5352483193,1.6059710789576664
128,400,112244.95033845183,56129.50996388722,1.9997493370362283
2048,600,8251.127454483521,7161.983183316524,1.1520730003533244
4096,100,1610.053992655728,1609.8572306473563,1.0001222232659057
256,900,88050.61673478312,54102.139652541075,1.627488622451322
2048,500,28065.008758547632,26754.332671641892,1.0489893021437602
1024,500,31453.154466812237,29622.079368073526,1.0618145362446172
128,200,36652.86437278043,22418.17440326771,1.6349620496947268
8192,200,13392.711084435161,13392.711084435161,1.0
2048,800,85634.7042636586,83688.43623733887,1.023256116541599
512,800,58367.131788490224,41317.49187667394,1.4126494406462693
512,800,46534.23150819437,29827.20615276463,1.5601270621814909
1024,600,21980.0391526271,17584.595758729552,1.2499598770540694
128,200,38699.95537103322,24735.736732623263,1.5645361926897023
2048,600,18312.003502983847,14204.411019232688,1.2891772477006969
8192,500,13686.302715376618,13172.843391400284,1.0389786250940733
512,300,12292.424606951929,7439.888445540946,1.652232381833537
512,600,27391.698349685183,15899.34500755958,1.7228192945471272
4096,300,8975.514695157792,8964.445714442161,1.0012347646545283
2048,200,3970.9531909808575,3331.151264730722,1.1920663084334164
512,800,45051.447574366466,23329.424969424435,1.9310997863603983
128,500,107794.75512613771,58552.39607217396,1.8409964810537507
4096,600,20821.140808179123,19273.016075016418,1.0803260230332883
8192,400,18623.074422639787,16058.873985478984,1.1596749834066478
256,100,10834.021848311879,6271.106141717587,1.7276093887552284
2048,1000,25216.193821388388,19519.021354171116,1.2918779770687536
2048,500,11512.032988296236,8999.368116979864,1.279204588439439
2048,1000,16919.677913975902,11945.840872571735,1.4163655865217788
1024,600,12807.743275219736,7574.492106364061,1.6909045643415108
1024,800,34069.53985292513,30245.172080792294,1.1264455616888875
128,200,31495.42254464583,20554.7935583826,1.5322665467394807
512,100,2230.353904543311,1647.1095834763269,1.354101710607506
4096,900,17917.800662419344,17795.006342265573,1.0069004931941001
8192,900,31709.644937420526,29139.288958476114,1.0882092896160644
8192,300,5064.4622378839895,4437.796551663437,1.141210999405923
4096,1000,65840.10803069363,64026.0449036331,1.028333206116213
128,200,34427.03886258237,22869.25446081218,1.5053852726845616
4096,200,27366.490666336336,27366.490666336336,1.0
8192,600,11581.241097809581,6739.31208828464,1.718460422383757
4096,800,26274.171973506862,25954.7004250599,1.01230881278593
2048,500,35887.045456752174,29096.494408489692,1.2333803843490216
128,300,68669.5645139944,42868.394179046576,1.6018692985602676
128,100,21472.37799932803,14368.875755705378,1.4943672952841909
128,400,74971.72985170805,47063.4505065966,1.592992631111901
4096,1000,13141.78975906486,11369.665935842593,1.1558641945350119
2048,800,35919.370769744695,23176.40263872809,1.5498251100333806
2048,100,1038.3728870665345,779.9525417109743,1.331328294396818
128,900,163102.10605476372,102028.33792508653,1.5985961289942812
8192,700,15094.447549360872,13342.922112172426,1.131270003861491
1024,700,26619.247534525482,23892.917564519732,1.1141061974806403
512,700,65863.46446094222,46034.918306536856,1.4307283880112753
8192,1000,104854.85191993292,104842.27980968643,1.0001199145065265
8192,1000,17275.848772955906,17013.83585258804,1.0153999910800837
1024,100,28437.027256944646,27862.279139187787,1.02062818030376
8192,1000,44212.728494301824,44093.542638006584,1.002703022918202
4096,900,11524.342699031098,11517.73406831423,1.000573778720508
8192,600,34046.31125781032,34044.58840001379,1.000050605922336
8192,1000,14360.013106845969,14355.924063056385,1.0002848331999823
2048,100,8948.319931577304,8264.118251157186,1.0827918550565647
512,800,47363.267634079035,21523.445853670353,2.2005429779266623
2048,200,37514.94704010712,37184.08459662799,1.0088979585505014
2048,600,9811.507623717676,8424.948334473913,1.1645777794945191
1024,100,29575.396177941377,28456.760375258575,1.0393100194094964
256,700,65142.245114134574,41979.70873698172,1.5517555284214724
128,1000,218088.34666211752,111804.66682439692,1.9506193511998233
1024,800,20239.860847489508,11723.473347553632,1.7264389355832854
1024,800,15834.898066141768,11709.843963234125,1.3522723373478966
1024,1000,26664.473792125176,18902.043005270345,1.4106662324644208
8192,600,6861.169541913843,5902.922290422559,1.1623343836062405
4096,200,6548.045534790398,6514.510751938798,1.0051477055036895
1024,700,126273.34489108986,119281.29786603454,1.0586181333548879
8192,800,37333.62057957164,28906.407718974442,1.2915344217976104
128,1000,181851.89137294487,109237.63657662571,1.6647365969455339
2048,1000,20962.344040290252,19174.55975050672,1.0932373057345572
1024,1000,32180.516369125187,21242.000587215385,1.5149475322250583
2048,900,51513.76853287354,50700.94643714276,1.0160316947285883
512,600,25265.157023958214,16673.63804033263,1.5152756082891548
1024,700,23059.501647966885,16689.36111657461,1.3816886989799706
1024,100,4489.506893245578,4381.662305208172,1.0246127110045014
4096,100,3014.799937155256,3011.031258518044,1.0012516238835285
128,700,130953.64447278132,83214.36890509089,1.573690291662716
128,300,53867.19069883071,34512.68583773152,1.5607939339203667
2048,1000,63187.478500993195,63187.478500993195,1.0
256,500,51207.52212129201,29342.10076145894,1.745189362465603
128,500,87131.71160492444,56026.38095969651,1.555190788917886
2048,400,15656.902772701284,13737.181606839427,1.1397463628861157
128,900,161965.48673321205,103152.02937065497,1.5701628724261292
128,300,49182.892909737544,30815.596408708312,1.5960389751158195
4096,200,12021.512335822052,11947.194373851893,1.0062205367757986
128,500,85236.19883152323,51649.5387557624,1.6502799615420314
256,200,18224.062125152246,11434.62723040609,1.5937609296691553
1024,300,5523.887328701557,3530.140474026971,1.564778333707565
2048,200,4891.01734658309,4697.6054528301665,1.0411724432149574
4096,500,19880.4004842048,19728.656110545275,1.0076915717324717
8192,100,1349.367237235119,1186.6338026590806,1.1371387147503935
4096,700,8228.92656744369,7625.546039991353,1.079126206082551
1024,500,25545.19062115613,23184.603529300133,1.1018170135569816
2048,1000,84128.54365112161,83498.62870766157,1.0075440154312647
8192,1000,29314.65299325751,29314.382451789344,1.0000092289669964
2048,1000,17703.489260459533,16073.252104701176,1.1014254704112765
8192,400,18304.571093342187,17342.848385000725,1.0554535614330358
128,700,123065.78802112614,75809.96321061932,1.6233458348900414
128,1000,201756.38202529657,118000.69589745268,1.7097897642962285
2048,900,22053.643238770102,20389.69610220296,1.0816072553620535
4096,200,3479.3853610117617,2985.4729818217315,1.1654385694318512
2048,300,6524.79488210656,6322.060306833952,1.03206780154461
128,100,23403.34041435481,14446.766271911081,1.6199708622585
128,1000,192524.17056168223,110076.46947736123,1.749003865002025
4096,300,3945.7829056196733,3786.839985685401,1.0419724415436329
256,200,17714.63271651861,11209.087201633854,1.580381381450623
4096,400,20828.54146144095,20712.283029273585,1.0056130187098666
2048,200,5196.074448092238,4909.981711961932,1.0582675767270808
256,1000,96139.52362263513,58726.96709569049,1.6370592315108683
4096,600,14310.630262413808,13993.535659909896,1.0226600774965227
256,500,41995.51399505593,27143.751524606912,1.5471521671197621
256,400,42097.03409677406,25877.93205935572,1.6267541780470285
512,500,31400.21465086205,19824.47658957861,1.5839114091601594
2048,900,17620.167681669373,12984.521812166118,1.357013214391907
8192,300,21585.595327192514,21585.589847035804,1.0000002538803316
512,900,45210.43659526073,26610.781636185853,1.6989518464118585
2048,600,11519.690061172623,9821.146266439977,1.17294761208646
256,700,65724.1614939782,42748.97540272856,1.5374441346209011
128,300,42502.34468083081,26988.128761182234,1.5748533385524341
128,300,53621.23237384643,33300.69501494735,1.6102136111506984
1024,700,14116.165917722612,9933.76849404138,1.4210282760454886
256,800,64385.821540325385,40732.385089797965,1.5807034475978128
1024,1000,21726.41147158967,14103.20000120165,1.5405306221097685
4096,900,18807.049716680296,17976.093377004225,1.0462256354731148
512,600,25197.867341341374,14713.168401077037,1.7126064661569995
2048,700,31075.903140762897,30411.41910911961,1.021849819939643
256,400,37240.65207441285,23558.171020774545,1.580795556733693
2048,500,9983.181123725848,9178.81822404002,1.0876325121657973
128,800,154951.20693657926,92351.37447544445,1.6778440799251952
512,200,8487.665277745382,5266.246438150616,1.61171061351357
128,900,156441.66235458534,94518.05570423095,1.6551510839804808
512,300,11443.991626962621,7641.144258583433,1.4976803525345543
8192,400,22086.96327863959,20320.559616571347,1.0869269200946488
8192,500,11149.70357359209,11124.079955775882,1.0023034370409127
128,400,77096.72490176531,48720.513203685616,1.5824284235153148
512,400,111964.40443881346,104413.74225631413,1.0723148315474031
8192,700,4300.734063210934,4280.411000743759,1.0047479231465493
8192,400,10256.753951458859,10151.979392012567,1.0103206040320303
1024,600,17262.05716923836,12133.41732730136,1.4226871707772768
512,700,27203.709419161856,18464.180240983344,1.4733234329450562
4096,400,25486.01820977173,22260.07004728407,1.14492084506631
8192,300,6377.7381355497455,4271.608920895634,1.4930529113635518
512,200,8192.867292652343,5669.957595651662,1.4449609462574327
2048,500,39569.66242094696,39239.447684927094,1.0084153767573725
128,400,67894.53062059064,42797.12681057493,1.5864273066998105
2048,400,8842.819854360425,7285.308736360246,1.213787936017975
4096,400,15669.801562241839,15665.754420776666,1.0002583432215564
8192,800,10044.334822547478,9310.762513902644,1.0787875652020422
1024,900,25661.689634190654,17795.006342265573,1.4420725197068704
512,700,51132.464764843,37288.50469268564,1.3712661632922205
256,1000,94255.77779985678,60619.60441274142,1.5548728618896346
256,700,64873.06473910998,38598.26405198254,1.6807249323892293
256,500,52118.72157901408,33462.911979337,1.5575070577000847
8192,700,61591.39867052114,60842.37006297865,1.0123109702460171
128,500,89963.35855816452,55659.95529531376,1.6163031048237098
2048,900,20477.276457021944,16854.48258083057,1.214945422312267
128,200,32040.753989100253,20296.955769157692,1.5785989955098532
4096,400,21938.839777929494,20318.28143673186,1.0797586324534294
2048,400,8929.102640667094,3854.8376035280567,2.3163369145550843
2048,100,1292.3377680384526,833.252174483342,1.5509563702486187
256,300,24808.695831104797,15498.608174263303,1.6007047569795105
1024,800,23956.57277515635,20928.70695834475,1.144675245481629
128,900,177597.99549031848,110304.68081578685,1.6100676252072577
1024,900,41409.44843473713,25912.067192668957,1.5980758357423792
2048,400,5276.063778628445,4622.8071793391655,1.141311669283741
8192,900,8018.935926743907,8018.615255762397,1.000039990817776
256,500,52466.064955406684,31929.322741510005,1.6431937933715612
512,100,2757.927759355206,1880.7124121824588,1.4664271589268607
2048,400,7841.161307119788,6270.369001678258,1.2505103455667614
128,700,154235.12613970856,87986.34911151881,1.7529438111385023
2048,400,52566.5852417439,35997.117371588596,1.4602998539886716
4096,1000,41413.85324835177,41409.604432376575,1.0001026046018415
4096,800,37333.62057957164,28906.407718974442,1.2915344217976104
128,1000,175970.47053951543,110945.0778071714,1.5861043501665004
128,1000,187895.28929653988,115948.15552755487,1.6205112400592427
128,600,103939.5953646959,64016.28039679616,1.6236431532797677
1024,400,6663.209860673163,4582.440601708277,1.4540744637670155
512,600,33231.28004661795,17345.047578477173,1.9158944301688403
128,700,126199.98906852023,78380.15232667144,1.6101013499252477
256,1000,159136.5579122679,108923.44647423936,1.4609945155371489
4096,700,12546.112613072799,9768.22412478058,1.2843800933319205
8192,700,7636.894250931134,7484.086791654446,1.0204176492778096
512,400,15960.04022362489,11152.828387449783,1.431030736703941
256,400,43688.78395437487,27652.24575428372,1.579936195511602
8192,600,53186.897345219026,49839.7359731086,1.0671584892407218
8192,900,27137.032326104596,27118.45129601455,1.000685180355147
4096,800,27591.218366070258,25342.891830072942,1.0887162582341672
512,500,20036.585817964926,13426.13210540065,1.4923572672061842
8192,800,20701.613379767834,20700.19327233675,1.000068603583184
2048,200,5465.603134477539,5109.555861150387,1.0696826266318558
1024,200,9367.96184464458,7513.109726671892,1.2468820748601444
8192,500,4973.900071915745,4177.777927367603,1.190561144797319
256,500,47399.64178492441,38661.03354732119,1.2260314180919956
1024,100,1969.384055346104,1605.9517178483497,1.2263034021873833
