mu,beta,average,max
0.1,1.0,27.737487558129146,32.5775620633482
0.1,1.5,3.624536035016196,4.997837071972013
0.1,2.0,2.607597409869419,3.955382403045249
0.1,2.5,2.004302491251853,3.254271636370061
0.1,3.0,1.614032177147066,2.792115239324141
0.1,3.5,1.456415535243462,2.332239267008944
0.1,4.0,1.4003273395570053,2.2955535718925444
0.1,4.5,1.3333027327071205,2.302295880353849
0.1,5.0,1.3005658052417837,2.2741342697453737
0.2,1.0,27.737487558129146,32.5775620633482
0.2,1.5,3.613920949647109,4.981815182309857
0.2,2.0,2.596653539909801,3.919160182950293
0.2,2.5,1.9940664667464005,3.215495190226194
0.2,3.0,1.6046955084987737,2.776005163998882
0.2,3.5,1.4476189327021112,2.297959452707212
0.2,4.0,1.3916697528993094,2.28891749225679
0.2,4.5,1.3238720088555318,2.2811353692966323
0.2,5.0,1.2939677320912588,2.29359580088575
0.3,1.0,27.737487558129146,32.5775620633482
0.3,1.5,3.6111754489475847,4.968169960029138
0.3,2.0,2.5983383806315086,3.935122639665607
0.3,2.5,1.997573168866536,3.278039452180165
0.3,3.0,1.6071613258984088,2.797088476828536
0.3,3.5,1.4510960470892023,2.402832462603292
0.3,4.0,1.4029020226100815,2.402466581770238
0.3,4.5,1.3353887110952634,2.368680262570816
0.3,5.0,1.308462194574166,2.452561550402537
0.4,1.0,27.737487558129146,32.5775620633482
0.4,1.5,3.613603106107152,4.992878720409287
0.4,2.0,2.598984896939746,3.972510670265347
0.4,2.5,2.001575366884611,3.380487239894929
0.4,3.0,1.6152850496436324,2.885249485847606
0.4,3.5,1.4609726577145659,2.4620443259791025
0.4,4.0,1.40925225521691,2.461592090142196
0.4,4.5,1.3425142838916113,2.455050776958123
0.4,5.0,1.3202497686780732,2.594825988992967
0.5,1.0,27.737487558129146,32.5775620633482
0.5,1.5,3.6198126932585932,5.039616592346247
0.5,2.0,2.6118050836143705,4.103271677697622
0.5,2.5,2.0134636638029075,3.358268125620227
0.5,3.0,1.6298955034774136,2.968465263424215
0.5,3.5,1.4829668146240862,2.5612105817062174
0.5,4.0,1.4349060617101055,2.6145554337897323
0.5,4.5,1.3643378081085098,2.5569246686830054
0.5,5.0,1.347679200556798,2.741823166476516
0.6,1.0,27.737487558129146,32.5775620633482
0.6,1.5,3.6170000655110233,5.042125978374955
0.6,2.0,2.6045238411051357,3.9993531887183744
0.6,2.5,2.009576402333128,3.331069037715734
0.6,3.0,1.6367842657614573,2.998488412727516
0.6,3.5,1.4778424994484853,2.559256014695914
0.6,4.0,1.4349666676667752,2.5702776372986285
0.6,4.5,1.3769795546831642,2.7695363828597714
0.6,5.0,1.3590032920628314,2.831791579799677
0.7,1.0,27.737487558129146,32.5775620633482
0.7,1.5,3.6153692777486204,4.980749950722161
0.7,2.0,2.604945825028423,4.056171686104408
0.7,2.5,2.015085860717105,3.4245868071350163
0.7,3.0,1.6367305018520688,3.066840242516976
0.7,3.5,1.4845829843392624,2.6402368394475992
0.7,4.0,1.4478373728637306,2.7693689636328465
0.7,4.5,1.3859834610339905,2.8632738756889258
0.7,5.0,1.3757061821881695,2.981092838216801
0.8,1.0,27.737487558129146,32.5775620633482
0.8,1.5,3.6179234755178697,5.009726790620287
0.8,2.0,2.613376126977276,4.062222291350794
0.8,2.5,2.0224153219990324,3.475453115471764
0.8,3.0,1.655015780123636,3.2367282040762717
0.8,3.5,1.5125571858238265,2.865395862786448
0.8,4.0,1.4795981519832548,3.0372404928141603
0.8,4.5,1.422811181347682,3.110455359561857
0.8,5.0,1.4089583040199225,3.3507479352771563
0.9,1.0,27.737487558129146,32.5775620633482
0.9,1.5,3.6336775304057,5.197796740538218
0.9,2.0,2.646024283210116,4.406265521990769
0.9,2.5,2.091479316046445,4.092011341111452
0.9,3.0,1.728890342489207,3.773756077961035
0.9,3.5,1.6003156461612493,3.6790000063408224
0.9,4.0,1.5751932686913912,3.6770093040509626
0.9,4.5,1.5539924125790672,3.7439027843398183
0.9,5.0,1.542291599648494,3.962576880429764
