P,n,Paper,Min Time,Time opt,mtsa
4000,100,72302.89144064244,89018.76117403198,50724.356968730186,1.4254077481004772
400,500,2884646.242060976,2721558.164636458,2553729.6590320794,1.129581681388437
4600,400,212967.10735084768,226665.9713380098,171854.208453944,1.239231260419914
4900,400,203525.46587674873,224987.74271706506,161332.52222206988,1.2615278251002695
700,300,1043862.6694258855,995879.9306686287,897399.3326421074,1.163208653557345
200,400,4577462.030582705,3975616.4162671324,3952646.7944407123,1.1580751503070745
400,500,2808672.381211431,2623788.900374232,2496256.3351045055,1.1251538320457968
4000,100,96934.05780448487,88634.68139737546,82739.16147748545,1.1715620036935237
4700,500,290859.2541087891,316250.6294562798,218726.61253679788,1.3297844772311638
2000,300,363064.9926254971,509409.4194902165,314089.7664247376,1.155927481363819
1100,800,1707050.697123968,1862147.3902962657,1485138.2162502361,1.1494221066063666
400,500,2808149.6843988164,2556071.8163767047,2442395.1812655283,1.1497523848469813
700,900,2929400.9641360077,2853097.110247595,2572329.4694948494,1.138812503948524
4600,400,217165.03718106908,237114.85242758945,165496.2345828464,1.3122053062322552
4000,100,70971.35879538761,109932.82653561786,54290.25884700422,1.3072576978384378
700,300,1017255.2361518779,960938.2375343061,852056.9550675285,1.1938817353720876
200,400,4257843.721649869,3831634.558598179,3806413.395405467,1.1185972933967974
4400,300,191063.15322889818,230492.80403633346,142768.075647608,1.3382764484442313
4900,400,208407.35984428276,220229.48009880455,155363.812057366,1.3414150765516177
4700,700,376679.0363242454,439423.9634053548,303242.86164300377,1.242169508239555
3200,300,237787.2053213053,360723.7555238997,196306.104015461,1.2113082601984564
400,500,2941532.388784795,2791529.1268440336,2606939.1337576546,1.1283471680233885
4600,800,458521.9185569017,506349.2294329474,355141.74736418686,1.2910955187892954
4200,400,223454.80888019776,277217.21950085217,188221.2759257482,1.1871920843228632
4700,500,288920.00482129044,307317.92857115803,212447.34766846854,1.3599605172391238
2900,900,695073.6386765206,1004458.4949022526,620907.1133263429,1.1194486643144583
4000,100,92466.32867115871,98421.86853039742,70156.3045836674,1.3180045502665367
400,500,2844736.402051359,2646519.174349277,2482361.0857191407,1.1459800987120445
200,400,4401408.169514437,3991934.3177280137,3953897.464165822,1.1131821726295144
4600,400,221230.6942313783,243022.53866827462,171908.585398514,1.286908933131682
2000,300,356780.9748658951,513615.2159432952,298219.934273635,1.1963686322139915
700,300,1051418.8405030705,1011455.5690248472,902975.1249531126,1.1643940253145577
1100,800,1707637.3742493489,1888976.906176614,1493313.3409792576,1.143522479434588
4900,400,218356.8919210436,225941.1462261779,161383.56996595193,1.353030497262588
400,500,2810496.043976938,2584191.254646792,2462851.685660068,1.1411552146404211
4000,100,66983.99562610945,75148.35711063367,52205.95982998329,1.2830718148704305
700,900,3013821.1191754537,2968256.262799243,2645072.8612132305,1.1394094897609313
200,400,4469538.049346216,3924999.4225352122,3903697.2839824287,1.1449499600508302
4600,400,211432.68596269932,252772.89624388836,169725.96886880122,1.2457297334748905
4400,300,195292.7452049365,220105.14895575074,148288.0517849619,1.316982338456627
4700,500,277213.4010411514,294148.5598352192,207863.41968217265,1.3336324470415055
4700,700,356756.1105925808,416391.1672246096,300851.815258477,1.1858200366385478
3200,300,235962.65899397703,354257.1881081017,186387.45892102187,1.2659792689912774
700,300,970772.3579218861,983929.7881030457,850297.0115314416,1.1416861928909527
400,500,2961970.403972661,2712302.466919443,2582551.7853326993,1.1469161705855524
4000,100,100676.98490896937,97171.54306020972,67742.26274582943,1.486176883206748
4900,400,203124.22456444323,237515.21182066985,159334.58301969094,1.27482823072591
2000,300,370028.8954455904,480668.49870023207,316041.2937335894,1.1708245181324641
200,400,4727360.305955063,4207359.125093338,4152391.0529393815,1.1384670291611079
400,500,2903197.153038261,2685430.477621032,2558955.892193711,1.1345241087955773
4600,400,237786.4903780659,269054.5828897491,180538.741432147,1.3170939848798862
4600,800,402498.98319806263,469513.682795856,357096.66849503986,1.1271429243357767
4000,100,117384.83953418201,133238.5772031426,96621.71431835281,1.2148908799880955
1100,800,1704429.1533095054,1897715.7678205722,1488357.6833795263,1.145174424362401
700,300,1017323.6647000551,1012682.2645307281,864734.4616755864,1.176457872083412
4900,400,231956.69924940818,251078.85113732886,176977.28425804104,1.310658032876155
4700,500,303662.993967693,337047.49255842465,237834.46181356232,1.2767829844849543
4200,400,231736.00848713503,284485.8285879706,181257.78073359368,1.278488611905342
2900,900,729430.9039014379,1086240.3029625816,638465.8630514694,1.1424744001428866
400,500,2803279.9014321193,2589244.185133495,2454242.936351956,1.1422177731105057
4400,300,183823.99490760633,210221.94373785183,143655.13351526792,1.2796200902077
700,900,2951262.196851489,2958213.651085023,2596819.4403565824,1.1364911056142726
200,400,4707731.893029656,4124116.3931453093,4100916.683641238,1.1479706261307465
400,500,2830838.0164456265,2741919.3774686647,2516604.844986073,1.1248639301023409
700,300,933830.800638616,905356.6832887603,780636.9123995359,1.1962421784132522
4000,100,78310.13931967052,89028.02920219148,50459.111537190256,1.5519524013408958
4600,400,219677.76615328068,257679.87813770166,178300.725375706,1.232063221786603
3200,300,234645.9605654236,326936.5144119595,197525.80858349337,1.187925579184452
4700,700,361211.8050305405,420161.2978493056,300999.07718896016,1.2000428984829752
4900,400,209609.56342307146,235544.87077201123,167384.35443433624,1.252264969037473
2000,300,354125.7156422335,505119.9659871333,297603.95403600455,1.1899227508226953
1100,800,1639791.2616887882,1811857.9675670753,1413962.5368075254,1.1597133721740207
200,400,4388042.437227796,3857239.7238730993,3822056.541696031,1.1480841241769306
4000,100,76159.0373648361,96397.56889932565,54138.05797390288,1.4067559904263351
4700,500,272914.43523196335,302232.2188676565,211264.77325269283,1.2918123122473033
700,300,992315.5035705895,951632.3805078408,855247.4366933265,1.1602671472564878
4600,400,232835.39754722628,258089.2906499913,171534.09013886217,1.3573709888147527
700,900,2944020.619907652,2965340.322059747,2591667.802698343,1.1359560113539446
4900,400,217776.80206084458,240871.0639615163,171534.09013886217,1.2695832174499395
4000,100,109975.20865864278,116881.87131283968,100419.32952364009,1.0951597583884793
4400,300,199573.8656421881,221663.1871005254,135274.52456182026,1.4753248350984454
200,400,4345209.498197574,3915981.634322546,3877971.048427521,1.1204852857164866
4600,800,437914.3193578056,500950.48665922706,355911.61993858236,1.2304018605331684
700,300,1026875.3525972486,983979.5468782699,866544.4234278685,1.1850233234842646
4700,500,265138.5206145588,297382.3743919362,209604.39877958025,1.2649473110217413
2000,300,360143.96098177676,493002.9329781889,302657.0615864552,1.189940717371632
4600,400,215754.47582493795,230899.2865766693,168607.43688815308,1.279626093646511
1100,800,1624826.2084387038,1752963.3703209716,1427918.0426854733,1.1378987868119566
3200,300,239468.79115892947,356053.2220753525,186002.47127250285,1.287449513550257
4200,400,242555.55937908633,288550.7272451286,188280.83162694392,1.2882647547450892
200,400,4551125.757669643,4036545.767968851,3996346.843569554,1.1388215127004737
4700,700,355811.51347938407,408816.9369963759,293193.8077838082,1.213571037427053
4900,400,207460.42879172208,215694.38287592801,162289.93398920793,1.27833207945921
700,300,1023057.3711602103,969313.1680622968,863559.2306176553,1.184698553252074
2900,900,718976.226853253,1074903.425463122,626818.4856033131,1.1470246065912335
3200,800,604888.1672190425,862013.4893745711,510516.26183601865,1.1848558262250553
700,900,2899364.7182177627,2845505.8313797205,2545969.6882529985,1.1388056706233836
200,400,4686293.594568434,4206109.503038373,4174576.9585997975,1.1225792795398057
4600,400,219115.18864299756,246487.9915147943,173754.21058998062,1.2610640507587942
4700,500,274612.0250090345,301075.8108178895,219791.64130491056,1.2494197840220558
4900,400,213291.66949343658,235999.41127589194,167923.72650942532,1.270169939216212
2000,300,336178.61182942946,450394.7739209245,273222.91933983756,1.2304187827350126
4400,300,180521.24004775882,212925.104699718,137571.39163020693,1.3122004357781119
700,300,1026208.4557534166,991119.5374171092,883913.2342840896,1.1609832458098408
1100,800,1654152.6704396834,1915299.947723329,1461037.3065800972,1.1321768876057097
4600,800,391141.86760868906,453089.0271745717,338121.4761931039,1.156808706777634
4600,400,229270.24095915744,262856.9749166318,184114.18593069012,1.2452611394402078
1300,200,380118.16149059194,360314.48600738816,310517.78696051025,1.224142955581907
4700,700,368655.56371634384,409734.5547715186,306334.66293021524,1.2034405776675872
4900,400,222250.58845883416,239889.72684361372,184114.18593069012,1.2071345145696732
3200,300,231636.2458223322,359422.69906565844,189160.6634915345,1.2245476493197995
4700,500,266356.14924057893,304950.1060763547,217783.4801866988,1.2230319260774065
700,900,2869051.746377198,2918058.459865712,2523184.284312108,1.137075783253534
3200,800,584234.9817614045,845815.7637153348,513326.46096161986,1.1381353313970042
2000,300,338359.7286093213,460152.84895944013,299336.60284266423,1.130365365932773
4200,400,231420.47591535008,278957.4173404922,185890.3468563061,1.244930034447883
2900,900,706895.4263031367,1172349.9214790396,625574.9868582208,1.1299931121820033
1800,600,762648.6004212725,1010862.9687552784,675627.2026355315,1.1288009089129065
1300,200,401341.25633936457,453425.7190952978,330346.13588998973,1.2149113088854695
1100,800,1681432.003503371,1854403.9635705978,1455078.5563793606,1.1555609806299671
4400,300,183907.53325173628,215080.8400692594,144863.04739585196,1.2695268845835583
4700,500,274208.71879293903,306247.70771411405,208871.73926399625,1.3128090940362322
4600,800,400176.4063832306,468465.7334531469,341458.66238130885,1.1719615006760358
3200,300,214452.08875728605,345978.7702952719,170764.32458739847,1.2558365998017804
700,900,2879632.6650118786,2920157.6732349386,2573237.4179462316,1.1190699485903595
4700,700,357738.9245522557,420517.9755483811,304983.46258027165,1.1729781068312806
1300,200,379371.4108035036,455286.1039316171,312445.4495467209,1.2142004671659494
2000,300,365152.90789449296,465043.2020050129,303290.548199754,1.2039706151805134
1800,600,754687.7796506562,1053081.628807233,679524.530824514,1.1106115311759848
1100,800,1692382.8085350753,1944145.8883708168,1490321.5155757363,1.1355823497463762
3200,800,604238.7700644005,871315.0817112032,511622.9536617121,1.181023575544905
4700,500,328227.0517738363,356404.9847730835,288145.1780149138,1.1391030522705743
1300,200,374079.7006505148,525836.3704238455,316054.13421005325,1.1835937586625496
4300,100,69949.38522789297,71756.35027048377,47185.44834300483,1.482435532230412
3500,1000,659446.1607480774,961714.106845561,584835.5933594635,1.1275752848078713
4200,400,253745.59961415935,316990.0931661613,197732.90728282768,1.2832745095444016
4300,100,94116.36562806237,92319.0854901953,82739.16147748545,1.137506882441307
700,900,2844288.30482413,2811080.0033939695,2504237.283530294,1.135790255791758
4400,300,180180.51603343344,198030.6145438072,136062.09220121102,1.324252134584108
1300,200,339115.2348763597,423142.4768805856,273642.7223519802,1.2392627582478284
4300,100,68357.76926659787,80042.96330835136,54290.25884700422,1.2591166577274462
2900,900,691599.0242333104,1057942.586096294,614544.4075093444,1.1253849449810416
2000,300,357247.0405241178,443258.0773769648,302245.73071617936,1.1819754729954708
1800,600,725720.033324402,1028498.2579222914,643387.505862245,1.1279672463515091
4700,700,370958.8446452608,421012.4947609442,308309.98133609886,1.2032008922892001
4300,100,88636.16475363166,87250.67602173521,70156.3045836674,1.2634098286623043
4600,800,412745.80947004154,490278.1612163981,349378.4863561102,1.1813715657619028
1100,800,1646823.041864521,1836426.077203961,1450521.770942842,1.1353314888849155
3200,300,227621.71442063557,327303.8550420266,187085.37677666516,1.2166729347978973
4300,100,64735.542633582816,72691.53487102065,48563.68356277515,1.3330031390617918
2700,700,605730.1743836261,910607.3482341977,527867.2036007843,1.1475048463926318
1300,200,380517.25703188055,391823.0015870532,297390.01999757544,1.2795226182606358
4300,100,92462.01567826602,96629.8811435253,67742.26274582943,1.3649088756480676
3200,800,555740.8539252091,835114.8121170043,486049.62202758685,1.1433829566761124
4300,100,112565.09172458085,128764.46516933289,96621.71431835281,1.1650082232415915
4300,100,74082.6003442154,74321.94251419316,50459.111537190256,1.4681709227007247
1800,600,802801.9421734822,1105802.7030284654,696502.3916779006,1.1526190746301703
2000,300,372193.76838743594,461565.45080881676,309369.63199943135,1.2030714391130675
4300,100,70018.79051272872,70758.68916451716,54138.05797390288,1.2933376839354138
4300,100,108813.189055281,104018.46935596812,100419.32952364009,1.0835880857944273
700,900,2863015.2046844685,2926616.5465985457,2543901.544693501,1.125442614183174
4400,300,187868.78620302718,207899.71708336336,137859.34009079728,1.3627570397427737
1300,200,395116.3048644694,370554.5930251955,303757.44794077554,1.300762524649293
1100,800,1672820.3397093886,1769021.5411491182,1469155.9963445133,1.138626765211879
1000,200,483543.69073854125,469796.2339208838,403673.1230486633,1.1978595133772367
4700,700,316960.14181587176,375663.3179097529,279626.9752245012,1.133510604838454
1000,200,505375.1342151448,533238.6554871959,429449.97665698663,1.1767962782282362
3200,300,227145.48208473276,322785.0001107605,189556.59262484626,1.1982990353402223
4200,400,244614.03788553172,306630.43728775776,195281.74684005897,1.252621106907023
1000,200,500294.0816031259,549369.8845183924,406179.08441073715,1.231708132704385
4600,800,431764.29738449585,487395.82801535446,347953.5678298471,1.2408675676969436
2700,1000,850035.8630605047,1254027.9781171114,758120.2136141193,1.121241523172432
1300,200,386293.84578767413,466494.6671642493,333319.8687405632,1.1589283508579045
1000,200,499112.17298245634,610583.1956118084,410870.37447306927,1.2147679754778011
2900,900,702010.1713349606,1034541.1144941531,609044.482420164,1.1526418703365937
1800,600,794842.7052549964,990446.6330203036,696798.3404096944,1.1407069436871151
3500,1000,657195.8297457604,1027584.5518239312,561529.9597885539,1.1703664573716241
1000,200,458199.47866741737,487255.7110428373,355735.5390575743,1.288034026291817
3200,800,552135.6748189034,877072.6570837252,490846.82717313146,1.1248634894896736
1000,200,492686.2746955736,481375.0798778719,386607.02599684807,1.2743852065937116
700,900,2955211.3478401355,2985487.1310337125,2600624.373155824,1.1363468628320301
1000,200,488105.9163397665,447728.676890397,394884.6823230082,1.236072043788483
700,800,2625901.1697502597,2624211.0991372,2333788.625536085,1.1251666672028082
1000,200,523761.46570863354,558444.6620081227,433315.8293627322,1.2087291306180015
1300,200,368501.2649171548,390225.90650586016,308543.94010232337,1.1943234561500304
1000,200,475379.6336662394,472215.8873962227,401107.1221330204,1.1851687677303016
1800,600,785149.2542244368,985249.5638615002,683355.5299624533,1.1489615870490966
4400,300,183970.7839092652,201031.73845373097,137384.4230528088,1.3390949266391665
1000,200,532101.4250974124,539775.0829837315,425402.85318883735,1.2508177157458118
4700,700,338646.9195625497,400595.7918074744,288386.6112971466,1.1742810043758103
3200,300,225516.96263229332,320087.7206836873,188903.5816976121,1.193820469710787
1300,200,382304.92890587007,449721.57736643136,327232.96399141336,1.1682958961185275
4300,300,197163.9847838418,217722.141015928,146088.26345336632,1.3496223455813727
4600,800,414921.3575005894,494017.85839612596,356381.2319855021,1.1642626498285094
700,800,2638425.9047678583,2692638.7626113794,2346635.250110262,1.1243442732073021
1800,600,755623.0282476395,996429.4625964853,673750.1151271677,1.1215182176332819
