mu,beta,average,max
0.1,1.0,1.2117356854290884,1.7171983108235354
0.1,1.5,1.2004139061602919,1.7284706784176422
0.1,2.0,1.1895666830897127,1.5935299038942674
0.1,2.5,1.214329859699547,1.5935299038942674
0.1,3.0,1.229666956569128,1.730406246590037
0.1,3.5,1.1893830602609012,1.6890399233217883
0.1,4.0,1.2059203843800568,1.6605563106538328
0.1,4.5,1.2157662213822586,1.684769138198388
0.1,5.0,1.2149149577224703,1.7419033916378062
0.2,1.0,1.118794891623585,1.377436694023671
0.2,1.5,1.124621321744321,1.5079595292504022
0.2,2.0,1.1288637631418763,1.4383532183400156
0.2,2.5,1.129827224130738,1.447168833165576
0.2,3.0,1.1214757455284008,1.4396918999122952
0.2,3.5,1.1177577868340238,1.4877840344246018
0.2,4.0,1.1249844587525886,1.4412037762474503
0.2,4.5,1.1154233835442915,1.425356264875783
0.2,5.0,1.1198208719278901,1.3296921391416112
0.3,1.0,1.1895306502473046,1.469861404774326
0.3,1.5,1.1860124664892389,1.4714297469810869
0.3,2.0,1.1877337391226006,1.4441348201496744
0.3,2.5,1.19448779549506,1.543789185713688
0.3,3.0,1.190229987778976,1.5594657322348089
0.3,3.5,1.1801228985460208,1.40515369387295
0.3,4.0,1.191603236837551,1.535069582679607
0.3,4.5,1.1746254073012492,1.4427268506536446
0.3,5.0,1.1882071089670945,1.4644909734940472
0.4,1.0,1.2687038618575914,1.534575952995641
0.4,1.5,1.2610147931353433,1.4638020073778528
0.4,2.0,1.2632711557207195,1.575231690320307
0.4,2.5,1.258921315858203,1.4792365441935942
0.4,3.0,1.2671367688547128,1.53413483018012
0.4,3.5,1.2621983999221948,1.5995589824380891
0.4,4.0,1.2598965020812227,1.5079233200376017
0.4,4.5,1.2701850771439616,1.5824880111698645
0.4,5.0,1.2577235988673368,1.4846725953420925
0.5,1.0,1.2078278151438884,1.5359206598595274
0.5,1.5,1.2106489883102127,1.5189057647142623
0.5,2.0,1.1955026191712335,1.4556063353363444
0.5,2.5,1.205262048431462,1.544579340284202
0.5,3.0,1.1927160314745955,1.440238187729315
0.5,3.5,1.2200951005090788,1.5634846982414918
0.5,4.0,1.2006540123232028,1.4703825052330286
0.5,4.5,1.2018827783035706,1.6528686698337902
0.5,5.0,1.2058733175289675,1.5349406043983396
0.6,1.0,1.4858221295988534,1.6671942555706347
0.6,1.5,1.4676119052804326,1.6805515526763848
0.6,2.0,1.486957902466825,1.6677737151610046
0.6,2.5,1.4847970669301314,1.6693828298953548
0.6,3.0,1.4818136510297735,1.668033164326476
0.6,3.5,1.4818135065604283,1.6675125622134075
0.6,4.0,1.4751991680929963,1.667721254937217
0.6,4.5,1.474831245540307,1.6666666666666674
0.6,5.0,1.4811080479485883,1.6699912808243875
0.7,1.0,1.3964173846242613,1.4906661563580583
0.7,1.5,1.3938607849416147,1.517721452522056
0.7,2.0,1.3967482282253814,1.606906004191736
0.7,2.5,1.399047588257108,1.6396092075382196
0.7,3.0,1.3937192758419172,1.6151197933007708
0.7,3.5,1.3976280128210568,1.5653574403588253
0.7,4.0,1.3999569946829808,1.5559912942304253
0.7,4.5,1.3960550897448853,1.5494968423395643
0.7,5.0,1.410749143165311,1.5943619038918213
0.8,1.0,1.3678882959060297,1.7532105448626496
0.8,1.5,1.375828621818576,1.6941804352042251
0.8,2.0,1.3572408115756531,1.5746522827467275
0.8,2.5,1.3560938799893745,1.5393554835681598
0.8,3.0,1.3546152707221573,1.635247202207661
0.8,3.5,1.3613798835467943,1.6158144785519513
0.8,4.0,1.3634175444698986,1.5104648297479066
0.8,4.5,1.3660107501889829,1.7048300213372538
0.8,5.0,1.3655101814663935,1.6559639379016182
0.9,1.0,1.3564500097664096,1.6308613828702512
0.9,1.5,1.374632521717741,1.7075148423812716
0.9,2.0,1.3673638098675749,1.712917958416874
0.9,2.5,1.3552249148126112,1.7212130458234585
0.9,3.0,1.3709443103183674,1.6286996775398523
0.9,3.5,1.3851158562816996,1.647219559909408
0.9,4.0,1.3879474449585323,1.665943478406363
0.9,4.5,1.379586190663469,1.6813262276302905
0.9,5.0,1.3750822930356086,1.8961496569894936
