n,Paper,Min Time,Time opt
100,187879,304932,135264.95191661385
100,249307,292131,132074.59556803896
100,230074,296183,135657.59205852257
100,251706,302462,135704.79963632452
100,199052,314132,139215.89287995544
100,285521,286245,141833.9057535438
100,301579,318689,145800.66430323533
100,233528,313761,132581.37664140124
100,232864,305804,125793.85045794985
100,248860,345590,142189.82963128175
200,346481,603472,269115.41536577564
200,393750,642979,286299.98443799117
200,413112,616478,270786.0562738249
200,431936,626477,273913.5829820462
200,401458,554792,237157.02603838284
200,392916,587551,257738.01733123203
200,375397,620192,263256.4548820055
200,412311,656188,288877.2195751548
200,354425,597126,267404.74808868044
200,405290,629911,283601.9021258916
300,541852,949159,418786.3552329836
300,557454,886855,397626.57903151336
300,540034,928852,421388.39164478605
300,531127,877020,396805.2720480061
300,533666,905297,403542.7487819404
300,503255,823891,364297.22578645014
300,521680,887987,399115.47045688564
300,496277,892105,404387.397599672
300,513915,921280,402994.3076215725
300,511235,936190,412492.8426659085
400,630277,1179429,527019.572592095
400,634663,1129059,507521.7860540623
400,641206,1161128,527186.328555443
400,640724,1136044,520492.97119765717
400,675523,1194534,553652.1403919176
400,692271,1162283,546788.8911521651
400,636937,1117378,509607.5388928041
400,627566,1150391,517062.8064570028
400,653797,1172793,532846.2458092739
400,661794,1247870,556610.2611466397
500,817827,1468012,680994.575741888
500,837383,1485689,665668.3560278681
500,810058,1414913,651305.3816708077
500,847293,1467487,695183.7690020413
500,765203,1465844,661962.9561917708
500,759039,1427602,656760.4495093515
500,813610,1487176,688680.4760887198
500,794770,1515886,682388.2379183229
500,801032,1429964,654464.7830271883
500,863070,1441994,671094.6253296196
600,925157,1768112,810752.6431626381
600,952118,1734311,815429.436989417
600,950616,1687166,772065.0070346941
600,1046428,1817388,835802.8700134807
600,956084,1809049,836158.0084916332
600,950751,1786993,820026.635954944
600,922237,1785302,808500.1381526012
600,979397,1741387,796310.5517534814
600,969358,1756051,808417.8742937929
600,883767,1683478,776749.1510552632
700,1105830,2056727,950160.9664814121
700,1081702,2063675,942669.0211432279
700,1104671,2018323,943130.441858742
700,1049534,1972003,918673.9310559325
700,1088442,2046580,959848.6105146747
700,1080609,2045869,955614.8494181846
700,1114013,2091004,966037.9415197767
700,993272,1908183,876164.5223701039
700,1041210,1940142,903611.3820643929
700,1097199,2019693,917312.0237686938
800,1302006,2364358,1089101.3585835067
800,1231033,2359792,1095096.4500514562
800,1255435,2339809,1091462.301144986
800,1199073,2201005,1036905.8603255189
800,1215485,2262523,1047139.8979693472
800,1226672,2289293,1071427.358158738
800,1239323,2297769,1067057.608011531
800,1232460,2320075,1092902.44475554
800,1206780,2281082,1063715.965358084
800,1223414,2363484,1077381.0639859766
900,1361923,2595386,1200420.4190975963
900,1468811,2630815,1234367.3352328413
900,1372530,2596696,1211849.0721664052
900,1382355,2585484,1209444.9745925602
900,1343928,2583287,1188119.1878513996
900,1341052,2526422,1177485.9993456504
900,1378201,2583554,1200844.1283749081
900,1336025,2535659,1168644.0656474705
900,1378501,2535961,1187154.0541903009
900,1381137,2609331,1213624.7074727179
1000,1577378,2923204,1364616.3845054149
1000,1511754,2792078,1310236.572839959
1000,1488089,2825901,1315742.6001533493
1000,1485347,2805824,1288360.9693238875
1000,1573372,2886416,1345047.1341998023
1000,1516425,2892569,1343462.4150484968
1000,1527942,2863435,1339714.0408837418
1000,1525062,2925164,1356490.9992859592
1000,1567626,2951820,1374270.2114800527
1000,1451523,2755628,1275217.8093126304
