P,n,Paper,Min Time,Time opt,mtsa
1300,100,252173.38311889974,211249.5880633205,156074.9445191698,1.6157198318781187
1300,100,234273.0636685568,223532.7061615215,152393.764116968,1.537287729757389
1300,100,238282.02245860506,261201.06902097724,156527.99083675677,1.5222965629649567
1100,400,1202792.5563758174,891547.615356832,718663.0535346749,1.673652973337085
3800,300,236915.83035483048,270128.89706590417,165310.40338144082,1.4331574148310906
1300,100,253142.500528747,251103.15182315823,156582.46111883596,1.6166721273887006
1300,100,276141.3736177126,183249.22578295725,160633.72255379474,1.7190747324257234
1300,100,249700.40033285937,200323.14213402072,141905.51354652137,1.759624373234795
1100,400,1134920.236997366,849476.5986841626,692075.162800994,1.6398800274872918
1300,100,245971.56037823134,238430.4896820775,156670.1146135216,1.5699966837006607
4100,400,258780.9558680797,322011.0055991039,192812.03875320547,1.3421410693100588
1300,100,239926.80812605948,198361.20967880875,152978.51150930906,1.5683693465108623
3800,300,237824.90669984836,277309.948116145,156957.8601440184,1.5152150168308203
1300,100,236393.36643114334,198687.47675102932,145146.75052840365,1.6286507660044633
2300,200,266509.2859057496,238240.68009494292,175510.05349941883,1.518484443437493
1300,100,245862.6381411213,262267.0120808458,164065.1880360943,1.498566765345928
1100,400,1188091.1524415216,912027.7381579134,718890.4480301494,1.6526734437730273
600,400,2317152.6338556465,1464253.4786592524,1317548.9314802375,1.7586843103066965
3800,300,237845.44878505127,279127.2190574199,166337.52301767864,1.429896540901193
4100,400,262398.8847282762,308345.65992379235,185678.70221490084,1.4131878432916931
1100,400,1179992.3458648082,898539.4121809249,709763.1425422597,1.6625156691544474
100,800,29207394.228788126,16336520.378752602,16336520.378752597,1.7878589535367326
4000,800,572385.2551514017,650072.3200593906,408413.0094688149,1.4014863431893378
1100,400,1231219.0512345883,979965.4931614008,754980.191443524,1.6307964966345598
3800,300,244637.56512735554,294180.5752888262,156633.66001894977,1.5618454238875534
4100,400,281745.47462871985,288360.8360510407,192873.04703247914,1.4607819960519155
100,800,29365078.21100958,16426446.750771862,16426446.75077184,1.787670739542609
1100,400,1229016.3945136364,954704.3797038451,745621.2152074978,1.6483119973613078
2300,200,292425.9048222518,326643.74640870077,186717.3811552116,1.566141850389217
2500,300,398034.24149569037,423689.59713919216,251271.81313979006,1.584078359295525
4500,1000,610682.6125242492,620523.2658835303,454872.1281684716,1.3425368904952335
3800,300,235808.93049319228,299157.3835973335,159293.19030866065,1.480345330746832
1100,400,1179175.6208142631,870986.6202059743,694919.3712174603,1.6968524258410191
100,800,29264540.35411349,16371934.51717478,16371934.517174788,1.7874821282368227
600,400,2219403.5908081895,1413566.4503241521,1268804.4651351557,1.7492085280230898
4100,400,271815.74662278075,299276.6026913866,190424.2577552404,1.4274218517482995
3800,300,223067.7384212884,279942.7456825718,144870.0706401176,1.5397779364340023
1100,400,1158088.8486029783,942550.3020982028,705085.6451686402,1.6424796853238874
700,600,3013989.4862205754,1955853.489557819,1737327.092491367,1.7348428509788825
100,800,27795691.178413283,15553587.90488279,15553587.90488278,1.7870919139941535
4000,800,548105.3661180297,608787.0841772316,410661.16876929585,1.3346900262341292
1100,400,1225530.8795478786,921222.8069269353,726608.5170126462,1.6866453542087354
3800,300,238874.39493547162,293289.47128227697,157545.5804435075,1.5162240302965966
4100,400,270165.54567881045,320946.51299117773,202555.66111899423,1.3337842259570214
2300,200,280485.75560953066,334725.30910991516,176599.6019177118,1.58825814194205
100,800,28079419.814987376,15707098.469540235,15707098.469540207,1.7876898059460211
1100,400,1279020.0951513378,954028.0814031687,759013.9924726904,1.6851073996469932
3800,300,214811.84089849517,262812.745861214,159626.60431566,1.3457145306036011
4100,400,271571.68350319605,307707.02751452307,200044.71627518235,1.3575548935250101
100,800,28738557.39677016,16071410.372381106,16071410.372381069,1.7881789295952364
600,400,2315424.105556954,1463849.435130499,1317965.8213886074,1.7568165031149485
3800,300,217207.14889741904,259574.10597457262,159076.7003769365,1.3654240274203633
100,800,28608657.651165638,16005864.12017297,16005864.120172966,1.7873860127994439
4000,800,562025.2764246357,652610.1738764504,409298.3629293697,1.373143230777156
4500,1000,598658.2110553961,610734.76541785,436745.5242799864,1.370725463168368
3800,300,231473.55323245114,274356.0645690187,162826.12210496387,1.4215996195207212
4100,400,270248.1346325656,305638.48494102346,186441.78252175762,1.4495041346272681
2300,200,264355.50813379657,381311.16312810883,178639.29324916055,1.479828448297104
2500,300,364622.26502804307,412289.8535693817,238575.94741890798,1.5283278510377845
2000,200,321578.6270189752,265876.3987839551,201836.56152433166,1.593262511956777
100,800,29316652.7408047,16393536.67133312,16393536.671333099,1.788305557767158
2000,200,340954.6017001318,367636.5635156999,214724.98832849332,1.5878664348954499
3900,600,434091.14232347824,500558.2075415044,311827.93967793765,1.3920854647335852
4100,400,262567.4428904684,275668.89458023704,189169.31943548884,1.388002259954263
2000,200,324866.6903079297,356246.4980621575,203089.54220536858,1.599622938631756
4400,1000,613598.9960575935,627553.7687556165,465210.1310813914,1.3189716970076917
1500,700,1540768.3047496695,1381899.0437364357,950160.9664814118,1.6215866143768933
100,800,28524478.132223397,15955739.480371242,15955739.480371261,1.7877252362583502
2000,200,327790.5077103387,405740.84878786805,205435.18723653464,1.5955908630828963
4200,600,389413.5473594546,431808.48361211293,289554.5154152278,1.3448712647462144
2000,200,288941.21872484975,336865.74806638324,177867.76952878715,1.624472041732585
700,600,2990979.5540092564,2027234.9007387927,1747348.7935487502,1.7117243935795865
600,400,2280097.903999577,1428394.3432860812,1301232.4279941428,1.7522602841326056
2300,200,232957.43988744315,311625.2016177011,154667.6256772062,1.5061810050257642
4100,400,293497.9003663623,291335.88044061867,194943.7484668075,1.5055517433857866
2000,200,305449.31432436826,302823.73672478925,193303.51299842403,1.580153974371167
100,800,28889406.565924544,16160715.959789649,16160715.959789645,1.7876316023254073
4000,800,530780.390670059,604504.389886795,388839.6976220695,1.3650365276899992
2000,200,314760.8947722048,282429.60416777915,197442.3411615041,1.5941914632927512
2000,200,348613.9099915342,361288.96015421284,216657.9146813661,1.6090522725847924
3800,700,525382.6795256255,634177.6051006375,375063.5394005573,1.400783132280239
4100,400,289251.8386902215,301997.9054736768,203637.90041950232,1.420422416919203
2900,700,711051.7395282625,897777.5182550201,491462.56886969577,1.4468075181464892
5000,700,397618.2346468482,412017.280863082,285048.28994442354,1.3949153482884344
4500,1000,586775.18906116,585509.9106592917,438580.86671778304,1.3378950920782795
2000,200,300375.750819071,295499.58938187937,200553.5610665102,1.4977333198260012
2000,200,312746.14895558776,392918.929916027,212701.42659441868,1.4703528507683
1100,800,2472087.149863217,1829687.1879373847,1485138.2162502361,1.6645502235508338
2300,200,262743.7687561386,284621.6292925945,168090.01130297742,1.5631135170938297
1500,300,695458.6647133518,578590.0719697063,418786.3552329834,1.6606526359399825
600,400,2400971.649230587,1567351.6007272378,1384130.3509797938,1.7346427289387842
2500,300,349443.4478863318,416283.45391181845,252833.03498687153,1.3821115104854744
4400,1000,622465.4985863052,635874.6790091877,446671.55892271333,1.3935642110000765
4000,800,524059.4963300815,652620.6346800567,392677.46173850517,1.334580024047999
1500,300,630224.1794989697,535886.2498257423,397626.5790315133,1.5849649211931132
1500,300,659741.4383329528,565555.8154022477,421388.3916447859,1.565637429540511
1100,800,2503425.1296507204,1851546.9161748916,1493313.3409792576,1.6764231999756127
2600,900,1000807.8521507457,1082109.191747169,692550.2417870748,1.4451050505277925
1500,300,659914.4588571207,575786.712600716,396805.27204800607,1.663068777920076
1500,300,670739.2857762754,594859.5760284952,403542.7487819403,1.662126968706154
1500,300,588680.9134911451,511343.4623365076,364297.2257864501,1.6159357574581918
600,400,2353715.7330253823,1505552.2960602788,1366972.2278804127,1.7218460514556213
2300,200,264421.54589732666,264451.0141683716,171688.99231435137,1.540119388744434
700,600,2788324.94232739,2002126.2245863376,1654425.0150743444,1.685374022347028
1100,800,2473196.731209345,1903726.2746751138,1488357.6833795263,1.661695141448528
1500,300,641969.0218063379,580491.9312823735,399115.47045688564,1.6084794234396544
4000,800,561194.7395456621,671277.1895677561,401785.25930952677,1.3967529334204112
4500,1000,597161.5857906842,593957.0029045622,429453.6564412958,1.3905146151021612
1500,300,642989.7005050494,572770.1554005017,404387.397599672,1.5900339731694224
1500,300,658831.8741487863,541453.4914970346,402994.3076215725,1.6348416384269508
2600,900,1024575.8929078081,1217521.9789279392,712135.0010958698,1.438738288851325
4400,1000,600428.2717585193,622102.2935911716,448548.61368864175,1.3386024467245468
2500,300,375490.42471218406,445652.8207708186,238083.16322880363,1.5771397675497478
1100,800,2318987.0583352903,1832527.4621054886,1413962.5368075254,1.6400625886249776
600,400,2263706.9490143997,1388418.6345366614,1274018.8472320104,1.7768237525941075
1500,300,650134.2439776055,553271.9160553733,412492.8426659085,1.5761103629722142
2300,200,281672.97128402966,351530.7451052169,188398.18667944876,1.4950938554588311
200,800,14727539.070496459,8251726.431243704,8168260.189376298,1.80302031632773
1100,800,2354466.623845735,1805519.202709023,1427918.0426854733,1.6488807854950203
4000,800,548187.3904993581,606557.0835778363,400146.60300432413,1.3699663732830294
200,800,14804780.796495955,8296000.031932432,8213223.37538592,1.8025542615660706
3900,600,436482.65496017755,508599.29750872386,313626.70653439104,1.3917266797313215
2300,200,253287.70343005686,293560.65920161037,174394.4009274002,1.4523843774978744
600,400,2245436.9456449333,1442536.338757151,1292657.016142507,1.7370709458149016
2600,900,1010620.3045715801,1192779.6168101318,699143.6954806184,1.445511575237535
1500,700,1490813.56385256,1325091.439615857,942669.0211432279,1.581481443025004
1100,800,2404048.9949407154,1893752.0415529725,1461037.3065800972,1.6454398420311112
4500,1000,638158.9735572967,631230.12921735,448349.04473326734,1.423353034992974
700,600,3036487.592909807,2100392.3352987333,1791006.1500288872,1.6954088029573942
200,800,14758619.39992078,8247703.07135295,8185967.258587394,1.8029169838712
2900,700,683989.1060186632,843835.209862664,487587.4247292558,1.4028030078882037
2500,300,377292.42252643657,417564.0307280431,242125.6492691642,1.5582505350641778
4400,1000,603117.4032683439,613180.6030857877,439213.9668149616,1.3731744635580634
1100,800,2382708.2891197223,1884542.6151471692,1455078.5563793606,1.6375117884003199
200,800,14022066.704083363,7845776.706170322,7776793.95244139,1.803065220685367
4000,800,538266.4316282533,640559.6517013902,409838.41678332747,1.313362558475876
600,400,2330635.115991164,1472836.9312871755,1332115.6145231847,1.7495742040568962
2300,200,283497.16774476384,358293.66571965883,184957.76225601623,1.532767072259182
4200,600,409184.49845307297,427826.1920090921,291224.7989247917,1.405046891486546
200,800,14164395.357473316,7921286.837322139,7853549.234770103,1.8035661245699124
2600,900,1001062.2546556633,1233764.8338736228,697756.7161110924,1.4346866630464372
1100,800,2457885.2094354555,1949147.009959458,1490321.5155757363,1.6492315139702811
200,800,14491893.247158706,8133271.926653146,8035705.186190534,1.8034376462769213
4500,1000,617740.9302814173,602631.1867269367,447820.8050161656,1.3794377647530642
3800,700,512264.1828098244,594613.3891702543,372106.19255653734,1.3766612678234094
600,400,2432753.8509386797,1520296.020703812,1391525.6528665992,1.7482637462896269
1100,800,2426900.438487367,1835871.8796620795,1450521.770942842,1.6731223805830069
200,800,14436109.31180347,8101809.261705082,8002932.060086483,1.8038525384716895
4000,800,541345.7635853624,628701.4968890555,398893.4870092815,1.3571185823166028
4400,1000,648509.2172696962,670657.4864881407,458538.79574993247,1.4142951987499124
700,600,3116147.328405438,2006686.2607054864,1791767.1610535,1.739147471914401
2600,900,998183.3341849125,1152979.466137275,685453.3776065765,1.4562381145021226
5000,700,385986.66408440645,382757.0040247814,282800.7063429684,1.3648716407953332
2500,300,339695.71233731275,391913.9019793023,218578.33547187003,1.554114279459457
200,800,14780452.090639468,8292075.205594412,8196768.335666549,1.803204810159801
1100,800,2472971.06500073,1793670.4393179086,1469155.9963445133,1.6832596886606075
200,800,14385624.104257641,8039867.651697088,7977869.7401856305,1.803191149110303
3500,300,272016.4987247393,309822.4617496298,179479.86652842147,1.5155822432131363
4000,800,553021.7578593765,576359.4519626609,404017.89899474115,1.36880509312924
200,800,14569609.016446862,8134611.310855531,8080357.979894822,1.8030895478515059
4500,1000,597458.005730568,598548.7370367987,446571.34696124715,1.337878056431629
2600,900,987466.7833499421,1152677.0835478748,679318.8457763368,1.4536131147980278
1500,700,1485783.0271377924,1339703.2870078366,943130.4418587418,1.5753738414058391
3500,300,254857.36046315523,323160.49299251806,170411.3910135057,1.4955418117733508
3500,300,252236.7829025142,313737.70441351406,180595.0249906225,1.3966984024926032
2100,400,584908.6058637,589361.0789635098,376442.5518514964,1.5537791968173722
600,700,4155265.1195811895,2650029.236269028,2375402.4162035296,1.749288916790071
3500,300,263614.72736547753,326875.54055191565,170059.4023062883,1.5501332110452197
2100,400,534746.3208523212,520188.0174978285,362515.56146718736,1.4750989410994515
4400,1000,612213.724172058,632621.6445019157,457998.55058471486,1.3367154184013479
2500,300,355410.1777752433,406179.78916733403,239469.2822741314,1.4841576940477446
700,600,3073028.0158935064,1929362.0588806714,1757199.9341891657,1.7488209258962386
2100,400,570376.172888585,587363.1131300204,376561.66325388785,1.5146952771557691
3500,300,264177.3663472034,342131.1606512594,172946.89233511727,1.5275057145017086
4400,800,534469.8515573558,540245.8068325201,371284.55406255904,1.4395154490248498
3900,600,434531.13322202157,550011.3761287252,296948.07962872845,1.4633236010999364
2600,900,1002423.4714489025,1139200.9852011993,692794.6894470624,1.446927187402321
3500,300,253489.42348586142,302879.4865421699,156127.38247990716,1.6236064389184537
2900,700,678651.9995404795,832232.816964994,487826.0906165906,1.3911761027022835
2100,400,566016.337630586,609263.1857452341,371780.6937126122,1.5224468273979783
3500,300,247261.72646233477,310355.7008312771,171049.4873386653,1.4455566649713185
2100,400,603099.7437135755,620410.9765281505,395465.81456565537,1.5250363533342746
4500,1000,596695.4758590475,601673.1844162423,452163.666428653,1.319644898874687
3500,300,236863.096707444,292875.17594213487,173308.88468557372,1.3667106400065625
2100,400,604184.160262043,592442.9000958615,390563.49368011794,1.54695502789845
600,700,4099219.9039336094,2634860.539579037,2356672.5528580695,1.7394100419094094
4400,800,496049.1404065428,499344.2095167746,373328.3352448144,1.3287208432257167
2800,600,612876.9873799941,768445.0953681584,434331.7731228417,1.4110802508723086
2100,400,551896.3686097068,584311.2411157788,364005.38492343156,1.5161763849339702
2500,300,348986.10503495054,396545.8632832074,242632.4385598032,1.438332430347864
3500,300,244182.7373701311,305775.0768424751,172711.84612353108,1.4138158027416423
2600,900,979185.9485296044,1067178.9582441181,674217.7301812329,1.4523289802337214
4400,1000,634586.2308450737,616560.8569192714,456720.6957558209,1.3894404977530206
4200,600,392172.06454869633,406302.4805716701,277514.5116622374,1.4131587649225656
700,600,3002489.7547508916,1940733.8483676962,1732500.2960412884,1.7330385233477255
2100,400,552961.4059800517,641621.4069864962,369330.57604071626,1.4971990998088698
3500,300,252881.24291698253,297553.8567577178,176782.64685681794,1.4304641740192936
2100,400,585071.5680479498,602950.9461411564,380604.4612923385,1.5372167894757338
3800,700,525458.5791853882,588895.2624665836,372288.3323126612,1.4114290821880742
4500,1000,606574.3960501837,607190.2441518147,458090.0704933509,1.324137839086796
4300,500,331986.957313954,351865.5004465785,237556.24735182134,1.3975088469143924
2100,400,605453.0264120168,616726.0067525026,397578.7579618855,1.5228505403954693
4400,800,528279.0332842288,523295.07035984786,372089.42084488156,1.4197636473638424
2600,900,1017684.3252474649,1187398.0256630734,684896.5697251733,1.485894907687782
2500,300,354621.56385583273,387612.97246917314,241796.5845729435,1.4666111371347885
1500,700,1459528.8121162679,1251468.5644125564,918673.9310559323,1.5887343297514407
4300,500,334806.1099046347,338361.85718472226,232209.8916376284,1.4418253569796728
4400,1000,617935.50351914,604542.6695982496,462440.1133929406,1.3362497880759603
600,700,4104171.8892780836,2630741.6517071906,2357826.1046468546,1.7406592798296248
5000,700,389254.4845075134,383373.2411966443,282939.1325576225,1.3757534385182264
2400,900,1124522.1413606144,1115341.2980639716,750262.7619359978,1.4988377384729423
700,600,2929787.8685052046,1990840.6153947185,1706379.75375746,1.7169612227605207
4400,800,464366.759874864,472997.64869729395,353490.63420188136,1.3136607167070242
4300,500,325138.3597401961,338502.0464513582,227199.55174563057,1.4310695476380888
2600,900,1006201.8388984456,1216943.4200041953,700168.1004650295,1.4370860915116788
4500,1000,555791.1567840553,546985.9725129311,425072.60310421,1.3075205334929538
900,300,1196121.5642561936,841972.4576445159,697977.258721639,1.7136970428619938
900,300,1114288.8594190273,802333.2713373033,662710.9650525221,1.6814100236454004
4300,500,357854.19191850454,363829.346546071,242505.96593094463,1.4756510857155827
3600,300,247731.97877156886,307924.2379229781,174494.31468040976,1.4197137552893657
