P,n,Paper,Min Time,Time opt,mtsa
500,200,1157169.9777963995,839423.4962179607,807346.2460973266,1.433300747219801
1100,200,511947.187762799,411578.10810681916,366975.56640787574,1.3950443425265928
500,200,1226116.1154399398,926710.8619219327,858899.9533139733,1.4275424171454456
3600,100,77937.56595725294,91898.17041003998,56360.396631922435,1.3828427515556063
1900,100,138348.28624305426,161545.80453788486,106788.11993416882,1.2955400500387233
1100,200,539308.9571103796,514324.834078852,390409.0696881697,1.3813945396840812
500,200,1149690.8958173932,922537.4565081925,812358.1688214743,1.4152512277746934
500,200,1144223.7378701237,969776.1575217253,821740.7489461385,1.3924388431966668
3500,300,259443.3709209861,324991.273973746,179479.86652842147,1.4455291055161446
1100,200,500511.8600337253,503136.7340198705,369253.71310067014,1.3554687259089797
2700,400,383896.03674131096,487244.27555092005,292788.6514400528,1.3111711634079917
3200,300,272696.85430540226,299293.0191733477,196306.104015461,1.3891409830227426
500,200,995631.0388387005,808504.341688351,711471.0781151486,1.399397768179639
1100,200,493912.7103730143,560832.953067968,373518.5222482448,1.3223245460495643
500,200,1109159.626633473,824631.1604689369,773214.0519936961,1.4344793964537466
4300,500,318729.4293635194,360412.6948514816,237556.24735182134,1.3417008936476438
500,200,1138766.6440975585,818822.0153604493,789769.3646460164,1.441897717326585
1100,200,461604.9825473797,434251.2306992531,323395.9445977948,1.4273678759994175
3200,300,251000.36893692863,349793.69516206766,186387.45892102187,1.3466591067335987
500,200,1235165.8962023326,960364.4269137139,866631.6587254644,1.4252489898867335
3600,100,90890.52717371218,114611.12142734895,82739.16147748545,1.0985188337743166
3500,300,231513.19547245794,333774.4157127042,170411.3910135057,1.3585546957603891
1900,100,132304.86837145587,185771.65231682098,104269.41755371496,1.268875107154965
2700,400,358579.1690947364,481852.85005171347,281956.5478078124,1.271753296324055
500,200,1160807.3818025491,845908.750055584,802214.2442660409,1.4470042013085807
1100,200,509128.09474300896,449024.89282755845,351460.9327244073,1.4486050861938444
500,200,1204379.700302013,949896.2661789367,850805.7063776747,1.415575484830359
1100,200,508269.75839538494,405618.6501610693,358986.0748390983,1.415848117850246
3200,300,242008.5242002302,344451.9709303895,197525.80858349337,1.2251995115764032
1100,200,553026.9425825577,528752.5351559948,393923.4812388474,1.4038943320752213
4700,200,105416.97762130963,125547.50021839475,85887.8985209922,1.2273787045277893
3500,300,230454.22339816924,303100.13397718297,180595.0249906225,1.2760829010108983
2700,400,377585.9612810375,485655.7792556074,292881.29364191275,1.2892116003239447
1100,200,518180.8616535537,446889.6020052996,364642.83830274583,1.4210641406409097
1900,100,135949.2370697538,217517.81320983538,107098.09899357043,1.269389824350808
4300,500,328210.1170551723,340755.1082138695,232209.8916376284,1.4134200517493698
3600,100,76145.22722425839,114793.17850153892,56523.996691051056,1.3471309829779567
1100,200,518276.78954477643,503383.431946266,386729.8665353067,1.3401519623710265
3200,300,257287.06897106866,375328.45463470905,186002.47127250285,1.3832454333046487
4700,200,146066.30661722558,157175.55645846893,115155.9162563489,1.268422078220167
1100,500,1265435.1772447154,1204005.9280271304,928628.9669207562,1.3626919063711485
2700,400,375542.22248856485,517590.118928955,289162.76177647617,1.2987226300558725
3500,300,245077.68827435243,323256.76851127564,170059.4023062883,1.4411298931472851
1900,100,139064.62776053973,207062.36019696284,107135.3681339404,1.298027254516748
4700,200,160181.17065803905,167529.6841432221,137320.72161632078,1.1664748682692712
3200,300,253435.65867142272,351455.5981203985,189160.6634915345,1.339790493401207
4300,500,306897.3733813317,336412.9202185351,227199.55174563057,1.3507833577283184
3600,100,99612.4716647286,130540.82838994467,70156.3045836674,1.4198648611249498
3500,300,236651.38003920566,332338.7368329931,172946.89233511727,1.368347108432853
4700,200,164256.0793462235,165548.9542528032,153927.2635835206,1.0671019254305039
2700,400,387539.58953609865,531537.3712196607,307584.5224399542,1.2599450273436728
1900,100,153118.4654243475,155773.87299889285,109907.28385259639,1.3931603080074688
3200,300,241044.62347428832,333931.78094467253,170764.32458739847,1.4115631239528597
4700,200,135086.9072989791,146539.30815366626,112828.85828240226,1.1972726601634716
400,1000,7334196.432156637,5381558.933109237,5117311.441895305,1.4332128336203556
2700,400,388262.7416866756,490365.93013473606,303771.60619564727,1.2781403323015348
3500,300,220750.85869395637,305755.6214163332,156127.38247990716,1.4139150685009783
4700,200,124960.49916213815,133335.67535938692,89579.42667687622,1.3949687310780154
3200,300,240314.00578893986,351383.3797392136,187085.37677666516,1.2845151765967089
1900,100,152382.4692413261,164765.72592557536,97093.24611077778,1.5694445838948108
4300,500,328893.88069102855,391327.16845660505,242505.96593094463,1.3562300598603976
4700,200,111400.35447329468,116418.56270829514,84018.01751553366,1.3259102959992888
3600,100,73889.57027901518,90854.12706792519,58006.622033314765,1.2738126732595878
3200,300,236079.72750619534,332055.2048909847,189556.59262484626,1.2454313734865639
3500,300,215298.57955938627,329376.36465230375,171049.4873386653,1.2586917558724455
2700,400,363692.62921282236,501459.2371933611,283115.2993848912,1.284609591933029
4800,500,288821.6980793126,302686.3962692088,218726.61253679788,1.3204689394196245
4700,200,153261.6375744139,166766.00097731518,115640.3076979828,1.325330592985679
1900,100,156727.95292890823,224569.53980844514,107195.34157767268,1.4620780215094022
400,1000,6982036.451255068,5206417.958243126,4913387.148149847,1.4210230622441746
3200,300,241929.48220399464,334023.2600373809,188903.5816976121,1.2807035209700994
3500,300,215591.14391060302,287285.57345413964,173308.88468557372,1.2439705229292777
4700,200,126341.23526475382,124970.99427666896,85341.94087936604,1.4804120220717945
3600,100,94922.47326458445,106421.37654930644,67756.1990911905,1.4009415306314907
2700,400,371115.2192083445,531957.3901934475,287257.1146983349,1.2919269888165306
500,900,5126105.495040299,3819217.4674262744,3601261.257292789,1.4234194991156506
3200,300,251134.9188754584,358868.1238290429,193356.0199996446,1.2988213083612292
4300,500,294793.5395986205,315817.4416282696,230917.31029945496,1.2766194929965642
3500,300,235471.98541469636,294589.32734410407,172711.84612353108,1.3633806290639525
4700,200,146436.86569110194,159905.81480262283,124828.15119872103,1.1731077027487236
3100,600,486759.42259501404,666565.3756230247,392299.6660464377,1.2407846978319754
1900,100,140270.29885957058,152095.77293919344,104669.50787479042,1.3401257128997603
2300,200,244784.22200871407,256569.1988699394,175510.05349941883,1.3947019964273706
5000,100,62942.978530884895,60122.05378817024,42511.79157511906,1.4806004686879306
5000,100,83805.17248726606,84716.64259466299,82739.16147748545,1.0128839958097797
2700,400,381339.48241110303,518424.5660669899,296025.69211626326,1.2881972496540368
1100,500,1252757.7979628162,1148843.109604722,907729.5764016383,1.3801002308737322
3600,100,125857.42385172212,141725.80612720607,96621.71431835281,1.3025790811063693
400,1000,7030240.600359514,5239126.517261338,4934034.750575059,1.424846186894031
2300,200,249156.16383573812,308425.64176586294,186717.3811552116,1.33440262654832
3500,300,232112.91337018754,317312.1445429917,176782.64685681794,1.3129847159613093
5000,100,57320.82337188756,61910.970947804875,54290.25884700422,1.0558215154844592
5000,100,81172.93413309054,85159.74222570099,70156.3045836674,1.1570297867711214
4300,500,298280.27964324935,326959.4273170528,229102.4823869831,1.3019513212406673
2300,200,244248.85183559515,335202.2925126794,176599.6019177118,1.3830656988083423
1900,100,138278.56812551178,168757.74987983739,99310.93457206564,1.3923800910882478
5000,100,59723.19133910583,64608.42619673011,43958.40781420668,1.3586295388934497
2300,200,237217.60905130216,397380.0757878094,178639.29324916055,1.3279139473555708
2700,400,397538.08442375367,554888.2891952593,309227.9228592443,1.2855827531613528
5000,100,81969.79159177611,89177.18692902099,67742.26274582943,1.2100244111911158
2500,700,747971.480038569,973406.3078513488,570096.5798888471,1.312008362134715
1900,100,140743.2131625746,228976.9632032842,112255.12865627505,1.2537798036250976
2300,200,212802.23384147984,310012.5394766427,154667.6256772062,1.3758679808378353
3600,100,83405.53018538501,105066.0706434024,55242.2402672505,1.5098144061842236
5000,100,103017.14499786476,106197.91394911672,96621.71431835281,1.0661904078667042
2300,200,235698.89704923064,271406.34293203737,168090.01130297742,1.4022183425545147
400,1000,6901271.805413477,5140205.2509015845,4831353.634964578,1.4284344154542674
5000,100,63412.7693012783,65785.1564273485,50459.111537190256,1.2567159303734612
800,600,2152139.647683344,1748914.1337419797,1520161.205929946,1.4157311996176027
4300,500,297911.47794392414,342587.9441294204,240237.37537978595,1.2400713147692464
2300,200,228507.47327027383,256611.8302672918,171688.99231435137,1.3309384031556986
5000,100,62996.56451577646,65871.55678566666,54138.05797390288,1.1636280811207487
3600,100,72465.64448100651,135902.05558948335,54138.05797390288,1.3385342436172794
5000,100,103723.80445152994,105306.56142112495,100419.32952364009,1.0329067615126024
1100,1000,2540573.6894114246,2327105.425044565,1860840.5243255657,1.3652828687897467
1200,1000,2313306.704940516,2177542.1803512047,1705770.4806317685,1.3561652820277048
2300,200,259585.82950354452,329595.673698701,188398.18667944876,1.3778573673069285
1100,500,1222105.075797811,1064966.8901770737,888143.702278374,1.3760217774023715
800,600,2106825.046500373,1838506.0199413178,1528930.1943551565,1.3779733399724965
2300,200,232621.82690403768,284466.37736298196,174394.4009274002,1.3338835746273607
3400,300,240974.69265265277,315077.96163011057,184758.68613219858,1.3042671914230355
2300,200,247588.77817114448,344838.141151613,184957.76225601623,1.3386233437904336
400,1000,7196137.250054899,5386311.135044006,5043926.753249257,1.426693447802192
4300,500,309715.81043782824,350152.9023545405,238042.40857615919,1.301095095997308
800,600,1991687.0828925427,1766324.9341191556,1447621.8881900513,1.375833772023668
3600,100,105665.12017419194,136979.30585121672,100449.69451400051,1.0519207717397738
3400,300,243987.70827489102,319004.86645543633,175423.49074919705,1.3908496931218877
800,600,2156310.0520448727,1984436.715327198,1567130.3812752762,1.375960850360225
4800,500,284791.4374676059,297328.63937367685,208021.36125870878,1.3690490041232877
3400,300,230628.94649914463,335096.638625143,185906.64337269965,1.240563232787691
2200,600,713797.3383810066,849500.1123488776,552785.8930654349,1.2912727103484753
2900,900,776274.4539982054,1013486.7898133125,620907.1133263429,1.2502263822353776
1200,1000,2211729.487823167,2232172.6930513857,1637795.716049949,1.350430622176395
4300,500,293048.2995220562,353379.57868200465,228301.66849785636,1.2836012169784372
400,1000,7222956.881924627,5280054.04576125,5037984.056431863,1.4336998293401237
800,600,2186431.866213056,1799805.743231344,1567796.2659218123,1.3945892803409035
3400,300,246784.84053261616,358759.5699445182,175061.14943294384,1.4097065015967216
500,900,5300060.272539779,4038396.650011358,3703102.005698523,1.4312487920623775
800,600,2157963.8212697036,1715219.1840628781,1537549.9424155199,1.4035081149165807
3400,300,241189.72294106998,344378.1240303975,178033.5656390913,1.3547429782427012
2200,600,707183.9104421677,905982.5662835522,555974.6161291478,1.2719715791447128
4300,500,340641.3105181995,373166.86011481966,288145.1780149138,1.1821863994564872
1800,600,879126.2358624834,973038.4301958157,675627.2026355315,1.301200177306552
3400,300,234806.9005687217,307206.19939501985,160719.3643175515,1.4609745475647045
400,1000,7199728.386107251,5265949.346193588,5023927.65331403,1.4330875926045543
800,600,2108417.3428382017,1769305.777015746,1515937.7590361272,1.3908337135020559
1100,500,1248073.6287302312,1262790.461862668,947977.8668209653,1.3165641017713148
1200,1000,2208877.8956235144,2203513.932712555,1644678.2501916864,1.343045605039205
2200,600,682147.9684099666,967970.7055055107,526407.9593418369,1.2958542064273686
3100,600,492108.1273626502,707680.9687001829,394562.63080133067,1.2472243667962448
3400,300,223945.69789208114,319370.2966128455,176080.3546133319,1.2718380672498095
800,600,2079032.5591336538,1771157.7900278082,1493082.2845377775,1.392443390872642
1800,800,1218373.0218252111,1353069.0162899303,907584.4654862554,1.3424348566526478
400,1000,7292830.33447424,5296890.168199365,5086841.247322347,1.4336658016039128
3400,300,223898.63388823092,295304.1684339009,178406.2048233847,1.2549935362947828
800,600,2124400.0893630087,1773418.5053617398,1515783.5143008616,1.4015194579701342
2200,600,760201.3025825709,1046332.6019291512,569865.5931910096,1.3340010551010122
3400,1000,743126.377354086,1045541.0369174791,602036.6402229771,1.2343540703417208
3400,300,244801.3957460442,321682.7644209167,177791.60630363494,1.3769007482162516
800,600,2035538.471037928,1656395.338577627,1456404.658228618,1.3976462238961067
1200,1000,2180408.5785758,2199461.3584805587,1610451.2116548591,1.3539116011687602
3400,300,238345.7388766354,322213.0809236945,181982.13647025375,1.3097205225722508
2800,300,301475.8647464016,387123.840390901,224349.83316052685,1.3437757474537078
2200,600,740016.1446362983,917107.4668665234,570107.7330624772,1.2980286035783364
1800,800,1202125.7621860988,1346179.1724259506,912580.3750428797,1.3172820663929072
400,1000,7383118.345587848,5470573.667974983,5153513.293050198,1.4326378774542792
2800,300,283804.6276802195,387721.8548744868,213014.23876688213,1.332327028104486
2800,300,304942.6409671558,387690.55992673786,225743.78123827814,1.350835178246976
