mu,beta,average,max
0.1,1.0,1.247200691528866,1.6819955613505866
0.1,1.5,1.2427512658283437,1.6732537243626908
0.1,2.0,1.2458911682732272,1.673632230689287
0.1,2.5,1.2517463847468089,1.7266044842710615
0.1,3.0,1.2443804585518214,1.7419033916378062
0.1,3.5,1.249137694947557,1.703990375057033
0.1,4.0,1.245838405127752,1.672264019587982
0.1,4.5,1.2506015276496665,1.6725305692718444
0.1,5.0,1.2448126507510857,1.699201920235229
0.2,1.0,1.149542059839704,1.4058307577120122
0.2,1.5,1.1533181110092814,1.5145687003476274
0.2,2.0,1.152772443503885,1.4802926509457948
0.2,2.5,1.1452635319428646,1.4371443080961588
0.2,3.0,1.1479768742604208,1.4579193179607863
0.2,3.5,1.1472161633582594,1.422017582359888
0.2,4.0,1.1485459007637524,1.4724631509589048
0.2,4.5,1.1477737323318749,1.4812529621247896
0.2,5.0,1.1469636444278124,1.4813353447721564
0.3,1.0,1.2085183798222159,1.5348436393801974
0.3,1.5,1.2134999434007177,1.5353034114887527
0.3,2.0,1.2032949112651734,1.4243226177282031
0.3,2.5,1.209958393017561,1.5086180321296896
0.3,3.0,1.2075260798936986,1.4670798928464148
0.3,3.5,1.2119857586809464,1.539227734302174
0.3,4.0,1.2057959956620812,1.452241327386807
0.3,4.5,1.2083924105945985,1.436209808386287
0.3,5.0,1.2018818488760363,1.4112005562811325
0.4,1.0,1.2680102033212635,1.495321695517447
0.4,1.5,1.2824831740721487,1.5349094206213656
0.4,2.0,1.275158162341102,1.5253313844164182
0.4,2.5,1.272049153154297,1.4669331633744285
0.4,3.0,1.2753546829299087,1.6101891678101068
0.4,3.5,1.2722108636309761,1.5043292171764908
0.4,4.0,1.2770626852892233,1.4997958885645446
0.4,4.5,1.2748201424285033,1.469379178319913
0.4,5.0,1.2739234125949637,1.4962424887957892
0.5,1.0,1.2303219363649642,1.5594541241362156
0.5,1.5,1.227773692773662,1.4831538372777109
0.5,2.0,1.2268757328401947,1.5344982286883193
0.5,2.5,1.2285876908066542,1.4489277044308642
0.5,3.0,1.2272890114279222,1.5032631948236452
0.5,3.5,1.2222598399764497,1.450468779954751
0.5,4.0,1.2373889102121776,1.561267562410969
0.5,4.5,1.2325985622843818,1.488447590143147
0.5,5.0,1.2270481335699837,1.5551455010327868
0.6,1.0,1.4669110372657894,1.6419441685541627
0.6,1.5,1.4728736115064358,1.642674965288601
0.6,2.0,1.4668842121257446,1.654063221830086
0.6,2.5,1.4665541301355731,1.6448151356090015
0.6,3.0,1.473148324722811,1.6468929984842495
0.6,3.5,1.4732882696934277,1.6434660866137774
0.6,4.0,1.4722551181041388,1.641944168554163
0.6,4.5,1.4744673597499278,1.6419441685541634
0.6,5.0,1.4727078247475318,1.6448151356090024
0.7,1.0,1.4032692517048782,1.6520948267270716
0.7,1.5,1.400103417718124,1.5915262364571328
0.7,2.0,1.4021226956117983,1.5360341274422404
0.7,2.5,1.3994890477240545,1.5737796530266133
0.7,3.0,1.3951954959072352,1.6477013533613498
0.7,3.5,1.3946095052685714,1.6199368996809664
0.7,4.0,1.4075416500843305,1.6036951982005627
0.7,4.5,1.4106100772640082,1.6640849640331237
0.7,5.0,1.4070972775158213,1.6589186114239056
0.8,1.0,1.377498037541292,1.608445605789958
0.8,1.5,1.3771270299691867,1.6632089128856091
0.8,2.0,1.3819631611373224,1.5740860884326848
0.8,2.5,1.3797784615281734,1.596006511190514
0.8,3.0,1.3735400582215394,1.5790105878527785
0.8,3.5,1.3788340726002357,1.6138565196197812
0.8,4.0,1.379377366201451,1.6185739666634544
0.8,4.5,1.3759701416618682,1.7113299305576564
0.8,5.0,1.3766179061814552,1.599014224839388
0.9,1.0,1.399587685591297,1.7912016411938516
0.9,1.5,1.3978413933698048,1.70382639472747
0.9,2.0,1.4062932077972834,1.7194161739671945
0.9,2.5,1.402910472271784,1.6581356054947989
0.9,3.0,1.399041931363908,1.6524985477419556
0.9,3.5,1.3942323922333204,1.7558927742000927
0.9,4.0,1.406801829311867,1.7275418436144072
0.9,4.5,1.3889069669514367,1.6549015409273269
0.9,5.0,1.3944264651267773,1.5871304223953042
