P,n,Paper,Min Time,Time opt,mtsa
400,100,837139.760965002,528687.1928203739,507243.5696873019,1.6503703762692739
100,700,23761980.59484249,14252414.49722119,14252414.497221177,1.6672249182393208
2000,100,152647.82230863787,153853.69207212818,101448.71393746037,1.5046797182933238
1800,400,653639.3949447196,640732.174523992,439182.9771600792,1.4883076734244018
200,300,5238540.277123842,3186201.3555993913,3140897.664247376,1.6678481240423046
100,700,23572637.034101408,14140035.317148399,14140035.31714842,1.667084735319829
500,800,5353134.367994556,3536323.6336226454,3267304.075750519,1.6383949102640254
400,100,791546.5132596579,549141.7709492274,495279.7333801461,1.5981807045840006
4300,500,335433.566697726,351462.4488794678,237556.24735182134,1.4120174503386063
4400,500,324640.16355266917,343445.84146623506,232157.24173018904,1.3983632865950524
1800,400,619299.4635373021,610714.6389638841,422934.82171171857,1.4642905519835154
2000,100,139507.7872909982,187266.21508735092,99055.94667602921,1.4083736713684656
400,100,832241.33837188,562520.79933606,508715.97021945956,1.635964638603447
100,700,23587353.001460325,14146956.627881115,14146956.627881126,1.6673093458824821
1400,300,713602.6104557109,594562.3639375905,448699.6663210537,1.5903791868325434
200,300,4973776.185676428,3019869.4670129754,2982199.34273635,1.6678215015340605
500,800,5349855.123119174,3550289.69805839,3285289.350154367,1.628427378205758
1000,300,992311.1923989784,781050.5345284393,628179.5328494752,1.579661769459077
1800,400,639844.0642827437,660799.4085596683,439321.9404628691,1.456435486942912
4700,100,65790.25568899658,69041.10848587439,43169.66550530229,1.5239927138401368
400,100,826518.9540498281,567716.7085926991,508892.9986362169,1.6241507669879867
100,700,22972603.22984456,13780108.965838978,13780108.965838986,1.6670842942384454
4300,500,325247.0152238015,339765.1939248258,232209.8916376284,1.4006596055406664
200,300,5271592.72724282,3188464.075716273,3160412.937335894,1.6680075774169463
2000,100,146609.84824899124,219126.40251110814,101743.19404389191,1.4409794151512867
4400,500,320522.36975017685,328116.50074045575,226932.39410040958,1.4124134679879903
1800,400,644545.7004703364,643981.5259624551,433744.14266471425,1.4860043907695428
400,100,872967.0427024256,532660.5420419835,522059.59829983284,1.6721597410436984
100,700,24009980.25910226,14397729.157720085,14397729.157720117,1.6676227199501121
500,800,5366896.1882029725,3564153.526713041,3274386.9034349574,1.639053766851099
4700,900,502973.05039552535,505531.5755036007,383112.8997119988,1.3128585614674686
2000,100,156391.50718317926,181644.93463816124,101778.59972724337,1.5365853686560151
100,700,23906066.628717456,14334222.74127277,14334222.741272766,1.6677616261594932
400,100,748456.1472556713,497381.5714119855,461192.91902619443,1.6228699886286875
4700,100,86136.22106605196,86844.5683267455,82739.16147748545,1.0410574572899303
200,300,4966080.596513588,3014555.25659997,2976039.5403600456,1.668687706989533
1800,400,681085.4019276629,737103.1303452869,461376.7836599313,1.476202154180504
4300,500,321778.85819163884,334821.3297038466,227199.55174563057,1.4162829799589478
1000,300,947672.179504828,753820.5719977857,596439.86854727,1.5888813432493096
1100,500,1435777.7080360265,1213223.2071848551,928628.9669207562,1.5461263423613916
2000,100,146566.424604867,146071.549527618,104411.91965996657,1.4037326876297556
4400,500,320084.5930508342,319104.92425335746,222035.9255695935,1.4415892033224549
400,100,840088.4600344496,565000.9679329497,509177.8724939453,1.64989192464258
100,700,24162247.93932273,14490569.122796662,14490569.12279665,1.667446442894402
500,800,5076392.976591748,3372165.508802291,3110717.580976556,1.6319041650184465
3300,300,290197.58574659814,355833.994821392,190357.43419681065,1.524487798288785
1800,400,680320.5744236604,691455.2230470746,455657.4092934709,1.4930528079825272
1400,300,645750.2663083384,607462.9803231537,426028.47753376426,1.5157443700630562
200,300,5048861.141458811,3066957.625230651,3026570.615864552,1.668178867195069
100,700,21913946.698550437,13142467.835551554,13142467.835551558,1.6674149005159624
400,100,831883.8036168456,513482.6521966862,497180.1624052545,1.6732039339469305
1800,400,642009.1460210118,625620.5154250041,424672.9490773368,1.511773112499558
4300,500,345358.0823691132,373192.94904078986,242505.96593094463,1.424122004765262
500,800,5146844.079175318,3396617.773044244,3141419.6939080413,1.638381553778462
400,100,784618.4015045122,493694.2059466768,471726.9392173118,1.6632893656791132
100,700,22596789.277674556,13554170.730965907,13554170.73096589,1.6671465725343033
200,300,4557666.938687724,2768085.0422864594,2732229.1933983755,1.6681129642051917
4700,100,67117.77760725768,69542.07569965857,54290.25884700422,1.2362766181756988
2000,100,162287.0060417232,159243.93541017338,92238.58380523889,1.7594264715120849
400,100,852712.8588691799,595008.9732074932,533211.8611173065,1.5992008450119288
1000,300,1002721.5433370173,759273.9669605764,632082.5874671788,1.586377418424114
4400,500,347389.9653522186,358186.8243126762,237834.46181356232,1.4606376330127318
1800,400,632977.2441695882,654344.8527149756,430885.67204750236,1.4690143702429876
100,700,22947400.049344923,13759680.3565304,13759680.356530404,1.6677276982276692
200,300,4989258.611465232,3005343.9706387473,2993366.0284266425,1.6667719764587763
500,800,5263982.870263833,3507551.678070776,3214282.074476214,1.6376854141283257
1800,400,663293.2594028952,644686.9381695982,444038.5381743949,1.493774081254156
4700,900,567137.3598388798,565203.838571588,393947.0218828216,1.439628499102027
2000,100,164133.4664515281,188080.43036428755,101835.57449878904,1.6117497962706526
4300,500,304994.90782647097,335500.74761220574,230917.31029945496,1.3207970742035395
200,300,5055594.880576108,3052898.6326301047,3032905.48199754,1.6669147491026917
1800,400,680983.8620360852,709186.8275755052,463841.88428886636,1.4681379260955
