P,n,Paper,Min Time,Time opt,mtsa
500,100,1586354.352520485,2873587.980853096,1106694.4701290948,1.4334167155777315
500,300,4137017.1515140478,6977971.933838039,2188047.432377275,1.890734675262159
500,500,4882409.363844152,10083853.76958311,2819430.41047668,1.731700610769352
500,900,12218158.566357544,21773220.310902648,4627675.2084536,2.6402368394475992
500,1000,9757907.014831021,23646526.320736006,5266438.096146218,1.8528475673095812
1000,100,1486755.4848097772,2673163.291580483,1086466.3769634417,1.3684321174900056
1000,300,3561719.6556044603,6355525.48001475,2142447.453829413,1.662453680830416
1000,500,4194443.452438223,9070418.889980644,2753488.18687009,1.5233199373940576
1000,900,6821707.276211775,19990798.058061477,4550694.755533099,1.499047429607841
1000,1000,7809399.771196536,21619193.6048669,5177946.022646186,1.5082041676451365
1500,100,1477367.074233723,2606355.061822944,1079723.6792415574,1.3682825547287125
1500,300,3429535.357519385,6148043.328740324,2127247.4609801252,1.6121938892521857
1500,500,4020380.641839925,8732607.263446499,2731507.445667894,1.4718541764241402
1500,900,6432300.07915037,19396657.307114385,4525034.604559596,1.421491909182074
1500,1000,7393721.074844396,20943416.0329105,5148458.703339609,1.4361037935583265
2000,100,1472327.6629326486,2572950.9469441767,1076352.3303806153,1.3678863522430522
2000,300,3320681.348510634,6044302.253103103,2119647.4645554814,1.566619640312228
2000,500,3869821.438379858,8563701.45017942,2720517.075066796,1.4224580591117384
2000,900,6407347.456943803,19099586.931640875,4512204.529072845,1.420003773246592
2000,1000,7331326.707759792,20605527.246932354,5133923.4593227375,1.4280163632838683
2500,100,1462375.7478262344,2552908.478016915,1074329.52106405,1.3611985141931604
2500,300,3275977.49121784,5982057.607720781,2115087.466700695,1.5488614739550257
2500,500,3859219.329722693,8462357.96221918,2713922.852706136,1.4220077501003932
2500,900,6300085.929384402,18921344.70635677,4504506.483780797,1.3986184617713127
2500,1000,7195975.220197596,20402793.9753454,5125202.312912612,1.4040373005506157
3000,100,1457772.2373315496,2539546.832065406,1072980.981519673,1.3586188967365416
3000,300,3261505.6889611264,5940561.177465898,2112047.4681308377,1.5442388195221575
3000,500,3764251.5001799176,8394795.636912346,2709526.704465698,1.3892653259242207
3000,900,6260952.064002461,18802516.556167357,4499374.453586098,1.3915161159819334
3000,1000,7261375.051818033,20267638.46095411,5119388.215305865,1.4184067990991756
3500,100,1458531.1319385916,2530002.7992429016,1072017.7389879755,1.3605475720163913
3500,300,3278904.4197910014,5910920.870140973,2109876.0405809395,1.5540744369456787
3500,500,3770615.996541979,8346536.833121756,2706386.5985796703,1.3932288899600755
3500,900,6237776.379826018,18717639.30603203,4495761.106491063,1.3874795017065744
3500,1000,7191748.556258509,20171098.807817508,5115235.288443901,1.4059467748249566
4000,100,1458442.455879763,2522844.7746260236,1071295.3070892019,1.3613822876182218
4000,300,3261007.9568202794,5888690.639647292,2108247.4699185155,1.5467861355699
4000,500,3741579.812481745,8310342.73027881,2704031.519165149,1.3837042157100787
4000,900,6238829.8685522415,18653981.368430607,4493072.091495236,1.3885443503925705
4000,1000,7197853.511590699,20098694.067965034,5112120.593297429,1.4079975971278733
4500,100,1460853.5111997842,2517277.4221462267,1070733.4156123782,1.3643484829174655
4500,300,3247894.38477386,5871400.46037442,2106980.8038477413,1.5414921573289122
4500,500,3770255.8642802564,8282191.761400955,2702205.559938039,1.3952513162494964
4500,900,6242750.569179664,18604469.639184996,4490980.63538737,1.3900640140794538
4500,1000,7185077.171319777,20042379.270302016,5109698.05262795,1.4061647278011753
5000,100,1457028.2742156328,2512823.5401623934,1070283.9024309192,1.3613474620204107
5000,300,3245378.4657031368,5857568.316956122,2105967.4709911225,1.5410392185097608
5000,500,3738353.279992802,8259670.986298685,2700795.335292894,1.3841675565495553
5000,900,6238908.613110266,18564860.255788535,4489307.470501076,1.38972628943455
5000,1000,7170184.2309703855,19997327.432171583,5107760.020092366,1.4037825196886842
