mu,beta,average,max
0.1,1.0,1.2044026290708252,1.6867264730646176
0.1,1.5,1.205983861714492,1.7206616608960172
0.1,2.0,1.2280520826553105,1.6843199273668368
0.1,2.5,1.2234357812704004,1.7171983108235354
0.1,3.0,1.212094482726753,1.7126476309849987
0.1,3.5,1.1974373908973082,1.7453026215188236
0.1,4.0,1.2143955266247293,1.710040795525123
0.1,4.5,1.211606875875807,1.697928897910457
0.1,5.0,1.196985245708733,1.458759868606842
0.2,1.0,1.1279045070802978,1.4075340499173836
0.2,1.5,1.1194136093328064,1.3882751580300814
0.2,2.0,1.1322348876655626,1.498022560960489
0.2,2.5,1.1060482062477863,1.5138179185521643
0.2,3.0,1.120865029741589,1.4424843631604956
0.2,3.5,1.1332163538555537,1.468651358299668
0.2,4.0,1.1294100932051665,1.5014072874565658
0.2,4.5,1.1213787283140406,1.436254241694494
0.2,5.0,1.1210018127208001,1.4683258251195384
0.3,1.0,1.195370858244812,1.5349178326397608
0.3,1.5,1.1804861346984357,1.397738594449489
0.3,2.0,1.1922015717507948,1.4749282310389606
0.3,2.5,1.1986734912856454,1.4651717703227145
0.3,3.0,1.1823597450079668,1.4078207604613535
0.3,3.5,1.1883910293729585,1.4223984838032933
0.3,4.0,1.1913101884475177,1.4976011793178068
0.3,4.5,1.1833658345115396,1.493725196719963
0.3,5.0,1.1945183725579183,1.4384656631885462
0.4,1.0,1.257154340874442,1.4642425320473913
0.4,1.5,1.2715103495986961,1.6125221388563782
0.4,2.0,1.2651906899936514,1.5039773117909894
0.4,2.5,1.264484778117768,1.4633553792058955
0.4,3.0,1.2578426941697978,1.472234282852739
0.4,3.5,1.2645373122870174,1.528503288670115
0.4,4.0,1.2726321255212882,1.5382320263104876
0.4,4.5,1.2746588402806467,1.5596602615721524
0.4,5.0,1.2634807178043208,1.5349682646900462
0.5,1.0,1.190783416940237,1.5257803331109456
0.5,1.5,1.216774412962739,1.438259876460782
0.5,2.0,1.2167023787401159,1.5850438942989784
0.5,2.5,1.1984544393763323,1.487781106907455
0.5,3.0,1.2009895340643393,1.6147906938627836
0.5,3.5,1.2196178234485033,1.619462400366248
0.5,4.0,1.2006138881653654,1.488291667925986
0.5,4.5,1.2161174927270906,1.4890802248248889
0.5,5.0,1.2064769428687974,1.521522670466938
0.6,1.0,1.494188013786694,1.6689678541636943
0.6,1.5,1.4797672527892467,1.6699912808243875
0.6,2.0,1.4765326779375352,1.6666666666666674
0.6,2.5,1.4818563786621255,1.6680331643264763
0.6,3.0,1.468179121976855,1.6689678541636943
0.6,3.5,1.4917881667252553,1.6699912808243875
0.6,4.0,1.4678780758175198,1.6675125622134088
0.6,4.5,1.475032973904963,1.6675125622134082
0.6,5.0,1.4845366024109028,1.671391990530649
0.7,1.0,1.397118041731861,1.5427842771835365
0.7,1.5,1.3968358991436332,1.6379312828286925
0.7,2.0,1.3910207475987786,1.563945462693927
0.7,2.5,1.3984634580032398,1.5730622182115677
0.7,3.0,1.3997343253805523,1.5778191915998592
0.7,3.5,1.4054645756737005,1.639885882335718
0.7,4.0,1.3999569946829808,1.5559912942304253
0.7,4.5,1.3960550897448853,1.5494968423395643
0.7,5.0,1.410749143165311,1.5943619038918213
0.8,1.0,1.3678882959060297,1.7532105448626496
0.8,1.5,1.375828621818576,1.6941804352042251
0.8,2.0,1.3572408115756531,1.5746522827467275
0.8,2.5,1.3560938799893745,1.5393554835681598
0.8,3.0,1.3546152707221573,1.635247202207661
0.8,3.5,1.3613798835467943,1.6158144785519513
0.8,4.0,1.3634175444698986,1.5104648297479066
0.8,4.5,1.3660107501889829,1.7048300213372538
0.8,5.0,1.3655101814663935,1.6559639379016182
0.9,1.0,1.3564500097664096,1.6308613828702512
0.9,1.5,1.374632521717741,1.7075148423812716
0.9,2.0,1.3673638098675749,1.712917958416874
0.9,2.5,1.3552249148126112,1.7212130458234585
0.9,3.0,1.3709443103183674,1.6286996775398523
0.9,3.5,1.3851158562816996,1.647219559909408
0.9,4.0,1.3879474449585323,1.665943478406363
0.9,4.5,1.379586190663469,1.6813262276302905
0.9,5.0,1.3750822930356086,1.8961496569894936
