P,n,Paper,Min Time,Time opt,mtsa
100,100,3381623.797915347,2028974.278749209,2028974.2787492075,1.6666666666666672
900,100,366887.70825599576,258368.3254004338,225441.58652768974,1.6274180549689
2900,100,101479.71426564413,115113.21669362544,69964.63030169682,1.4504430857141684
2000,200,308258.92134051776,286683.849299996,201836.56152433166,1.527269980287277
4000,100,73337.35375027236,91185.74013472866,50724.356968730186,1.44580154649338
3600,300,242973.3076970616,292139.51580029866,174494.31468040976,1.3924425454323406
2500,300,373064.6431122842,429784.23410620727,251271.81313979006,1.4847055005916525
3600,200,154867.1517603024,165044.79443177022,112131.42306907315,1.3811217901417694
1500,500,1031358.3836443132,981853.367887919,680994.5757418879,1.5144883973866203
3800,100,75789.01933613805,95712.80643207618,53394.05996708441,1.4194279173162587
3200,400,348660.87797916547,449559.8751109027,247040.42465254452,1.4113515165364021
200,700,11879800.624585245,7202037.298273293,7126207.248610589,1.6670579748998282
4900,400,210053.00746903452,215761.81156416488,161332.52222206988,1.3019879970629988
300,700,7903745.73901943,4903905.265186857,4750804.832407059,1.663664582705009
1000,700,2228583.252737241,1773739.6149309748,1425241.4497221177,1.5636531292096174
1200,600,1544658.8032894873,1264719.1068972591,1013440.8039532973,1.524172696879758
2300,200,253165.55279637795,233416.2385933857,175510.05349941883,1.4424561314216466
800,500,2020744.8007525,1498681.6523325846,1276864.8295160397,1.5825831787679574
500,700,4621885.105423534,3075626.662145604,2850482.8994442355,1.6214393379888976
3600,400,314585.57459672185,387551.8863903433,219591.4885800396,1.4325945719979833
500,500,3317345.4560660888,2268575.3008494424,2042983.7272256636,1.6237747818828623
4900,100,67019.97778859134,63434.803696905416,42511.79157511906,1.576503254871437
4100,300,236873.14631591167,248109.06899745757,153214.52020718905,1.5460228312276973
1500,700,1442142.3637073827,1327228.7538530633,950160.9664814118,1.5177874219016296
1700,700,1251052.4898350327,1209794.9262260217,838377.3233659515,1.4922308308772667
4600,200,117952.14368032405,117180.45949709871,87755.02674970942,1.3441069765352744
2500,500,583221.5514330117,676487.6059198382,408596.74544513266,1.427376889156666
2500,700,829797.8590853194,934747.4001058968,570096.5798888471,1.4555390934762438
500,400,2574768.8831587536,1702325.7856208752,1581058.717776285,1.6285093363136407
2900,700,685145.0652590598,822970.8632421456,491462.56886969577,1.3940940951715006
500,300,2052591.5322152914,1357954.207908932,1256359.0656989503,1.6337618665356413
2700,100,111040.85758285543,127045.1099903085,75147.1955092299,1.4776447321872033
1000,100,332211.05427727307,248829.5399814362,202897.42787492074,1.637334971452027
300,1000,11355989.832522068,6998843.307758381,6823081.922527074,1.6643490377902623
5000,800,459575.8874031513,456075.25957319036,326730.40757505194,1.4065905001437125
1800,100,169100.95745427307,157554.24600256237,112720.79326384487,1.5001753674538068
1700,300,562810.242235748,549398.8532039052,369517.37226439716,1.5230954874647837
700,300,1454585.8085693326,1015243.647358903,897399.3326421074,1.6208902276389783
5000,700,405288.21475851454,399764.02464507095,285048.28994442354,1.4218230000170653
2600,200,228266.48084355888,238076.1142114535,155258.89348025512,1.4702312745297803
4500,500,315827.90302595304,328950.2482050557,226998.1919139626,1.391323430213307
1400,100,224484.4116079908,191045.54771527607,144926.73419637198,1.5489510120597916
4700,200,114494.2980665536,113826.21474051462,85887.8985209922,1.333066707163287
4700,600,352358.5358404462,357887.7127261622,258750.843562544,1.3617676796299054
400,500,4212337.837992914,2719515.2482897504,2553729.6590320794,1.649484636361033
3800,400,290971.2899719772,359008.0696376907,208034.04181266908,1.398671522394357
3400,900,707202.1583872484,860527.6971422713,529597.2437195278,1.3353584573445765
3300,700,613438.0287480161,762046.8035266406,431891.3484006417,1.4203526674467293
3100,800,763210.8191250555,923410.7660574097,526984.528346858,1.4482603910957985
700,800,3755967.6630061017,2687266.382363347,2333788.625536085,1.609386395112511
2500,100,121941.37515666457,134148.35378344535,81158.9711499683,1.502500258798712
900,300,1108028.4419290656,827343.200568025,697977.258721639,1.5874850191515473
1700,1000,1800427.3474646418,1719815.298818532,1204073.2804459543,1.4952805420595456
600,500,2748351.410343351,1925085.9010361894,1702486.4393547198,1.6143161829735555
1200,100,265210.61161925655,216954.46678957072,169081.18989576728,1.5685400119478088
2300,100,137811.87312566178,131549.02591201957,88216.27298909597,1.5622046642425722
2700,1000,1061770.667827346,1199668.9900589597,758120.2136141193,1.4005307453361
3100,500,458528.60040594585,574388.4287595728,329513.50439123606,1.3915320443484112
3500,900,695985.7041026795,820356.7324933861,514465.89389896987,1.3528315722312123
3100,700,631319.070469208,842375.8608831766,459755.30636197346,1.3731632060210728
4800,300,219708.9265069493,214095.78192855715,142348.1066563424,1.5434622326053962
300,200,2247101.9859813927,1358888.6619952226,1345577.0768288777,1.6699912808243875
3100,400,364097.06294755003,440759.6073146213,255009.4706090782,1.4277785922143251
800,900,3589937.846169456,2599498.309936584,2250788.2858079933,1.5949691353937057
1500,300,650431.0107265912,575501.8017937497,418786.3552329834,1.5531332446701538
4200,300,235770.8966854209,236432.72812542575,149566.55544035122,1.5763610787937743
3500,800,655385.619078142,762921.6660005805,466757.72510721703,1.404123775193214
900,900,3161551.0882509598,2347163.9178525135,2000700.6984959939,1.5802219145660434
1900,100,156709.60060514414,154038.58455683396,106788.11993416882,1.4674815953474056
200,800,13624928.890727326,8251726.431243703,8168260.189376298,1.6680331643264759
1800,200,344156.8742916191,301300.1703933967,224262.8461381463,1.5346138703671757
2100,700,1015065.7968680358,1059681.6960417076,678686.4046295799,1.4956330198216485
2300,400,502156.0268611763,552950.4745608426,343708.416907888,1.4609942676956653
4800,100,64831.41000392937,64971.590117392116,42511.79157511906,1.5250218257532422
500,100,666292.4970277299,418362.7089908964,405794.8557498415,1.6419441685541627
4300,300,222375.94034690203,227529.6612503407,146088.26345336632,1.5222026403092124
1600,700,1326674.922913163,1282316.419489001,890775.9060763236,1.4893475607764033
1900,800,1291719.9924889393,1309827.441341762,859816.8620396103,1.5023199119691515
1300,700,1686604.466431387,1463139.6443605279,1096339.5767093212,1.5383960428517542
3800,1000,722310.387913725,876979.6192603481,538664.362304769,1.3409284861972204
3300,300,278578.9055797115,351832.31364761933,190357.43419681065,1.4634516731912273
900,500,1760331.9941548689,1432093.5719611056,1134990.9595698132,1.5509656524683455
2800,500,510662.14337915386,643487.337172026,364818.52271886845,1.3997703284728047
500,900,5889141.489787046,3801718.543710481,3601261.257292789,1.635299710028299
1400,900,1954059.8659824731,1707285.6364503321,1286164.7347474247,1.5192920573787998
1300,400,938900.4717168596,812898.8705115749,608099.5068370326,1.5439915032992781
3300,1000,858378.3804543833,1055964.8339018205,620280.1747751886,1.3838559015133605
2000,800,1232348.3551728353,1273572.6494285236,816826.0189376298,1.508703599789386
2300,1000,1296076.7915344231,1375291.37692742,889967.2072861401,1.4563197170901059
700,700,3230729.618053162,2311219.6910573053,2036059.2138887395,1.5867562180977441
4300,400,242790.09146375948,266261.3454554966,183844.0369507308,1.3206307666580772
4200,900,562118.7142838923,595406.8109780696,428721.5782491416,1.3111509725718309
3700,900,653708.5320008135,781218.0082101845,486656.9266611877,1.343263593278572
