mu,beta,average,max
0.1,1.0,26.514420827705507,30.70120298542115
0.1,1.5,3.751266540950097,4.927227454948896
0.1,2.0,2.457550576221127,4.284633090187645
0.1,2.5,2.176189496442832,4.117972062280881
0.1,3.0,1.5702368260645372,2.0887796372106906
0.1,3.5,1.4665831232833018,2.0644155454160664
0.1,4.0,1.4186309646464244,2.032166463411172
0.1,4.5,1.3776900524903595,2.061719486311694
0.1,5.0,1.3232752851486307,1.8932257705656892
0.2,1.0,26.514420827705507,30.70120298542115
0.2,1.5,3.743691976680359,4.851600246295082
0.2,2.0,2.4507891360342513,4.209766628059681
0.2,2.5,2.1713736882385337,4.055554681869256
0.2,3.0,1.566514502695271,2.102538051146193
0.2,3.5,1.467034696282317,2.100361637342034
0.2,4.0,1.4174246050672092,2.0312610106492137
0.2,4.5,1.3744027326922035,2.0645710225402456
0.2,5.0,1.3276252737994936,2.035248828963788
0.3,1.0,26.514420827705507,30.70120298542115
0.3,1.5,3.7452739001430593,4.874383737467089
0.3,2.0,2.455279826353499,4.215918167735877
0.3,2.5,2.17497473246036,4.053874017562666
0.3,3.0,1.5740388412704323,2.1909812597030247
0.3,3.5,1.4732367541997908,2.1521720864598
0.3,4.0,1.4259467674195585,2.187965430503485
0.3,4.5,1.3870363555629237,2.124840298138089
0.3,5.0,1.3378833795055072,2.120889304698793
0.4,1.0,26.514420827705507,30.70120298542115
0.4,1.5,3.7471258485716405,4.873938493583363
0.4,2.0,2.4570686349248163,4.231502086760583
0.4,2.5,2.178789805627983,4.068653947746275
0.4,3.0,1.5786724076952132,2.2219225865403307
0.4,3.5,1.4836197732883618,2.2830326951328783
0.4,4.0,1.434810657852906,2.1941759425504626
0.4,4.5,1.3997157519841619,2.178570559544508
0.4,5.0,1.3547798404951923,2.294946094092371
0.5,1.0,26.514420827705507,30.70120298542115
0.5,1.5,3.748793101000542,4.918844768045108
0.5,2.0,2.4640300396539856,4.280651733951911
0.5,2.5,2.1901091607817262,4.163426115004875
0.5,3.0,1.5961317243575421,2.410282042169876
0.5,3.5,1.5006270591446713,2.3092344089234857
0.5,4.0,1.4484171650342745,2.321262780755292
0.5,4.5,1.4168169520237515,2.4050328698446144
0.5,5.0,1.3715587970942358,2.3670332398373373
0.6,1.0,26.514420827705507,30.70120298542115
0.6,1.5,3.749105504342483,4.903435775744385
0.6,2.0,2.4672893372643583,4.302681856201132
0.6,2.5,2.192065910807697,4.188284956865925
0.6,3.0,1.600446543990326,2.316608037976208
0.6,3.5,1.5041163223868534,2.4532359605878065
0.6,4.0,1.4591955419862008,2.449752842945258
0.6,4.5,1.432965842440614,2.5238849628384656
0.6,5.0,1.3946520121376402,2.5485222652617114
0.7,1.0,26.514420827705507,30.70120298542115
0.7,1.5,3.7500011911711204,4.928760852458508
0.7,2.0,2.465958933706483,4.272820370810863
0.7,2.5,2.199033527683077,4.233718908411005
0.7,3.0,1.601321106137205,2.4098543106128214
0.7,3.5,1.5080775868025242,2.426362025923001
0.7,4.0,1.4683716770802642,2.566148531390064
0.7,4.5,1.4408332694034756,2.6657373377837086
0.7,5.0,1.402158446351379,2.6145761299569705
0.8,1.0,26.514420827705507,30.70120298542115
0.8,1.5,3.7513805885400506,4.893590175048961
0.8,2.0,2.4707464995334933,4.306253366656884
0.8,2.5,2.20217747007149,4.216196378795329
0.8,3.0,1.611221976951308,2.6062335915478894
0.8,3.5,1.518715965249834,2.6816652490484563
0.8,4.0,1.4867361240312322,2.829843288161028
0.8,4.5,1.4689796856686292,2.920776072104425
0.8,5.0,1.436028378295532,3.125777140155009
0.9,1.0,26.514420827705507,30.70120298542115
0.9,1.5,3.7557158899450154,4.924078722509651
0.9,2.0,2.4866425472533895,4.573745829786572
0.9,2.5,2.236084452730361,4.376256988194811
0.9,3.0,1.6591150696358392,3.3569970033125585
0.9,3.5,1.5798647419778344,3.219484603376087
0.9,4.0,1.5425545065751514,3.342591569042153
0.9,4.5,1.5326686877384443,3.480430749951098
0.9,5.0,1.5137179629037683,3.7634681764690936
1.0,10.0,1.379619317326226,1.379619317326226
