P,n,Paper,Min Time,Time opt,mtsa
100,200,6727885.384144389,4036731.230486634,4036731.2304866333,1.6666666666666667
4600,200,119245.51009927069,135647.0172323798,87755.02674970942,1.3588453506985632
3000,200,190187.72900448166,215517.30792231412,134557.70768288776,1.413428723478979
1900,400,608907.8051135456,642893.0680713127,416068.08362533816,1.4634811682932551
1100,400,1132280.98912145,903378.0608215533,718663.0535346749,1.5755380543808886
3600,400,300060.97544194444,385056.38974621374,219591.4885800396,1.3664508464433232
1200,400,1039521.9965228077,844475.6775968047,658774.4657401188,1.577963401108644
4300,400,246680.3640061165,258280.60319545647,183844.0369507308,1.3417914885769477
2300,400,500841.02527876326,578138.0494834873,343708.416907888,1.4571683457288913
5000,400,216035.97911234244,220160.47752318354,158105.8717776285,1.3664007331504489
1900,100,164003.0758162797,158518.66457340893,106788.11993416882,1.5357801590418667
1800,600,996762.0395187156,1027673.3236348736,675627.2026355315,1.4753136576361636
2900,200,206079.01379642478,210063.79687661777,139197.6286374701,1.4804779062231175
4500,500,324095.5699546926,338825.86861170374,226998.1919139626,1.4277451605320808
800,600,2437262.7127951733,1801297.517256862,1520161.205929946,1.6032922714299884
4000,100,71500.7957235605,84021.3695058395,50724.356968730186,1.4095949164547965
4400,100,68657.9043742831,67287.96163887512,46113.05178975472,1.4889039373780362
4700,500,323814.1548806204,319395.48086862866,218726.61253679788,1.4804515606263637
2100,400,543568.7965118227,584313.5029244354,376442.5518514964,1.4439621499703794
3900,500,372041.93084492674,451318.03062964487,261920.99066995684,1.4204357195400648
300,600,6760547.077494297,4136898.0912503307,4053763.2158131893,1.6677212549372162
4400,600,368612.2279728308,382477.7770929412,276392.94653271744,1.3336528033619597
900,200,728996.2195258947,481661.19605819543,448525.6922762926,1.6253165249602508
200,800,13624928.89072733,8251726.431243706,8168260.189376298,1.6680331643264763
2200,300,420568.17993909883,466964.2860853958,285536.151295216,1.4729069437665465
500,200,1344290.1336620187,839423.4962179608,807346.2460973266,1.665072625481636
3400,700,585993.8174145845,761016.5322526805,419188.66168297577,1.3979238251862838
