P,n,Paper,Min Time,Time opt,mtsa
500,100,569513.2709329732,434240.0694961375,405794.8557498415,1.4034511844183124
500,100,626900.5178708945,453501.28964683827,396223.7867041169,1.5821879930167777
1000,100,284756.6354664866,255531.6068045729,202897.42787492074,1.4034511844183124
500,200,1092766.3092744043,833116.369866889,807346.2460973266,1.3535286929948391
500,300,1529048.5995583802,1360492.4209591956,1256359.0656989503,1.2170474518824954
1500,100,191005.45634533913,182240.19401731234,135264.95191661385,1.4120838668030382
1000,100,311242.85029106843,283473.8654124686,198111.89335205845,1.5710457611849102
500,400,1845259.2818858302,1695867.1887996213,1581058.717776285,1.167103575053263
1000,200,531492.0115797776,441834.8394533832,403673.1230486633,1.3166395809703326
500,500,2216283.195162858,2223086.1267762636,2042983.7272256636,1.0848266511513198
500,200,1126140.346321417,929427.6479310294,858899.9533139733,1.3111426330579312
1000,300,755603.5195975474,766096.094224061,628179.5328494752,1.2028464476868042
500,600,2674180.7154903645,2635179.289536538,2432257.9294879134,1.0994642809339654
500,300,1555276.9810763432,1303866.9680197092,1192879.73709454,1.303800318433175
1500,100,213363.69287664507,219254.2308533785,132074.59556803893,1.615478676720457
1000,400,924631.0459364812,977764.7044177024,790529.3588881425,1.1696353026495423
1500,200,358449.13871993026,333870.83839590306,269115.4153657755,1.3319532002012384
1000,200,552063.5969661762,540563.1844396158,429449.97665698663,1.2855131609591968
500,400,1807424.7638121834,1643785.170283141,1522565.3581621868,1.1870917423169514
500,700,3075423.739451417,3100294.521199527,2850482.8994442355,1.0789132395956624
500,500,2249447.0243330076,2155830.146023289,1997005.0680836043,1.1264102732055936
1000,500,1136684.8085945027,1305227.5463067777,1021491.8636128318,1.1127693220915675
1000,300,756941.8604891129,757390.9113651488,596439.86854727,1.269100039091573
500,800,3503436.582218621,3521397.0801725057,3267304.075750519,1.0722713591981368
1000,600,1309575.0773265366,1479274.6193315033,1216128.9647439567,1.0768389827819405
1500,200,374853.1418406874,427159.69710592215,286299.9844379911,1.3093019986589478
1500,300,516226.4137733606,574942.3865682419,418786.3552329834,1.2326724768436363
500,600,2605146.299753145,2709022.3614184605,2446288.3109682505,1.064938375445214
500,900,3877817.2991953576,3818634.819292929,3601261.257292789,1.0767942179542027
500,1000,4416207.901433194,4405860.806294534,4093849.1535162446,1.0787422144365217
1000,400,908829.373597584,942117.8318990499,761282.6790810934,1.1938132819396166
1500,400,611839.5316459573,724963.4865425453,527019.572592095,1.1609427115518376
1000,700,1535956.6893582111,1761338.3799011603,1425241.4497221177,1.0776817427374707
2000,100,142378.3177332433,152116.77629837458,101448.71393746037,1.4034511844183124
500,700,2996413.6979221525,3077904.1714522773,2828007.063429684,1.0595495805757402
1000,800,1732560.9662311291,2015754.6630616444,1633652.0378752595,1.060544672955271
1000,500,1123259.5784171813,1199424.1145363187,998502.5340418022,1.1249441439776617
1000,900,1908517.7950685034,2166671.0285593374,1800630.6286463945,1.0599163230402295
1500,500,758482.5967654685,990883.814185864,680994.5757418879,1.1137865465949766
2000,100,162353.99324714963,176507.720271959,99055.94667602921,1.639013090028224
1500,300,514107.5273963247,569637.307504051,397626.5790315133,1.2929405490159143
1000,1000,2142798.8712861715,2477572.7335019605,2046924.5767581223,1.0468382155437759
1500,600,880784.030289242,1151549.0092271657,810752.6431626378,1.0863782409064016
2000,200,271318.31631967763,266261.8028980726,201836.56152433166,1.3442476143598485
500,800,3512484.822354447,3557689.0744219706,3285289.350154367,1.0691553918041967
1000,600,1328867.9126785938,1560787.2915657859,1223144.1554841253,1.0864360563883189
1500,400,594758.5918314938,708632.0565380971,507521.7860540623,1.1718878049663444
1500,700,1021551.1572434037,1322285.5355754213,950160.9664814118,1.0751348384962187
500,900,3945637.130428632,4003297.956376751,3703102.005698523,1.0654951239141897
2000,300,389680.8409086791,480827.4050992875,314089.7664247376,1.2406671040078434
2000,200,287907.0541904946,371461.59990158625,214724.98832849332,1.3408176497373698
500,1000,4172039.2607544395,4355514.103057091,3930709.7185198776,1.0613959207156705
1500,800,1161004.292092784,1521033.0936343055,1089101.3585835064,1.0660204240336226
1500,900,1256864.951870448,1600565.181700552,1200420.4190975963,1.04702063699923
1500,500,739734.1000225362,903935.9249985995,665668.3560278681,1.111265231889087
1000,700,1529646.1068204548,1752414.5376492573,1414003.531714842,1.0817837950979985
2000,400,463893.7102866056,583825.1145209183,395264.67944407125,1.173628038151699
2000,500,568835.3947513251,807447.1254659796,510745.9318064159,1.1137345582753
2500,100,118590.69980168683,137106.2475739374,81158.9711499683,1.4612149232714016
1500,600,879113.4278480198,1193064.7422679837,815429.4369894167,1.0780987145788183
2000,300,391619.6097792422,471552.97588751925,298219.934273635,1.3131905844359395
1000,800,1750149.0999729447,1997793.9534271336,1642644.6750771834,1.0654459400300371
2500,200,215043.42893392738,225168.59660992064,161469.24921946533,1.331791842554772
2500,100,140915.86619588488,176710.20881746552,83088.51270910182,1.695972904091331
1000,900,1974341.347379397,2271147.448278871,1851551.0028492615,1.0663175598950174
2000,600,686200.8525145098,913686.2988417211,608064.4823719783,1.1285001384026443
2500,300,319838.24119267194,398030.0748762678,251271.81313979006,1.2728775153731084
1500,1000,1451071.9955336736,1840980.7414037487,1364616.3845054149,1.063355249145417
2000,400,448200.3456938743,574766.5124651627,380641.3395405467,1.1774873066463951
2500,200,239602.0001299329,299118.6591623759,171779.99066279465,1.3948190310492758
