Time,Waiting Queue,Processors Queue,Number of available processors
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",[],1500
3143,"[3, 7, 11, 15]","[0, 2, 4, 8, 10, 12, 14, 16, 1, 5, 9, 13]",546
9830,[15],"[0, 2, 4, 8, 10, 12, 14, 16, 1, 9, 13, 3, 11, 7]",390
10910,[23],"[0, 2, 4, 8, 10, 12, 14, 16, 1, 9, 3, 11, 7, 15]",398
11946,[],"[0, 2, 4, 8, 10, 12, 14, 16, 1, 9, 3, 7, 15, 23]",527
13647,[29],"[0, 2, 4, 8, 10, 12, 14, 16, 9, 3, 7, 15, 23]",658
17445,[],"[0, 4, 8, 10, 12, 14, 16, 9, 3, 7, 15, 23, 29]",852
18230,[],"[0, 4, 8, 10, 12, 14, 16, 9, 3, 7, 23, 29]",940
19378,[38],"[0, 4, 8, 10, 12, 14, 16, 9, 3, 7, 29]",999
26129,[],"[0, 4, 10, 12, 14, 16, 9, 3, 7, 29, 38]",886
26139,[],"[0, 4, 10, 12, 14, 16, 9, 7, 29, 38]",916
27594,[24],"[0, 4, 12, 14, 16, 9, 7, 29, 38]",1033
29623,[],"[0, 4, 12, 14, 16, 9, 7, 29, 24]",1136
36944,[27],"[0, 4, 12, 16, 9, 7, 29, 24]",1222
40687,[],"[0, 4, 12, 9, 7, 29, 24, 27]",1137
45823,[],"[0, 12, 9, 7, 29, 24, 27]",1206
46124,[],"[0, 12, 9, 7, 24, 27]",1232
47310,[],"[0, 12, 9, 7, 27]",1282
62123,"[19, 22, 25, 28]","[0, 9, 7, 27]",1301
66227,[28],"[0, 9, 7, 19, 25, 22]",1135
77714,[41],"[0, 9, 7, 19, 25, 22]",1135
79979,[26],"[0, 7, 19, 25, 22, 41]",1141
84394,[],"[0, 7, 25, 22, 41, 26]",1268
90861,[],"[0, 7, 25, 41, 26]",1345
92769,"[17, 20, 30]","[7, 25, 41, 26]",1386
94822,[],"[7, 25, 26, 17, 30, 20]",1144
95223,[],"[7, 25, 26, 17, 20]",1182
112175,[],"[7, 25, 26, 20]",1381
115920,"[33, 36, 44]","[7, 25, 26]",1424
122796,[32],"[7, 26, 33, 44, 36]",1291
134538,[52],"[7, 26, 33, 44, 32]",1313
162182,[],"[7, 26, 44, 32, 52]",1334
162610,[],"[7, 26, 32, 52]",1374
166497,[],"[7, 26, 32]",1453
196959,[45],"[7, 32]",1465
222164,[58],"[7, 32]",1465
224944,[],"[7, 58]",1465
254435,[],[7],1496
1083587,"[18, 21, 31]",[],1500
1091420,[37],"[18, 31]",1378
1098250,"[35, 39, 42, 43]","[31, 37]",1366
1098472,"[43, 34, 40]","[37, 35, 42, 39]",1235
1104442,"[46, 48]","[37, 35, 39, 43, 40, 34]",992
1104515,[],"[37, 35, 39, 43, 40, 34, 46]",915
1105067,"[59, 60]","[37, 35, 39, 40, 34, 46]",1030
1107515,[63],"[37, 35, 40, 34, 46, 59, 60]",601
1110637,[55],"[37, 35, 40, 46, 59, 60, 63]",572
1117736,"[49, 50, 56]","[37, 40, 46, 59, 60, 63, 55]",602
1120042,[],"[37, 40, 46, 60, 63, 55, 49, 56, 50]",627
1121662,[],"[37, 40, 46, 63, 55, 49, 56, 50]",858
1129470,[],"[37, 40, 46, 55, 49, 56, 50]",1017
1137323,"[51, 53, 54, 61]","[40, 46, 55, 49, 56, 50]",1098
1151914,[61],"[40, 46, 49, 56, 50, 51, 54, 53]",986
1154082,[],"[40, 46, 56, 50, 51, 54, 53, 61]",1053
1156006,"[73, 79]","[40, 56, 50, 51, 54, 53, 61]",1130
1157725,"[47, 57, 62]","[56, 50, 51, 54, 53, 61, 73, 79]",970
1158494,[65],"[56, 51, 54, 53, 61, 73, 79, 47, 62, 57]",915
1158895,"[69, 80]","[56, 51, 54, 61, 73, 79, 47, 62, 57, 65]",855
1167240,"[68, 76]","[56, 54, 61, 73, 79, 47, 62, 57, 65, 69, 80]",812
1168978,[111],"[56, 54, 61, 73, 79, 47, 62, 57, 65, 80, 68, 76]",734
1172243,[],"[56, 54, 61, 73, 79, 47, 62, 57, 65, 80, 76, 111]",809
1176191,[99],"[56, 54, 61, 79, 47, 62, 57, 65, 80, 76, 111]",975
1182336,[],"[56, 54, 61, 79, 47, 62, 57, 80, 76, 111, 99]",1082
1187404,[],"[56, 54, 61, 79, 47, 62, 57, 80, 76, 111]",1102
1194536,[64],"[56, 54, 61, 79, 47, 62, 80, 76, 111]",1159
1198718,[],"[56, 54, 61, 79, 47, 62, 76, 111, 64]",1071
1202468,[75],"[56, 54, 61, 79, 47, 76, 111, 64]",1140
1212408,[],"[56, 54, 61, 79, 47, 76, 111, 75]",1298
1223435,[],"[56, 54, 61, 79, 47, 111, 75]",1363
1232863,[],"[56, 54, 61, 79, 47, 75]",1394
1248734,[],"[56, 54, 61, 47, 75]",1422
1251342,"[71, 82, 83]","[56, 54, 47, 75]",1465
1265507,[],"[56, 54, 47, 75, 71, 83]",1261
1269475,[],"[56, 54, 47, 75, 71]",1353
1293316,[],"[56, 54, 47, 75]",1465
1334879,"[66, 74, 81, 85]","[56, 47, 75]",1482
1363138,"[85, 96]","[56, 47, 75, 66, 81]",1429
1375560,[],"[56, 47, 75, 66, 81, 96]",1352
1396653,"[109, 112]","[56, 47, 75, 66, 96]",1401
1414129,[],"[56, 47, 75, 66, 109, 112]",1425
1417127,[],"[56, 47, 75, 66, 109]",1472
1437635,"[70, 84]","[47, 75, 66, 109]",1477
1452890,[],"[47, 75, 66, 109, 70]",1391
1465879,[],"[47, 75, 66, 109]",1477
1614200,"[67, 72, 77, 78, 86]","[75, 66, 109]",1483
1620297,[78],"[75, 66, 109, 77, 86, 72]",1130
1622880,"[90, 95]","[75, 66, 109, 86, 72, 78]",1123
1628761,[102],"[75, 66, 109, 72, 78, 90, 95]",1089
1634610,[],"[75, 66, 109, 72, 78, 95, 102]",1295
1638405,"[89, 107, 110]","[75, 66, 109, 78, 95, 102]",1332
1656764,[],"[75, 66, 109, 78, 95, 102, 89, 110]",1275
1661490,[],"[75, 66, 109, 78, 102, 89, 110]",1349
1661572,"[87, 93, 100, 113, 117]","[75, 66, 109, 102, 89, 110]",1417
1670842,[113],"[75, 66, 109, 102, 110, 87, 100, 117, 93]",1007
1673899,[],"[75, 66, 109, 102, 110, 87, 117, 93, 113]",1218
1692057,[],"[75, 66, 109, 102, 110, 87, 93, 113]",1320
1698355,[],"[75, 66, 109, 102, 110, 87, 113]",1347
1704156,[],"[75, 66, 109, 102, 110, 113]",1431
1758223,"[91, 92, 114, 115, 116]","[75, 109, 102, 110, 113]",1435
1762543,[115],"[75, 109, 102, 110, 113, 91, 114, 116]",1216
1767015,[],"[75, 109, 102, 110, 113, 91, 116, 115]",1209
1770939,[],"[75, 109, 102, 110, 113, 91, 116]",1265
1776334,[],"[75, 109, 102, 110, 113, 116]",1401
1791159,[],"[75, 109, 102, 110, 116]",1438
1832628,"[88, 94, 97, 98, 101, 103, 104, 105, 106, 108]","[109, 102, 110, 116]",1445
1841924,"[98, 105]","[109, 102, 110, 116, 88, 97, 101, 104, 106, 94, 108]",1228
1843663,"[126, 128]","[109, 102, 110, 116, 88, 101, 104, 106, 94, 108, 98, 105]",977
