mu,Paper,Min Time,Time opt
0.02,14025758,1459225,680994.575741888
0.02,14130858,1480195,665668.3560278681
0.02,14206309,1413239,651305.3816708077
0.02,16417430,1462903,695183.7690020413
0.02,12472222,1443099,661962.9561917708
0.02,12128529,1400440,656760.4495093515
0.02,13562417,1508737,688680.4760887198
0.02,13307189,1495388,682388.2379183229
0.02,14266987,1420423,654464.7830271883
0.02,15251770,1432477,671094.6253296196
0.06,4803421,1459225,680994.575741888
0.06,4837077,1480195,665668.3560278681
0.06,4717039,1413239,651305.3816708077
0.06,5643529,1462903,695183.7690020413
0.06,4246742,1443099,661962.9561917708
0.06,4032299,1400440,656760.4495093515
0.06,4714092,1508737,688680.4760887198
0.06,4581108,1495388,682388.2379183229
0.06,4803749,1420423,654464.7830271883
0.06,5265072,1432477,671094.6253296196
0.1,2819924,1459225,680994.575741888
0.1,2797167,1480195,665668.3560278681
0.1,2739186,1413239,651305.3816708077
0.1,3339347,1462903,695183.7690020413
0.1,2432493,1443099,661962.9561917708
0.1,2356671,1400440,656760.4495093515
0.1,2735137,1508737,688680.4760887198
0.1,2658580,1495388,682388.2379183229
0.1,2803974,1420423,654464.7830271883
0.1,3108935,1432477,671094.6253296196
0.14,1883661,1459225,680994.575741888
0.14,1890536,1480195,665668.3560278681
0.14,1867966,1413239,651305.3816708077
0.14,2240280,1462903,695183.7690020413
0.14,1652677,1443099,661962.9561917708
0.14,1603888,1400440,656760.4495093515
0.14,1849277,1508737,688680.4760887198
0.14,1802401,1495388,682388.2379183229
0.14,1872427,1420423,654464.7830271883
0.14,2097464,1432477,671094.6253296196
0.18,1379016,1459225,680994.575741888
0.18,1383234,1480195,665668.3560278681
0.18,1374551,1413239,651305.3816708077
0.18,1639408,1462903,695183.7690020413
0.18,1214117,1443099,661962.9561917708
0.18,1190686,1400440,656760.4495093515
0.18,1351595,1508737,688680.4760887198
0.18,1324590,1495388,682388.2379183229
0.18,1383698,1420423,654464.7830271883
0.18,1540305,1432477,671094.6253296196
0.22,1062326,1459225,680994.575741888
0.22,1064779,1480195,665668.3560278681
0.22,1092659,1413239,651305.3816708077
0.22,1238342,1462903,695183.7690020413
0.22,964557,1443099,661962.9561917708
0.22,907981,1400440,656760.4495093515
0.22,1013144,1508737,688680.4760887198
0.22,1033903,1495388,682388.2379183229
0.22,1056286,1420423,654464.7830271883
0.22,1158715,1432477,671094.6253296196
0.26,885771,1459225,680994.575741888
0.26,871264,1480195,665668.3560278681
0.26,897861,1413239,651305.3816708077
0.26,984400,1462903,695183.7690020413
0.26,846690,1443099,661962.9561917708
0.26,776118,1400440,656760.4495093515
0.26,880794,1508737,688680.4760887198
0.26,850475,1495388,682388.2379183229
0.26,873839,1420423,654464.7830271883
0.26,913375,1432477,671094.6253296196
0.3,808401,1459225,680994.575741888
0.3,786932,1480195,665668.3560278681
0.3,802001,1413239,651305.3816708077
0.3,846051,1462903,695183.7690020413
0.3,780991,1443099,661962.9561917708
0.3,766900,1400440,656760.4495093515
0.3,816951,1508737,688680.4760887198
0.3,809660,1495388,682388.2379183229
0.3,787865,1420423,654464.7830271883
0.3,832154,1432477,671094.6253296196
0.34,853577,1459225,680994.575741888
0.34,830141,1480195,665668.3560278681
0.34,818157,1413239,651305.3816708077
0.34,872259,1462903,695183.7690020413
0.34,818836,1443099,661962.9561917708
0.34,814949,1400440,656760.4495093515
0.34,856130,1508737,688680.4760887198
0.34,844192,1495388,682388.2379183229
0.34,817732,1420423,654464.7830271883
0.34,830928,1432477,671094.6253296196
0.38,1084387,1459225,680994.575741888
0.38,1083876,1480195,665668.3560278681
0.38,1050711,1413239,651305.3816708077
0.38,1087288,1462903,695183.7690020413
0.38,1092518,1443099,661962.9561917708
0.38,1051011,1400440,656760.4495093515
0.38,1106092,1508737,688680.4760887198
0.38,1098213,1495388,682388.2379183229
0.38,1054038,1420423,654464.7830271883
0.38,1055645,1432477,671094.6253296196
0.3819660112501051,1210710,1459225,680994.575741888
0.3819660112501051,1223800,1480195,665668.3560278681
0.3819660112501051,1182311,1413239,651305.3816708077
0.3819660112501051,1209468,1462903,695183.7690020413
0.3819660112501051,1174227,1443099,661962.9561917708
0.3819660112501051,1178873,1400440,656760.4495093515
0.3819660112501051,1218057,1508737,688680.4760887198
0.3819660112501051,1213921,1495388,682388.2379183229
0.3819660112501051,1167891,1420423,654464.7830271883
0.3819660112501051,1155385,1432477,671094.6253296196
